t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099526,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002623,0.000386,0.057301,0.131848,calls/second,seconds
1513703477,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002896,0.000676,0.022144,0.094327,calls/second,seconds
1513818677,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002307,0.000002,0.011889,0.077514,calls/second,seconds
1515094863,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001111,0.000000,0.010295,0.074398,calls/second,seconds
1515100263,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001476,0.000003,0.021434,0.095000,calls/second,seconds
1515154263,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002770,0.000539,0.061251,0.134811,calls/second,seconds
1515158763,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001252,0.000000,0.014368,0.083141,calls/second,seconds
1515508863,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001696,0.000013,0.028933,0.104991,calls/second,seconds
1515531363,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006100,0.015104,0.119301,0.168358,calls/second,seconds
1516971499,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001757,0.000018,0.030928,0.107350,calls/second,seconds
1517223499,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003195,0.001240,0.072360,0.142512,calls/second,seconds
1518700664,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004658,0.006564,0.100986,0.159260,calls/second,seconds
1519234364,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.514062,0.000000,0.000000,0.000000,calls/second,seconds
1519236164,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001469,0.000003,0.021080,0.094473,calls/second,seconds
1519237064,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001523,0.000004,0.022912,0.097134,calls/second,seconds
1519241564,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001456,0.000002,0.020731,0.093950,calls/second,seconds
1519242464,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002873,0.000692,0.064392,0.137077,calls/second,seconds
