t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099526,1,0.379000,0.379000,0.379000,0.000000,0.379000,0.379000,0.379000,0.379000,0.379000,0.379000,0.002625,0.000386,0.057301,0.131848,calls/second,seconds
1513703477,2,0.984000,0.221441,0.221000,0.018342,0.221000,0.221000,0.221000,0.221000,0.221000,0.221000,0.002898,0.000676,0.022144,0.094327,calls/second,seconds
1513818677,2,0.864000,0.315822,0.310000,0.056492,0.310000,0.310000,0.310000,0.310000,0.864000,0.864000,0.002308,0.000002,0.011889,0.077514,calls/second,seconds
1515094863,1,1.100000,1.100000,1.100000,0.000000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000,0.001112,0.000000,0.010295,0.074398,calls/second,seconds
1515100263,1,0.463000,0.463000,0.463000,0.000000,0.463000,0.463000,0.463000,0.463000,0.463000,0.463000,0.001477,0.000003,0.021434,0.095000,calls/second,seconds
1515154263,1,0.766000,0.766000,0.766000,0.000000,0.766000,0.766000,0.766000,0.766000,0.766000,0.766000,0.002774,0.000539,0.061251,0.134811,calls/second,seconds
1515158763,1,0.724000,0.724000,0.724000,0.000000,0.724000,0.724000,0.724000,0.724000,0.724000,0.724000,0.001253,0.000000,0.014368,0.083141,calls/second,seconds
1515508863,1,1.591000,1.591000,1.591000,0.000000,1.591000,1.591000,1.591000,1.591000,1.591000,1.591000,0.001698,0.000013,0.028933,0.104991,calls/second,seconds
1515531363,1,0.466000,0.466000,0.466000,0.000000,0.466000,0.466000,0.466000,0.466000,0.466000,0.466000,0.006110,0.015104,0.119301,0.168358,calls/second,seconds
1516971499,1,0.608000,0.608000,0.608000,0.000000,0.608000,0.608000,0.608000,0.608000,0.608000,0.608000,0.001758,0.000018,0.030928,0.107350,calls/second,seconds
1517223499,1,0.869000,0.869000,0.869000,0.000000,0.869000,0.869000,0.869000,0.869000,0.869000,0.869000,0.003200,0.001240,0.072360,0.142512,calls/second,seconds
1518700664,1,0.404000,0.404000,0.404000,0.000000,0.404000,0.404000,0.404000,0.404000,0.404000,0.404000,0.004664,0.006564,0.100986,0.159260,calls/second,seconds
1519234364,1,0.224000,0.224000,0.224000,0.000000,0.224000,0.224000,0.224000,0.224000,0.224000,0.224000,0.562493,0.000000,0.000000,0.000000,calls/second,seconds
1519236164,1,4.930000,4.930000,4.930000,0.000000,4.930000,4.930000,4.930000,4.930000,4.930000,4.930000,0.001479,0.000003,0.021434,0.095000,calls/second,seconds
1519237064,1,0.153000,0.153000,0.153000,0.000000,0.153000,0.153000,0.153000,0.153000,0.153000,0.153000,0.001523,0.000004,0.022912,0.097134,calls/second,seconds
1519241564,1,0.152000,0.152000,0.152000,0.000000,0.152000,0.152000,0.152000,0.152000,0.152000,0.152000,0.001456,0.000002,0.020731,0.093950,calls/second,seconds
1519242464,1,0.446000,0.446000,0.446000,0.000000,0.446000,0.446000,0.446000,0.446000,0.446000,0.446000,0.002876,0.000692,0.064392,0.137077,calls/second,seconds
1519243364,3,0.292000,0.289837,0.281000,0.003876,0.292000,0.292000,0.292000,0.292000,0.292000,0.292000,0.009491,0.002064,0.074235,0.143433,calls/second,seconds
1519248764,1,0.308000,0.308000,0.308000,0.000000,0.308000,0.308000,0.308000,0.308000,0.308000,0.308000,0.001513,0.000004,0.022533,0.096596,calls/second,seconds
1519252364,1,5.552000,5.552000,5.552000,0.000000,5.552000,5.552000,5.552000,5.552000,5.552000,5.552000,0.004110,0.003981,0.091376,0.154039,calls/second,seconds
1519254164,2,0.301000,0.239528,0.232000,0.021511,0.232000,0.232000,0.301000,0.301000,0.301000,0.301000,0.007125,0.003595,0.082043,0.148291,calls/second,seconds
1519255064,2,0.300000,0.299640,0.150000,0.007339,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.002228,0.000005,0.010940,0.075041,calls/second,seconds
1519264064,2,0.328000,0.326992,0.286000,0.006429,0.328000,0.328000,0.328000,0.328000,0.328000,0.328000,0.003890,0.000254,0.038540,0.114945,calls/second,seconds
1519306364,1,0.419000,0.419000,0.419000,0.000000,0.419000,0.419000,0.419000,0.419000,0.419000,0.419000,0.010798,0.048504,0.150654,0.181976,calls/second,seconds
1519374332,1,0.560000,0.560000,0.560000,0.000000,0.560000,0.560000,0.560000,0.560000,0.560000,0.560000,0.001267,0.000000,0.014855,0.084070,calls/second,seconds
