t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099526,1,5.704000,5.704000,5.704000,0.000000,5.704000,5.704000,5.704000,5.704000,5.704000,5.704000,0.002635,0.000420,0.058264,0.132583,calls/second,seconds
1513703477,2,8.683000,0.751589,0.747000,0.190773,0.747000,0.747000,0.747000,0.747000,0.747000,0.747000,0.002899,0.000735,0.022516,0.094852,calls/second,seconds
1513818677,2,1.842000,1.208725,1.202000,0.065262,1.202000,1.202000,1.202000,1.202000,1.842000,1.842000,0.002308,0.000002,0.011889,0.077514,calls/second,seconds
1515094863,1,10.008000,10.008000,10.008000,0.000000,10.008000,10.008000,10.008000,10.008000,10.008000,10.008000,0.001112,0.000000,0.010295,0.074398,calls/second,seconds
1515100263,1,1.365000,1.365000,1.365000,0.000000,1.365000,1.365000,1.365000,1.365000,1.365000,1.365000,0.001477,0.000003,0.021434,0.095000,calls/second,seconds
1515154263,1,1.957000,1.957000,1.957000,0.000000,1.957000,1.957000,1.957000,1.957000,1.957000,1.957000,0.002774,0.000539,0.061251,0.134811,calls/second,seconds
1515158763,1,1.570000,1.570000,1.570000,0.000000,1.570000,1.570000,1.570000,1.570000,1.570000,1.570000,0.001253,0.000000,0.014368,0.083141,calls/second,seconds
1515508863,1,5.760000,5.760000,5.760000,0.000000,5.760000,5.760000,5.760000,5.760000,5.760000,5.760000,0.001698,0.000013,0.028933,0.104991,calls/second,seconds
1515531363,1,1.600000,1.600000,1.600000,0.000000,1.600000,1.600000,1.600000,1.600000,1.600000,1.600000,0.006111,0.015104,0.119301,0.168358,calls/second,seconds
1516971499,1,7.185000,7.185000,7.185000,0.000000,7.185000,7.185000,7.185000,7.185000,7.185000,7.185000,0.001758,0.000018,0.030928,0.107350,calls/second,seconds
1517223499,1,2.138000,2.138000,2.138000,0.000000,2.138000,2.138000,2.138000,2.138000,2.138000,2.138000,0.003201,0.001240,0.072360,0.142512,calls/second,seconds
1518700664,1,4.753000,4.753000,4.753000,0.000000,4.753000,4.753000,4.753000,4.753000,4.753000,4.753000,0.004664,0.006564,0.100986,0.159260,calls/second,seconds
1519234364,1,2.178000,2.178000,2.178000,0.000000,2.178000,2.178000,2.178000,2.178000,2.178000,2.178000,0.568255,0.000000,0.000000,0.000000,calls/second,seconds
1519236164,1,29.266000,29.266000,29.266000,0.000000,29.266000,29.266000,29.266000,29.266000,29.266000,29.266000,0.001479,0.000003,0.021434,0.095000,calls/second,seconds
