t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099526,3,5.735000,1.988105,0.000000,2.719605,0.029000,5.735000,5.735000,5.735000,5.735000,5.735000,0.007789,0.000741,0.113655,0.262966,calls/second,seconds
1513702577,5,0.815000,0.115456,0.000000,0.263385,0.021000,0.021000,0.815000,0.815000,0.815000,0.815000,0.011974,0.000740,0.155032,0.381959,calls/second,seconds
1513703477,19,8.902000,0.108837,0.000000,0.266914,0.002000,0.021000,0.750000,0.750000,0.750000,0.750000,0.027203,0.005047,0.056583,0.197552,calls/second,seconds
1513704377,3,0.001000,0.000000,0.000000,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003803,0.000802,0.017336,0.085627,calls/second,seconds
1513705277,17,0.375000,0.000089,0.000000,0.004506,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.020499,0.000802,0.031403,0.168265,calls/second,seconds
1513706177,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003822,0.000872,0.017628,0.086104,calls/second,seconds
1513707077,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003833,0.000802,0.017586,0.086096,calls/second,seconds
1513707977,4,0.001000,0.000501,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005114,0.001737,0.019472,0.087017,calls/second,seconds
1513708877,9,4.760000,0.001224,0.000000,0.074235,0.000000,0.000000,0.000000,0.000000,0.000000,0.021000,0.011558,0.000947,0.019677,0.089548,calls/second,seconds
1513709777,4,0.002000,0.000000,0.000000,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005143,0.000947,0.033271,0.171590,calls/second,seconds
1513710677,3,0.001000,0.000000,0.000000,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003870,0.000947,0.017924,0.086584,calls/second,seconds
1513711577,3,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.003876,0.001030,0.018225,0.087066,calls/second,seconds
1513712477,4,0.002000,0.001002,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.005179,0.002052,0.020132,0.087989,calls/second,seconds
1513713377,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003890,0.000948,0.018194,0.087061,calls/second,seconds
1513714277,3,0.001000,0.000989,0.000000,0.000104,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003893,0.001030,0.018225,0.087066,calls/second,seconds
1513715177,3,0.001000,0.000989,0.000000,0.000104,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003908,0.001119,0.018531,0.087551,calls/second,seconds
1513716077,4,0.002000,0.000989,0.000000,0.000105,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005221,0.001120,0.034410,0.173511,calls/second,seconds
1513716977,3,0.001000,0.000989,0.000000,0.000105,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003934,0.001217,0.018843,0.088039,calls/second,seconds
1513717877,3,0.001000,0.000989,0.000000,0.000104,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003943,0.001217,0.018843,0.088039,calls/second,seconds
1513718777,4,0.002000,0.001009,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.005262,0.002424,0.020815,0.088972,calls/second,seconds
1513719677,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003951,0.001322,0.019160,0.088530,calls/second,seconds
1513720577,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003955,0.001322,0.019160,0.088530,calls/second,seconds
1513721477,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003959,0.001322,0.019160,0.088530,calls/second,seconds
1513722377,4,0.003000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005292,0.001323,0.035577,0.175449,calls/second,seconds
1513723277,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003978,0.001437,0.019482,0.089023,calls/second,seconds
1513724177,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004430,0.001547,0.047415,0.122925,calls/second,seconds
1513725077,4,0.001000,0.000501,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005327,0.002864,0.021520,0.089966,calls/second,seconds
1513725977,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.001437,0.019482,0.089023,calls/second,seconds
1513726877,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001335,0.000001,0.016973,0.087891,calls/second,seconds
1513818677,31,1.844000,0.001680,0.000000,0.017936,0.001000,0.001000,0.001000,0.016000,0.024000,0.066000,0.035731,0.016082,0.068503,0.325856,calls/second,seconds
1513819577,9,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010507,0.016752,0.021057,0.083618,calls/second,seconds
1513820477,12,0.002000,0.000011,0.000000,0.000106,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.014037,0.016928,0.023318,0.085921,calls/second,seconds
1513821377,9,0.001000,0.000023,0.000000,0.000149,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.010552,0.016818,0.021346,0.084074,calls/second,seconds
