t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513708877,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001366,0.000001,0.017844,0.089368,calls/second,seconds
1515105663,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001152,0.000000,0.011378,0.076920,calls/second,seconds
1515158763,2,0.001000,0.000070,0.000000,0.000256,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.002652,0.000002,0.017179,0.087989,calls/second,seconds
1516971499,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001816,0.000023,0.032513,0.109154,calls/second,seconds
1517224399,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001375,0.000001,0.018144,0.089866,calls/second,seconds
1518700664,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005044,0.008429,0.106164,0.161937,calls/second,seconds
1519236164,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001662,0.000010,0.027522,0.103255,calls/second,seconds
1519237064,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004342,0.004704,0.094473,0.155760,calls/second,seconds
1519243364,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003634,0.002222,0.081314,0.148164,calls/second,seconds
1519264964,2,0.001000,0.000023,0.000000,0.000150,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.002590,0.000003,0.016200,0.086105,calls/second,seconds
