t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099526,1,5.735000,5.735000,5.735000,0.000000,5.735000,5.735000,5.735000,5.735000,5.735000,5.735000,0.002635,0.000420,0.058264,0.132583,calls/second,seconds
1513702577,2,0.815000,0.245642,0.021000,0.357634,0.021000,0.815000,0.815000,0.815000,0.815000,0.815000,0.004798,0.000262,0.052020,0.127570,calls/second,seconds
1513703477,4,8.902000,0.372711,0.002000,0.400656,0.002000,0.750000,0.750000,0.750000,0.750000,0.750000,0.005799,0.001470,0.045031,0.189704,calls/second,seconds
1513818677,8,1.844000,0.014806,0.000000,0.126440,0.001000,0.002000,0.002000,0.002000,1.203000,1.203000,0.009233,0.000198,0.027288,0.157837,calls/second,seconds
1515094863,4,10.089000,0.810367,0.001000,2.738445,0.003000,0.003000,10.089000,10.089000,10.089000,10.089000,0.004449,0.000000,0.021077,0.149725,calls/second,seconds
1515099363,1,0.710000,0.710000,0.710000,0.000000,0.710000,0.710000,0.710000,0.710000,0.710000,0.710000,0.024659,0.111607,0.177976,0.192372,calls/second,seconds
1515100263,4,1.366000,0.053150,0.001000,0.260499,0.001000,0.002000,0.002000,1.366000,1.366000,1.366000,0.005907,0.000012,0.044086,0.191260,calls/second,seconds
1515104763,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023088,0.057301,0.155760,0.184009,calls/second,seconds
1515154263,2,1.957000,0.949669,0.001000,0.977560,0.001000,1.957000,1.957000,1.957000,1.957000,1.957000,0.005548,0.001078,0.122502,0.269622,calls/second,seconds
1515158763,2,1.602000,0.777492,0.001000,0.800140,0.001000,1.602000,1.602000,1.602000,1.602000,1.602000,0.002505,0.000001,0.028735,0.166282,calls/second,seconds
1515508863,2,5.915000,2.869317,0.001000,2.955670,0.001000,5.915000,5.915000,5.915000,5.915000,5.915000,0.003397,0.000025,0.057866,0.209982,calls/second,seconds
1515531363,2,1.601000,0.771014,0.001000,0.799438,0.001000,1.601000,1.601000,1.601000,1.601000,1.601000,0.012221,0.030209,0.238602,0.336717,calls/second,seconds
1516971499,2,7.241000,3.568227,0.004000,3.618093,0.004000,7.241000,7.241000,7.241000,7.241000,7.241000,0.003516,0.000035,0.061855,0.214700,calls/second,seconds
1516975999,1,0.652000,0.652000,0.652000,0.000000,0.652000,0.652000,0.652000,0.652000,0.652000,0.652000,0.101420,0.200000,0.200000,0.200000,calls/second,seconds
1516976899,1,0.685000,0.685000,0.685000,0.000000,0.685000,0.685000,0.685000,0.685000,0.685000,0.685000,0.001116,0.000000,0.010295,0.074398,calls/second,seconds
1517223499,2,2.141000,1.046929,0.001000,1.069729,0.001000,2.141000,2.141000,2.141000,2.141000,2.141000,0.006402,0.002480,0.144720,0.285025,calls/second,seconds
1517610764,1,2.065000,2.065000,2.065000,0.000000,2.065000,2.065000,2.065000,2.065000,2.065000,2.065000,0.001561,0.000005,0.024086,0.098767,calls/second,seconds
1518700664,2,4.783000,2.356645,0.002000,2.390231,0.002000,4.783000,4.783000,4.783000,4.783000,4.783000,0.009329,0.013129,0.201972,0.318520,calls/second,seconds
1519233464,3,1.496000,0.752920,0.006000,0.667527,0.391000,1.496000,1.496000,1.496000,1.496000,1.496000,0.004574,0.000005,0.023729,0.098238,calls/second,seconds
1519234364,1,2.180000,2.180000,2.180000,0.000000,2.180000,2.180000,2.180000,2.180000,2.180000,2.180000,0.566516,0.000000,0.000000,0.000000,calls/second,seconds
1519235264,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001112,0.000000,0.010295,0.074398,calls/second,seconds
1519236164,2,29.267000,14.524255,0.001000,14.632588,0.001000,29.267000,29.267000,29.267000,29.267000,29.267000,0.002957,0.000006,0.042868,0.189999,calls/second,seconds
1519237064,5,0.661000,0.001507,0.000000,0.031523,0.000000,0.000000,0.000000,0.000000,0.000000,0.661000,0.007614,0.000264,0.048530,0.196387,calls/second,seconds
