t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513703477,2,0.018000,0.015002,0.015000,0.000074,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.002935,0.000735,0.022864,0.095375,calls/second,seconds
1513705277,1,0.015000,0.015000,0.015000,0.000000,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.001227,0.000000,0.013441,0.081314,calls/second,seconds
1513708877,1,0.021000,0.021000,0.021000,0.000000,0.021000,0.021000,0.021000,0.021000,0.021000,0.021000,0.001357,0.000001,0.017549,0.088873,calls/second,seconds
1513818677,3,0.017000,0.016023,0.015000,0.000152,0.016000,0.016000,0.016000,0.017000,0.017000,0.017000,0.003483,0.000101,0.013285,0.078736,calls/second,seconds
1515094863,2,0.020000,0.019240,0.019000,0.000427,0.019000,0.019000,0.020000,0.020000,0.020000,0.020000,0.002244,0.000000,0.010690,0.075263,calls/second,seconds
1515100263,3,0.016000,0.015936,0.015000,0.000245,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.004486,0.000008,0.023250,0.097272,calls/second,seconds
1515104763,1,0.019000,0.019000,0.019000,0.000000,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.013463,0.067693,0.161040,0.186065,calls/second,seconds
1515105663,3,0.019000,0.016617,0.015000,0.001551,0.018000,0.018000,0.018000,0.019000,0.019000,0.019000,0.003453,0.000000,0.012019,0.077938,calls/second,seconds
1515154263,1,0.015000,0.015000,0.015000,0.000000,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.002827,0.000637,0.063327,0.136317,calls/second,seconds
1515158763,10,0.017000,0.014899,0.007000,0.001225,0.015000,0.015000,0.017000,0.017000,0.017000,0.017000,0.012666,0.008659,0.025697,0.090808,calls/second,seconds
1515508863,1,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.001721,0.000014,0.029419,0.105576,calls/second,seconds
1515531363,1,0.017000,0.017000,0.017000,0.000000,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.006422,0.016417,0.121306,0.169296,calls/second,seconds
1516971499,2,0.012000,0.010120,0.008000,0.001996,0.012000,0.012000,0.012000,0.012000,0.012000,0.012000,0.003537,0.000019,0.031447,0.107948,calls/second,seconds
1517223499,1,0.014000,0.014000,0.014000,0.000000,0.014000,0.014000,0.014000,0.014000,0.014000,0.014000,0.003265,0.001348,0.073576,0.143306,calls/second,seconds
1517224399,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001369,0.000001,0.017844,0.089368,calls/second,seconds
1518700664,2,0.006000,0.005489,0.005000,0.000500,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.009521,0.013129,0.201972,0.318520,calls/second,seconds
1519235264,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001119,0.000000,0.010468,0.074812,calls/second,seconds
1519236164,5,0.006000,0.005186,0.005000,0.000389,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.007464,0.000008,0.024114,0.098402,calls/second,seconds
1519237064,3,0.006000,0.005998,0.005000,0.000044,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.004615,0.000354,0.025467,0.099173,calls/second,seconds
1519241564,3,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004391,0.000003,0.021870,0.095565,calls/second,seconds
1519242464,3,0.006000,0.005043,0.005000,0.000202,0.005000,0.005000,0.005000,0.006000,0.006000,0.006000,0.007920,0.001420,0.061222,0.134264,calls/second,seconds
1519243364,6,0.005000,0.004961,0.004000,0.000193,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.019314,0.005503,0.080787,0.146916,calls/second,seconds
1519248764,4,0.006000,0.005002,0.005000,0.000046,0.005000,0.005000,0.005000,0.005000,0.005000,0.006000,0.006108,0.000526,0.026628,0.099921,calls/second,seconds
1519252364,2,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.008555,0.006389,0.096581,0.156714,calls/second,seconds
