t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513703477,2,0.055000,0.021021,0.021000,0.000842,0.021000,0.021000,0.021000,0.021000,0.021000,0.021000,0.002932,0.000735,0.022864,0.095375,calls/second,seconds
1513818677,3,0.024000,0.023976,0.023000,0.000152,0.024000,0.024000,0.024000,0.024000,0.024000,0.024000,0.003480,0.000101,0.013285,0.078736,calls/second,seconds
1515094863,1,0.109000,0.109000,0.109000,0.000000,0.109000,0.109000,0.109000,0.109000,0.109000,0.109000,0.001122,0.000000,0.010468,0.074812,calls/second,seconds
1515100263,2,0.026000,0.025845,0.024000,0.000535,0.026000,0.026000,0.026000,0.026000,0.026000,0.026000,0.002988,0.000008,0.022795,0.096700,calls/second,seconds
1515104763,1,0.113000,0.113000,0.113000,0.000000,0.113000,0.113000,0.113000,0.113000,0.113000,0.113000,0.013412,0.067693,0.161040,0.186065,calls/second,seconds
1515154263,1,0.330000,0.330000,0.330000,0.000000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.002826,0.000637,0.063327,0.136317,calls/second,seconds
1515158763,1,0.256000,0.256000,0.256000,0.000000,0.256000,0.256000,0.256000,0.256000,0.256000,0.256000,0.001266,0.000000,0.014855,0.084070,calls/second,seconds
1515508863,1,0.222000,0.222000,0.222000,0.000000,0.222000,0.222000,0.222000,0.222000,0.222000,0.222000,0.001720,0.000014,0.029419,0.105576,calls/second,seconds
1515531363,1,0.367000,0.367000,0.367000,0.000000,0.367000,0.367000,0.367000,0.367000,0.367000,0.367000,0.006420,0.016417,0.121306,0.169296,calls/second,seconds
1516971499,1,0.479000,0.479000,0.479000,0.000000,0.479000,0.479000,0.479000,0.479000,0.479000,0.479000,0.001769,0.000018,0.030928,0.107350,calls/second,seconds
1517223499,1,0.164000,0.164000,0.164000,0.000000,0.164000,0.164000,0.164000,0.164000,0.164000,0.164000,0.003262,0.001348,0.073576,0.143306,calls/second,seconds
1518700664,1,2.155000,2.155000,2.155000,0.000000,2.155000,2.155000,2.155000,2.155000,2.155000,2.155000,0.004798,0.007135,0.102683,0.160147,calls/second,seconds
1519235264,1,0.663000,0.663000,0.663000,0.000000,0.663000,0.663000,0.663000,0.663000,0.663000,0.663000,0.001119,0.000000,0.010468,0.074812,calls/second,seconds
1519236164,1,33.833000,33.833000,33.833000,0.000000,33.833000,33.833000,33.833000,33.833000,33.833000,33.833000,0.001571,0.000006,0.024491,0.099317,calls/second,seconds
1519237064,2,0.315000,0.219481,0.210000,0.030094,0.210000,0.210000,0.315000,0.315000,0.315000,0.315000,0.003076,0.000008,0.023932,0.098315,calls/second,seconds
1519241564,3,0.249000,0.210412,0.185000,0.023033,0.211000,0.211000,0.249000,0.249000,0.249000,0.249000,0.004391,0.000003,0.021870,0.095565,calls/second,seconds
1519242464,3,0.182000,0.140939,0.137000,0.012011,0.137000,0.137000,0.182000,0.182000,0.182000,0.182000,0.007915,0.001420,0.061222,0.134264,calls/second,seconds
1519243364,5,7.628000,5.536577,0.107000,2.872111,7.628000,7.628000,7.628000,7.628000,7.628000,7.628000,0.016147,0.006374,0.080889,0.146925,calls/second,seconds
1519248764,3,0.156000,0.149992,0.145000,0.000463,0.150000,0.150000,0.150000,0.150000,0.150000,0.156000,0.004579,0.000214,0.024727,0.098524,calls/second,seconds
1519252364,2,0.173000,0.164185,0.162000,0.004388,0.162000,0.162000,0.173000,0.173000,0.173000,0.173000,0.008555,0.006389,0.096581,0.156714,calls/second,seconds
1519254164,4,0.604000,0.224496,0.190000,0.078118,0.190000,0.210000,0.322000,0.604000,0.604000,0.604000,0.014697,0.010418,0.089391,0.151901,calls/second,seconds
1519255064,4,0.626000,0.251551,0.149000,0.193484,0.149000,0.180000,0.626000,0.626000,0.626000,0.626000,0.004493,0.000088,0.013068,0.076929,calls/second,seconds
1519264064,4,0.702000,0.175377,0.165000,0.071312,0.165000,0.165000,0.169000,0.186000,0.702000,0.702000,0.007598,0.000252,0.037988,0.114334,calls/second,seconds
1519306364,1,0.218000,0.218000,0.218000,0.000000,0.218000,0.218000,0.218000,0.218000,0.218000,0.218000,0.011353,0.052719,0.153186,0.182989,calls/second,seconds
1519374332,1,0.537000,0.537000,0.537000,0.000000,0.537000,0.537000,0.537000,0.537000,0.537000,0.537000,0.001273,0.000000,0.014855,0.084070,calls/second,seconds
1519377032,1,0.380000,0.380000,0.380000,0.000000,0.380000,0.380000,0.380000,0.380000,0.380000,0.380000,0.036534,0.143306,0.187101,0.195605,calls/second,seconds
1519380632,5,0.361000,0.211278,0.204000,0.026684,0.206000,0.206000,0.251000,0.361000,0.361000,0.361000,0.006367,0.000025,0.017232,0.086546,calls/second,seconds
1519381673,7,0.498000,0.209514,0.130000,0.090953,0.182000,0.327000,0.327000,0.498000,0.498000,0.498000,0.019620,0.038240,0.077048,0.141540,calls/second,seconds
1519382573,1,0.146000,0.146000,0.146000,0.000000,0.146000,0.146000,0.146000,0.146000,0.146000,0.146000,0.001119,0.000000,0.010468,0.074812,calls/second,seconds
1519387073,1,0.244000,0.244000,0.244000,0.000000,0.244000,0.244000,0.244000,0.244000,0.244000,0.244000,0.001205,0.000000,0.013000,0.080415,calls/second,seconds
1519389773,1,0.146000,0.146000,0.146000,0.000000,0.146000,0.146000,0.146000,0.146000,0.146000,0.146000,0.001894,0.000034,0.035339,0.112229,calls/second,seconds
1519661258,2,13.079000,2.889813,1.483000,3.786064,1.483000,1.483000,13.079000,13.079000,13.079000,13.079000,0.007056,0.003471,0.082009,0.148286,calls/second,seconds
1519663753,1,1.172000,1.172000,1.172000,0.000000,1.172000,1.172000,1.172000,1.172000,1.172000,1.172000,0.005625,0.011763,0.113483,0.165576,calls/second,seconds
