t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513708877,1,4.757000,4.757000,4.757000,0.000000,4.757000,4.757000,4.757000,4.757000,4.757000,4.757000,0.001366,0.000001,0.017844,0.089368,calls/second,seconds
1515105663,1,0.186000,0.186000,0.186000,0.000000,0.186000,0.186000,0.186000,0.186000,0.186000,0.186000,0.001151,0.000000,0.011378,0.076920,calls/second,seconds
1515158763,2,0.149000,0.011280,0.001000,0.037627,0.001000,0.001000,0.149000,0.149000,0.149000,0.149000,0.002650,0.000002,0.017179,0.087989,calls/second,seconds
1516971499,1,5.340000,5.340000,5.340000,0.000000,5.340000,5.340000,5.340000,5.340000,5.340000,5.340000,0.001814,0.000023,0.032513,0.109154,calls/second,seconds
1517224399,1,0.151000,0.151000,0.151000,0.000000,0.151000,0.151000,0.151000,0.151000,0.151000,0.151000,0.001370,0.000001,0.017844,0.089368,calls/second,seconds
1518700664,1,7.399000,7.399000,7.399000,0.000000,7.399000,7.399000,7.399000,7.399000,7.399000,7.399000,0.005036,0.008429,0.106164,0.161937,calls/second,seconds
1519236164,1,21.990000,21.990000,21.990000,0.000000,21.990000,21.990000,21.990000,21.990000,21.990000,21.990000,0.001661,0.000010,0.027522,0.103255,calls/second,seconds
1519237064,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004283,0.004704,0.094473,0.155760,calls/second,seconds
1519243364,1,0.060000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.060000,0.060000,0.060000,0.003633,0.002222,0.081314,0.148164,calls/second,seconds
1519264964,2,0.047000,0.001997,0.001000,0.006698,0.001000,0.001000,0.001000,0.047000,0.047000,0.047000,0.002576,0.000003,0.015942,0.085631,calls/second,seconds
