t,value
1513090526,169210
1513090629,169210
1513090670,169210
1513090680,169210
1513091426,169210
1513091529,169210
1513091570,169210
1513091580,169210
1513092326,169210
1513092429,169210
1513092470,169210
1513092480,169210
1513093226,169210
1513093329,169210
1513093370,169210
1513093380,169210
1513094126,169210
1513094229,169210
1513094270,169210
1513094280,169210
1513095026,169210
1513095129,169210
1513095170,169210
1513095180,169210
1513095926,169210
1513096029,169210
1513096070,169210
1513096080,169210
1513096826,169210
1513096929,169210
1513096970,169210
1513096980,169210
1513097726,169210
1513097829,169210
1513097870,169210
1513097880,169210
1513098626,169210
1513098729,169210
1513098770,169210
1513098780,169210
1513099526,186131
1513099629,186131
1513099670,186131
1513099680,186131
1513100426,186131
1513100529,186131
1513100570,186131
1513100580,186131
1513101326,186131
1513101429,186131
1513101470,186131
1513101480,186131
1513102226,186131
1513102329,186131
1513102370,186131
1513102380,186131
1513103126,186131
1513103229,186131
1513103270,186131
1513103280,186131
1513104026,186131
1513104129,186131
1513104170,186131
1513104180,186131
1513104926,186131
1513105029,186131
1513105070,186131
1513105080,186131
1513109271,169210
1513109685,169210
1513109686,169210
1513109697,169210
1513110171,169210
1513110585,169210
1513110586,169210
1513110597,169210
1513110800,169210
1513111114,169210
1513111129,169210
1513111133,169210
1513111700,169210
1513112014,169210
1513112029,169210
1513112033,169210
1513112600,169210
1513112914,169210
1513112929,169210
1513112933,169210
1513113500,169210
1513113814,169210
1513113829,169210
1513113833,169210
1513114400,169210
1513114714,169210
1513114729,169210
1513114733,169210
1513115300,169210
1513115614,169210
1513115629,169210
1513115633,169210
1513116200,169210
1513116514,169210
1513116529,169210
1513116533,169210
1513117100,169210
1513117414,169210
1513117429,169210
1513117433,169210
1513118000,169210
1513118314,169210
1513118329,169210
1513118333,169210
1513118900,169210
1513119214,169210
1513119229,169210
1513119233,169210
1513119800,169210
1513120114,169210
1513120129,169210
1513120133,169210
1513120700,169210
1513121014,169210
1513121029,169210
1513121033,169210
1513121600,169210
1513121914,169210
1513121929,169210
1513121933,169210
1513122500,169210
1513122814,169210
1513122829,169210
1513122833,169210
1513123400,169210
1513123714,169210
1513123729,169210
1513123733,169210
1513124300,169210
1513124614,169210
1513124629,169210
1513124633,169210
1513125200,169210
1513125514,169210
1513125529,169210
1513125533,169210
1513126100,169210
1513126414,169210
1513126429,169210
1513126433,169210
1513127000,169210
1513127314,169210
1513127329,169210
1513127333,169210
1513127900,169210
1513128214,169210
1513128229,169210
1513128233,169210
1513128800,169210
1513129114,169210
1513129129,169210
1513129133,169210
1513129700,169210
1513130014,169210
1513130029,169210
1513130033,169210
1513130600,169210
1513130914,169210
1513130929,169210
1513130933,169210
1513131500,169210
1513131814,169210
1513131829,169210
1513131833,169210
1513132400,169210
1513132714,169210
1513132729,169210
1513132733,169210
1513133300,169210
1513133614,169210
1513133629,169210
1513133633,169210
1513134200,169210
1513134514,169210
1513134529,169210
1513134533,169210
1513135100,169210
1513135414,169210
1513135429,169210
1513135433,169210
1513136000,169210
1513136314,169210
1513136329,169210
1513136333,169210
1513136900,169210
1513137214,169210
1513137229,169210
1513137233,169210
1513137800,169210
1513138114,169210
1513138129,169210
1513138133,169210
1513138700,169210
1513139014,169210
1513139029,169210
1513139033,169210
1513139600,169210
1513139914,169210
1513139929,169210
1513139933,169210
1513140500,169210
1513140814,169210
1513140829,169210
1513140833,169210
1513141400,169210
1513141714,169210
1513141729,169210
1513141733,169210
1513142300,169210
1513142614,169210
1513142629,169210
1513142633,169210
1513143200,169210
1513143514,169210
1513143529,169210
1513143533,169210
1513144100,169210
1513144414,169210
1513144429,169210
1513144433,169210
1513145000,169210
1513145314,169210
1513145329,169210
1513145333,169210
1513145900,169210
1513146214,169210
1513146229,169210
1513146233,169210
1513146800,169210
1513147114,169210
1513147129,169210
1513147133,169210
1513147700,169210
1513148014,169210
1513148029,169210
1513148033,169210
1513148600,169210
1513148914,169210
1513148929,169210
1513148933,169210
1513149500,169210
1513149814,169210
1513149829,169210
1513149833,169210
1513150400,169210
1513150714,169210
1513150729,169210
1513150733,169210
1513151300,169210
1513151614,169210
1513151629,169210
1513151633,169210
1513152200,169210
1513152514,169210
1513152529,169210
1513152533,169210
1513153100,169210
1513153414,169210
1513153429,169210
1513153433,169210
1513154000,169210
1513154314,169210
1513154329,169210
1513154333,169210
1513154900,169210
1513155214,169210
1513155229,169210
1513155233,169210
1513155800,169210
1513156114,169210
1513156129,169210
1513156133,169210
1513156700,169210
1513156997,169210
1513157012,169210
1513157016,169210
1513157583,169210
1513157897,169210
1513157912,169210
1513157916,169210
1513158483,169210
1513158797,169210
1513158812,169210
1513158816,169210
1513159383,169210
1513159697,169210
1513159712,169210
1513159716,169210
1513160283,169210
1513160597,169210
1513160612,169210
1513160616,169210
1513161183,169210
1513161497,169210
1513161512,169210
1513161516,169210
1513162083,169210
1513162397,169210
1513162412,169210
1513162416,169210
1513162983,169210
1513163297,169210
1513163312,169210
1513163316,169210
1513163883,169210
1513164197,169210
1513164212,169210
1513164216,169210
1513164783,169210
1513165097,169210
1513165112,169210
1513165116,169210
1513165683,169210
1513165997,169210
1513166012,169210
1513166016,169210
1513166583,169210
1513166897,169210
1513166912,169210
1513166916,169210
1513167483,169210
1513167797,169210
1513167812,169210
1513167816,169210
1513168383,169210
1513168697,169210
1513168712,169210
1513168716,169210
1513169283,169210
1513169597,169210
1513169612,169210
1513169616,169210
1513170183,169210
1513170497,169210
1513170512,169210
1513170516,169210
1513171083,169210
1513171397,169210
1513171412,169210
1513171416,169210
1513171983,169210
1513172297,169210
1513172312,169210
1513172316,169210
1513172883,169210
1513173197,169210
1513173212,169210
1513173216,169210
1513173783,169210
1513174097,169210
1513174112,169210
1513174116,169210
1513174683,169210
1513174997,169210
1513175012,169210
1513175016,169210
1513175583,169210
1513175897,169210
1513175912,169210
1513175916,169210
1513176483,169210
1513176797,169210
1513176812,169210
1513176816,169210
1513177383,169210
1513177697,169210
1513177712,169210
1513177716,169210
1513178283,169210
1513178597,169210
1513178612,169210
1513178616,169210
1513179183,169210
1513179497,169210
1513179512,169210
1513179516,169210
1513180083,169210
1513180397,169210
1513180412,169210
1513180416,169210
1513180983,169210
1513181297,169210
1513181312,169210
1513181316,169210
1513181883,169210
1513182197,169210
1513182212,169210
1513182216,169210
1513182783,169210
1513183097,169210
1513183112,169210
1513183116,169210
1513183683,169210
1513183997,169210
1513184012,169210
1513184016,169210
1513184583,169210
1513184897,169210
1513184912,169210
1513184916,169210
1513185483,169210
1513185797,169210
1513185812,169210
1513185816,169210
1513186383,169210
1513186697,169210
1513186712,169210
1513186716,169210
1513187283,169210
1513187597,169210
1513187612,169210
1513187616,169210
1513188183,169210
1513188497,169210
1513188512,169210
1513188516,169210
1513189083,169210
1513189397,169210
1513189412,169210
1513189416,169210
1513189983,169210
1513190297,169210
1513190312,169210
1513190316,169210
1513190883,169210
1513191197,169210
1513191212,169210
1513191216,169210
1513191783,169210
1513192097,169210
1513192112,169210
1513192116,169210
1513192683,169210
1513192997,169210
1513193012,169210
1513193016,169210
1513193583,169210
1513193897,169210
1513193912,169210
1513193916,169210
1513194483,169210
1513194797,169210
1513194812,169210
1513194816,169210
1513195383,169210
1513195697,169210
1513195712,169210
1513195716,169210
1513196283,169210
1513196597,169210
1513196612,169210
1513196616,169210
1513198542,169210
1513199442,169210
1513200342,169210
1513201242,169210
1513202142,169210
1513203042,169210
1513203942,169210
1513204842,169210
1513205742,169210
1513206642,169210
1513207542,169210
1513208442,169210
1513209342,169210
1513210242,169210
1513211142,169210
1513212042,169210
1513212942,169210
1513213842,169210
1513214742,169210
1513215642,169210
1513216542,169210
1513217442,169210
1513218342,169210
1513219242,169210
1513220142,169210
1513221042,169210
1513221942,169210
1513222842,169210
1513223742,169210
1513224642,169210
1513225542,169210
1513226442,169210
1513227342,169210
1513228242,169210
1513229142,169210
1513230042,169210
1513230942,169210
1513231842,169210
1513232742,169210
1513233642,169210
1513234542,169210
1513235442,169210
1513236342,169210
1513237242,169210
1513238142,169210
1513239042,169210
1513239942,169210
1513240842,169210
1513241742,169210
1513243476,169210
1513244376,169210
1513245276,169210
1513246176,169210
1513247075,169210
1513247975,169210
1513248186,169210
1513248186,169210
1513248186,169210
1513248875,169210
1513249086,169210
1513249086,169210
1513249086,169210
1513249775,169210
1513249986,169210
1513249986,169210
1513249986,169210
1513250675,169210
1513250886,169210
1513250886,169210
1513250886,169210
1513251575,169210
1513251786,169210
1513251786,169210
1513251786,169210
1513252473,169210
1513252684,169210
1513252684,169210
1513252684,169210
1513253373,169210
1513253584,169210
1513253584,169210
1513253584,169210
1513254273,169210
1513254484,169210
1513254484,169210
1513254484,169210
1513255173,169210
1513255384,169210
1513255384,169210
1513255384,169210
1513256073,169210
1513256284,169210
1513256284,169210
