t,value
1513090526,10
1513090629,10
1513090670,10
1513090680,10
1513091426,10
1513091529,10
1513091570,10
1513091580,10
1513092326,10
1513092429,10
1513092470,10
1513092480,10
1513093226,10
1513093329,10
1513093370,10
1513093380,10
1513094126,10
1513094229,10
1513094270,10
1513094280,10
1513095026,10
1513095129,10
1513095170,10
1513095180,10
1513095926,10
1513096029,10
1513096070,10
1513096080,10
1513096826,10
1513096929,10
1513096970,10
1513096980,10
1513097726,10
1513097829,10
1513097870,10
1513097880,10
1513098626,10
1513098729,10
1513098770,10
1513098780,10
1513099526,11
1513099629,11
1513099670,11
1513099680,11
1513100426,11
1513100529,11
1513100570,11
1513100580,11
1513101326,11
1513101429,11
1513101470,11
1513101480,11
1513102226,11
1513102329,11
1513102370,11
1513102380,11
1513103126,11
1513103229,11
1513103270,11
1513103280,11
1513104026,11
1513104129,11
1513104170,11
1513104180,11
1513104926,11
1513105029,11
1513105070,11
1513105080,11
1513109271,10
1513109685,10
1513109686,10
1513109697,10
1513110171,10
1513110585,10
1513110586,10
1513110597,10
1513110800,10
1513111114,10
1513111129,10
1513111133,10
1513111700,10
1513112014,10
1513112029,10
1513112033,10
1513112600,10
1513112914,10
1513112929,10
1513112933,10
1513113500,10
1513113814,10
1513113829,10
1513113833,10
1513114400,10
1513114714,10
1513114729,10
1513114733,10
1513115300,10
1513115614,10
1513115629,10
1513115633,10
1513116200,10
1513116514,10
1513116529,10
1513116533,10
1513117100,10
1513117414,10
1513117429,10
1513117433,10
1513118000,10
1513118314,10
1513118329,10
1513118333,10
1513118900,10
1513119214,10
1513119229,10
1513119233,10
1513119800,10
1513120114,10
1513120129,10
1513120133,10
1513120700,10
1513121014,10
1513121029,10
1513121033,10
1513121600,10
1513121914,10
1513121929,10
1513121933,10
1513122500,10
1513122814,10
1513122829,10
1513122833,10
1513123400,10
1513123714,10
1513123729,10
1513123733,10
1513124300,10
1513124614,10
1513124629,10
1513124633,10
1513125200,10
1513125514,10
1513125529,10
1513125533,10
1513126100,10
1513126414,10
1513126429,10
1513126433,10
1513127000,10
1513127314,10
1513127329,10
1513127333,10
1513127900,10
1513128214,10
1513128229,10
1513128233,10
1513128800,10
1513129114,10
1513129129,10
1513129133,10
1513129700,10
1513130014,10
1513130029,10
1513130033,10
1513130600,10
1513130914,10
1513130929,10
1513130933,10
1513131500,10
1513131814,10
1513131829,10
1513131833,10
1513132400,10
1513132714,10
1513132729,10
1513132733,10
1513133300,10
1513133614,10
1513133629,10
1513133633,10
1513134200,10
1513134514,10
1513134529,10
1513134533,10
1513135100,10
1513135414,10
1513135429,10
1513135433,10
1513136000,10
1513136314,10
1513136329,10
1513136333,10
1513136900,10
1513137214,10
1513137229,10
1513137233,10
1513137800,10
1513138114,10
1513138129,10
1513138133,10
1513138700,10
1513139014,10
1513139029,10
1513139033,10
1513139600,10
1513139914,10
1513139929,10
1513139933,10
1513140500,10
1513140814,10
1513140829,10
1513140833,10
1513141400,10
1513141714,10
1513141729,10
1513141733,10
1513142300,10
1513142614,10
1513142629,10
1513142633,10
1513143200,10
1513143514,10
1513143529,10
1513143533,10
1513144100,10
1513144414,10
1513144429,10
1513144433,10
1513145000,10
1513145314,10
1513145329,10
1513145333,10
1513145900,10
1513146214,10
1513146229,10
1513146233,10
1513146800,10
1513147114,10
1513147129,10
1513147133,10
1513147700,10
1513148014,10
1513148029,10
1513148033,10
1513148600,10
1513148914,10
1513148929,10
1513148933,10
1513149500,10
1513149814,10
1513149829,10
1513149833,10
1513150400,10
1513150714,10
1513150729,10
1513150733,10
1513151300,10
1513151614,10
1513151629,10
1513151633,10
1513152200,10
1513152514,10
1513152529,10
1513152533,10
1513153100,10
1513153414,10
1513153429,10
1513153433,10
1513154000,10
1513154314,10
1513154329,10
1513154333,10
1513154900,10
1513155214,10
1513155229,10
1513155233,10
1513155800,10
1513156114,10
1513156129,10
1513156133,10
1513156700,10
1513156997,10
1513157012,10
1513157016,10
1513157583,10
1513157897,10
1513157912,10
1513157916,10
1513158483,10
1513158797,10
1513158812,10
1513158816,10
1513159383,10
1513159697,10
1513159712,10
1513159716,10
1513160283,10
1513160597,10
1513160612,10
1513160616,10
1513161183,10
1513161497,10
1513161512,10
1513161516,10
1513162083,10
1513162397,10
1513162412,10
1513162416,10
1513162983,10
1513163297,10
1513163312,10
1513163316,10
1513163883,10
1513164197,10
1513164212,10
1513164216,10
1513164783,10
1513165097,10
1513165112,10
1513165116,10
1513165683,10
1513165997,10
1513166012,10
1513166016,10
1513166583,10
1513166897,10
1513166912,10
1513166916,10
1513167483,10
1513167797,10
1513167812,10
1513167816,10
1513168383,10
1513168697,10
1513168712,10
1513168716,10
1513169283,10
1513169597,10
1513169612,10
1513169616,10
1513170183,10
1513170497,10
1513170512,10
1513170516,10
1513171083,10
1513171397,10
1513171412,10
1513171416,10
1513171983,10
