t,value
1513090526,4
1513090629,4
1513090670,4
1513090680,4
1513091426,4
1513091529,4
1513091570,4
1513091580,4
1513092326,4
1513092429,4
1513092470,4
1513092480,4
1513093226,4
1513093329,4
1513093370,4
1513093380,4
1513094126,4
1513094229,4
1513094270,4
1513094280,4
1513095026,4
1513095129,4
1513095170,4
1513095180,4
1513095926,4
1513096029,4
1513096070,4
1513096080,4
1513096826,4
1513096929,4
1513096970,4
1513096980,4
1513097726,4
1513097829,4
1513097870,4
1513097880,4
1513098626,4
1513098729,4
1513098770,4
1513098780,4
1513099526,4
1513099629,4
1513099670,4
1513099680,4
1513100426,4
1513100529,4
1513100570,4
1513100580,4
1513101326,4
1513101429,4
1513101470,4
1513101480,4
1513102226,4
1513102329,4
1513102370,4
1513102380,4
1513103126,4
1513103229,4
1513103270,4
1513103280,4
1513104026,4
1513104129,4
1513104170,4
1513104180,4
1513104926,4
1513105029,4
1513105070,4
1513105080,4
1513109271,4
1513109685,4
1513109686,4
1513109697,4
1513110171,4
1513110585,4
1513110586,4
1513110597,4
1513110800,4
1513111114,4
1513111129,4
1513111133,4
1513111700,4
1513112014,4
1513112029,4
1513112033,4
1513112600,4
1513112914,4
1513112929,4
1513112933,4
1513113500,4
1513113814,4
1513113829,4
1513113833,4
1513114400,4
1513114714,4
1513114729,4
1513114733,4
1513115300,4
1513115614,4
1513115629,4
1513115633,4
1513116200,4
1513116514,4
1513116529,4
1513116533,4
1513117100,4
1513117414,4
1513117429,4
1513117433,4
1513118000,4
1513118314,4
1513118329,4
1513118333,4
1513118900,4
1513119214,4
1513119229,4
1513119233,4
1513119800,4
1513120114,4
1513120129,4
1513120133,4
1513120700,4
1513121014,4
1513121029,4
1513121033,4
1513121600,4
1513121914,4
1513121929,4
1513121933,4
1513122500,4
1513122814,4
1513122829,4
1513122833,4
1513123400,4
1513123714,4
1513123729,4
1513123733,4
1513124300,4
1513124614,4
1513124629,4
1513124633,4
1513125200,4
1513125514,4
1513125529,4
1513125533,4
1513126100,4
1513126414,4
1513126429,4
1513126433,4
1513127000,4
1513127314,4
1513127329,4
1513127333,4
1513127900,4
1513128214,4
1513128229,4
1513128233,4
1513128800,4
1513129114,4
1513129129,4
1513129133,4
1513129700,4
1513130014,4
1513130029,4
1513130033,4
1513130600,4
1513130914,4
1513130929,4
1513130933,4
1513131500,4
1513131814,4
1513131829,4
1513131833,4
1513132400,4
1513132714,4
1513132729,4
1513132733,4
1513133300,4
1513133614,4
1513133629,4
1513133633,4
1513134200,4
1513134514,4
1513134529,4
1513134533,4
1513135100,4
1513135414,4
1513135429,4
1513135433,4
1513136000,4
1513136314,4
1513136329,4
1513136333,4
1513136900,4
1513137214,4
1513137229,4
1513137233,4
1513137800,4
1513138114,4
1513138129,4
1513138133,4
1513138700,4
1513139014,4
1513139029,4
1513139033,4
1513139600,4
1513139914,4
1513139929,4
1513139933,4
1513140500,4
1513140814,4
1513140829,4
1513140833,4
1513141400,4
1513141714,4
1513141729,4
1513141733,4
1513142300,4
1513142614,4
1513142629,4
1513142633,4
1513143200,4
1513143514,4
1513143529,4
1513143533,4
1513144100,4
1513144414,4
1513144429,4
1513144433,4
1513145000,4
1513145314,4
1513145329,4
1513145333,4
1513145900,4
1513146214,4
1513146229,4
1513146233,4
1513146800,4
1513147114,4
1513147129,4
1513147133,4
1513147700,4
1513148014,4
1513148029,4
1513148033,4
1513148600,4
1513148914,4
1513148929,4
1513148933,4
1513149500,4
1513149814,4
1513149829,4
1513149833,4
1513150400,4
1513150714,4
1513150729,4
1513150733,4
1513151300,4
1513151614,4
1513151629,4
1513151633,4
1513152200,4
1513152514,4
1513152529,4
1513152533,4
1513153100,4
1513153414,4
1513153429,4
1513153433,4
1513154000,4
1513154314,4
1513154329,4
1513154333,4
1513154900,4
1513155214,4
1513155229,4
1513155233,4
1513155800,4
1513156114,4
1513156129,4
1513156133,4
1513156700,4
1513156997,4
1513157012,4
1513157016,4
1513157583,4
1513157897,4
1513157912,4
1513157916,4
1513158483,4
1513158797,4
1513158812,4
1513158816,4
1513159383,4
1513159697,4
1513159712,4
1513159716,4
1513160283,4
1513160597,4
1513160612,4
1513160616,4
1513161183,4
1513161497,4
1513161512,4
1513161516,4
1513162083,4
1513162397,4
1513162412,4
1513162416,4
1513162983,4
1513163297,4
1513163312,4
1513163316,4
1513163883,4
1513164197,4
1513164212,4
1513164216,4
1513164783,4
1513165097,4
1513165112,4
1513165116,4
1513165683,4
1513165997,4
1513166012,4
1513166016,4
1513166583,4
1513166897,4
1513166912,4
1513166916,4
1513167483,4
1513167797,4
1513167812,4
1513167816,4
1513168383,4
1513168697,4
