t,value
1513090526,16
1513090629,16
1513090670,16
1513090680,16
1513091426,16
1513091529,16
1513091570,16
1513091580,16
1513092326,16
1513092429,16
1513092470,16
1513092480,16
1513093226,16
1513093329,16
1513093370,16
1513093380,16
1513094126,17
1513094229,17
1513094270,17
1513094280,17
1513095026,17
1513095129,17
1513095170,17
1513095180,17
1513095926,17
1513096029,17
1513096070,17
1513096080,17
1513096826,17
1513096929,17
1513096970,17
1513096980,17
1513097726,17
1513097829,17
1513097870,17
1513097880,17
1513098626,17
1513098729,17
1513098770,17
1513098780,17
1513099526,18
1513099629,18
1513099670,18
1513099680,18
1513100426,18
1513100529,18
1513100570,18
1513100580,18
1513101326,18
1513101429,18
1513101470,18
1513101480,18
1513102226,18
1513102329,18
1513102370,18
1513102380,18
1513103126,18
1513103229,18
1513103270,18
1513103280,18
1513104026,19
1513104129,19
1513104170,19
1513104180,19
1513104926,19
1513105029,19
1513105070,19
1513105080,19
1513109271,15
1513109685,15
1513109686,15
1513109697,15
1513110171,15
1513110585,15
1513110586,15
1513110597,15
1513110800,13
1513111114,13
1513111129,13
1513111133,13
1513111700,13
1513112014,13
1513112029,13
1513112033,13
1513112600,13
1513112914,13
1513112929,13
1513112933,13
1513113500,13
1513113814,13
1513113829,13
1513113833,13
1513114400,13
1513114714,13
1513114729,13
1513114733,13
1513115300,13
1513115614,14
1513115629,14
1513115633,14
1513116200,14
1513116514,14
1513116529,14
1513116533,14
1513117100,14
1513117414,14
1513117429,14
1513117433,14
1513118000,14
1513118314,14
1513118329,14
1513118333,14
1513118900,14
1513119214,14
1513119229,14
1513119233,14
1513119800,14
1513120114,14
1513120129,14
1513120133,14
1513120700,14
1513121014,14
1513121029,14
1513121033,14
1513121600,14
1513121914,14
1513121929,14
1513121933,14
1513122500,15
1513122814,15
1513122829,15
1513122833,15
1513123400,15
1513123714,15
1513123729,15
1513123733,15
1513124300,15
1513124614,15
1513124629,15
1513124633,15
1513125200,15
1513125514,15
1513125529,15
1513125533,15
1513126100,15
1513126414,15
1513126429,15
1513126433,15
1513127000,15
1513127314,15
1513127329,15
1513127333,15
1513127900,15
1513128214,15
1513128229,15
1513128233,15
1513128800,15
1513129114,16
1513129129,16
1513129133,16
1513129700,16
1513130014,16
1513130029,16
1513130033,16
1513130600,16
1513130914,16
1513130929,16
1513130933,16
1513131500,16
1513131814,16
1513131829,16
1513131833,16
1513132400,16
1513132714,16
1513132729,16
1513132733,16
1513133300,16
1513133614,16
1513133629,16
1513133633,16
1513134200,16
1513134514,16
1513134529,16
1513134533,16
1513135100,16
1513135414,16
1513135429,16
1513135433,16
1513136000,17
1513136314,17
1513136329,17
1513136333,17
1513136900,17
1513137214,17
1513137229,17
1513137233,17
1513137800,17
1513138114,17
1513138129,17
1513138133,17
1513138700,17
1513139014,17
1513139029,17
1513139033,17
1513139600,17
1513139914,17
1513139929,17
1513139933,17
1513140500,17
1513140814,17
1513140829,17
1513140833,17
1513141400,17
1513141714,17
1513141729,17
1513141733,17
1513142300,17
1513142614,17
1513142629,17
1513142633,17
1513143200,18
1513143514,18
1513143529,18
1513143533,18
1513144100,18
1513144414,18
1513144429,18
1513144433,18
1513145000,18
1513145314,18
1513145329,18
1513145333,18
1513145900,18
1513146214,18
1513146229,18
1513146233,18
1513146800,18
1513147114,18
1513147129,18
1513147133,18
1513147700,18
1513148014,18
1513148029,18
1513148033,18
1513148600,18
1513148914,18
1513148929,18
1513148933,18
1513149500,18
1513149814,18
1513149829,18
1513149833,18
1513150400,19
1513150714,19
1513150729,19
1513150733,19
1513151300,19
1513151614,19
1513151629,19
1513151633,19
1513152200,19
1513152514,19
1513152529,19
1513152533,19
1513153100,19
1513153414,19
1513153429,19
1513153433,19
1513154000,19
1513154314,19
1513154329,19
1513154333,19
1513154900,19
1513155214,19
1513155229,19
1513155233,19
1513155800,19
1513156114,19
1513156129,19
1513156133,19
1513156700,19
1513156997,19
1513157012,19
1513157016,19
1513157583,20
1513157897,20
1513157912,20
1513157916,20
1513158483,20
1513158797,20
1513158812,20
1513158816,20
1513159383,20
1513159697,20
1513159712,20
1513159716,20
1513160283,20
1513160597,20
1513160612,20
1513160616,20
1513161183,20
1513161497,20
1513161512,20
1513161516,20
1513162083,20
1513162397,20
1513162412,20
1513162416,20
1513162983,20
1513163297,20
1513163312,20
1513163316,20
1513163883,20
1513164197,21
1513164212,21
1513164216,21
1513164783,21
1513165097,21
1513165112,21
1513165116,21
1513165683,21
1513165997,21
1513166012,21
1513166016,21
1513166583,21
1513166897,21
1513166912,21
1513166916,21
1513167483,21
1513167797,21
1513167812,21
1513167816,21
1513168383,21
1513168697,21
1513168712,21
1513168716,21
1513169283,21
1513169597,21
1513169612,21
1513169616,21
1513170183,21
1513170497,21
1513170512,21
1513170516,21
1513171083,22
1513171397,22
1513171412,22
1513171416,22
1513171983,22
1513172297,22
1513172312,22
1513172316,22
1513172883,22
1513173197,22
1513173212,22
1513173216,22
1513173783,22
1513174097,22
1513174112,22
1513174116,22
1513174683,22
1513174997,22
1513175012,22
1513175016,22
