t,value
1513090526,1122
1513090629,1122
1513090670,1122
1513090680,1122
1513091426,1122
1513091529,1122
1513091570,1122
1513091580,1122
1513092326,1122
1513092429,1122
1513092470,1122
1513092480,1122
1513093226,1122
1513093329,1122
1513093370,1122
1513093380,1122
1513094126,1165
1513094229,1165
1513094270,1165
1513094280,1165
1513095026,1165
1513095129,1165
1513095170,1165
1513095180,1165
1513095926,1165
1513096029,1165
1513096070,1165
1513096080,1165
1513096826,1165
1513096929,1165
1513096970,1165
1513096980,1165
1513097726,1165
1513097829,1165
1513097870,1165
1513097880,1165
1513098626,1165
1513098729,1165
1513098770,1165
1513098780,1165
1513099526,1234
1513099629,1234
1513099670,1234
1513099680,1234
1513100426,1234
1513100529,1234
1513100570,1234
1513100580,1234
1513101326,1234
1513101429,1234
1513101470,1234
1513101480,1234
1513102226,1234
1513102329,1234
1513102370,1234
1513102380,1234
1513103126,1234
1513103229,1234
1513103270,1234
1513103280,1234
1513104026,1305
1513104129,1305
1513104170,1305
1513104180,1305
1513104926,1305
1513105029,1305
1513105070,1305
1513105080,1305
1513109271,1769
1513109685,1769
1513109686,1769
1513109697,1769
1513110171,1769
1513110585,1769
1513110586,1769
1513110597,1769
1513110800,1820
1513111114,1820
1513111129,1820
1513111133,1820
1513111700,1820
1513112014,1820
1513112029,1820
1513112033,1820
1513112600,1820
1513112914,1820
1513112929,1820
1513112933,1820
1513113500,1820
1513113814,1820
1513113829,1820
1513113833,1820
1513114400,1820
1513114714,1820
1513114729,1820
1513114733,1820
1513115300,1820
1513115614,1894
1513115629,1894
1513115633,1894
1513116200,1894
1513116514,1894
1513116529,1894
1513116533,1894
1513117100,1894
1513117414,1894
1513117429,1894
1513117433,1894
1513118000,1894
1513118314,1894
1513118329,1894
1513118333,1894
1513118900,1894
1513119214,1894
1513119229,1894
1513119233,1894
1513119800,1894
1513120114,1894
1513120129,1894
1513120133,1894
1513120700,1894
1513121014,1894
1513121029,1894
1513121033,1894
1513121600,1894
1513121914,1894
1513121929,1894
1513121933,1894
1513122500,2006
1513122814,2006
1513122829,2006
1513122833,2006
1513123400,2006
1513123714,2006
1513123729,2006
1513123733,2006
1513124300,2006
1513124614,2006
1513124629,2006
1513124633,2006
1513125200,2006
1513125514,2006
1513125529,2006
1513125533,2006
1513126100,2006
1513126414,2006
1513126429,2006
1513126433,2006
1513127000,2006
1513127314,2006
1513127329,2006
1513127333,2006
1513127900,2006
1513128214,2006
1513128229,2006
1513128233,2006
1513128800,2006
1513129114,2071
1513129129,2071
1513129133,2071
1513129700,2071
1513130014,2071
1513130029,2071
1513130033,2071
1513130600,2071
1513130914,2071
1513130929,2071
1513130933,2071
1513131500,2071
1513131814,2071
1513131829,2071
1513131833,2071
1513132400,2071
1513132714,2071
1513132729,2071
1513132733,2071
1513133300,2071
1513133614,2071
1513133629,2071
1513133633,2071
1513134200,2071
1513134514,2071
1513134529,2071
1513134533,2071
1513135100,2071
1513135414,2071
1513135429,2071
1513135433,2071
1513136000,2203
1513136314,2203
1513136329,2203
1513136333,2203
1513136900,2203
1513137214,2203
1513137229,2203
1513137233,2203
1513137800,2203
1513138114,2203
1513138129,2203
1513138133,2203
1513138700,2203
1513139014,2203
1513139029,2203
1513139033,2203
1513139600,2203
1513139914,2203
1513139929,2203
1513139933,2203
1513140500,2203
1513140814,2203
1513140829,2203
1513140833,2203
1513141400,2203
1513141714,2203
1513141729,2203
1513141733,2203
1513142300,2203
1513142614,2203
1513142629,2203
1513142633,2203
1513143200,2348
1513143514,2348
1513143529,2348
1513143533,2348
1513144100,2348
1513144414,2348
1513144429,2348
1513144433,2348
1513145000,2348
1513145314,2348
1513145329,2348
1513145333,2348
1513145900,2348
1513146214,2348
1513146229,2348
1513146233,2348
1513146800,2348
1513147114,2348
1513147129,2348
1513147133,2348
1513147700,2348
1513148014,2348
1513148029,2348
1513148033,2348
1513148600,2348
1513148914,2348
1513148929,2348
1513148933,2348
1513149500,2348
1513149814,2348
1513149829,2348
1513149833,2348
1513150400,2476
1513150714,2476
1513150729,2476
1513150733,2476
1513151300,2476
1513151614,2476
1513151629,2476
1513151633,2476
1513152200,2476
1513152514,2476
1513152529,2476
1513152533,2476
1513153100,2476
1513153414,2476
1513153429,2476
1513153433,2476
1513154000,2476
1513154314,2476
1513154329,2476
1513154333,2476
1513154900,2476
1513155214,2476
1513155229,2476
1513155233,2476
1513155800,2476
1513156114,2476
1513156129,2476
1513156133,2476
1513156700,2476
1513156997,2476
1513157012,2476
1513157016,2476
1513157583,2580
1513157897,2580
1513157912,2580
1513157916,2580
1513158483,2580
1513158797,2580
1513158812,2580
1513158816,2580
1513159383,2580
1513159697,2580
1513159712,2580
1513159716,2580
1513160283,2580
1513160597,2580
1513160612,2580
1513160616,2580
1513161183,2580
1513161497,2580
1513161512,2580
1513161516,2580
1513162083,2580
1513162397,2580
1513162412,2580
1513162416,2580
1513162983,2580
1513163297,2580
1513163312,2580
1513163316,2580
1513163883,2580
1513164197,2667
1513164212,2667
1513164216,2667
1513164783,2667
1513165097,2667
1513165112,2667
1513165116,2667
1513165683,2667
1513165997,2667
1513166012,2667
1513166016,2667
1513166583,2667
1513166897,2667
1513166912,2667
1513166916,2667
1513167483,2667
1513167797,2667
1513167812,2667
1513167816,2667
1513168383,2667
1513168697,2667
1513168712,2667
1513168716,2667
1513169283,2667
1513169597,2667
1513169612,2667
1513169616,2667
1513170183,2667
1513170497,2667
1513170512,2667
1513170516,2667
1513171083,2776
1513171397,2776
1513171412,2776
1513171416,2776
1513171983,2776
1513172297,2776
1513172312,2776
1513172316,2776
1513172883,2776
1513173197,2776
1513173212,2776
1513173216,2776
1513173783,2776
1513174097,2776
1513174112,2776
1513174116,2776
1513174683,2776
1513174997,2776
1513175012,2776
1513175016,2776
1513175583,2776
1513175897,2776
1513175912,2776
1513175916,2776
1513176483,2776
1513176797,2776
1513176812,2776
1513176816,2776
1513177383,2892
1513177697,2892
1513177712,2892
1513177716,2892
1513178283,2892
1513178597,2892
1513178612,2892
1513178616,2892
1513179183,2892
1513179497,2892
1513179512,2892
1513179516,2892
1513180083,2892
1513180397,2892
1513180412,2892
1513180416,2892
1513180983,2892
1513181297,2892
1513181312,2892
1513181316,2892
1513181883,2892
1513182197,2892
1513182212,2892
1513182216,2892
1513182783,2892
1513183097,2892
1513183112,2892
1513183116,2892
1513183683,2995
1513183997,2995
1513184012,2995
1513184016,2995
1513184583,2995
1513184897,2995
1513184912,2995
1513184916,2995
1513185483,2995
1513185797,2995
1513185812,2995
1513185816,2995
1513186383,2995
1513186697,2995
1513186712,2995
1513186716,2995
1513187283,2995
1513187597,2995
1513187612,2995
1513187616,2995
1513188183,2995
1513188497,2995
1513188512,2995
1513188516,2995
1513189083,2995
1513189397,2995
1513189412,2995
