t,value
1513090526,2997878784
1513090629,2997878784
1513090670,2997878784
1513090680,2997878784
1513091426,2997878784
1513091529,2997878784
1513091570,2997878784
1513091580,2997878784
1513092326,2997878784
1513092429,2997878784
1513092470,2997878784
1513092480,2997878784
1513093226,2997878784
1513093329,2997878784
1513093370,2997878784
1513093380,2997878784
1513094126,2993160192
1513094229,2993160192
1513094270,2993160192
1513094280,2993160192
1513095026,2993160192
1513095129,2993160192
1513095170,2993160192
1513095180,2993160192
1513095926,2993160192
1513096029,2993160192
1513096070,2993160192
1513096080,2993160192
1513096826,2993160192
1513096929,2993160192
1513096970,2993160192
1513096980,2993160192
1513097726,2993160192
1513097829,2993160192
1513097870,2993160192
1513097880,2993160192
1513098626,2993160192
1513098729,2993160192
1513098770,2993160192
1513098780,2993160192
1513099526,3014131712
1513099629,3014131712
1513099670,3014131712
1513099680,3014131712
1513100426,3014131712
1513100529,3014131712
1513100570,3014131712
1513100580,3014131712
1513101326,3014131712
1513101429,3014131712
1513101470,3014131712
1513101480,3014131712
1513102226,3014131712
1513102329,3014131712
1513102370,3014131712
1513102380,3014131712
1513103126,3014131712
1513103229,3014131712
1513103270,3014131712
1513103280,3014131712
1513104026,3010461696
1513104129,3010461696
1513104170,3010461696
1513104180,3010461696
1513104926,3010461696
1513105029,3010461696
1513105070,3010461696
1513105080,3010461696
1513109271,2756706304
1513109685,2756706304
1513109686,2756706304
1513109697,2756706304
1513110171,2756706304
1513110585,2756706304
1513110586,2756706304
1513110597,2756706304
1513110800,2822242304
1513111114,2822242304
1513111129,2822242304
1513111133,2822242304
1513111700,2822242304
1513112014,2822242304
1513112029,2822242304
1513112033,2822242304
1513112600,2822242304
1513112914,2822242304
1513112929,2822242304
1513112933,2822242304
1513113500,2822242304
1513113814,2822242304
1513113829,2822242304
1513113833,2822242304
1513114400,2822242304
1513114714,2822242304
1513114729,2822242304
1513114733,2822242304
1513115300,2822242304
1513115614,3071803392
1513115629,3071803392
1513115633,3071803392
1513116200,3071803392
1513116514,3071803392
1513116529,3071803392
1513116533,3071803392
1513117100,3071803392
1513117414,3071803392
1513117429,3071803392
1513117433,3071803392
1513118000,3071803392
1513118314,3071803392
1513118329,3071803392
1513118333,3071803392
1513118900,3071803392
1513119214,3071803392
1513119229,3071803392
1513119233,3071803392
1513119800,3071803392
1513120114,3071803392
1513120129,3071803392
1513120133,3071803392
1513120700,3071803392
1513121014,3071803392
1513121029,3071803392
1513121033,3071803392
1513121600,3071803392
1513121914,3071803392
1513121929,3071803392
1513121933,3071803392
1513122500,3058171904
1513122814,3058171904
1513122829,3058171904
1513122833,3058171904
1513123400,3058171904
1513123714,3058171904
1513123729,3058171904
1513123733,3058171904
1513124300,3058171904
1513124614,3058171904
1513124629,3058171904
1513124633,3058171904
1513125200,3058171904
1513125514,3058171904
1513125529,3058171904
1513125533,3058171904
1513126100,3058171904
1513126414,3058171904
1513126429,3058171904
1513126433,3058171904
1513127000,3058171904
1513127314,3058171904
1513127329,3058171904
1513127333,3058171904
1513127900,3058171904
1513128214,3058171904
1513128229,3058171904
1513128233,3058171904
1513128800,3058171904
1513129114,3078619136
1513129129,3078619136
1513129133,3078619136
1513129700,3078619136
1513130014,3078619136
1513130029,3078619136
1513130033,3078619136
1513130600,3078619136
1513130914,3078619136
1513130929,3078619136
1513130933,3078619136
1513131500,3078619136
1513131814,3078619136
1513131829,3078619136
1513131833,3078619136
1513132400,3078619136
1513132714,3078619136
1513132729,3078619136
1513132733,3078619136
1513133300,3078619136
1513133614,3078619136
1513133629,3078619136
1513133633,3078619136
1513134200,3078619136
1513134514,3078619136
1513134529,3078619136
1513134533,3078619136
1513135100,3078619136
1513135414,3078619136
1513135429,3078619136
1513135433,3078619136
1513136000,2828009472
1513136314,2828009472
1513136329,2828009472
1513136333,2828009472
1513136900,2828009472
1513137214,2828009472
1513137229,2828009472
1513137233,2828009472
1513137800,2828009472
1513138114,2828009472
1513138129,2828009472
1513138133,2828009472
1513138700,2828009472
1513139014,2828009472
1513139029,2828009472
1513139033,2828009472
1513139600,2828009472
1513139914,2828009472
1513139929,2828009472
1513139933,2828009472
1513140500,2828009472
1513140814,2828009472
1513140829,2828009472
1513140833,2828009472
1513141400,2828009472
1513141714,2828009472
1513141729,2828009472
1513141733,2828009472
1513142300,2828009472
1513142614,2828009472
1513142629,2828009472
1513142633,2828009472
1513143200,2727870464
1513143514,2727870464
1513143529,2727870464
1513143533,2727870464
1513144100,2727870464
1513144414,2727870464
1513144429,2727870464
1513144433,2727870464
1513145000,2727870464
1513145314,2727870464
1513145329,2727870464
1513145333,2727870464
1513145900,2727870464
1513146214,2727870464
1513146229,2727870464
1513146233,2727870464
1513146800,2727870464
1513147114,2727870464
1513147129,2727870464
1513147133,2727870464
1513147700,2727870464
1513148014,2727870464
1513148029,2727870464
1513148033,2727870464
1513148600,2727870464
1513148914,2727870464
1513148929,2727870464
1513148933,2727870464
1513149500,2727870464
1513149814,2727870464
1513149829,2727870464
1513149833,2727870464
1513150400,2632974336
1513150714,2632974336
1513150729,2632974336
1513150733,2632974336
1513151300,2632974336
1513151614,2632974336
1513151629,2632974336
1513151633,2632974336
1513152200,2632974336
1513152514,2632974336
1513152529,2632974336
1513152533,2632974336
1513153100,2632974336
1513153414,2632974336
1513153429,2632974336
1513153433,2632974336
1513154000,2632974336
1513154314,2632974336
1513154329,2632974336
1513154333,2632974336
1513154900,2632974336
1513155214,2632974336
1513155229,2632974336
1513155233,2632974336
1513155800,2632974336
1513156114,2632974336
1513156129,2632974336
1513156133,2632974336
1513156700,2632974336
1513156997,2632974336
1513157012,2632974336
1513157016,2632974336
1513157583,2540699648
1513157897,2540699648
1513157912,2540699648
1513157916,2540699648
1513158483,2540699648
1513158797,2540699648
1513158812,2540699648
1513158816,2540699648
1513159383,2540699648
1513159697,2540699648
1513159712,2540699648
1513159716,2540699648
1513160283,2540699648
1513160597,2540699648
1513160612,2540699648
1513160616,2540699648
1513161183,2540699648
1513161497,2540699648
1513161512,2540699648
1513161516,2540699648
1513162083,2540699648
1513162397,2540699648
1513162412,2540699648
1513162416,2540699648
1513162983,2540699648
1513163297,2540699648
1513163312,2540699648
1513163316,2540699648
1513163883,2540699648
1513164197,2452619264
1513164212,2452619264
1513164216,2452619264
1513164783,2452619264
1513165097,2452619264
1513165112,2452619264
1513165116,2452619264
1513165683,2452619264
1513165997,2452619264
1513166012,2452619264
1513166016,2452619264
1513166583,2452619264
1513166897,2452619264
1513166912,2452619264
1513166916,2452619264
1513167483,2452619264
1513167797,2452619264
1513167812,2452619264
1513167816,2452619264
1513168383,2452619264
1513168697,2452619264
1513168712,2452619264
1513168716,2452619264
1513169283,2452619264
1513169597,2452619264
1513169612,2452619264
1513169616,2452619264
1513170183,2452619264
1513170497,2452619264
1513170512,2452619264
1513170516,2452619264
1513171083,2369781760
1513171397,2369781760
1513171412,2369781760
1513171416,2369781760
1513171983,2369781760
1513172297,2369781760
1513172312,2369781760
1513172316,2369781760
1513172883,2369781760
1513173197,2369781760
1513173212,2369781760
1513173216,2369781760
1513173783,2369781760
1513174097,2369781760
1513174112,2369781760
1513174116,2369781760
1513174683,2369781760
1513174997,2369781760
1513175012,2369781760
1513175016,2369781760
1513175583,2369781760
1513175897,2369781760
1513175912,2369781760
1513175916,2369781760
1513176483,2369781760
1513176797,2369781760
1513176812,2369781760
1513176816,2369781760
1513177383,2289041408
1513177697,2289041408
1513177712,2289041408
1513177716,2289041408
1513178283,2289041408
1513178597,2289041408
1513178612,2289041408
1513178616,2289041408
1513179183,2289041408
1513179497,2289041408
1513179512,2289041408
1513179516,2289041408
1513180083,2289041408
1513180397,2289041408
1513180412,2289041408
1513180416,2289041408
1513180983,2289041408
1513181297,2289041408
1513181312,2289041408
1513181316,2289041408
1513181883,2289041408
1513182197,2289041408
1513182212,2289041408
1513182216,2289041408
1513182783,2289041408
1513183097,2289041408
1513183112,2289041408
1513183116,2289041408
1513183683,2213019648
1513183997,2213019648
1513184012,2213019648
1513184016,2213019648
1513184583,2213019648
1513184897,2213019648
1513184912,2213019648
1513184916,2213019648
1513185483,2213019648
1513185797,2213019648
1513185812,2213019648
1513185816,2213019648
1513186383,2213019648
1513186697,2213019648
1513186712,2213019648
1513186716,2213019648
1513187283,2213019648
1513187597,2213019648
1513187612,2213019648
1513187616,2213019648
1513188183,2213019648
1513188497,2213019648
1513188512,2213019648
1513188516,2213019648
1513189083,2213019648
1513189397,2213019648
1513189412,2213019648
1513189416,2213019648
1513189983,2140667904
1513190297,2140667904
1513190312,2140667904
1513190316,2140667904
1513190883,2140667904
1513191197,2140667904
1513191212,2140667904
1513191216,2140667904
1513191783,2140667904
1513192097,2140667904
1513192112,2140667904
1513192116,2140667904
1513192683,2140667904
1513192997,2140667904
1513193012,2140667904
1513193016,2140667904
1513193583,2140667904
1513193897,2140667904
1513193912,2140667904
1513193916,2140667904
1513194483,2140667904
1513194797,2140667904
1513194812,2140667904
1513194816,2140667904
1513195383,2140667904
1513195697,2140667904
1513195712,2140667904
1513195716,2140667904
1513196283,2140667904
1513196597,2140667904
1513196612,2140667904
1513196616,2140667904
1513198542,2799173632
1513199442,2799173632
1513200342,2799173632
1513201242,2799173632
1513202142,2799173632
1513203042,2799173632
1513203942,2799173632
1513204842,2799173632
1513205742,2799173632
1513206642,2799173632
1513207542,3252158464
1513208442,3252158464
1513209342,3252158464
1513210242,3252158464
1513211142,3252158464
1513212042,3252158464
1513212942,3252158464
1513213842,3252158464
1513214742,3252158464
1513215642,3252158464
1513216542,3252158464
1513217442,3252158464
1513218342,3252158464
1513219242,3252158464
1513220142,3252158464
1513221042,3252158464
1513221942,3252158464
1513222842,3252158464
1513223742,3252158464
1513224642,3252158464
1513225542,3252158464
1513226442,3252158464
1513227342,3252158464
1513228242,3252158464
1513229142,3252158464
1513230042,3252158464
1513230942,3252158464
1513231842,3252158464
1513232742,3252158464
1513233642,3252158464
1513234542,3252158464
1513235442,3252158464
1513236342,3252158464
1513237242,3206021120
1513238142,3206021120
1513239042,3206021120
1513239942,3206021120
1513240842,3206021120
1513241742,3206021120
1513243476,3206021120
1513244376,3206021120
1513245276,3206021120
1513246176,3206021120
1513247075,3206021120
1513247975,3008364544
1513248186,3008364544
1513248186,3008364544
1513248186,3008364544
1513248875,3008364544
1513249086,3008364544
1513249086,3008364544
1513249086,3008364544
1513249775,3008364544
1513249986,3008364544
1513249986,3008364544
1513249986,3008364544
1513250675,3008364544
1513250886,3008364544
1513250886,3008364544
1513250886,3008364544
1513251575,3008364544
1513251786,3008364544
1513251786,3008364544
1513251786,3008364544
1513252473,3010461696
1513252684,3010461696
1513252684,3010461696
1513252684,3010461696
1513253373,3010461696
1513253584,3010461696
1513253584,3010461696
1513253584,3010461696
1513254273,3010461696
1513254484,3010461696
1513254484,3010461696
1513254484,3010461696
1513255173,3010461696
1513255384,3010461696
1513255384,3010461696
1513255384,3010461696
1513256073,3010461696
1513256284,3010461696
1513256284,3010461696
1513256284,3010461696
1513256973,3010461696
1513257184,3010461696
1513257184,3010461696
1513257184,3010461696
1513257873,3010461696
1513258084,3010461696
1513258084,3010461696
1513258084,3010461696
1513258773,3010461696
1513258984,3008364544
1513258984,3008364544
1513258984,3008364544
1513259673,3008364544
1513259884,3008364544
1513259884,3008364544
1513259884,3008364544
1513260573,3008364544
1513260784,3008364544
1513260784,3008364544
1513260784,3008364544
1513261473,3008364544
1513261684,3008364544
1513261684,3008364544
1513261684,3008364544
1513262373,3008364544
1513262584,3008364544
1513262584,3008364544
1513262584,3008364544
1513263273,3008364544
1513263484,3008364544
1513263484,3008364544
1513263484,3008364544
1513264175,3008364544
1513264386,3008364544
1513264386,3008364544
1513264386,3008364544
1513265075,3008364544
1513265286,3008364544
1513265286,3008364544
1513265286,3008364544
1513265975,3025141760
1513266186,3025141760
1513266186,3025141760
1513266186,3025141760
1513267602,2845835264
1513267898,2845835264
1513267898,2845835264
1513267913,2845835264
1513268502,2845835264
1513268798,2845835264
1513268798,2845835264
1513268813,2845835264
1513269402,2845835264
1513269698,2845835264
1513269698,2845835264
1513269713,2845835264
1513270302,2845835264
1513270598,2845835264
1513270598,2845835264
1513270613,2845835264
1513271202,2845835264
1513271498,2845835264
1513271498,2845835264
1513271513,2845835264
1513272102,3034578944
1513272398,3034578944
1513272398,3034578944
1513272413,3034578944
1513273002,3034578944
1513273298,3034578944
1513273298,3034578944
1513273313,3034578944
1513273902,3034578944
1513274198,3034578944
1513274198,3034578944
1513274213,3034578944
1513274802,3034578944
1513275098,3034578944
1513275098,3034578944
1513275113,3034578944
1513275702,3034578944
1513275998,3034578944
1513275998,3034578944
1513276013,3034578944
1513276602,3034578944
1513276898,3034578944
1513276898,3034578944
1513276913,3034578944
1513277502,3034578944
1513277798,3034578944
1513277798,3034578944
1513277813,3034578944
1513278402,3034578944
1513278698,3022520320
1513278698,3022520320
1513278713,3022520320
1513279302,3022520320
1513279598,3022520320
1513279598,3022520320
1513279613,3022520320
1513280202,3022520320
1513280498,3022520320
1513280498,3022520320
1513280513,3022520320
1513281102,3022520320
1513281398,3022520320
1513281398,3022520320
1513281413,3022520320
1513282002,3022520320
1513282298,3022520320
1513282298,3022520320
1513282313,3022520320
1513282902,3022520320
1513283198,3022520320
1513283198,3022520320
1513283213,3022520320
1513283802,3022520320
1513284098,3022520320
1513284098,3022520320
1513284113,3022520320
1513284702,3022520320
1513284998,3022520320
1513284998,3022520320
1513285013,3022520320
1513285602,3055026176
1513285898,3055026176
1513285898,3055026176
1513285913,3055026176
1513286502,3055026176
1513286798,3055026176
1513286798,3055026176
1513286813,3055026176
1513287402,3055026176
1513287698,3055026176
1513287698,3055026176
1513287713,3055026176
1513288302,3055026176
1513288598,3055026176
1513288598,3055026176
1513288613,3055026176
1513289202,3055026176
1513289498,3055026176
1513289498,3055026176
1513289513,3055026176
1513290102,3055026176
1513290398,3055026176
1513290398,3055026176
1513290413,3055026176
1513291002,3055026176
1513291298,3055026176
1513291298,3055026176
1513291313,3055026176
1513291902,3055026176
1513292198,3055026176
1513292198,3055026176
1513292213,3055026176
1513292802,3055026176
1513293098,2824863744
1513293098,2824863744
1513293113,2824863744
1513293702,2824863744
1513293998,2824863744
1513293998,2824863744
1513294013,2824863744
1513294602,2824863744
1513294898,2824863744
1513294898,2824863744
1513294913,2824863744
1513295502,2824863744
1513295798,2824863744
1513295798,2824863744
1513295813,2824863744
1513296402,2824863744
1513296698,2824863744
1513296698,2824863744
1513296713,2824863744
1513297302,2824863744
1513297598,2824863744
1513297598,2824863744
1513297613,2824863744
1513298202,2824863744
1513298498,2824863744
1513298498,2824863744
1513298513,2824863744
1513299102,2824863744
1513299398,2824863744
1513299398,2824863744
1513299413,2824863744
1513300002,2824863744
1513300298,2719481856
1513300298,2719481856
1513300313,2719481856
1513300902,2719481856
1513301198,2719481856
1513301198,2719481856
1513301213,2719481856
1513301802,2719481856
1513302098,2719481856
1513302098,2719481856
1513302113,2719481856
1513302702,2719481856
1513302998,2719481856
1513302998,2719481856
1513303013,2719481856
1513303602,2719481856
1513303898,2719481856
1513303898,2719481856
1513303913,2719481856
1513304502,2719481856
1513304798,2719481856
1513304798,2719481856
1513304813,2719481856
1513305402,2719481856
1513305698,2719481856
1513305698,2719481856
1513305713,2719481856
1513306302,2719481856
1513306598,2719481856
1513306598,2719481856
1513306613,2719481856
1513307202,2719481856
1513307498,2619867136
1513307498,2619867136
1513307513,2619867136
1513308102,2619867136
1513308398,2619867136
1513308398,2619867136
1513308413,2619867136
1513309002,2619867136
1513309298,2619867136
1513309298,2619867136
1513309313,2619867136
1513309902,2619867136
1513310198,2619867136
1513310198,2619867136
1513310213,2619867136
1513310802,2619867136
1513311098,2619867136
1513311098,2619867136
