t,value
1513090526,-1.4485968E8
1513090629,-1.45184264E8
1513090670,-1.4514636E8
1513090680,-1.45316528E8
1513091426,-1.47095552E8
1513091529,-1.47316256E8
1513091570,-1.47521248E8
1513091580,-1.47584016E8
1513092326,-1.48639664E8
1513092429,-1.4883264E8
1513092470,-1.48893664E8
1513092480,-1.49030192E8
1513093226,-1.49793576E8
1513093329,-1.49882512E8
1513093370,-1.49915592E8
1513093380,-1.49953648E8
1513094126,-1.50844336E8
1513094229,-1.5090388E8
1513094270,-1.50940264E8
1513094280,-1.50998192E8
1513095026,-1.51418512E8
1513095129,-1.514436E8
1513095170,-1.5146952E8
1513095180,-1.51458384E8
1513095926,-1.52551296E8
1513096029,-1.52563544E8
1513096070,-1.52572632E8
1513096080,-1.52705944E8
1513096826,-1.53084528E8
1513096929,-1.5313004E8
1513096970,-1.5313428E8
1513096980,-1.53294488E8
1513097726,-1.54349168E8
1513097829,-1.54458208E8
1513097870,-1.54488064E8
1513097880,-1.54500696E8
1513098626,-1.54772392E8
1513098729,-1.54804576E8
1513098770,-1.54812696E8
1513098780,-1.5482044E8
1513099526,-1.6688944E8
1513099629,-1.6715564E8
1513099670,-1.6716204E8
1513099680,-1.67066376E8
1513100426,-1.6728328E8
1513100529,-1.6728392E8
1513100570,-1.67237264E8
1513100580,-1.67245848E8
1513101326,-1.68140496E8
1513101429,-1.68162824E8
1513101470,-1.68117648E8
1513101480,-1.68119808E8
1513102226,-1.68456368E8
1513102329,-1.68548336E8
1513102370,-1.68613488E8
1513102380,-1.68615536E8
1513103126,-1.69036632E8
1513103229,-1.68968488E8
1513103270,-1.68967768E8
1513103280,-1.6902836E8
1513104026,-1.69073192E8
1513104129,-1.6907428E8
1513104170,-1.6910212E8
1513104180,-1.69117024E8
1513104926,-1.69422736E8
1513105029,-1.69476496E8
1513105070,-1.69458384E8
1513105080,-1.69458384E8
1513109271,-1.4190324E8
1513109685,-1.4228584E8
1513109686,-1.4239624E8
1513109697,-1.42489944E8
1513110171,-1.428966E8
1513110585,-1.43709776E8
1513110586,-1.4374648E8
1513110597,-1.43786576E8
1513110800,-1.42913616E8
1513111114,-1.43853872E8
1513111129,-1.43983976E8
1513111133,-1.44010408E8
1513111700,-1.45206872E8
1513112014,-1.46032424E8
1513112029,-1.46139528E8
1513112033,-1.4615844E8
1513112600,-1.46911248E8
1513112914,-1.47482072E8
1513112929,-1.47467824E8
1513112933,-1.47533552E8
1513113500,-1.48076528E8
1513113814,-1.48443664E8
1513113829,-1.48725208E8
1513113833,-1.48726968E8
1513114400,-1.4927304E8
1513114714,-1.49534072E8
1513114729,-1.49575288E8
1513114733,-1.49584792E8
1513115300,-1.49983648E8
1513115614,-1.50147216E8
1513115629,-1.50175536E8
1513115633,-1.50175536E8
1513116200,-1.51062176E8
1513116514,-1.51233856E8
1513116529,-1.51236992E8
1513116533,-1.51242888E8
1513117100,-1.51730048E8
