t,value
1513090526,31588352
1513090629,31850496
1513090670,31850496
1513090680,31850496
1513091426,33292288
1513091529,33488896
1513091570,33619968
1513091580,33685504
1513092326,34603008
1513092429,34734080
1513092470,34799616
1513092480,34930688
1513093226,35586048
1513093329,35651584
1513093370,35651584
1513093380,35717120
1513094126,36438016
1513094229,36438016
1513094270,36503552
1513094280,36503552
1513095026,36896768
1513095129,36896768
1513095170,36962304
1513095180,36962304
1513095926,37814272
1513096029,37814272
1513096070,37814272
1513096080,37945344
1513096826,38273024
1513096929,38273024
1513096970,38338560
1513096980,38469632
1513097726,39059456
1513097829,39190528
1513097870,39190528
1513097880,39190528
1513098626,39518208
1513098729,39518208
1513098770,39518208
1513098780,39518208
1513099526,42860544
1513099629,42991616
1513099670,42991616
1513099680,42991616
1513100426,43122688
1513100529,43122688
1513100570,43122688
1513100580,43122688
1513101326,43843584
1513101429,43843584
1513101470,43843584
1513101480,43843584
1513102226,44105728
1513102329,44236800
1513102370,44302336
1513102380,44302336
1513103126,44695552
1513103229,44695552
1513103270,44695552
1513103280,44695552
1513104026,44826624
1513104129,44826624
1513104170,44826624
1513104180,44826624
1513104926,45088768
1513105029,45088768
1513105070,45088768
1513105080,45088768
1513109271,29425664
1513109685,29687808
1513109686,29753344
1513109697,29818880
1513110171,30146560
1513110585,30801920
1513110586,30801920
1513110597,30867456
1513110800,30408704
1513111114,31064064
1513111129,31129600
1513111133,31195136
1513111700,32178176
1513112014,32768000
1513112029,32899072
1513112033,32899072
1513112600,33554432
1513112914,34013184
1513112929,34078720
1513112933,34078720
1513113500,34537472
1513113814,34799616
1513113829,34996224
1513113833,34996224
1513114400,35520512
1513114714,35717120
1513114729,35782656
1513114733,35782656
1513115300,36110336
1513115614,36306944
1513115629,36306944
1513115633,36306944
1513116200,37027840
1513116514,37158912
1513116529,37158912
1513116533,37158912
1513117100,37617664
1513117414,37683200
1513117429,37683200
1513117433,37683200
1513118000,38273024
1513118314,38535168
1513118329,38535168
1513118333,38535168
1513118900,38862848
1513119214,38928384
1513119229,38928384
1513119233,38928384
1513119800,39190528
1513120114,39190528
1513120129,39190528
1513120133,39190528
1513120700,39649280
1513121014,39714816
1513121029,39714816
1513121033,39714816
1513121600,39911424
1513121914,40042496
1513121929,40042496
1513121933,40042496
1513122500,40108032
1513122814,40501248
1513122829,40501248
1513122833,40501248
1513123400,40697856
1513123714,40828928
1513123729,40828928
1513123733,40828928
1513124300,40828928
1513124614,40828928
1513124629,40828928
1513124633,40828928
1513125200,40828928
1513125514,41025536
1513125529,41025536
1513125533,41025536
1513126100,41025536
1513126414,41091072
1513126429,41091072
1513126433,41091072
1513127000,41156608
1513127314,41222144
1513127329,41222144
1513127333,41222144
1513127900,41287680
1513128214,41353216
1513128229,41353216
1513128233,41353216
1513128800,41418752
1513129114,41484288
1513129129,41484288
1513129133,41484288
1513129700,41877504
1513130014,41877504
1513130029,41877504
1513130033,41877504
1513130600,41877504
1513130914,41877504
1513130929,41877504
1513130933,41877504
1513131500,42008576
1513131814,42074112
1513131829,42074112
1513131833,42074112
1513132400,42074112
1513132714,42074112
1513132729,42074112
1513132733,42074112
1513133300,42205184
1513133614,42205184
1513133629,42205184
1513133633,42270720
1513134200,42270720
1513134514,42270720
1513134529,42270720
1513134533,42270720
1513135100,42336256
1513135414,42401792
1513135429,42401792
1513135433,42401792
1513136000,42467328
1513136314,42532864
1513136329,42532864
1513136333,42532864
1513136900,42598400
1513137214,42663936
1513137229,42663936
1513137233,42663936
1513137800,42926080
1513138114,42926080
1513138129,42926080
1513138133,42926080
1513138700,43057152
1513139014,43057152
1513139029,43057152
1513139033,43057152
1513139600,43057152
1513139914,43057152
1513139929,43057152
1513139933,43057152
1513140500,43122688
1513140814,43188224
1513140829,43188224
1513140833,43188224
1513141400,43188224
1513141714,43188224
1513141729,43188224
1513141733,43188224
1513142300,43188224
1513142614,43253760
1513142629,43253760
1513142633,43253760
1513143200,43253760
1513143514,43253760
1513143529,43253760
1513143533,43253760
1513144100,43253760
1513144414,43253760
1513144429,43253760
1513144433,43319296
1513145000,43319296
1513145314,43319296
1513145329,43515904
1513145333,43515904
1513145900,43515904
1513146214,43515904
1513146229,43515904
1513146233,43515904
1513146800,43515904
1513147114,43515904
1513147129,43515904
1513147133,43515904
1513147700,43515904
1513148014,43515904
1513148029,43515904
1513148033,43515904
1513148600,43515904
1513148914,43515904
1513148929,43515904
1513148933,43515904
1513149500,43581440
1513149814,43646976
1513149829,43646976
1513149833,43646976
1513150400,43712512
1513150714,43909120
1513150729,43909120
1513150733,43909120
1513151300,43909120
1513151614,43909120
1513151629,43909120
1513151633,43909120
1513152200,43909120
1513152514,43909120
1513152529,43909120
1513152533,43909120
1513153100,43909120
1513153414,43909120
1513153429,43909120
1513153433,43909120
1513154000,43909120
1513154314,43909120
1513154329,43909120
1513154333,43909120
1513154900,44105728
1513155214,44105728
1513155229,44105728
1513155233,44105728
1513155800,44105728
1513156114,44171264
1513156129,44171264
1513156133,44171264
1513156700,44433408
1513156997,44433408
1513157012,44433408
1513157016,44433408
1513157583,44498944
1513157897,44498944
1513157912,44498944
1513157916,44498944
1513158483,44498944
1513158797,44564480
1513158812,44564480
1513158816,44564480
1513159383,44564480
1513159697,44564480
1513159712,44630016
1513159716,44695552
1513160283,44761088
1513160597,44826624
1513160612,44826624
1513160616,44892160
1513161183,44892160
1513161497,44892160
1513161512,44892160
1513161516,44892160
1513162083,44892160
1513162397,45023232
1513162412,45023232
1513162416,45023232
1513162983,45023232
1513163297,45023232
1513163312,45023232
1513163316,45023232
1513163883,45023232
1513164197,45023232
1513164212,45023232
1513164216,45023232
1513164783,45023232
1513165097,45154304
1513165112,45154304
1513165116,45154304
1513165683,45154304
1513165997,45154304
1513166012,45154304
1513166016,45154304
1513166583,45154304
1513166897,45154304
1513166912,45154304
1513166916,45154304
1513167483,45154304
1513167797,45154304
1513167812,45154304
1513167816,45154304
1513168383,45154304
1513168697,45154304
1513168712,45154304
1513168716,45154304
1513169283,45154304
1513169597,45154304
1513169612,45154304
1513169616,45154304
1513170183,45154304
1513170497,45154304
1513170512,45154304
1513170516,45154304
1513171083,45154304
1513171397,45154304
1513171412,45154304
1513171416,45154304
1513171983,45154304
1513172297,45154304
1513172312,45154304
1513172316,45154304
1513172883,45154304
1513173197,45154304
1513173212,45154304
1513173216,45154304
1513173783,45154304
1513174097,45154304
1513174112,45154304
1513174116,45154304
1513174683,45154304
1513174997,45154304
1513175012,45154304
1513175016,45154304
1513175583,45219840
1513175897,45219840
1513175912,45219840
1513175916,45219840
1513176483,45219840
1513176797,45219840
1513176812,45219840
1513176816,45219840
1513177383,45219840
1513177697,45219840
1513177712,45219840
1513177716,45219840
1513178283,45219840
1513178597,45285376
1513178612,45285376
1513178616,45285376
1513179183,45809664
1513179497,45940736
1513179512,45940736
1513179516,45940736
1513180083,45940736
1513180397,45940736
1513180412,45940736
1513180416,45940736
1513180983,45940736
1513181297,45940736
1513181312,45940736
1513181316,45940736
1513181883,45940736
1513182197,45940736
1513182212,45940736
1513182216,45940736
1513182783,45940736
1513183097,45940736
1513183112,45940736
1513183116,45940736
1513183683,45940736
1513183997,46006272
1513184012,46006272
1513184016,46006272
1513184583,46006272
1513184897,46071808
1513184912,46071808
1513184916,46071808
1513185483,46137344
1513185797,46137344
1513185812,46137344
1513185816,46137344
1513186383,46137344
1513186697,46137344
1513186712,46137344
1513186716,46137344
1513187283,46202880
1513187597,46202880
1513187612,46202880
1513187616,46202880
1513188183,46268416
1513188497,46333952
1513188512,46333952
1513188516,46333952
1513189083,46399488
1513189397,46399488
1513189412,46399488
1513189416,46399488
1513189983,46465024
1513190297,46661632
1513190312,46661632
1513190316,46661632
1513190883,46989312
1513191197,46989312
1513191212,46989312
1513191216,46989312
1513191783,46989312
1513192097,46989312
1513192112,46989312
1513192116,46989312
1513192683,47054848
1513192997,47054848
1513193012,47054848
1513193016,47054848
1513193583,47054848
1513193897,47054848
1513193912,47054848
1513193916,47054848
1513194483,47054848
1513194797,47054848
1513194812,47054848
1513194816,47054848
1513195383,47054848
1513195697,47054848
1513195712,47054848
1513195716,47054848
1513196283,47054848
1513196597,47054848
1513196612,47054848
1513196616,47054848
1513198542,23396352
1513199442,24641536
1513200342,25886720
1513201242,26804224
1513202142,27721728
1513203042,28377088
1513203942,28966912
1513204842,29294592
1513205742,29818880
1513206642,30146560
1513207542,30277632
1513208442,30670848
1513209342,30801920
1513210242,31260672
1513211142,31522816
1513212042,31784960
1513212942,31850496
1513213842,32178176
1513214742,32374784
1513215642,32440320
