t,value
1513090526,251658240
1513090629,251658240
1513090670,251658240
1513090680,251658240
1513091426,251658240
1513091529,251658240
1513091570,251658240
1513091580,251658240
1513092326,251658240
1513092429,251658240
1513092470,251658240
1513092480,251658240
1513093226,251658240
1513093329,251658240
1513093370,251658240
1513093380,251658240
1513094126,251658240
1513094229,251658240
1513094270,251658240
1513094280,251658240
1513095026,251658240
1513095129,251658240
1513095170,251658240
1513095180,251658240
1513095926,251658240
1513096029,251658240
1513096070,251658240
1513096080,251658240
1513096826,251658240
1513096929,251658240
1513096970,251658240
1513096980,251658240
1513097726,251658240
1513097829,251658240
1513097870,251658240
1513097880,251658240
1513098626,251658240
1513098729,251658240
1513098770,251658240
1513098780,251658240
1513099526,251658240
1513099629,251658240
1513099670,251658240
1513099680,251658240
1513100426,251658240
1513100529,251658240
1513100570,251658240
1513100580,251658240
1513101326,251658240
1513101429,251658240
1513101470,251658240
1513101480,251658240
1513102226,251658240
1513102329,251658240
1513102370,251658240
1513102380,251658240
1513103126,251658240
1513103229,251658240
1513103270,251658240
1513103280,251658240
1513104026,251658240
1513104129,251658240
1513104170,251658240
1513104180,251658240
1513104926,251658240
1513105029,251658240
1513105070,251658240
1513105080,251658240
1513109271,251658240
1513109685,251658240
1513109686,251658240
1513109697,251658240
1513110171,251658240
1513110585,251658240
1513110586,251658240
1513110597,251658240
1513110800,251658240
1513111114,251658240
1513111129,251658240
1513111133,251658240
1513111700,251658240
1513112014,251658240
1513112029,251658240
1513112033,251658240
1513112600,251658240
1513112914,251658240
1513112929,251658240
1513112933,251658240
1513113500,251658240
1513113814,251658240
1513113829,251658240
1513113833,251658240
1513114400,251658240
1513114714,251658240
1513114729,251658240
1513114733,251658240
1513115300,251658240
1513115614,251658240
1513115629,251658240
1513115633,251658240
1513116200,251658240
1513116514,251658240
1513116529,251658240
1513116533,251658240
1513117100,251658240
1513117414,251658240
1513117429,251658240
1513117433,251658240
1513118000,251658240
1513118314,251658240
1513118329,251658240
1513118333,251658240
1513118900,251658240
1513119214,251658240
1513119229,251658240
1513119233,251658240
1513119800,251658240
1513120114,251658240
1513120129,251658240
1513120133,251658240
1513120700,251658240
1513121014,251658240
1513121029,251658240
1513121033,251658240
1513121600,251658240
1513121914,251658240
1513121929,251658240
1513121933,251658240
1513122500,251658240
1513122814,251658240
1513122829,251658240
1513122833,251658240
1513123400,251658240
1513123714,251658240
1513123729,251658240
1513123733,251658240
1513124300,251658240
1513124614,251658240
1513124629,251658240
1513124633,251658240
1513125200,251658240
1513125514,251658240
1513125529,251658240
1513125533,251658240
1513126100,251658240
1513126414,251658240
1513126429,251658240
1513126433,251658240
1513127000,251658240
1513127314,251658240
1513127329,251658240
1513127333,251658240
1513127900,251658240
1513128214,251658240
1513128229,251658240
1513128233,251658240
1513128800,251658240
1513129114,251658240
1513129129,251658240
1513129133,251658240
1513129700,251658240
1513130014,251658240
1513130029,251658240
1513130033,251658240
1513130600,251658240
1513130914,251658240
1513130929,251658240
1513130933,251658240
1513131500,251658240
1513131814,251658240
1513131829,251658240
1513131833,251658240
1513132400,251658240
1513132714,251658240
1513132729,251658240
1513132733,251658240
1513133300,251658240
1513133614,251658240
1513133629,251658240
1513133633,251658240
1513134200,251658240
1513134514,251658240
1513134529,251658240
