t,value
1513090526,12976128
1513090629,12976128
1513090670,12976128
1513090680,12976128
1513091426,12976128
1513091529,12976128
1513091570,12976128
1513091580,12976128
1513092326,12976128
1513092429,12976128
1513092470,12976128
1513092480,12976128
1513093226,13107200
1513093329,13107200
1513093370,13107200
1513093380,13107200
1513094126,13107200
1513094229,13107200
1513094270,13107200
1513094280,13107200
1513095026,13107200
1513095129,13107200
1513095170,13107200
1513095180,13107200
1513095926,13107200
1513096029,13107200
1513096070,13107200
1513096080,13107200
1513096826,13107200
1513096929,13107200
1513096970,13107200
1513096980,13107200
1513097726,13107200
1513097829,13107200
1513097870,13107200
1513097880,13107200
1513098626,13107200
1513098729,13107200
1513098770,13107200
1513098780,13107200
1513099526,14155776
1513099629,14155776
1513099670,14155776
1513099680,14155776
1513100426,14155776
1513100529,14155776
1513100570,14155776
1513100580,14155776
1513101326,14155776
1513101429,14155776
1513101470,14155776
1513101480,14155776
1513102226,14155776
1513102329,14155776
1513102370,14155776
1513102380,14155776
1513103126,14155776
1513103229,14155776
1513103270,14155776
1513103280,14155776
1513104026,14155776
1513104129,14155776
1513104170,14155776
1513104180,14155776
1513104926,14155776
1513105029,14155776
1513105070,14155776
1513105080,14155776
1513109271,12886016
1513109685,12886016
1513109686,12886016
1513109697,12886016
1513110171,12886016
1513110585,13017088
1513110586,13017088
1513110597,13017088
1513110800,12976128
1513111114,12976128
1513111129,12976128
1513111133,12976128
1513111700,12976128
1513112014,12976128
1513112029,12976128
1513112033,12976128
1513112600,12976128
1513112914,12976128
1513112929,12976128
1513112933,12976128
1513113500,12976128
1513113814,12976128
1513113829,12976128
1513113833,12976128
1513114400,12976128
1513114714,12976128
1513114729,12976128
1513114733,12976128
1513115300,12976128
1513115614,12976128
1513115629,12976128
1513115633,12976128
1513116200,12976128
1513116514,12976128
1513116529,12976128
1513116533,12976128
1513117100,12976128
1513117414,12976128
1513117429,12976128
1513117433,12976128
1513118000,12976128
1513118314,12976128
1513118329,12976128
1513118333,12976128
1513118900,12976128
1513119214,12976128
1513119229,12976128
1513119233,12976128
1513119800,12976128
1513120114,12976128
1513120129,12976128
1513120133,12976128
1513120700,12976128
1513121014,12976128
1513121029,12976128
1513121033,12976128
1513121600,12976128
1513121914,12976128
1513121929,12976128
1513121933,12976128
1513122500,12976128
1513122814,12976128
1513122829,12976128
1513122833,12976128
1513123400,12976128
1513123714,12976128
1513123729,12976128
1513123733,12976128
1513124300,12976128
1513124614,12976128
1513124629,12976128
1513124633,12976128
1513125200,12976128
1513125514,12976128
1513125529,12976128
1513125533,12976128
1513126100,12976128
1513126414,12976128
1513126429,12976128
1513126433,12976128
1513127000,12976128
1513127314,12976128
1513127329,12976128
1513127333,12976128
1513127900,12976128
1513128214,12976128
1513128229,12976128
1513128233,12976128
1513128800,12976128
1513129114,12976128
1513129129,12976128
1513129133,12976128
1513129700,12976128
1513130014,12976128
1513130029,12976128
1513130033,12976128
1513130600,12976128
1513130914,12976128
1513130929,12976128
1513130933,12976128
1513131500,12976128
1513131814,12976128
1513131829,12976128
1513131833,12976128
1513132400,12976128
1513132714,12976128
1513132729,12976128
1513132733,12976128
1513133300,12976128
1513133614,12976128
1513133629,12976128
1513133633,12976128
1513134200,12976128
1513134514,12976128
1513134529,12976128
1513134533,12976128
1513135100,12976128
1513135414,12976128
1513135429,12976128
1513135433,12976128
1513136000,12976128
1513136314,12976128
1513136329,12976128
1513136333,12976128
1513136900,12976128
1513137214,12976128
1513137229,12976128
1513137233,12976128
1513137800,12976128
1513138114,12976128
1513138129,12976128
1513138133,12976128
1513138700,12976128
1513139014,12976128
1513139029,12976128
1513139033,12976128
1513139600,12976128
1513139914,12976128
1513139929,12976128
1513139933,12976128
1513140500,12976128
1513140814,12976128
1513140829,12976128
1513140833,12976128
1513141400,12976128
1513141714,12976128
1513141729,12976128
1513141733,12976128
1513142300,12976128
1513142614,12976128
1513142629,12976128
1513142633,12976128
1513143200,12976128
1513143514,12976128
1513143529,12976128
1513143533,12976128
1513144100,12976128
1513144414,12976128
1513144429,12976128
1513144433,12976128
1513145000,12976128
1513145314,12976128
1513145329,12976128
1513145333,12976128
1513145900,12976128
1513146214,12976128
1513146229,12976128
1513146233,12976128
1513146800,12976128
1513147114,12976128
1513147129,12976128
1513147133,12976128
1513147700,12976128
1513148014,12976128
1513148029,12976128
1513148033,12976128
1513148600,12976128
1513148914,12976128
1513148929,12976128
1513148933,12976128
1513149500,12976128
1513149814,12976128
1513149829,12976128
1513149833,12976128
1513150400,12976128
1513150714,12976128
1513150729,12976128
1513150733,12976128
1513151300,12976128
1513151614,12976128
1513151629,12976128
1513151633,12976128
1513152200,12976128
1513152514,12976128
1513152529,12976128
1513152533,12976128
1513153100,12976128
1513153414,12976128
1513153429,12976128
1513153433,12976128
1513154000,12976128
1513154314,12976128
1513154329,12976128
1513154333,12976128
1513154900,12976128
1513155214,12976128
1513155229,12976128
1513155233,12976128
1513155800,12976128
1513156114,12976128
1513156129,12976128
1513156133,12976128
1513156700,12976128
1513156997,12976128
1513157012,12976128
1513157016,12976128
1513157583,12976128
1513157897,12976128
1513157912,12976128
1513157916,12976128
1513158483,12976128
1513158797,12976128
1513158812,12976128
1513158816,12976128
1513159383,12976128
1513159697,12976128
1513159712,12976128
1513159716,12976128
1513160283,12976128
1513160597,12976128
1513160612,12976128
1513160616,12976128
1513161183,12976128
1513161497,12976128
1513161512,12976128
1513161516,12976128
1513162083,12976128
1513162397,12976128
1513162412,12976128
1513162416,12976128
1513162983,12976128
1513163297,12976128
1513163312,12976128
1513163316,12976128
1513163883,12976128
1513164197,12976128
1513164212,12976128
1513164216,12976128
1513164783,12976128
1513165097,12976128
1513165112,12976128
1513165116,12976128
1513165683,12976128
1513165997,12976128
1513166012,12976128
1513166016,12976128
1513166583,12976128
1513166897,12976128
1513166912,12976128
1513166916,12976128
1513167483,12976128
1513167797,12976128
1513167812,12976128
1513167816,12976128
1513168383,12976128
1513168697,12976128
1513168712,12976128
1513168716,12976128
1513169283,12976128
1513169597,12976128
1513169612,12976128
1513169616,12976128
1513170183,12976128
1513170497,12976128
1513170512,12976128
1513170516,12976128
1513171083,12976128
1513171397,12976128
1513171412,12976128
1513171416,12976128
1513171983,12976128
1513172297,12976128
1513172312,12976128
1513172316,12976128
1513172883,12976128
1513173197,12976128
1513173212,12976128
1513173216,12976128
1513173783,12976128
1513174097,12976128
1513174112,12976128
1513174116,12976128
1513174683,12976128
1513174997,12976128
1513175012,12976128
1513175016,12976128
1513175583,12976128
1513175897,12976128
1513175912,12976128
1513175916,12976128
1513176483,12976128
1513176797,12976128
1513176812,12976128
1513176816,12976128
1513177383,12976128
1513177697,12976128
1513177712,12976128
1513177716,12976128
1513178283,12976128
1513178597,12976128
1513178612,12976128
1513178616,12976128
1513179183,12976128
1513179497,12976128
1513179512,12976128
1513179516,12976128
1513180083,12976128
1513180397,12976128
1513180412,12976128
1513180416,12976128
1513180983,12976128
1513181297,12976128
1513181312,12976128
1513181316,12976128
1513181883,12976128
1513182197,12976128
1513182212,12976128
1513182216,12976128
1513182783,12976128
1513183097,12976128
1513183112,12976128
1513183116,12976128
1513183683,12976128
1513183997,12976128
1513184012,12976128
1513184016,12976128
1513184583,12976128
1513184897,12976128
1513184912,12976128
1513184916,12976128
1513185483,12976128
1513185797,12976128
1513185812,12976128
1513185816,12976128
1513186383,12976128
1513186697,12976128
1513186712,12976128
1513186716,12976128
1513187283,12976128
1513187597,12976128
1513187612,12976128
1513187616,12976128
1513188183,12976128
1513188497,12976128
1513188512,12976128
1513188516,12976128
1513189083,12976128
1513189397,12976128
1513189412,12976128
1513189416,12976128
1513189983,12976128
1513190297,12976128
1513190312,12976128
1513190316,12976128
1513190883,12976128
1513191197,12976128
1513191212,12976128
1513191216,12976128
1513191783,12976128
1513192097,12976128
1513192112,12976128
1513192116,12976128
1513192683,12976128
1513192997,12976128
1513193012,12976128
1513193016,12976128
1513193583,12976128
1513193897,12976128
1513193912,12976128
1513193916,12976128
1513194483,12976128
1513194797,12976128
1513194812,12976128
1513194816,12976128
1513195383,12976128
1513195697,12976128
1513195712,12976128
1513195716,12976128
1513196283,12976128
1513196597,12976128
1513196612,12976128
1513196616,12976128
1513198542,10092544
1513199442,10092544
1513200342,10092544
1513201242,10092544
1513202142,10092544
1513203042,10092544
1513203942,10092544
1513204842,10092544
1513205742,10092544
1513206642,10092544
1513207542,10092544
1513208442,10092544
1513209342,10092544
1513210242,10092544
1513211142,10092544
1513212042,10092544
1513212942,10092544
1513213842,10092544
1513214742,10092544
1513215642,10092544
1513216542,10092544
1513217442,10092544
1513218342,10092544
1513219242,10092544
1513220142,10092544
1513221042,10092544
1513221942,10092544
1513222842,10092544
1513223742,10092544
1513224642,10092544
1513225542,10092544
1513226442,10092544
1513227342,10092544
1513228242,10092544
1513229142,10092544
1513230042,10092544
1513230942,10092544
1513231842,10092544
1513232742,10092544
1513233642,10092544
1513234542,10092544
1513235442,10092544
1513236342,10092544
1513237242,10092544
1513238142,10092544
1513239042,10092544
1513239942,10092544
1513240842,10092544
1513241742,10092544
1513243476,10092544
1513244376,10092544
1513245276,10092544
1513246176,10092544
1513247075,10092544
1513247975,12845056
1513248186,12976128
1513248186,12976128
1513248186,12976128
1513248875,12976128
1513249086,12976128
1513249086,12976128
1513249086,12976128
1513249775,12976128
1513249986,12976128
1513249986,12976128
1513249986,12976128
1513250675,12976128
1513250886,12976128
1513250886,12976128
1513250886,12976128
1513251575,12976128
1513251786,12976128
1513251786,12976128
1513251786,12976128
1513252473,12976128
1513252684,12976128
1513252684,12976128
1513252684,12976128
1513253373,12976128
1513253584,12976128
1513253584,12976128
1513253584,12976128
1513254273,12976128
1513254484,12976128
1513254484,12976128
1513254484,12976128
1513255173,12976128
1513255384,12976128
1513255384,12976128
1513255384,12976128
1513256073,12976128
1513256284,12976128
1513256284,12976128
1513256284,12976128
1513256973,12976128
1513257184,12976128
1513257184,12976128
1513257184,12976128
1513257873,12976128
1513258084,12976128
1513258084,12976128
1513258084,12976128
1513258773,12976128
1513258984,12976128
1513258984,12976128
1513258984,12976128
1513259673,12976128
1513259884,12976128
1513259884,12976128
1513259884,12976128
1513260573,12976128
1513260784,12976128
1513260784,12976128
1513260784,12976128
1513261473,12976128
1513261684,12976128
1513261684,12976128
1513261684,12976128
1513262373,12976128
1513262584,12976128
1513262584,12976128
1513262584,12976128
1513263273,12976128
1513263484,12976128
1513263484,12976128
1513263484,12976128
1513264175,12976128
1513264386,12976128
1513264386,12976128
1513264386,12976128
1513265075,12976128
1513265286,12976128
1513265286,12976128
1513265286,12976128
1513265975,12976128
1513266186,12976128
1513266186,12976128
1513266186,12976128
1513267602,12976128
1513267898,12976128
1513267898,12976128
1513267913,12976128
1513268502,12976128
1513268798,12976128
1513268798,12976128
1513268813,12976128
1513269402,12976128
1513269698,12976128
1513269698,12976128
1513269713,12976128
1513270302,12976128
1513270598,12976128
1513270598,12976128
1513270613,12976128
1513271202,12976128
1513271498,12976128
1513271498,12976128
1513271513,12976128
1513272102,12976128
1513272398,12976128
1513272398,12976128
1513272413,12976128
1513273002,12976128
1513273298,12976128
1513273298,12976128
1513273313,12976128
1513273902,12976128
1513274198,12976128
1513274198,12976128
1513274213,12976128
1513274802,12976128
1513275098,12976128
1513275098,12976128
1513275113,12976128
1513275702,12976128
1513275998,12976128
1513275998,12976128
1513276013,12976128
1513276602,12976128
1513276898,12976128
1513276898,12976128
1513276913,12976128
1513277502,12976128
1513277798,12976128
1513277798,12976128
1513277813,12976128
1513278402,12976128
1513278698,12976128
1513278698,12976128
1513278713,12976128
1513279302,12976128
1513279598,12976128
1513279598,12976128
1513279613,12976128
1513280202,12976128
1513280498,12976128
1513280498,12976128
1513280513,12976128
1513281102,12976128
1513281398,12976128
1513281398,12976128
1513281413,12976128
1513282002,12976128
1513282298,12976128
1513282298,12976128
1513282313,12976128
1513282902,12976128
1513283198,12976128
1513283198,12976128
1513283213,12976128
1513283802,12976128
1513284098,12976128
1513284098,12976128
1513284113,12976128
1513284702,12976128
1513284998,12976128
1513284998,12976128
1513285013,12976128
1513285602,12976128
1513285898,12976128
1513285898,12976128
1513285913,12976128
1513286502,12976128
1513286798,12976128
1513286798,12976128
1513286813,12976128
1513287402,12976128
1513287698,12976128
1513287698,12976128
1513287713,12976128
1513288302,12976128
1513288598,12976128
1513288598,12976128
1513288613,12976128
1513289202,12976128
1513289498,12976128
1513289498,12976128
1513289513,12976128
1513290102,12976128
1513290398,12976128
1513290398,12976128
1513290413,12976128
1513291002,12976128
1513291298,12976128
1513291298,12976128
1513291313,12976128
1513291902,12976128
1513292198,12976128
1513292198,12976128
1513292213,12976128
1513292802,12976128
1513293098,12976128
1513293098,12976128
1513293113,12976128
1513293702,12976128
1513293998,12976128
1513293998,12976128
1513294013,12976128
1513294602,12976128
1513294898,12976128
1513294898,12976128
1513294913,12976128
1513295502,12976128
1513295798,12976128
1513295798,12976128
1513295813,12976128
1513296402,12976128
1513296698,12976128
1513296698,12976128
1513296713,12976128
1513297302,12976128
1513297598,12976128
1513297598,12976128
1513297613,12976128
1513298202,12976128
1513298498,12976128
1513298498,12976128
1513298513,12976128
1513299102,12976128
1513299398,12976128
1513299398,12976128
1513299413,12976128
1513300002,12976128
1513300298,12976128
1513300298,12976128
1513300313,12976128
1513300902,12976128
1513301198,12976128
1513301198,12976128
1513301213,12976128
1513301802,12976128
1513302098,12976128
1513302098,12976128
1513302113,12976128
1513302702,12976128
1513302998,12976128
1513302998,12976128
1513303013,12976128
1513303602,12976128
1513303898,12976128
1513303898,12976128
1513303913,12976128
1513304502,12976128
1513304798,12976128
1513304798,12976128
1513304813,12976128
1513305402,12976128
1513305698,12976128
1513305698,12976128
1513305713,12976128
1513306302,12976128
1513306598,12976128
1513306598,12976128
1513306613,12976128
1513307202,12976128
1513307498,12976128
1513307498,12976128
1513307513,12976128
1513308102,12976128
1513308398,12976128
1513308398,12976128
1513308413,12976128
1513309002,12976128
1513309298,12976128
1513309298,12976128
1513309313,12976128
1513309902,12976128
1513310198,12976128
1513310198,12976128
1513310213,12976128
1513310802,12976128
1513311098,12976128
1513311098,12976128
1513311113,12976128
1513311702,12976128
1513311998,12976128
1513311998,12976128
1513312013,12976128
1513312602,12976128
1513312898,12976128
1513312898,12976128
1513312913,12976128
1513313502,12976128
1513313798,12976128
1513313798,12976128
1513313813,12976128
1513314402,12976128
1513314698,12976128
1513314698,12976128
1513314713,12976128
1513315302,12976128
1513315598,12976128
1513315598,12976128
1513315613,12976128
1513316202,12976128
1513316498,12976128
1513316498,12976128
1513316513,12976128
1513317102,12976128
1513317398,12976128
1513317398,12976128
1513317413,12976128
1513318002,12976128
1513318298,12976128
1513318298,12976128
1513318313,12976128
1513318902,12976128
1513319198,12976128
1513319198,12976128
1513319213,12976128
1513319802,12976128
1513320098,12976128
1513320098,12976128
1513320113,12976128
1513320702,12976128
1513320998,12976128
1513320998,12976128
1513321013,12976128
1513321602,12976128
1513321898,12976128
1513321898,12976128
1513321913,12976128
1513322502,12976128
1513322798,12976128
1513322798,12976128
1513322813,12976128
1513323402,12976128
1513323698,12976128
1513323698,12976128
1513323713,12976128
1513324302,12976128
1513324598,12976128
1513324598,12976128
1513324613,12976128
1513325202,12976128
1513325498,12976128
1513325498,12976128
1513325513,12976128
1513326102,12976128
1513326398,12976128
1513326398,12976128
1513326413,12976128
1513327002,12976128
1513327298,12976128
1513327298,12976128
1513327313,12976128
1513327902,12976128
1513328198,12976128
1513328198,12976128
1513328213,12976128
1513328802,12976128
1513329098,12976128
1513329098,12976128
1513329113,12976128
1513329702,12976128
1513329998,12976128
1513329998,12976128
1513330013,12976128
1513330602,12976128
1513330898,12976128
1513330898,12976128
1513330913,12976128
1513331502,12976128
1513331798,12976128
1513331798,12976128
1513331813,12976128
1513332402,12976128
1513332698,12976128
1513332698,12976128
1513332713,12976128
1513333302,12976128
1513333598,12976128
1513333598,12976128
1513333613,12976128
1513334202,12976128
1513334498,12976128
1513334498,12976128
1513334513,12976128
1513335102,12976128
1513335398,12976128
1513335398,12976128
1513335413,12976128
1513336002,12976128
1513336298,12976128
1513336298,12976128
1513336313,12976128
1513336902,12976128
1513337198,12976128
1513337198,12976128
1513337213,12976128
1513337802,12976128
1513338098,12976128
1513338098,12976128
1513338113,12976128
1513338702,12976128
1513338998,12976128
1513338998,12976128
1513339013,12976128
1513339602,12976128
1513339898,12976128
1513339898,12976128
1513339913,12976128
1513340502,12976128
1513340798,12976128
1513340798,12976128
1513340813,12976128
1513341402,12976128
1513341698,12976128
1513341698,12976128
1513341713,12976128
1513342302,12976128
1513342598,12976128
1513342598,12976128
1513342613,12976128
1513343202,12976128
1513343498,12976128
1513343498,12976128
1513343513,12976128
1513344102,12976128
1513344398,12976128
1513344398,12976128
1513344413,12976128
1513345002,12976128
1513345298,12976128
1513345298,12976128
1513345313,12976128
1513345902,12976128
1513346198,12976128
1513346198,12976128
1513346213,12976128
1513346802,12976128
1513347098,12976128
1513347098,12976128
1513347113,12976128
1513347702,12976128
1513347998,12976128
1513347998,12976128
1513348013,12976128
1513348602,12976128
1513348898,12976128
1513348898,12976128
1513348913,12976128
1513349502,12976128
1513349798,12976128
1513349798,12976128
1513349813,12976128
1513350402,12976128
1513350698,12976128
1513350698,12976128
1513350713,12976128
1513351302,12976128
1513351598,12976128
1513351598,12976128
1513351613,12976128
1513352202,12976128
1513352498,12976128
1513352498,12976128
1513352513,12976128
1513353102,12976128
1513353398,12976128
1513353398,12976128
1513353413,12976128
1513354002,12976128
1513354298,12976128
1513354298,12976128
1513354313,12976128
1513354902,12976128
1513355198,12976128
1513355198,12976128
1513355213,12976128
1513355802,12976128
1513356098,12976128
1513356098,12976128
1513356113,12976128
1513356702,12976128
1513356998,12976128
1513356998,12976128
1513357013,12976128
1513357602,12976128
1513357898,12976128
1513357898,12976128
1513357913,12976128
1513358502,12976128
1513358798,12976128
1513358798,12976128
1513358813,12976128
1513359402,12976128
1513359698,12976128
1513359698,12976128
1513359713,12976128
1513360302,12976128
1513360598,12976128
1513360598,12976128
1513360613,12976128
1513361202,12976128
1513361498,12976128
1513361498,12976128
1513361513,12976128
1513362102,12976128
1513362398,12976128
1513362398,12976128
1513362413,12976128
1513363002,12976128
1513363298,12976128
1513363298,12976128
1513363313,12976128
1513363902,12976128
1513364198,12976128
1513364198,12976128
1513364213,12976128
1513364802,12976128
1513365098,12976128
1513365098,12976128
1513365113,12976128
1513365702,12976128
1513365998,12976128
1513365998,12976128
1513366013,12976128
1513366602,12976128
1513366898,12976128
1513366898,12976128
1513366913,12976128
1513367502,12976128
1513367798,12976128
1513367798,12976128
1513367813,12976128
1513368402,12976128
1513368698,12976128
1513368698,12976128
1513368713,12976128
1513369302,12976128
1513369598,12976128
1513369598,12976128
1513369613,12976128
1513370202,12976128
1513370498,12976128
1513370498,12976128
1513370513,12976128
1513371102,12976128
1513371398,12976128
1513371398,12976128
1513371413,12976128
1513372002,12976128
1513372298,12976128
1513372298,12976128
1513372313,12976128
1513372902,12976128
1513373198,12976128
1513373198,12976128
1513373213,12976128
1513373802,12976128
1513374098,12976128
1513374098,12976128
1513374113,12976128
1513374702,12976128
1513374998,12976128
1513374998,12976128
1513375013,12976128
1513375602,12976128
1513375898,12976128
1513375898,12976128
1513375913,12976128
1513376502,12976128
1513376798,12976128
1513376798,12976128
1513376813,12976128
1513377402,12976128
1513377698,12976128
1513377698,12976128
1513377713,12976128
1513378302,12976128
1513378598,12976128
1513378598,12976128
1513378613,12976128
1513379202,12976128
1513379498,12976128
1513379498,12976128
1513379513,12976128
1513380102,12976128
1513380398,12976128
1513380398,12976128
1513380413,12976128
1513381002,12976128
1513381298,12976128
1513381298,12976128
1513381313,12976128
1513381902,12976128
1513382198,12976128
1513382198,12976128
1513382213,12976128
1513382802,12976128
1513383098,12976128
1513383098,12976128
1513383113,12976128
1513383702,12976128
1513383998,12976128
1513383998,12976128
1513384013,12976128
1513384602,12976128
1513384898,12976128
1513384898,12976128
1513384913,12976128
1513385502,12976128
1513385798,12976128
1513385798,12976128
1513385813,12976128
1513386402,12976128
1513386698,12976128
1513386698,12976128
1513386713,12976128
1513387302,12976128
1513387598,12976128
1513387598,12976128
1513387613,12976128
1513388202,12976128
1513388498,12976128
1513388498,12976128
1513388513,12976128
1513389102,12976128
1513389398,12976128
1513389398,12976128
1513389413,12976128
1513390002,12976128
1513390298,12976128
1513390298,12976128
1513390313,12976128
1513390902,12976128
1513391198,12976128
1513391198,12976128
1513391213,12976128
1513391802,12976128
1513392098,12976128
1513392098,12976128
1513392113,12976128
1513392702,12976128
1513392998,12976128
1513392998,12976128
1513393013,12976128
1513393602,12976128
1513393898,12976128
1513393898,12976128
1513393913,12976128
1513394502,12976128
1513394798,12976128
1513394798,12976128
1513394813,12976128
1513395402,12976128
1513395698,12976128
1513395698,12976128
1513395713,12976128
1513396302,12976128
1513396598,12976128
1513396598,12976128
1513396613,12976128
1513397202,12976128
1513397498,12976128
1513397498,12976128
1513397513,12976128
1513398102,12976128
1513398398,12976128
1513398398,12976128
1513398413,12976128
1513399002,12976128
1513399298,12976128
1513399298,12976128
1513399313,12976128
1513399902,12976128
1513400198,12976128
1513400198,12976128
1513400213,12976128
1513400802,12976128
1513401098,12976128
1513401098,12976128
1513401113,12976128
1513401702,12976128
1513401998,12976128
1513401998,12976128
1513402013,12976128
1513402602,12976128
1513402898,12976128
1513402898,12976128
1513402913,12976128
1513403502,12976128
1513403798,12976128
1513403798,12976128
1513403813,12976128
1513404402,12976128
1513404698,12976128
1513404698,12976128
1513404713,12976128
1513405302,12976128
1513405598,12976128
1513405598,12976128
1513405613,12976128
1513406202,12976128
1513406498,12976128
1513406498,12976128
1513406513,12976128
1513407102,12976128
1513407398,12976128
1513407398,12976128
1513407413,12976128
1513408002,12976128
1513408298,12976128
1513408298,12976128
1513408313,12976128
1513408902,12976128
1513409198,12976128
1513409198,12976128
1513409213,12976128
1513409802,12976128
1513410098,12976128
1513410098,12976128
1513410113,12976128
1513410702,12976128
1513410998,12976128
1513410998,12976128
1513411013,12976128
1513411602,12976128
1513411898,12976128
1513411898,12976128
1513411913,12976128
1513412502,12976128
1513412798,12976128
1513412798,12976128
1513412813,12976128
1513413402,12976128
1513413698,12976128
1513413698,12976128
1513413713,12976128
1513414302,12976128
1513414598,12976128
1513414598,12976128
1513414613,12976128
1513415202,12976128
1513415498,12976128
1513415498,12976128
1513415513,12976128
1513416102,12976128
1513416398,12976128
1513416398,12976128
1513416413,12976128
1513417002,12976128
1513417298,12976128
1513417298,12976128
1513417313,12976128
1513417902,12976128
1513418198,12976128
1513418198,12976128
1513418213,12976128
1513418802,12976128
1513419098,12976128
1513419098,12976128
1513419113,12976128
1513419702,12976128
1513419998,12976128
1513419998,12976128
1513420013,12976128
1513420602,12976128
1513420898,12976128
1513420898,12976128
1513420913,12976128
1513421502,12976128
1513421798,12976128
1513421798,12976128
1513421813,12976128
1513422402,12976128
1513422698,12976128
1513422698,12976128
1513422713,12976128
1513423302,12976128
1513423598,12976128
1513423598,12976128
1513423613,12976128
1513424202,12976128
1513424498,12976128
1513424498,12976128
1513424513,12976128
1513425102,12976128
1513425398,12976128
1513425398,12976128
1513425413,12976128
1513426002,12976128
1513426298,12976128
1513426298,12976128
1513426313,12976128
1513426902,12976128
1513427198,12976128
1513427198,12976128
1513427213,12976128
1513427802,12976128
1513428098,12976128
1513428098,12976128
1513428113,12976128
1513428702,12976128
1513428998,12976128
1513428998,12976128
1513429013,12976128
1513429602,12976128
1513429898,12976128
1513429898,12976128
1513429913,12976128
1513430502,12976128
1513430798,12976128
1513430798,12976128
1513430813,12976128
1513431402,12976128
1513431698,12976128
1513431698,12976128
1513431713,12976128
1513432302,12976128
1513432598,12976128
1513432598,12976128
1513432613,12976128
1513433202,12976128
1513433498,12976128
