t,value
1513090526,12603160
1513090629,12610544
1513090670,12613672
1513090680,12620352
1513091426,12627008
1513091529,12627520
1513091570,12627984
1513091580,12629640
1513092326,12631512
1513092429,12631512
1513092470,12631512
1513092480,12631512
1513093226,12633456
1513093329,12633456
1513093370,12633456
1513093380,12634016
1513094126,12634016
1513094229,12634016
1513094270,12634016
1513094280,12634016
1513095026,12635120
1513095129,12635120
1513095170,12635120
1513095180,12635120
1513095926,12636704
1513096029,12636704
1513096070,12636704
1513096080,12636704
1513096826,12636704
1513096929,12638360
1513096970,12640016
1513096980,12641672
1513097726,12643328
1513097829,12643328
1513097870,12643328
1513097880,12643328
1513098626,12643880
1513098729,12643880
1513098770,12643880
1513098780,12643880
1513099526,13663024
1513099629,13663024
1513099670,13663024
1513099680,13663024
1513100426,13663024
1513100529,13663024
1513100570,13663024
1513100580,13663576
1513101326,13664600
1513101429,13664600
1513101470,13664600
1513101480,13664600
1513102226,13664600
1513102329,13664600
1513102370,13664600
1513102380,13664600
1513103126,13664600
1513103229,13664600
1513103270,13664600
1513103280,13664600
1513104026,13665080
1513104129,13665080
1513104170,13665080
1513104180,13665080
1513104926,13665560
1513105029,13665560
1513105070,13665560
1513105080,13665560
1513109271,12533496
1513109685,12543088
1513109686,12544696
1513109697,12549384
1513110171,12552024
1513110585,12565096
1513110586,12565096
1513110597,12566752
1513110800,12534488
1513111114,12544712
1513111129,12547840
1513111133,12550968
1513111700,12559880
1513112014,12560856
1513112029,12560856
1513112033,12562512
1513112600,12564872
1513112914,12564872
1513112929,12564872
1513112933,12564872
1513113500,12564872
1513113814,12564872
1513113829,12564872
1513113833,12564872
1513114400,12565432
1513114714,12565432
1513114729,12565432
1513114733,12565432
1513115300,12568200
1513115614,12568752
1513115629,12568752
1513115633,12568752
1513116200,12570960
1513116514,12570960
1513116529,12570960
1513116533,12570960
1513117100,12570960
1513117414,12572616
1513117429,12574272
1513117433,12575928
1513118000,12577584
1513118314,12577584
1513118329,12577584
1513118333,12577584
1513118900,12577584
1513119214,12577584
1513119229,12577584
1513119233,12577584
1513119800,12577584
1513120114,12577584
1513120129,12577584
1513120133,12577584
1513120700,12577584
1513121014,12577584
1513121029,12577584
1513121033,12577584
1513121600,12577584
1513121914,12577584
1513121929,12577584
1513121933,12577584
1513122500,12577584
1513122814,12578056
1513122829,12578056
1513122833,12578056
1513123400,12578056
1513123714,12578536
1513123729,12578536
1513123733,12578536
1513124300,12578536
1513124614,12578536
1513124629,12578536
1513124633,12578536
1513125200,12578536
1513125514,12578536
1513125529,12578536
1513125533,12578536
1513126100,12578536
1513126414,12578536
1513126429,12578536
1513126433,12578536
1513127000,12578536
1513127314,12578536
1513127329,12578536
1513127333,12578536
1513127900,12578536
1513128214,12578536
1513128229,12578536
1513128233,12578536
1513128800,12578536
1513129114,12578536
1513129129,12578536
1513129133,12578536
1513129700,12578536
1513130014,12578536
1513130029,12578536
1513130033,12578536
1513130600,12578536
1513130914,12578536
1513130929,12578536
1513130933,12578536
1513131500,12578536
1513131814,12578536
1513131829,12578536
1513131833,12578536
1513132400,12578536
1513132714,12578536
1513132729,12578536
1513132733,12578536
1513133300,12578536
1513133614,12578536
1513133629,12578536
1513133633,12578536
1513134200,12578536
1513134514,12578536
1513134529,12578536
1513134533,12578536
1513135100,12578536
1513135414,12578536
1513135429,12578536
1513135433,12578536
1513136000,12578536
1513136314,12578536
1513136329,12578536
1513136333,12578536
1513136900,12578536
1513137214,12579016
1513137229,12579016
1513137233,12579016
1513137800,12579016
1513138114,12579016
1513138129,12579016
1513138133,12579016
1513138700,12579600
1513139014,12579600
1513139029,12579600
1513139033,12579600
1513139600,12580080
1513139914,12580080
1513139929,12580080
1513139933,12580080
1513140500,12580560
1513140814,12581040
1513140829,12581040
1513140833,12581040
1513141400,12581040
1513141714,12581040
1513141729,12581040
1513141733,12581040
1513142300,12581040
1513142614,12581040
1513142629,12581040
1513142633,12581040
1513143200,12581040
1513143514,12581040
1513143529,12581040
1513143533,12581040
1513144100,12581040
1513144414,12581040
1513144429,12581040
1513144433,12581040
1513145000,12582960
1513145314,12582960
1513145329,12582960
1513145333,12582960
1513145900,12582960
1513146214,12582960
1513146229,12582960
1513146233,12582960
1513146800,12582960
1513147114,12582960
1513147129,12582960
1513147133,12582960
1513147700,12582960
1513148014,12582960
1513148029,12582960
1513148033,12582960
1513148600,12582960
1513148914,12582960
1513148929,12582960
1513148933,12582960
1513149500,12582960
1513149814,12587920
1513149829,12587920
1513149833,12587920
1513150400,12587920
1513150714,12587920
1513150729,12587920
1513150733,12587920
1513151300,12587920
1513151614,12587920
1513151629,12587920
1513151633,12587920
1513152200,12587920
1513152514,12587920
1513152529,12587920
1513152533,12587920
1513153100,12587920
1513153414,12587920
1513153429,12587920
1513153433,12587920
1513154000,12587920
1513154314,12587920
1513154329,12587920
1513154333,12587920
1513154900,12587920
