t,value
1513090526,102301696
1513090629,102563840
1513090670,102563840
1513090680,102563840
1513091426,102825984
1513091529,102825984
1513091570,103088128
1513091580,103088128
1513092326,103088128
1513092429,103088128
1513092470,103088128
1513092480,103088128
1513093226,103481344
1513093329,103481344
1513093370,103481344
1513093380,103481344
1513094126,103743488
1513094229,103743488
1513094270,103743488
1513094280,103743488
1513095026,103743488
1513095129,103743488
1513095170,103743488
1513095180,103743488
1513095926,104005632
1513096029,104005632
1513096070,104005632
1513096080,104005632
1513096826,104005632
1513096929,104005632
1513096970,104005632
1513096980,104005632
1513097726,104267776
1513097829,104267776
1513097870,104267776
1513097880,104529920
1513098626,104529920
1513098729,104529920
1513098770,104529920
1513098780,104529920
1513099526,112656384
1513099629,112656384
1513099670,112656384
1513099680,112656384
1513100426,112656384
1513100529,112656384
1513100570,112656384
1513100580,112656384
1513101326,112918528
1513101429,112918528
1513101470,112918528
1513101480,112918528
1513102226,112918528
1513102329,112918528
1513102370,112918528
1513102380,112918528
1513103126,112918528
1513103229,112918528
1513103270,112918528
1513103280,112918528
1513104026,112918528
1513104129,112918528
1513104170,112918528
1513104180,112918528
1513104926,112918528
1513105029,112918528
1513105070,112918528
1513105080,112918528
1513109271,101490688
1513109685,101752832
1513109686,101752832
1513109697,101752832
1513110171,101752832
1513110585,102146048
1513110586,102146048
1513110597,102146048
1513110800,101539840
1513111114,101801984
1513111129,101801984
1513111133,102064128
1513111700,102326272
1513112014,102326272
1513112029,102588416
1513112033,102588416
1513112600,102588416
1513112914,102588416
1513112929,102588416
1513112933,102588416
1513113500,102588416
1513113814,102850560
1513113829,102850560
1513113833,102850560
1513114400,102850560
1513114714,103112704
1513114729,103112704
1513114733,103112704
1513115300,103112704
1513115614,103112704
1513115629,103112704
1513115633,103112704
1513116200,103112704
1513116514,103112704
1513116529,103112704
1513116533,103112704
1513117100,103374848
1513117414,103374848
1513117429,103374848
1513117433,103374848
1513118000,103899136
1513118314,103899136
1513118329,103899136
1513118333,103899136
1513118900,103899136
1513119214,103899136
1513119229,103899136
1513119233,103899136
1513119800,103899136
1513120114,103899136
1513120129,103899136
1513120133,103899136
1513120700,103899136
1513121014,103899136
1513121029,103899136
1513121033,103899136
1513121600,103899136
1513121914,104161280
1513121929,104161280
1513121933,104161280
1513122500,104161280
1513122814,104161280
1513122829,104161280
1513122833,104161280
1513123400,104161280
1513123714,104161280
1513123729,104161280
1513123733,104161280
1513124300,104161280
1513124614,104161280
1513124629,104161280
1513124633,104161280
1513125200,104161280
1513125514,104161280
1513125529,104161280
1513125533,104161280
1513126100,104161280
1513126414,104161280
1513126429,104161280
1513126433,104161280
1513127000,104161280
1513127314,104161280
1513127329,104161280
1513127333,104161280
1513127900,104161280
1513128214,104161280
1513128229,104161280
1513128233,104161280
1513128800,104161280
1513129114,104161280
1513129129,104161280
1513129133,104161280
1513129700,104161280
1513130014,104161280
1513130029,104161280
1513130033,104161280
1513130600,104161280
1513130914,104161280
1513130929,104161280
1513130933,104161280
1513131500,104161280
1513131814,104161280
1513131829,104161280
1513131833,104161280
1513132400,104161280
1513132714,104161280
1513132729,104161280
1513132733,104161280
1513133300,104423424
1513133614,104423424
1513133629,104423424
1513133633,104423424
1513134200,104423424
1513134514,104423424
1513134529,104423424
1513134533,104423424
1513135100,104423424
1513135414,104423424
1513135429,104423424
1513135433,104423424
1513136000,104423424
1513136314,104423424
1513136329,104423424
1513136333,104423424
1513136900,104423424
1513137214,104423424
1513137229,104423424
1513137233,104423424
1513137800,104423424
1513138114,104423424
1513138129,104423424
1513138133,104423424
1513138700,104423424
1513139014,104423424
1513139029,104423424
1513139033,104423424
1513139600,104423424
1513139914,104423424
1513139929,104423424
1513139933,104423424
1513140500,104685568
1513140814,104685568
1513140829,104685568
1513140833,104685568
1513141400,104685568
1513141714,104685568
1513141729,104685568
1513141733,104685568
1513142300,104685568
1513142614,104685568
1513142629,104685568
1513142633,104685568
