t,value
1513090526,134742016
1513090629,134742016
1513090670,134742016
1513090680,134742016
1513091426,134742016
1513091529,134742016
1513091570,134742016
1513091580,134742016
1513092326,134742016
1513092429,134742016
1513092470,134742016
1513092480,134742016
1513093226,134742016
1513093329,134742016
1513093370,134742016
1513093380,134742016
1513094126,134742016
1513094229,134742016
1513094270,134742016
1513094280,134742016
1513095026,134742016
1513095129,134742016
1513095170,134742016
1513095180,134742016
1513095926,134742016
1513096029,134742016
1513096070,134742016
1513096080,134742016
1513096826,134742016
1513096929,134742016
1513096970,134742016
1513096980,134742016
1513097726,134742016
1513097829,134742016
1513097870,134742016
1513097880,134742016
1513098626,134742016
1513098729,134742016
1513098770,134742016
1513098780,134742016
1513099526,134742016
1513099629,134742016
1513099670,134742016
1513099680,134742016
1513100426,134742016
1513100529,134742016
1513100570,134742016
1513100580,134742016
1513101326,134742016
1513101429,134742016
1513101470,134742016
1513101480,134742016
1513102226,134742016
1513102329,134742016
1513102370,134742016
1513102380,134742016
1513103126,134742016
1513103229,134742016
1513103270,134742016
1513103280,134742016
1513104026,134742016
1513104129,134742016
1513104170,134742016
1513104180,134742016
1513104926,134742016
1513105029,134742016
1513105070,134742016
1513105080,134742016
1513109271,134742016
1513109685,134742016
1513109686,134742016
1513109697,134742016
1513110171,134742016
1513110585,134742016
1513110586,134742016
1513110597,134742016
1513110800,134742016
1513111114,134742016
1513111129,134742016
1513111133,134742016
1513111700,134742016
1513112014,134742016
1513112029,134742016
1513112033,134742016
1513112600,134742016
1513112914,134742016
1513112929,134742016
1513112933,134742016
1513113500,134742016
1513113814,134742016
1513113829,134742016
1513113833,134742016
1513114400,134742016
1513114714,134742016
1513114729,134742016
1513114733,134742016
1513115300,134742016
1513115614,134742016
1513115629,134742016
1513115633,134742016
1513116200,134742016
1513116514,134742016
1513116529,134742016
1513116533,134742016
1513117100,134742016
1513117414,134742016
1513117429,134742016
1513117433,134742016
1513118000,134742016
1513118314,134742016
1513118329,134742016
1513118333,134742016
1513118900,134742016
1513119214,134742016
1513119229,134742016
1513119233,134742016
1513119800,134742016
1513120114,134742016
1513120129,134742016
1513120133,134742016
1513120700,134742016
1513121014,134742016
1513121029,134742016
1513121033,134742016
1513121600,134742016
1513121914,134742016
1513121929,134742016
1513121933,134742016
1513122500,134742016
1513122814,134742016
1513122829,134742016
1513122833,134742016
1513123400,134742016
1513123714,134742016
1513123729,134742016
1513123733,134742016
1513124300,134742016
1513124614,134742016
1513124629,134742016
1513124633,134742016
1513125200,134742016
1513125514,134742016
1513125529,134742016
1513125533,134742016
1513126100,134742016
1513126414,134742016
1513126429,134742016
1513126433,134742016
1513127000,134742016
1513127314,134742016
1513127329,134742016
1513127333,134742016
1513127900,134742016
1513128214,134742016
1513128229,134742016
1513128233,134742016
1513128800,134742016
1513129114,134742016
1513129129,134742016
1513129133,134742016
1513129700,134742016
1513130014,134742016
1513130029,134742016
1513130033,134742016
1513130600,134742016
1513130914,134742016
1513130929,134742016
1513130933,134742016
1513131500,134742016
1513131814,134742016
1513131829,134742016
1513131833,134742016
1513132400,134742016
1513132714,134742016
1513132729,134742016
1513132733,134742016
1513133300,134742016
1513133614,134742016
1513133629,134742016
1513133633,134742016
1513134200,134742016
1513134514,134742016
1513134529,134742016
1513134533,134742016
1513135100,134742016
1513135414,134742016
1513135429,134742016
1513135433,134742016
1513136000,134742016
1513136314,134742016
1513136329,134742016
1513136333,134742016
1513136900,134742016
1513137214,134742016
1513137229,134742016
1513137233,134742016
1513137800,134742016
1513138114,134742016
1513138129,134742016
1513138133,134742016
1513138700,134742016
1513139014,134742016
1513139029,134742016
1513139033,134742016
1513139600,134742016
1513139914,134742016
1513139929,134742016
1513139933,134742016
1513140500,134742016
1513140814,134742016
1513140829,134742016
1513140833,134742016
1513141400,134742016
1513141714,134742016
1513141729,134742016
1513141733,134742016
1513142300,134742016
1513142614,134742016
1513142629,134742016
1513142633,134742016
1513143200,134742016
1513143514,134742016
1513143529,134742016
1513143533,134742016
1513144100,134742016
1513144414,134742016
1513144429,134742016
1513144433,134742016
1513145000,134742016
1513145314,134742016
1513145329,134742016
1513145333,134742016
1513145900,134742016
1513146214,134742016
1513146229,134742016
1513146233,134742016
1513146800,134742016
1513147114,134742016
1513147129,134742016
1513147133,134742016
1513147700,134742016
1513148014,134742016
1513148029,134742016
1513148033,134742016
1513148600,134742016
1513148914,134742016
1513148929,134742016
1513148933,134742016
1513149500,134742016
1513149814,134742016
1513149829,134742016
1513149833,134742016
1513150400,134742016
1513150714,134742016
1513150729,134742016
