t,value
1513090526,2406481920
1513090629,2406481920
1513090670,2406481920
1513090680,2406481920
1513091426,2406481920
1513091529,2406481920
1513091570,2406481920
1513091580,2406481920
1513092326,2406481920
1513092429,2406481920
1513092470,2406481920
1513092480,2406481920
1513093226,2406481920
1513093329,2406481920
1513093370,2406481920
1513093380,2406481920
1513094126,2424832000
1513094229,2424832000
1513094270,2424832000
1513094280,2424832000
1513095026,2424832000
1513095129,2424832000
1513095170,2424832000
1513095180,2424832000
1513095926,2424832000
1513096029,2424832000
1513096070,2424832000
1513096080,2424832000
1513096826,2424832000
1513096929,2424832000
1513096970,2424832000
1513096980,2424832000
1513097726,2424832000
1513097829,2424832000
1513097870,2424832000
1513097880,2424832000
1513098626,2424832000
1513098729,2424832000
1513098770,2424832000
1513098780,2424832000
1513099526,2442133504
1513099629,2442133504
1513099670,2442133504
1513099680,2442133504
1513100426,2442133504
1513100529,2442133504
1513100570,2442133504
1513100580,2442133504
1513101326,2442133504
1513101429,2442133504
1513101470,2442133504
1513101480,2442133504
1513102226,2442133504
1513102329,2442133504
1513102370,2442133504
1513102380,2442133504
1513103126,2442133504
1513103229,2442133504
1513103270,2442133504
1513103280,2442133504
1513104026,2452094976
1513104129,2452094976
1513104170,2452094976
1513104180,2452094976
1513104926,2452094976
1513105029,2452094976
1513105070,2452094976
1513105080,2452094976
1513109271,2568486912
1513109685,2568486912
1513109686,2568486912
1513109697,2568486912
1513110171,2568486912
1513110585,2568486912
1513110586,2568486912
1513110597,2568486912
1513110800,2560098304
1513111114,2560098304
1513111129,2560098304
1513111133,2560098304
1513111700,2560098304
1513112014,2560098304
1513112029,2560098304
1513112033,2560098304
1513112600,2560098304
1513112914,2560098304
1513112929,2560098304
1513112933,2560098304
1513113500,2560098304
1513113814,2560098304
1513113829,2560098304
1513113833,2560098304
1513114400,2560098304
1513114714,2560098304
1513114729,2560098304
1513114733,2560098304
1513115300,2560098304
1513115614,2337800192
1513115629,2337800192
1513115633,2337800192
1513116200,2337800192
1513116514,2337800192
1513116529,2337800192
1513116533,2337800192
1513117100,2337800192
1513117414,2337800192
1513117429,2337800192
1513117433,2337800192
1513118000,2337800192
1513118314,2337800192
1513118329,2337800192
1513118333,2337800192
1513118900,2337800192
1513119214,2337800192
1513119229,2337800192
1513119233,2337800192
1513119800,2337800192
1513120114,2337800192
1513120129,2337800192
1513120133,2337800192
1513120700,2337800192
1513121014,2337800192
1513121029,2337800192
1513121033,2337800192
1513121600,2337800192
1513121914,2337800192
1513121929,2337800192
1513121933,2337800192
1513122500,2366636032
1513122814,2366636032
1513122829,2366636032
1513122833,2366636032
1513123400,2366636032
1513123714,2366636032
1513123729,2366636032
1513123733,2366636032
1513124300,2366636032
1513124614,2366636032
1513124629,2366636032
1513124633,2366636032
1513125200,2366636032
1513125514,2366636032
1513125529,2366636032
1513125533,2366636032
1513126100,2366636032
1513126414,2366636032
1513126429,2366636032
1513126433,2366636032
1513127000,2366636032
1513127314,2366636032
1513127329,2366636032
1513127333,2366636032
1513127900,2366636032
1513128214,2366636032
1513128229,2366636032
