t,value
1513090526,98720232
1513090629,98720232
1513090670,98720232
1513090680,98720232
1513091426,98720232
1513091529,98720232
1513091570,98720232
1513091580,98720232
1513092326,98720232
1513092429,98720232
1513092470,98720232
1513092480,98720232
1513093226,98720232
1513093329,98720232
1513093370,98720232
1513093380,98720232
1513094126,98728424
1513094229,98728424
1513094270,98728424
1513094280,98728424
1513095026,98728424
1513095129,98728424
1513095170,98728424
1513095180,98728424
1513095926,98728424
1513096029,98728424
1513096070,98728424
1513096080,98728424
1513096826,98728424
1513096929,98728424
1513096970,98728424
1513096980,98728424
1513097726,98728424
1513097829,98728424
1513097870,98728424
1513097880,98728424
1513098626,98728424
1513098729,98728424
1513098770,98728424
1513098780,98728424
1513099526,127162000
1513099629,127162000
1513099670,127162000
1513099680,127162000
1513100426,127162000
1513100529,127162000
1513100570,127162000
1513100580,127162000
1513101326,127162000
1513101429,127162000
1513101470,127162000
1513101480,127162000
1513102226,127162000
1513102329,127162000
1513102370,127162000
1513102380,127162000
1513103126,127162000
1513103229,127162000
1513103270,127162000
1513103280,127162000
1513104026,153057512
1513104129,153057512
1513104170,153057512
1513104180,153057512
1513104926,153057512
1513105029,153057512
1513105070,153057512
1513105080,153057512
1513109271,90260728
1513109685,90260728
1513109686,90260728
1513109697,90260728
1513110171,90260728
1513110585,90260728
1513110586,90260728
1513110597,90260728
1513110800,89132336
1513111114,89132336
1513111129,89132336
1513111133,89132336
1513111700,89132336
1513112014,89132336
1513112029,89132336
1513112033,89132336
1513112600,89132336
1513112914,89132336
1513112929,89132336
1513112933,89132336
1513113500,89132336
1513113814,89132336
1513113829,89132336
1513113833,89132336
1513114400,89132336
1513114714,89132336
1513114729,89132336
1513114733,89132336
1513115300,89132336
1513115614,89140528
1513115629,89140528
1513115633,89140528
1513116200,89140528
1513116514,89140528
1513116529,89140528
1513116533,89140528
1513117100,89140528
1513117414,89140528
1513117429,89140528
1513117433,89140528
1513118000,89140528
1513118314,89140528
1513118329,89140528
1513118333,89140528
1513118900,89140528
1513119214,89140528
1513119229,89140528
1513119233,89140528
1513119800,89140528
1513120114,89140528
1513120129,89140528
1513120133,89140528
1513120700,89140528
1513121014,89140528
1513121029,89140528
1513121033,89140528
1513121600,89140528
1513121914,89140528
1513121929,89140528
1513121933,89140528
1513122500,90558376
1513122814,90558376
1513122829,90558376
1513122833,90558376
1513123400,90558376
1513123714,90558376
1513123729,90558376
1513123733,90558376
1513124300,90558376
1513124614,90558376
1513124629,90558376
1513124633,90558376
1513125200,90558376
1513125514,90558376
1513125529,90558376
1513125533,90558376
1513126100,90558376
1513126414,90558376
1513126429,90558376
1513126433,90558376
1513127000,90558376
1513127314,90558376
1513127329,90558376
1513127333,90558376
1513127900,90558376
1513128214,90558376
1513128229,90558376
1513128233,90558376
1513128800,90558376
1513129114,91059224
1513129129,91059224
1513129133,91059224
1513129700,91059224
1513130014,91059224
1513130029,91059224
1513130033,91059224
1513130600,91059224
1513130914,91059224
1513130929,91059224
1513130933,91059224
1513131500,91059224
1513131814,91059224
1513131829,91059224
1513131833,91059224
1513132400,91059224
1513132714,91059224
1513132729,91059224
1513132733,91059224
1513133300,91059224
1513133614,91059224
1513133629,91059224
1513133633,91059224
1513134200,91059224
1513134514,91059224
1513134529,91059224
1513134533,91059224
1513135100,91059224
1513135414,91059224
1513135429,91059224
1513135433,91059224
1513136000,91878536
1513136314,91878536
1513136329,91878536
1513136333,91878536
1513136900,91878536
1513137214,91878536
1513137229,91878536
1513137233,91878536
1513137800,91878536
1513138114,91878536
1513138129,91878536
1513138133,91878536
1513138700,91878536
1513139014,91878536
1513139029,91878536
1513139033,91878536
1513139600,91878536
1513139914,91878536
1513139929,91878536
1513139933,91878536
1513140500,91878536
1513140814,91878536
1513140829,91878536
1513140833,91878536
1513141400,91878536
1513141714,91878536
1513141729,91878536
1513141733,91878536
1513142300,91878536
1513142614,91878536
1513142629,91878536
1513142633,91878536
1513143200,91886728
1513143514,91886728
1513143529,91886728
1513143533,91886728
1513144100,91886728
1513144414,91886728
1513144429,91886728
1513144433,91886728
1513145000,91886728
1513145314,91886728
1513145329,91886728
1513145333,91886728
1513145900,91886728
1513146214,91886728
1513146229,91886728
1513146233,91886728
1513146800,91886728
1513147114,91886728
1513147129,91886728
1513147133,91886728
1513147700,91886728
1513148014,91886728
1513148029,91886728
1513148033,91886728
1513148600,91886728
1513148914,91886728
1513148929,91886728
1513148933,91886728
1513149500,91886728
1513149814,91886728
1513149829,91886728
1513149833,91886728
1513150400,91894920
1513150714,91894920
1513150729,91894920
1513150733,91894920
1513151300,91894920
1513151614,91894920
1513151629,91894920
1513151633,91894920
1513152200,91894920
1513152514,91894920
1513152529,91894920
1513152533,91894920
1513153100,91894920
1513153414,91894920
1513153429,91894920
1513153433,91894920
1513154000,91894920
1513154314,91894920
1513154333,91894920
1513154329,91894920
1513154900,91894920
1513155214,91894920
1513155229,91894920
1513155233,91894920
1513155800,91894920
1513156114,91894920
1513156129,91894920
1513156133,91894920
1513156700,91894920
1513156997,91894920
1513157012,91894920
1513157016,91894920
1513157583,91903112
1513157897,91903112
1513157912,91903112
1513157916,91903112
1513158483,91903112
1513158797,91903112
1513158812,91903112
1513158816,91903112
1513159383,91903112
1513159697,91903112
1513159712,91903112
1513159716,91903112
1513160283,91903112
1513160597,91903112
1513160612,91903112
1513160616,91903112
1513161183,91903112
1513161497,91903112
1513161512,91903112
1513161516,91903112
1513162083,91903112
1513162397,91903112
1513162412,91903112
1513162416,91903112
1513162983,91903112
1513163297,91903112
1513163312,91903112
1513163316,91903112
1513163883,91903112
1513164197,91911304
1513164212,91911304
1513164216,91911304
1513164783,91911304
1513165097,91911304
1513165112,91911304
1513165116,91911304
1513165683,91911304
1513165997,91911304
1513166012,91911304
1513166016,91911304
1513166583,91911304
1513166897,91911304
1513166912,91911304
1513166916,91911304
1513167483,91911304
1513167797,91911304
1513167812,91911304
1513167816,91911304
1513168383,91911304
1513168697,91911304
1513168712,91911304
1513168716,91911304
1513169283,91911304
1513169597,91911304
1513169612,91911304
1513169616,91911304
1513170183,91911304
1513170497,91911304
1513170512,91911304
1513170516,91911304
1513171083,91919496
1513171397,91919496
1513171412,91919496
1513171416,91919496
1513171983,91919496
1513172297,91919496
1513172312,91919496
1513172316,91919496
1513172883,91919496
1513173197,91919496
1513173212,91919496
1513173216,91919496
1513173783,91919496
1513174097,91919496
1513174112,91919496
1513174116,91919496
1513174683,91919496
1513174997,91919496
1513175012,91919496
1513175016,91919496
1513175583,91919496
1513175897,91919496
1513175912,91919496
1513175916,91919496
1513176483,91919496
1513176797,91919496
1513176812,91919496
1513176816,91919496
1513177383,91927688
1513177697,91927688
1513177712,91927688
