t,value
1513090526,0
1513090629,0
1513090670,0
1513090680,0
1513091426,0
1513091529,0
1513091570,0
1513091580,0
1513092326,0
1513092429,0
1513092470,0
1513092480,0
1513093226,0
1513093329,0
1513093370,0
1513093380,0
1513094126,88872592
1513094229,88872592
1513094270,88872592
1513094280,88872592
1513095026,88872592
1513095129,88872592
1513095170,88872592
1513095180,88872592
1513095926,88872592
1513096029,88872592
1513096070,88872592
1513096080,88872592
1513096826,88872592
1513096929,88872592
1513096970,88872592
1513096980,88872592
1513097726,88872592
1513097829,88872592
1513097870,88872592
1513097880,88872592
1513098626,88872592
1513098729,88872592
1513098770,88872592
1513098780,88872592
1513099526,109978384
1513099629,109978384
1513099670,109978384
1513099680,109978384
1513100426,109978384
1513100529,109978384
1513100570,109978384
1513100580,109978384
1513101326,109978384
1513101429,109978384
1513101470,109978384
1513101480,109978384
1513102226,109978384
1513102329,109978384
1513102370,109978384
1513102380,109978384
1513103126,109978384
1513103229,109978384
1513103270,109978384
1513103280,109978384
1513104026,105552760
1513104129,105552760
1513104170,105552760
1513104180,105552760
1513104926,105552760
1513105029,105552760
1513105070,105552760
1513105080,105552760
1513109271,0
1513109685,0
1513109686,0
1513109697,0
1513110171,0
1513110585,0
1513110586,0
1513110597,0
1513110800,0
1513111114,0
1513111129,0
1513111133,0
1513111700,0
1513112014,0
1513112029,0
1513112033,0
1513112600,0
1513112914,0
1513112929,0
1513112933,0
1513113500,0
1513113814,0
1513113829,0
1513113833,0
1513114400,0
1513114714,0
1513114729,0
1513114733,0
1513115300,0
1513115614,73187304
1513115629,73187304
1513115633,73187304
1513116200,73187304
1513116514,73187304
1513116529,73187304
1513116533,73187304
1513117100,73187304
1513117414,73187304
1513117429,73187304
1513117433,73187304
1513118000,73187304
1513118314,73187304
1513118329,73187304
1513118333,73187304
1513118900,73187304
1513119214,73187304
1513119229,73187304
1513119233,73187304
1513119800,73187304
1513120114,73187304
1513120129,73187304
1513120133,73187304
1513120700,73187304
1513121014,73187304
1513121029,73187304
1513121033,73187304
1513121600,73187304
1513121914,73187304
1513121929,73187304
1513121933,73187304
1513122500,86191120
1513122814,86191120
1513122829,86191120
1513122833,86191120
1513123400,86191120
1513123714,86191120
1513123729,86191120
1513123733,86191120
1513124300,86191120
1513124614,86191120
1513124629,86191120
1513124633,86191120
1513125200,86191120
1513125514,86191120
1513125529,86191120
1513125533,86191120
1513126100,86191120
1513126414,86191120
1513126429,86191120
1513126433,86191120
1513127000,86191120
1513127314,86191120
1513127329,86191120
1513127333,86191120
1513127900,86191120
1513128214,86191120
1513128229,86191120
1513128233,86191120
1513128800,86191120
1513129114,91155456
1513129129,91155456
1513129133,91155456
1513129700,91155456
1513130014,91155456
1513130029,91155456
1513130033,91155456
1513130600,91155456
1513130914,91155456
1513130929,91155456
1513130933,91155456
1513131500,91155456
1513131814,91155456
1513131829,91155456
1513131833,91155456
1513132400,91155456
1513132714,91155456
1513132729,91155456
1513132733,91155456
1513133300,91155456
1513133614,91155456
1513133629,91155456
1513133633,91155456
1513134200,91155456
1513134514,91155456
1513134529,91155456
1513134533,91155456
1513135100,91155456
1513135414,91155456
1513135429,91155456
1513135433,91155456
1513136000,94470288
1513136314,94470288
1513136329,94470288
1513136333,94470288
1513136900,94470288
1513137214,94470288
1513137229,94470288
1513137233,94470288
1513137800,94470288
1513138114,94470288
1513138129,94470288
1513138133,94470288
1513138700,94470288
1513139014,94470288
1513139029,94470288
1513139033,94470288
1513139600,94470288
1513139914,94470288
1513139929,94470288
1513139933,94470288
1513140500,94470288
1513140814,94470288
1513140829,94470288
1513140833,94470288
1513141400,94470288
1513141714,94470288
1513141729,94470288
1513141733,94470288
1513142300,94470288
1513142614,94470288
1513142629,94470288
1513142633,94470288
1513143200,94762256
1513143514,94762256
1513143529,94762256
1513143533,94762256
1513144100,94762256
1513144414,94762256
1513144429,94762256
1513144433,94762256
1513145000,94762256
1513145314,94762256
1513145329,94762256
