t,value
1513090526,7635730431
1513090629,7635730431
1513090670,7635730431
1513090680,7635730431
1513091426,7635730431
1513091529,7635730431
1513091570,7635730431
1513091580,7635730431
1513092326,7635730431
1513092429,7635730431
1513092470,7635730431
1513092480,7635730431
1513093226,7635730431
1513093329,7635730431
1513093370,7635730431
1513093380,7635730431
1513094126,7635730431
1513094229,7635730431
1513094270,7635730431
1513094280,7635730431
1513095026,7635730431
1513095129,7635730431
1513095170,7635730431
1513095180,7635730431
1513095926,7635730431
1513096029,7635730431
1513096070,7635730431
1513096080,7635730431
1513096826,7635730431
1513096929,7635730431
1513096970,7635730431
1513096980,7635730431
1513097726,7635730431
1513097829,7635730431
1513097870,7635730431
1513097880,7635730431
1513098626,7635730431
1513098729,7635730431
1513098770,7635730431
1513098780,7635730431
1513099526,7635730431
1513099629,7635730431
1513099670,7635730431
1513099680,7635730431
1513100426,7635730431
1513100529,7635730431
1513100570,7635730431
1513100580,7635730431
1513101326,7635730431
1513101429,7635730431
1513101470,7635730431
1513101480,7635730431
1513102226,7635730431
1513102329,7635730431
1513102370,7635730431
1513102380,7635730431
1513103126,7635730431
1513103229,7635730431
1513103270,7635730431
1513103280,7635730431
1513104026,7635730431
1513104129,7635730431
1513104170,7635730431
1513104180,7635730431
1513104926,7635730431
1513105029,7635730431
1513105070,7635730431
1513105080,7635730431
1513109271,7635730431
1513109685,7635730431
1513109686,7635730431
1513109697,7635730431
1513110171,7635730431
1513110585,7635730431
1513110586,7635730431
1513110597,7635730431
1513110800,7635730431
1513111114,7635730431
1513111129,7635730431
1513111133,7635730431
1513111700,7635730431
1513112014,7635730431
1513112029,7635730431
1513112033,7635730431
1513112600,7635730431
1513112914,7635730431
1513112929,7635730431
1513112933,7635730431
1513113500,7635730431
1513113814,7635730431
1513113829,7635730431
1513113833,7635730431
1513114400,7635730431
1513114714,7635730431
1513114729,7635730431
1513114733,7635730431
1513115300,7635730431
1513115614,7635730431
1513115629,7635730431
1513115633,7635730431
1513116200,7635730431
1513116514,7635730431
1513116529,7635730431
1513116533,7635730431
1513117100,7635730431
1513117414,7635730431
1513117429,7635730431
1513117433,7635730431
1513118000,7635730431
1513118314,7635730431
1513118329,7635730431
1513118333,7635730431
1513118900,7635730431
1513119214,7635730431
1513119229,7635730431
1513119233,7635730431
1513119800,7635730431
1513120114,7635730431
1513120129,7635730431
1513120133,7635730431
1513120700,7635730431
1513121014,7635730431
1513121029,7635730431
1513121033,7635730431
1513121600,7635730431
1513121914,7635730431
1513121929,7635730431
1513121933,7635730431
1513122500,7635730431
1513122814,7635730431
1513122829,7635730431
1513122833,7635730431
1513123400,7635730431
1513123714,7635730431
1513123729,7635730431
1513123733,7635730431
1513124300,7635730431
1513124614,7635730431
1513124629,7635730431
1513124633,7635730431
1513125200,7635730431
1513125514,7635730431
1513125529,7635730431
1513125533,7635730431
1513126100,7635730431
1513126414,7635730431
1513126429,7635730431
1513126433,7635730431
1513127000,7635730431
1513127314,7635730431
1513127329,7635730431
1513127333,7635730431
1513127900,7635730431
1513128214,7635730431
1513128229,7635730431
1513128233,7635730431
1513128800,7635730431
1513129114,7635730431
1513129129,7635730431
1513129133,7635730431
1513129700,7635730431
1513130014,7635730431
1513130029,7635730431
1513130033,7635730431
1513130600,7635730431
1513130914,7635730431
1513130929,7635730431
1513130933,7635730431
1513131500,7635730431
1513131814,7635730431
1513131829,7635730431
1513131833,7635730431
1513132400,7635730431
1513132714,7635730431
1513132729,7635730431
1513132733,7635730431
1513133300,7635730431
1513133614,7635730431
1513133629,7635730431
1513133633,7635730431
1513134200,7635730431
1513134514,7635730431
1513134529,7635730431
1513134533,7635730431
1513135100,7635730431
1513135414,7635730431
1513135429,7635730431
1513135433,7635730431
1513136000,7635730431
1513136314,7635730431
1513136329,7635730431
1513136333,7635730431
1513136900,7635730431
1513137214,7635730431
1513137229,7635730431
1513137233,7635730431
1513137800,7635730431
1513138114,7635730431
1513138129,7635730431
1513138133,7635730431
1513138700,7635730431
1513139014,7635730431
1513139029,7635730431
1513139033,7635730431
1513139600,7635730431
1513139914,7635730431
1513139929,7635730431
1513139933,7635730431
1513140500,7635730431
1513140814,7635730431
1513140829,7635730431
1513140833,7635730431
1513141400,7635730431
1513141714,7635730431
1513141729,7635730431
1513141733,7635730431
1513142300,7635730431
1513142614,7635730431
1513142629,7635730431
1513142633,7635730431
1513143200,7635730431
1513143514,7635730431
1513143529,7635730431
1513143533,7635730431
1513144100,7635730431
1513144414,7635730431
1513144429,7635730431
1513144433,7635730431
1513145000,7635730431
1513145314,7635730431
1513145329,7635730431
1513145333,7635730431
1513145900,7635730431
1513146214,7635730431
1513146229,7635730431
1513146233,7635730431
1513146800,7635730431
1513147114,7635730431
1513147129,7635730431
1513147133,7635730431
1513147700,7635730431
1513148014,7635730431
1513148029,7635730431
1513148033,7635730431
1513148600,7635730431
1513148914,7635730431
1513148929,7635730431
1513148933,7635730431
1513149500,7635730431
1513149814,7635730431
1513149829,7635730431
1513149833,7635730431
1513150400,7635730431
1513150714,7635730431
1513150729,7635730431
1513150733,7635730431
1513151300,7635730431
1513151614,7635730431
1513151629,7635730431
1513151633,7635730431
1513152200,7635730431
1513152514,7635730431
1513152529,7635730431
1513152533,7635730431
1513153100,7635730431
1513153414,7635730431
1513153429,7635730431
1513153433,7635730431
1513154000,7635730431
1513154314,7635730431
1513154333,7635730431
1513154329,7635730431
1513154900,7635730431
1513155214,7635730431
1513155229,7635730431
1513155233,7635730431
1513155800,7635730431
1513156114,7635730431
1513156129,7635730431
1513156133,7635730431
1513156700,7635730431
1513156997,7635730431
1513157012,7635730431
1513157016,7635730431
1513157583,7635730431
1513157897,7635730431
1513157912,7635730431
1513157916,7635730431
1513158483,7635730431
1513158797,7635730431
1513158812,7635730431
1513158816,7635730431
1513159383,7635730431
1513159697,7635730431
1513159712,7635730431
1513159716,7635730431
1513160283,7635730431
1513160597,7635730431
1513160612,7635730431
1513160616,7635730431
1513161183,7635730431
1513161497,7635730431
1513161512,7635730431
1513161516,7635730431
1513162083,7635730431
1513162397,7635730431
1513162412,7635730431
1513162416,7635730431
1513162983,7635730431
1513163297,7635730431
1513163312,7635730431
1513163316,7635730431
1513163883,7635730431
1513164197,7635730431
1513164212,7635730431
1513164216,7635730431
1513164783,7635730431
1513165097,7635730431
1513165112,7635730431
1513165116,7635730431
1513165683,7635730431
1513165997,7635730431
1513166012,7635730431
1513166016,7635730431
1513166583,7635730431
1513166897,7635730431
1513166912,7635730431
1513166916,7635730431
1513167483,7635730431
1513167797,7635730431
1513167812,7635730431
1513167816,7635730431
1513168383,7635730431
1513168697,7635730431
1513168712,7635730431
1513168716,7635730431
1513169283,7635730431
1513169597,7635730431
1513169612,7635730431
1513169616,7635730431
1513170183,7635730431
1513170497,7635730431
1513170512,7635730431
1513170516,7635730431
1513171083,7635730431
1513171397,7635730431
1513171412,7635730431
1513171416,7635730431
1513171983,7635730431
1513172297,7635730431
1513172312,7635730431
1513172316,7635730431
1513172883,7635730431
1513173197,7635730431
1513173212,7635730431
1513173216,7635730431
1513173783,7635730431
1513174097,7635730431
1513174112,7635730431
1513174116,7635730431
1513174683,7635730431
1513174997,7635730431
1513175012,7635730431
1513175016,7635730431
1513175583,7635730431
1513175897,7635730431
1513175912,7635730431
1513175916,7635730431
1513176483,7635730431
1513176797,7635730431
1513176812,7635730431
1513176816,7635730431
1513177383,7635730431
1513177697,7635730431
1513177712,7635730431
1513177716,7635730431
1513178283,7635730431
1513178597,7635730431
1513178612,7635730431
1513178616,7635730431
1513179183,7635730431
1513179497,7635730431
1513179512,7635730431
1513179516,7635730431
1513180083,7635730431
1513180397,7635730431
1513180412,7635730431
1513180416,7635730431
1513180983,7635730431
1513181297,7635730431
1513181312,7635730431
1513181316,7635730431
1513181883,7635730431
1513182197,7635730431
1513182212,7635730431
1513182216,7635730431
1513182783,7635730431
1513183097,7635730431
1513183112,7635730431
1513183116,7635730431
1513183683,7635730431
1513183997,7635730431
1513184012,7635730431
1513184016,7635730431
1513184583,7635730431
1513184897,7635730431
1513184912,7635730431
1513184916,7635730431
1513185483,7635730431
1513185797,7635730431
1513185812,7635730431
1513185816,7635730431
1513186383,7635730431
1513186697,7635730431
1513186712,7635730431
1513186716,7635730431
1513187283,7635730431
1513187597,7635730431
1513187612,7635730431
1513187616,7635730431
1513188183,7635730431
1513188497,7635730431
1513188512,7635730431
1513188516,7635730431
1513189083,7635730431
1513189397,7635730431
1513189412,7635730431
1513189416,7635730431
1513189983,7635730431
1513190297,7635730431
1513190312,7635730431
1513190316,7635730431
1513190883,7635730431
1513191197,7635730431
1513191212,7635730431
1513191216,7635730431
1513191783,7635730431
1513192097,7635730431
1513192112,7635730431
1513192116,7635730431
1513192683,7635730431
1513192997,7635730431
1513193012,7635730431
1513193016,7635730431
1513193583,7635730431
1513193897,7635730431
1513193912,7635730431
1513193916,7635730431
1513194483,7635730431
1513194797,7635730431
1513194812,7635730431
1513194816,7635730431
1513195383,7635730431
1513195697,7635730431
1513195712,7635730431
1513195716,7635730431
1513196283,7635730431
1513196597,7635730431
1513196612,7635730431
1513196616,7635730431
1513198542,7635730431
1513199442,7635730431
1513200342,7635730431
1513201242,7635730431
1513202142,7635730431
1513203042,7635730431
1513203942,7635730431
1513204842,7635730431
1513205742,7635730431
1513206642,7635730431
1513207542,7635730431
1513208442,7635730431
1513209342,7635730431
1513210242,7635730431
1513211142,7635730431
1513212042,7635730431
1513212942,7635730431
1513213842,7635730431
1513214742,7635730431
1513215642,7635730431
1513216542,7635730431
1513217442,7635730431
1513218342,7635730431
1513219242,7635730431
1513220142,7635730431
1513221042,7635730431
1513221942,7635730431
1513222842,7635730431
1513223742,7635730431
1513224642,7635730431
1513225542,7635730431
1513226442,7635730431
1513227342,7635730431
1513228242,7635730431
1513229142,7635730431
1513230042,7635730431
1513230942,7635730431
1513231842,7635730431
1513232742,7635730431
1513233642,7635730431
1513234542,7635730431
1513235442,7635730431
1513236342,7635730431
1513237242,7635730431
1513238142,7635730431
1513239042,7635730431
1513239942,7635730431
1513240842,7635730431
1513241742,7635730431
1513243476,7635730431
1513244376,7635730431
1513245276,7635730431
1513246176,7635730431
1513247075,7635730431
1513247975,7635730431
1513248186,7635730431
1513248186,7635730431
1513248186,7635730431
1513248875,7635730431
1513249086,7635730431
1513249086,7635730431
1513249086,7635730431
1513249775,7635730431
1513249986,7635730431
1513249986,7635730431
1513249986,7635730431
1513250675,7635730431
1513250886,7635730431
1513250886,7635730431
1513250886,7635730431
1513251575,7635730431
1513251786,7635730431
1513251786,7635730431
1513251786,7635730431
1513252473,7635730431
1513252684,7635730431
1513252684,7635730431
