t,value
1513090526,1315193968
1513090629,1321180464
1513090670,1328019784
1513090680,1373307888
1513091426,1729153368
1513091529,1740919232
1513091570,1745306176
1513091580,1793197832
1513092326,2135462392
1513092429,2141632728
1513092470,2148486488
1513092480,2191327104
1513093226,2509564896
1513093329,2519359888
1513093370,2521963328
1513093380,2579086816
1513094126,607530152
1513094229,612810536
1513094270,619072120
1513094280,651625104
1513095026,917403240
1513095129,933306256
1513095170,935887616
1513095180,977564680
1513095926,1240660608
1513096029,1246121560
1513096070,1249255808
1513096080,1289070368
1513096826,1550308168
1513096929,1561423376
1513096970,1568881304
1513096980,1614630160
1513097726,1878702832
1513097829,1886923192
1513097870,1895040632
1513097880,1928279552
1513098626,2191887512
1513098729,2199960528
1513098770,2202121984
1513098780,2247502504
1513099526,1513370768
1513099629,1523644816
1513099670,1527497928
1513099680,1562227336
1513100426,1804885240
1513100529,1813601304
1513100570,1819743432
1513100580,1860437936
1513101326,2114360160
1513101429,2125962248
1513101470,2128202408
1513101480,2156467856
1513102226,2402004104
1513102329,2412970296
1513102370,2415431888
1513102380,2454193728
1513103126,2700992856
1513103229,2707199512
1513103270,2711406272
1513103280,2744038032
1513104026,617672200
1513104129,628170640
1513104170,633915248
1513104180,675287368
1513104926,912884464
1513105029,919933440
1513105070,925349064
1513105080,928277176
1513109271,691781488
1513109685,716492760
1513109686,718703072
1513109697,726256072
1513110171,745552088
1513110585,964255240
1513110586,966377824
1513110597,982821040
1513110800,631538784
1513111114,774733352
1513111129,779490664
1513111133,781601544
1513111700,1008267712
1513112014,1139017928
1513112029,1148668456
1513112033,1150689688
1513112600,1385143120
1513112914,1517979616
1513112929,1525853152
1513112933,1527922288
1513113500,1743032600
1513113814,1892162728
1513113829,1893353768
1513113833,1895359416
1513114400,2104101728
1513114714,2247074392
1513114729,2247109832
1513114733,2249125080
1513115300,2480499424
1513115614,440585120
1513115629,442917336
1513115633,446846344
1513116200,630742928
1513116514,744911072
1513116529,749919184
1513116533,751020872
1513117100,942605368
1513117414,1061100000
1513117429,1064480896
1513117433,1066696968
1513118000,1254399136
1513118314,1375263112
1513118329,1378037240
1513118333,1379144488
1513118900,1565074176
1513119214,1686208896
1513119229,1688529112
1513119233,1691664256
1513119800,1879349408
1513120114,1995334408
1513120129,1996563856
1513120133,1997656448
1513120700,2197647776
1513121014,2315934632
1513121029,2317030464
1513121033,2318128176
1513121600,2496421424
1513121914,2624128424
1513121929,2626434184
1513121933,2628622264
1513122500,540052512
1513122814,658499792
1513122829,661361864
1513122833,664030144
1513123400,836108648
1513123714,949486144
1513123729,951170320
1513123733,952735712
1513124300,1136075048
1513124614,1255819840
1513124629,1259166864
1513124633,1260647656
1513125200,1430992104
1513125514,1550331176
1513125529,1554477480
1513125533,1556059896
1513126100,1740661256
1513126414,1853952360
1513126429,1856706736
1513126433,1858318208
1513127000,2032702592
1513127314,2150594200
1513127329,2153988360
1513127333,2155587112
1513127900,2339515080
1513128214,2452095280
1513128229,2457056344
1513128233,2458638752
1513128800,2636084664
1513129114,464143760
1513129129,467946256
1513129133,469749592
1513129700,654698280
1513130014,763547912
1513130029,766096392
1513130033,767902288
1513130600,943632488
1513130914,1051712472
1513130929,1056984032
1513130933,1058188984
1513131500,1241008512
1513131814,1349729936
1513131829,1351941736
1513131833,1353688528
1513132400,1527220728
1513132714,1639067480
1513132729,1642597496
1513132733,1643803592
1513133300,1826326648
1513133614,1935584200
1513133629,1941291200
1513133633,1943106768
1513134200,2117079784
1513134514,2227734512
1513134529,2233092592
1513134533,2234307704
1513135100,2412055584
1513135414,2523131360
1513135429,2529477824
1513135433,2531299624
1513136000,378285920
1513136314,484597072
1513136329,488417032
1513136333,490236976
1513136900,665193952
1513137214,770872616
1513137229,773282880
1513137233,774674456
1513137800,937341448
1513138114,1044556776
1513138129,1048550880
1513138133,1051655424
1513138700,1226278512
1513139014,1333875200
1513139029,1336788040
1513139033,1338054296
1513139600,1512868608
1513139914,1620883664
1513139929,1622971240
1513139933,1624342936
1513140500,1797826112
1513140814,1903099080
1513140829,1904527320
1513140833,1906390048
1513141400,2071591688
1513141714,2181338344
1513141729,2186127800
1513141733,2187501168
1513142300,2356036808
1513142614,2460738160
1513142629,2463358680
1513142633,2464754584
1513143200,400407560
1513143514,497761056
1513143529,500831280
1513143533,502670184
1513144100,672239168
1513144414,775893768
1513144429,778382848
1513144433,779882864
1513145000,937884216
1513145314,1041786920
1513145329,1045417376
1513145333,1046907704
1513145900,1209293152
1513146214,1314596856
1513146229,1318078760
1513146233,1319552112
1513146800,1477839088
1513147114,1579942776
1513147129,1583903208
1513147133,1585400872
1513147700,1749678816
1513148014,1851727968
1513148029,1854719472
1513148033,1856565120
1513148600,2015074920
1513148914,2120324056
1513148929,2122184464
1513148933,2123695432
1513149500,2293217200
1513149814,2364927088
1513149829,2366100360
1513149833,2367581744
1513150400,395181600
1513150714,497103664
1513150729,499668496
1513150733,501229488
1513151300,662172416
1513151614,764996952
1513151629,768567120
1513151633,770144480
1513152200,924567072
1513152514,1024722592
1513152529,1028822872
1513152533,1030392096
1513153100,1190914712
1513153414,1291115552
1513153429,1294178168
1513153433,1295772112
1513154000,1452387984
1513154314,1556112304
1513154333,1559651024
1513154329,1559651024
1513154900,1722819248
1513155214,1819766416
1513155229,1823826520
1513155233,1825403880
1513155800,1986042376
1513156114,2084573800
1513156129,2087072760
1513156133,2088650472
1513156700,2249883024
1513156997,2349648424
1513157012,2353150968
1513157016,2354714824
1513157583,467417880
1513157897,565167120
1513157912,569852000
1513157916,571525984
1513158483,731234672
1513158797,826137984
1513158812,829215880
1513158816,830645056
1513159383,984934728
1513159697,1083995120
1513159712,1088911712
1513159716,1090626640
1513160283,1250350232
1513160597,1344577376
1513160612,1348364792
1513160616,1350363888
1513161183,1501244112
1513161497,1600312952
1513161512,1605575120
1513161516,1607277064
1513162083,1765080992
1513162397,1865582312
1513162412,1868092648
1513162416,1869529200
1513162983,2022337720
1513163297,2119583096
1513163312,2121603792
1513163316,2123001712
1513163883,2283917552
1513164197,425305656
1513164212,428083592
1513164216,429832408
1513164783,581614488
1513165097,673488512
1513165112,677787792
1513165116,679211208
1513165683,830859352
1513165997,928196464
1513166012,930834152
1513166016,932342128
1513166583,1080875416
1513166897,1176337352
1513166912,1179597344
1513166916,1181171448
1513167483,1332971112
1513167797,1430061992
1513167812,1434391360
1513167816,1435879456
1513168383,1583447408
1513168697,1676816992
1513168712,1679409040
1513168716,1680932688
1513169283,1835732656
1513169597,1930503416
1513169612,1935409432
1513169616,1936933080
1513170183,2083278504
1513170497,2179827568
1513170512,2184680688
1513170516,2186204336
1513171083,467265176
1513171397,562754408
1513171412,565939840
1513171416,567633952
1513171983,712424552
1513172297,809214048
1513172312,811147368
1513172316,812605744
1513172883,967417024
1513173197,1058093392
1513173212,1061476808
1513173216,1063239544
1513173783,1208912320
1513174097,1306997872
1513174112,1310148416
1513174116,1311590656
1513174683,1459701840
1513174997,1555415360
1513175012,1558022904
1513175016,1560665824
1513175583,1709422800
