t,value
1515769481,0.0
1515770106,0.0
1515770106,0.0
1515770127,0.0
1515770381,0.0
1515771006,0.0
1515771006,0.0
1515771027,0.0
1515771281,0.0
1515771906,0.0
1515771906,0.0
1515771927,0.0
1515772181,0.0
1515772806,0.0
1515772806,0.0
1515772827,0.0
1515773081,0.0
1515773706,0.0
1515773706,0.0
1515773727,0.0
1515773981,0.0
1515774606,0.0
1515774606,0.0
1515774627,0.0
1515774881,0.0
1515775506,0.0
1515775506,0.0
1515775527,0.0
1515775781,0.0
1515776406,0.0
1515776406,0.0
1515776427,0.0
1515776681,0.0
1515777306,0.0
1515777306,0.0
1515777327,0.0
1515777581,0.0
1515778206,0.0
1515778206,0.0
1515778227,0.0
1515778481,0.0
1515779106,0.0
1515779106,0.0
1515779127,0.0
1515779381,0.0
1515780006,0.0
1515780006,0.0
1515780027,0.0
1515780281,0.0
