t,value
1515769481,1
1515770106,3
1515770106,3
1515770127,3
1515770381,4
1515771006,5
1515771006,5
1515771027,5
1515771281,6
1515771906,8
1515771906,8
1515771927,8
1515772181,9
1515772806,10
1515772806,10
1515772827,10
1515773081,11
1515773706,13
1515773706,13
1515773727,13
1515773981,14
1515774606,15
1515774606,15
1515774627,15
1515774881,16
1515775506,18
1515775506,18
1515775527,18
1515775781,19
1515776406,20
1515776406,20
1515776427,20
1515776681,21
1515777306,23
1515777306,23
1515777327,23
1515777581,24
1515778206,25
1515778206,25
1515778227,25
1515778481,26
1515779106,28
1515779106,28
1515779127,28
1515779381,29
1515780006,30
1515780006,30
1515780027,30
1515780281,31
