t,value
1515769481,1
1515770106,1
1515770106,1
1515770127,1
1515770381,1
1515771006,1
1515771006,1
1515771027,1
1515771281,1
1515771906,1
1515771906,1
1515771927,1
1515772181,1
1515772806,1
1515772806,1
1515772827,1
1515773081,1
1515773706,1
1515773706,1
1515773727,1
1515773981,1
1515774606,1
1515774606,1
1515774627,1
1515774881,1
1515775506,1
1515775506,1
1515775527,1
1515775781,1
1515776406,1
1515776406,1
1515776427,1
1515776681,1
1515777306,1
1515777306,1
1515777327,1
1515777581,1
1515778206,1
1515778206,1
1515778227,1
1515778481,1
1515779106,1
1515779106,1
1515779127,1
1515779381,1
1515780006,1
1515780006,1
1515780027,1
1515780281,1
