t,value
1513110800,1
1513111114,3
1513111129,3
1513111133,3
1513111700,4
1513112014,5
1513112029,5
1513112033,5
1513112600,6
1513112914,8
1513112929,8
1513112933,8
1513113500,9
1513113814,10
1513113829,10
1513113833,10
1513114400,11
1513114714,13
1513114729,13
1513114733,13
1513115300,14
1513115614,15
1513115629,15
1513115633,15
1513116200,16
1513116514,18
1513116529,18
1513116533,18
1513117100,19
1513117414,20
1513117429,20
1513117433,20
1513118000,21
1513118314,23
1513118329,23
1513118333,23
1513118900,24
1513119214,25
1513119229,25
1513119233,25
1513119800,26
1513120114,28
1513120129,28
1513120133,28
1513120700,29
1513121014,30
1513121029,30
1513121033,30
1513121600,31
1513121914,33
1513121929,33
1513121933,33
1513122500,34
1513122814,35
1513122829,35
1513122833,35
1513123400,36
1513123714,38
1513123729,38
1513123733,38
1513124300,39
1513124614,40
1513124629,40
1513124633,40
1513125200,41
1513125514,43
1513125529,43
1513125533,43
1513126100,44
1513126414,45
1513126429,45
1513126433,45
1513127000,46
1513127314,48
1513127329,48
1513127333,48
1513127900,49
1513128214,50
1513128229,50
1513128233,50
1513128800,51
1513129114,53
1513129129,53
1513129133,53
1513129700,54
1513130014,55
1513130029,55
1513130033,55
1513130600,56
1513130914,58
1513130929,58
1513130933,58
1513131500,59
1513131814,60
1513131829,60
1513131833,60
1513132400,61
1513132714,63
1513132729,63
1513132733,63
1513133300,64
1513133614,65
1513133629,65
1513133633,65
1513134200,66
1513134514,68
1513134529,68
1513134533,68
1513135100,69
1513135414,70
1513135429,70
1513135433,70
1513136000,71
1513136314,73
1513136329,73
1513136333,73
1513136900,74
1513137214,75
1513137229,75
1513137233,75
1513137800,76
1513138114,78
1513138129,78
1513138133,78
1513138700,79
1513139014,80
1513139029,80
1513139033,80
1513139600,81
1513139914,83
1513139929,83
1513139933,83
1513140500,84
1513140814,85
1513140829,85
1513140833,85
1513141400,86
1513141714,88
1513141729,88
1513141733,88
1513142300,89
1513142614,90
1513142629,90
1513142633,90
1513143200,91
1513143514,93
1513143529,93
1513143533,93
1513144100,94
1513144414,95
1513144429,95
1513144433,95
1513145000,96
1513145314,98
1513145329,98
1513145333,98
1513145900,99
1513146214,100
1513146229,100
1513146233,100
1513146800,101
1513147114,103
1513147129,103
1513147133,103
1513147700,104
1513148014,105
1513148029,105
1513148033,105
1513148600,106
1513148914,108
1513148929,108
1513148933,108
1513149500,109
1513149814,109
1513149829,109
1513149833,109
1513150400,110
1513150714,112
1513150729,112
1513150733,112
1513151300,113
1513151614,114
1513151629,114
1513151633,114
1513152200,115
1513152514,117
1513152529,117
1513152533,117
1513153100,118
1513153414,119
1513153429,119
1513153433,119
1513154000,120
1513154314,122
1513154333,122
1513154329,122
1513154900,123
1513155214,124
1513155229,124
1513155233,124
1513155800,125
1513156114,127
1513156129,127
1513156133,127
1513156700,128
1513156997,129
1513157012,129
1513157016,129
1513157583,130
1513157897,132
1513157912,132
1513157916,132
1513158483,133
1513158797,134
1513158812,134
1513158816,134
1513159383,135
1513159697,137
1513159712,137
1513159716,137
1513160283,138
1513160597,139
1513160612,139
1513160616,139
1513161183,140
1513161497,142
1513161512,142
1513161516,142
1513162083,143
1513162397,144
1513162412,144
1513162416,144
1513162983,145
1513163297,147
1513163312,147
1513163316,147
1513163883,148
1513164197,149
1513164212,149
1513164216,149
1513164783,150
1513165097,152
1513165112,152
1513165116,152
1513165683,153
1513165997,154
1513166012,154
1513166016,154
1513166583,155
1513166897,157
1513166912,157
1513166916,157
1513167483,158
1513167797,159
1513167812,159
1513167816,159
1513168383,160
1513168697,162
1513168712,162
1513168716,162
1513169283,163
1513169597,164
1513169612,164
1513169616,164
1513170183,165
1513170497,167
1513170512,167
1513170516,167
1513171083,168
1513171397,169
1513171412,169
1513171416,169
1513171983,170
1513172297,172
1513172312,172
1513172316,172
1513172883,173
1513173197,174
1513173212,174
1513173216,174
1513173783,175
1513174097,177
1513174112,177
1513174116,177
1513174683,178
1513174997,179
1513175012,179
1513175016,179
1513175583,180
1513175897,182
1513175912,182
1513175916,182
1513176483,183
1513176797,184
1513176812,184
1513176816,184
1513177383,185
1513177697,187
1513177712,187
1513177716,187
1513178283,188
1513178597,189
1513178612,189
1513178616,189
1513179183,190
1513179497,192
1513179512,192
1513179516,192
1513180083,193
1513180397,194
1513180412,194
1513180416,194
1513180983,195
1513181297,197
1513181312,197
1513181316,197
1513181883,198
1513182197,199
1513182212,199
1513182216,199
1513182783,200
1513183097,202
1513183112,202
1513183116,202
1513183683,203
1513183997,204
1513184012,204
1513184016,204
1513184583,205
1513184897,207
1513184912,207
1513184916,207
1513185483,208
1513185797,209
1513185812,209
1513185816,209
1513186383,210
1513186697,212
1513186712,212
1513186716,212
1513187283,213
1513187597,214
1513187612,214
1513187616,214
1513188183,215
1513188497,217
1513188512,217
1513188516,217
1513189083,218
1513189397,219
1513189412,219
1513189416,219
1513189983,220
1513190297,222
1513190312,222
1513190316,222
1513190883,223
1513191197,224
1513191212,224
1513191216,224
1513191783,225
1513192097,225
1513192112,225
1513192116,225
1513192683,226
1513192997,227
1513193012,227
1513193016,227
1513193583,228
1513193897,229
1513193912,229
1513193916,229
1513194483,231
1513194797,232
1513194812,232
1513194816,232
1513195383,232
1513195697,232
1513195712,232
1513195716,232
1513196283,232
1513196597,232
1513196612,232
1513196616,232
