t,value
1513110800,1
1513111114,1
1513111129,1
1513111133,1
1513111700,1
1513112014,1
1513112029,1
1513112033,1
1513112600,1
1513112914,1
1513112929,1
1513112933,1
1513113500,1
1513113814,1
1513113829,1
1513113833,1
1513114400,1
1513114714,1
1513114729,1
1513114733,1
1513115300,1
1513115614,1
1513115629,1
1513115633,1
1513116200,1
1513116514,1
1513116529,1
1513116533,1
1513117100,1
1513117414,1
1513117429,1
1513117433,1
1513118000,1
1513118314,1
1513118329,1
1513118333,1
1513118900,1
1513119214,1
1513119229,1
1513119233,1
1513119800,1
1513120114,1
1513120129,1
1513120133,1
1513120700,1
1513121014,1
1513121029,1
1513121033,1
1513121600,1
1513121914,1
1513121929,1
1513121933,1
1513122500,1
1513122814,1
1513122829,1
1513122833,1
1513123400,1
1513123714,1
1513123729,1
1513123733,1
1513124300,1
1513124614,1
1513124629,1
1513124633,1
1513125200,1
1513125514,1
1513125529,1
1513125533,1
1513126100,1
1513126414,1
1513126429,1
1513126433,1
1513127000,1
1513127314,1
1513127329,1
1513127333,1
1513127900,1
1513128214,1
1513128229,1
1513128233,1
1513128800,1
1513129114,1
1513129129,1
1513129133,1
1513129700,1
1513130014,1
1513130029,1
1513130033,1
1513130600,1
1513130914,1
1513130929,1
1513130933,1
1513131500,1
1513131814,1
1513131829,1
1513131833,1
1513132400,1
1513132714,1
1513132729,1
1513132733,1
1513133300,1
1513133614,1
1513133629,1
1513133633,1
1513134200,1
1513134514,1
1513134529,1
1513134533,1
1513135100,1
1513135414,1
1513135429,1
1513135433,1
1513136000,1
1513136314,1
1513136329,1
1513136333,1
1513136900,1
1513137214,1
1513137229,1
1513137233,1
1513137800,1
1513138114,1
1513138129,1
1513138133,1
1513138700,1
1513139014,1
1513139029,1
1513139033,1
1513139600,1
1513139914,1
1513139929,1
1513139933,1
1513140500,1
1513140814,1
1513140829,1
1513140833,1
1513141400,1
1513141714,1
1513141729,1
1513141733,1
1513142300,1
1513142614,1
1513142629,1
1513142633,1
1513143200,1
1513143514,1
1513143529,1
1513143533,1
1513144100,1
1513144414,1
1513144429,1
1513144433,1
1513145000,1
1513145314,1
1513145329,1
1513145333,1
1513145900,1
1513146214,1
1513146229,1
1513146233,1
1513146800,1
1513147114,1
1513147129,1
1513147133,1
1513147700,1
1513148014,1
1513148029,1
1513148033,1
1513148600,1
1513148914,1
1513148929,1
1513148933,1
1513149500,1
1513149814,1
1513149829,1
1513149833,1
1513150400,1
1513150714,1
1513150729,1
1513150733,1
1513151300,1
1513151614,1
1513151629,1
1513151633,1
1513152200,1
1513152514,1
1513152529,1
1513152533,1
1513153100,1
1513153414,1
1513153429,1
1513153433,1
1513154000,1
1513154314,1
1513154333,1
1513154329,1
1513154900,1
1513155214,1
1513155229,1
1513155233,1
1513155800,1
1513156114,1
1513156129,1
1513156133,1
1513156700,1
1513156997,1
1513157012,1
1513157016,1
1513157583,1
1513157897,1
1513157912,1
1513157916,1
1513158483,1
1513158797,1
1513158812,1
1513158816,1
1513159383,1
1513159697,1
1513159712,1
1513159716,1
1513160283,1
1513160597,1
1513160612,1
1513160616,1
1513161183,1
1513161497,1
1513161512,1
1513161516,1
1513162083,1
1513162397,1
1513162412,1
1513162416,1
1513162983,1
1513163297,1
1513163312,1
1513163316,1
1513163883,1
1513164197,1
1513164212,1
1513164216,1
1513164783,1
1513165097,1
1513165112,1
1513165116,1
1513165683,1
1513165997,1
1513166012,1
1513166016,1
1513166583,1
1513166897,1
1513166912,1
1513166916,1
1513167483,1
1513167797,1
1513167812,1
1513167816,1
1513168383,1
1513168697,1
1513168712,1
1513168716,1
1513169283,1
1513169597,1
1513169612,1
1513169616,1
1513170183,1
1513170497,1
1513170512,1
1513170516,1
1513171083,1
1513171397,1
1513171412,1
1513171416,1
1513171983,1
1513172297,1
1513172312,1
1513172316,1
1513172883,1
1513173197,1
1513173212,1
1513173216,1
1513173783,1
1513174097,1
1513174112,1
1513174116,1
1513174683,1
1513174997,1
1513175012,1
1513175016,1
1513175583,1
1513175897,1
1513175912,1
1513175916,1
1513176483,1
1513176797,1
1513176812,1
1513176816,1
1513177383,1
1513177697,1
1513177712,1
1513177716,1
1513178283,1
1513178597,1
1513178612,1
1513178616,1
1513179183,1
1513179497,1
1513179512,1
1513179516,1
1513180083,1
1513180397,1
1513180412,1
1513180416,1
1513180983,1
1513181297,1
1513181312,1
1513181316,1
1513181883,1
1513182197,1
1513182212,1
1513182216,1
1513182783,1
1513183097,1
1513183112,1
1513183116,1
1513183683,1
1513183997,1
1513184012,1
1513184016,1
1513184583,1
1513184897,1
1513184912,1
1513184916,1
1513185483,1
1513185797,1
1513185812,1
1513185816,1
1513186383,1
1513186697,1
1513186712,1
1513186716,1
1513187283,1
1513187597,1
1513187612,1
1513187616,1
1513188183,1
1513188497,1
1513188512,1
1513188516,1
1513189083,1
1513189397,1
1513189412,1
1513189416,1
1513189983,1
1513190297,1
1513190312,1
1513190316,1
1513190883,1
1513191197,1
1513191212,1
1513191216,1
1513191783,1
1513192097,1
1513192112,1
1513192116,1
1513192683,1
1513192997,1
1513193012,1
1513193016,1
1513193583,1
1513193897,1
1513193912,1
1513193916,1
1513194483,1
1513194797,1
1513194812,1
1513194816,1
1513195383,1
1513195697,1
1513195712,1
1513195716,1
1513196283,1
1513196597,1
1513196612,1
1513196616,1
