t,value
1513110800,0
1513111114,0
1513111129,0
1513111133,0
1513111700,0
1513112014,0
1513112029,0
1513112033,0
1513112600,0
1513112914,0
1513112929,0
1513112933,0
1513113500,0
1513113814,0
1513113829,0
1513113833,0
1513114400,0
1513114714,0
1513114729,0
1513114733,0
1513115300,0
1513115614,0
1513115629,0
1513115633,0
1513116200,0
1513116514,0
1513116529,0
1513116533,0
1513117100,0
1513117414,0
1513117429,0
1513117433,0
1513118000,0
1513118314,0
1513118329,0
1513118333,0
1513118900,0
1513119214,0
1513119229,0
1513119233,0
1513119800,0
1513120114,0
1513120129,0
1513120133,0
1513120700,0
1513121014,0
1513121029,0
1513121033,0
1513121600,0
1513121914,0
1513121929,0
1513121933,0
1513122500,0
1513122814,0
1513122829,0
1513122833,0
1513123400,0
1513123714,0
1513123729,0
1513123733,0
1513124300,0
1513124614,0
1513124629,0
1513124633,0
1513125200,0
1513125514,0
1513125529,0
1513125533,0
1513126100,0
1513126414,0
1513126429,0
1513126433,0
1513127000,0
1513127314,0
1513127329,0
1513127333,0
1513127900,0
1513128214,0
1513128229,0
1513128233,0
1513128800,0
1513129114,0
1513129129,0
1513129133,0
1513129700,0
1513130014,0
1513130029,0
1513130033,0
1513130600,0
1513130914,0
1513130929,0
1513130933,0
1513131500,0
1513131814,0
1513131829,0
1513131833,0
1513132400,0
1513132714,0
1513132729,0
1513132733,0
1513133300,0
1513133614,0
1513133629,0
1513133633,0
1513134200,0
1513134514,0
1513134529,0
1513134533,0
1513135100,0
1513135414,0
1513135429,0
1513135433,0
1513136000,0
1513136314,0
1513136329,0
1513136333,0
1513136900,0
1513137214,0
1513137229,0
1513137233,0
1513137800,0
1513138114,0
1513138129,0
1513138133,0
1513138700,0
1513139014,0
1513139029,0
1513139033,0
1513139600,0
1513139914,0
1513139929,0
1513139933,0
1513140500,0
1513140814,0
1513140829,0
1513140833,0
1513141400,0
1513141714,0
1513141729,0
1513141733,0
1513142300,0
1513142614,0
1513142629,0
1513142633,0
1513143200,0
1513143514,0
1513143529,0
1513143533,0
1513144100,0
1513144414,0
1513144429,0
1513144433,0
1513145000,0
1513145314,0
1513145329,0
1513145333,0
1513145900,0
1513146214,0
1513146229,0
1513146233,0
1513146800,0
1513147114,0
1513147129,0
1513147133,0
1513147700,0
1513148014,0
1513148029,0
1513148033,0
1513148600,0
1513148914,0
1513148929,0
1513148933,0
1513149500,0
1513149814,0
1513149829,0
1513149833,0
1513150400,0
1513150714,0
1513150729,0
1513150733,0
1513151300,0
1513151614,0
1513151629,0
1513151633,0
1513152200,0
1513152514,0
1513152529,0
1513152533,0
1513153100,0
1513153414,0
1513153429,0
1513153433,0
1513154000,0
1513154314,0
1513154333,0
1513154329,0
1513154900,0
1513155214,0
1513155229,0
1513155233,0
1513155800,0
1513156114,0
1513156129,0
1513156133,0
1513156700,0
1513156997,0
1513157012,0
1513157016,0
1513157583,0
1513157897,0
1513157912,0
1513157916,0
1513158483,0
1513158797,0
1513158812,0
1513158816,0
1513159383,0
1513159697,0
1513159712,0
1513159716,0
1513160283,0
1513160597,0
1513160612,0
1513160616,0
1513161183,0
1513161497,0
1513161512,0
1513161516,0
1513162083,0
1513162397,0
1513162412,0
1513162416,0
1513162983,0
1513163297,0
1513163312,0
1513163316,0
1513163883,0
1513164197,0
1513164212,0
1513164216,0
1513164783,0
1513165097,0
1513165112,0
1513165116,0
1513165683,0
1513165997,0
1513166012,0
1513166016,0
1513166583,0
1513166897,0
1513166912,0
1513166916,0
1513167483,0
1513167797,0
1513167812,0
1513167816,0
1513168383,0
1513168697,0
1513168712,0
1513168716,0
1513169283,0
1513169597,0
1513169612,0
1513169616,0
1513170183,0
1513170497,0
1513170512,0
1513170516,0
1513171083,0
1513171397,0
1513171412,0
1513171416,0
1513171983,0
1513172297,0
1513172312,0
1513172316,0
1513172883,0
1513173197,0
1513173212,0
1513173216,0
1513173783,0
1513174097,0
1513174112,0
1513174116,0
1513174683,0
1513174997,0
1513175012,0
1513175016,0
1513175583,0
1513175897,0
1513175912,0
1513175916,0
1513176483,0
1513176797,0
1513176812,0
1513176816,0
1513177383,0
1513177697,0
1513177712,0
1513177716,0
1513178283,0
1513178597,0
1513178612,0
1513178616,0
1513179183,0
1513179497,0
1513179512,0
1513179516,0
1513180083,0
1513180397,0
1513180412,0
1513180416,0
1513180983,0
1513181297,0
1513181312,0
1513181316,0
1513181883,0
1513182197,0
1513182212,0
1513182216,0
1513182783,0
1513183097,0
1513183112,0
1513183116,0
1513183683,0
1513183997,0
1513184012,0
1513184016,0
1513184583,0
1513184897,0
1513184912,0
1513184916,0
1513185483,0
1513185797,0
1513185812,0
1513185816,0
1513186383,0
1513186697,0
1513186712,0
1513186716,0
1513187283,0
1513187597,0
1513187612,0
1513187616,0
1513188183,0
1513188497,0
1513188512,0
1513188516,0
1513189083,0
1513189397,0
1513189412,0
1513189416,0
1513189983,0
1513190297,0
1513190312,0
1513190316,0
1513190883,0
1513191197,0
1513191212,0
1513191216,0
1513191783,0
1513192097,0
1513192112,0
1513192116,0
1513192683,0
1513192997,0
1513193012,0
1513193016,0
1513193583,0
1513193897,0
1513193912,0
1513193916,0
1513194483,0
1513194797,0
1513194812,0
1513194816,0
1513195383,0
1513195697,0
1513195712,0
1513195716,0
1513196283,0
1513196597,0
1513196612,0
1513196616,0
