t,value
1513110800,2
1513111114,3
1513111129,3
1513111133,3
1513111700,4
1513112014,6
1513112029,6
1513112033,6
1513112600,7
1513112914,8
1513112929,8
1513112933,8
1513113500,9
1513113814,11
1513113829,11
1513113833,11
1513114400,12
1513114714,13
1513114729,13
1513114733,13
1513115300,14
1513115614,16
1513115629,16
1513115633,16
1513116200,17
1513116514,18
1513116529,18
1513116533,18
1513117100,19
1513117414,21
1513117429,21
1513117433,21
1513118000,22
1513118314,23
1513118329,23
1513118333,23
1513118900,24
1513119214,26
1513119229,26
1513119233,26
1513119800,27
1513120114,28
1513120129,28
1513120133,28
1513120700,29
1513121014,31
1513121029,31
1513121033,31
1513121600,32
1513121914,33
1513121929,33
1513121933,33
1513122500,34
1513122814,36
1513122829,36
1513122833,36
1513123400,37
1513123714,38
1513123729,38
1513123733,38
1513124300,39
1513124614,41
1513124629,41
1513124633,41
1513125200,42
1513125514,43
1513125529,43
1513125533,43
1513126100,44
1513126414,46
1513126429,46
1513126433,46
1513127000,47
1513127314,48
1513127329,48
1513127333,48
1513127900,49
1513128214,51
1513128229,51
1513128233,51
1513128800,52
1513129114,53
1513129129,53
1513129133,53
1513129700,54
1513130014,56
1513130029,56
1513130033,56
1513130600,57
1513130914,58
1513130929,58
1513130933,58
1513131500,59
1513131814,61
1513131829,61
1513131833,61
1513132400,62
1513132714,63
1513132729,63
1513132733,63
1513133300,64
1513133614,66
1513133629,66
1513133633,66
1513134200,67
1513134514,68
1513134529,68
1513134533,68
1513135100,69
1513135414,71
1513135429,71
1513135433,71
1513136000,72
1513136314,73
1513136329,73
1513136333,73
1513136900,74
1513137214,76
1513137229,76
1513137233,76
1513137800,77
1513138114,78
1513138129,78
1513138133,78
1513138700,79
1513139014,81
1513139029,81
1513139033,81
1513139600,82
1513139914,83
1513139929,83
1513139933,83
1513140500,84
1513140814,86
1513140829,86
1513140833,86
1513141400,87
1513141714,88
1513141729,88
1513141733,88
1513142300,89
1513142614,91
1513142629,91
1513142633,91
1513143200,92
1513143514,93
1513143529,93
1513143533,93
1513144100,94
1513144414,96
1513144429,96
1513144433,96
1513145000,97
1513145314,98
1513145329,98
1513145333,98
1513145900,99
1513146214,101
1513146229,101
1513146233,101
1513146800,102
1513147114,103
1513147129,103
1513147133,103
1513147700,104
1513148014,106
1513148029,106
1513148033,106
1513148600,107
1513148914,108
1513148929,108
1513148933,108
1513149500,109
1513149814,111
1513149829,111
1513149833,111
1513150400,112
1513150714,113
1513150729,113
1513150733,113
1513151300,114
1513151614,116
1513151629,116
1513151633,116
1513152200,117
1513152514,118
1513152529,118
1513152533,118
1513153100,119
1513153414,121
1513153429,121
1513153433,121
1513154000,122
1513154314,123
1513154333,123
1513154329,123
1513154900,124
1513155214,126
1513155229,126
1513155233,126
1513155800,127
1513156114,128
1513156129,128
1513156133,128
1513156700,129
1513156997,131
1513157012,131
1513157016,131
1513157583,132
1513157897,133
1513157912,133
1513157916,133
1513158483,134
1513158797,136
1513158812,136
1513158816,136
1513159383,137
1513159697,138
1513159712,138
1513159716,138
1513160283,139
1513160597,141
1513160612,141
1513160616,141
1513161183,142
1513161497,143
1513161512,143
1513161516,143
1513162083,144
1513162397,146
1513162412,146
1513162416,146
1513162983,147
1513163297,148
1513163312,148
1513163316,148
1513163883,149
1513164197,151
1513164212,151
1513164216,151
1513164783,152
1513165097,153
1513165112,153
1513165116,153
1513165683,154
1513165997,156
1513166012,156
1513166016,156
1513166583,157
1513166897,158
1513166912,158
1513166916,158
1513167483,159
1513167797,161
1513167812,161
1513167816,161
1513168383,162
1513168697,163
1513168712,163
1513168716,163
1513169283,164
1513169597,166
1513169612,166
1513169616,166
1513170183,167
1513170497,168
1513170512,168
1513170516,168
1513171083,169
1513171397,171
1513171412,171
1513171416,171
1513171983,172
1513172297,173
1513172312,173
1513172316,173
1513172883,174
1513173197,176
1513173212,176
1513173216,176
1513173783,177
1513174097,178
1513174112,178
1513174116,178
1513174683,179
1513174997,181
1513175012,181
1513175016,181
1513175583,182
1513175897,183
1513175912,183
1513175916,183
1513176483,184
1513176797,186
1513176812,186
1513176816,186
1513177383,187
1513177697,188
1513177712,188
1513177716,188
1513178283,189
1513178597,191
1513178612,191
1513178616,191
1513179183,192
1513179497,193
1513179512,193
1513179516,193
1513180083,194
1513180397,196
1513180412,196
1513180416,196
1513180983,197
1513181297,198
1513181312,198
1513181316,198
1513181883,199
1513182197,201
1513182212,201
1513182216,201
1513182783,202
1513183097,203
1513183112,203
1513183116,203
1513183683,204
1513183997,206
1513184012,206
1513184016,206
1513184583,207
1513184897,208
1513184912,208
1513184916,208
1513185483,209
1513185797,211
1513185812,211
1513185816,211
1513186383,212
1513186697,213
1513186712,213
1513186716,213
1513187283,214
1513187597,216
1513187612,216
1513187616,216
1513188183,217
1513188497,218
1513188512,218
1513188516,218
1513189083,219
1513189397,221
1513189412,221
1513189416,221
1513189983,222
1513190297,223
1513190312,223
1513190316,223
1513190883,224
1513191197,226
1513191212,226
1513191216,226
1513191783,227
1513192097,227
1513192112,227
1513192116,227
1513192683,228
1513192997,229
1513193012,229
1513193016,229
1513193583,231
1513193897,232
1513193912,232
1513193916,232
1513194483,233
1513194797,234
1513194812,234
1513194816,234
1513195383,235
1513195697,234
1513195712,234
1513195716,234
1513196283,235
1513196597,234
1513196612,234
1513196616,234
