t,value
1515782656,2
1515783271,6
1515783271,6
1515783271,6
1515783556,7
1515784171,11
1515784171,11
1515784171,11
1515784456,12
1515785071,16
1515785071,16
1515785071,16
1515785356,16
1515785971,21
1515785971,21
1515785971,21
1515786256,22
1515786871,26
1515786871,26
1515786871,26
1515787156,27
1515787771,31
1515787771,31
1515787771,31
1515788056,32
1515788671,36
1515788671,36
1515788671,36
1515788956,36
1515789571,41
1515789571,41
1515789571,41
1515789856,41
1515790471,46
1515790471,46
1515790471,46
1515790756,46
1515791371,51
1515791371,51
1515791371,51
1515791656,51
1515792271,56
1515792271,56
1515792271,56
1515792556,56
1515793171,61
1515793171,61
1515793171,61
1515793456,62
1515794071,66
1515794071,66
1515794071,66
1515794356,66
1515794971,71
1515794971,71
1515794971,71
1515795256,71
1515795871,76
1515795871,76
1515795871,76
1515796156,76
1515796771,81
1515796771,81
1515796771,81
1515797056,82
1515797671,86
1515797671,86
1515797671,86
1515797956,86
1515798571,91
1515798571,91
1515798571,91
1515798856,91
1515799471,96
1515799471,96
1515799471,96
1515799756,96
1515800371,101
1515800371,101
1515800371,101
1515800656,101
1515801271,106
1515801271,106
1515801271,106
1515801556,107
1515802171,111
1515802171,111
1515802171,111
1515802456,111
1515803071,116
1515803071,116
1515803071,116
1515803356,117
1515803971,121
1515803971,121
1515803971,121
1515804256,122
1515804871,126
1515804871,126
1515804871,126
1515805156,126
1515805771,131
1515805771,131
1515805771,131
1515806056,131
1515806671,136
1515806671,136
1515806671,136
1515806956,136
1515807571,141
1515807571,141
1515807571,141
1515807856,142
1515808471,146
1515808471,146
1515808471,146
1515808756,146
1515809371,151
1515809371,151
1515809371,151
1515809656,151
1515810271,156
1515810271,156
1515810271,156
1515810556,156
1515811171,161
1515811171,161
1515811171,161
1515811456,161
1515812071,166
1515812071,166
1515812071,166
1515812356,166
1515812971,171
1515812971,171
1515812971,171
1515813256,172
1515813871,176
1515813871,176
1515813871,176
1515814156,177
1515814771,181
1515814771,181
1515814771,181
1515815056,181
1515815671,186
1515815671,186
1515815671,186
1515815956,187
1515816571,191
1515816571,191
1515816571,191
1515816856,191
1515817471,196
1515817471,196
1515817471,196
1515817756,197
1515818371,201
1515818371,201
1515818371,201
1515818656,202
1515819271,206
1515819271,206
1515819271,206
1515819556,206
1515820171,211
1515820171,211
1515820171,211
1515820456,212
1515821071,216
1515821071,216
1515821071,216
1515821356,216
1515821971,221
1515821971,221
1515821971,221
1515822256,221
1515822871,226
1515822871,226
1515822871,226
1515823156,226
1515823771,231
1515823771,231
1515823771,231
1515824056,231
1515824671,236
1515824671,236
1515824671,236
1515824956,237
1515825571,241
1515825571,241
1515825571,241
1515825856,241
1515826471,246
1515826471,246
1515826471,246
1515826756,247
1515827371,251
1515827371,251
1515827371,251
1515827656,251
1515828271,256
1515828271,256
1515828271,256
1515828556,257
1515829171,261
1515829171,261
1515829171,261
1515829456,261
1515830071,266
1515830071,266
1515830071,266
1515830356,266
1515830971,271
1515830971,271
1515830971,271
1515831256,271
1515831871,276
1515831871,276
1515831871,276
1515832156,277
1515832771,281
1515832771,281
1515832771,281
1515833056,281
1515833671,286
1515833671,286
1515833671,286
1515833956,287
1515834571,291
1515834571,291
1515834571,291
1515834856,292
1515835471,296
1515835471,296
1515835471,296
1515835756,296
1515836371,301
1515836371,301
1515836371,301
1515836656,301
1515837271,306
1515837271,306
1515837271,306
1515837556,307
1515838171,311
1515838171,311
1515838171,311
1515838456,312
1515839071,316
1515839071,316
1515839071,316
1515839356,317
1515839971,321
1515839971,321
1515839971,321
1515840256,321
1515840871,326
1515840871,326
1515840871,326
1515841156,327
1515841771,331
1515841771,331
1515841771,331
1515842056,332
1515842671,336
1515842671,336
1515842671,336
1515842956,336
1515843571,341
1515843571,341
1515843571,341
1515843856,342
1515844471,346
1515844471,346
1515844471,346
1515844756,346
1515845371,351
1515845371,351
1515845371,351
1515845656,352
1515846271,356
1515846271,356
1515846271,356
1515846556,356
1515847171,361
1515847171,361
1515847171,361
1515847456,361
1515848071,366
1515848071,366
1515848071,366
1515848356,367
1515848971,371
1515848971,371
1515848971,371
1515849256,371
1515849871,376
1515849871,376
1515849871,376
1515850156,377
1515850771,381
1515850771,381
1515850771,381
1515851056,381
1515851671,386
1515851671,386
1515851671,386
1515851956,386
1515852571,391
1515852571,391
1515852571,391
1515852856,391
1515853471,396
1515853471,396
1515853471,396
1515853756,396
1515854371,401
1515854371,401
1515854371,401
1515854656,402
1515855271,406
1515855271,406
1515855271,406
1515855556,406
1515856171,411
1515856171,411
1515856171,411
1515856456,411
1515857071,416
1515857071,416
1515857071,416
1515857356,417
1515857971,421
1515857971,421
1515857971,421
1515858256,421
1515858871,426
1515858871,426
1515858871,426
1515859156,426
1515859771,431
1515859771,431
1515859771,431
1515860056,431
1515860671,436
1515860671,436
1515860671,436
1515860956,436
1515861571,441
1515861571,441
1515861571,441
1515861856,441
1515862471,446
1515862471,446
1515862471,446
1515862756,446
1515863371,451
1515863371,451
1515863371,451
1515863656,451
1515864271,456
1515864271,456
1515864271,456
1515864556,456
1515865171,461
1515865171,461
1515865171,461
1515865456,461
1515866071,466
1515866071,466
1515866071,466
1515866356,467
1515866971,471
1515866971,471
1515866971,471
1515867256,471
1515867871,476
1515867871,476
1515867871,476
1515868156,477
1515868771,481
1515868771,481
1515868771,481
1515869056,482
1515869671,486
1515869671,486
1515869671,486
1515869956,487
1515870571,491
1515870571,491
1515870571,491
1515870856,491
1515871471,496
1515871471,496
1515871471,496
1515871756,497
1515872371,501
1515872371,501
1515872371,501
1515872656,502
1515873271,506
1515873271,506
1515873271,506
1515873556,506
1515874171,511
1515874171,511
1515874171,511
1515874456,511
1515875071,516
1515875071,516
1515875071,516
1515875356,516
1515875971,521
1515875971,521
1515875971,521
1515876256,522
1515876871,526
1515876871,526
1515876871,526
1515877156,527
1515877771,531
1515877771,531
1515877771,531
1515878056,531
1515878671,536
1515878671,536
1515878671,536
1515878956,536
1515879571,541
1515879571,541
1515879571,541
1515879856,542
1515880471,546
1515880471,546
1515880471,546
1515880756,546
1515881371,551
1515881371,551
1515881371,551
1515881656,551
1515882271,556
1515882271,556
1515882271,556
1515882556,556
1515883171,561
1515883171,561
1515883171,561
1515883456,561
1515884071,566
1515884071,566
1515884071,566
1515884356,566
1515884971,571
1515884971,571
1515884971,571
1515885256,571
1515885871,576
1515885871,576
1515885871,576
1515886156,576
1515886771,581
1515886771,581
1515886771,581
1515887056,581
1515887671,586
1515887671,586
1515887671,586
1515887956,586
1515888571,591
1515888571,591
1515888571,591
1515888856,591
1515889471,596
1515889471,596
1515889471,596
1515889756,597
1515890371,601
1515890371,601
1515890371,601
1515890656,602
1515891271,606
1515891271,606
1515891271,606
1515891556,607
1515892171,611
1515892171,611
1515892171,611
1515892456,612
1515893071,616
1515893071,616
1515893071,616
1515893356,617
1515893971,621
1515893971,621
1515893971,621
1515894256,622
1515894871,626
1515894871,626
1515894871,626
1515895156,626
1515895771,631
1515895771,631
1515895771,631
1515896056,631
1515896671,636
1515896671,636
1515896671,636
1515896956,636
1515897571,641
1515897571,641
1515897571,641
1515897856,641
1515898471,646
1515898471,646
1515898471,646
1515898756,647
1515899371,651
1515899371,651
1515899371,651
1515899656,651
1515900271,656
1515900271,656
1515900271,656
1515900556,656
1515901171,661
1515901171,661
1515901171,661
1515901456,662
1515902071,666
1515902071,666
1515902071,666
1515902356,666
1515902971,671
1515902971,671
1515902971,671
1515903256,671
1515903871,676
1515903871,676
1515903871,676
1515904156,676
1515904771,681
1515904771,681
1515904771,681
1515905056,681
1515905671,686
1515905671,686
1515905671,686
1515905956,686
1515906571,691
1515906571,691
1515906571,691
1515906856,691
1515907471,696
1515907471,696
1515907471,696
1515907756,696
1515908371,701
1515908371,701
1515908371,701
1515908656,701
1515909271,706
1515909271,706
1515909271,706
1515909556,706
1515910171,711
1515910171,711
1515910171,711
1515910456,711
1515911071,716
1515911071,716
1515911071,716
1515911356,716
1515911971,721
1515911971,721
1515911971,721
1515912256,722
1515912871,726
1515912871,726
1515912871,726
1515913156,727
1515913771,731
1515913771,731
1515913771,731
1515914056,731
1515914671,736
1515914671,736
1515914671,736
1515914956,736
1515915571,741
1515915571,741
1515915571,741
1515915856,741
1515916471,746
1515916471,746
1515916471,746
1515916756,746
1515917371,751
1515917371,751
1515917371,751
1515917656,751
1515918271,756
1515918271,756
1515918271,756
1515918556,757
1515919171,761
1515919171,761
1515919171,761
1515919456,762
1515920071,766
1515920071,766
1515920071,766
1515920356,766
1515920971,770
1515920971,770
1515920971,770
1515921256,770
1515921871,775
1515921871,775
1515921871,775
1515922156,775
1515922771,780
1515922771,780
1515922771,780
1515923056,781
1515923671,785
1515923671,785
1515923671,785
1515923956,785
1515924571,790
1515924571,790
1515924571,790
1515924856,790
1515925471,795
1515925471,795
1515925471,795
1515925756,796
1515926371,800
1515926371,800
1515926371,800
1515926656,801
1515927271,805
1515927271,805
1515927271,805
1515927556,806
1515928171,810
1515928171,810
1515928171,810
1515928456,811
1515929071,815
1515929071,815
1515929071,815
1515929356,815
1515929971,820
1515929971,820
1515929971,820
1515930256,821
1515930871,825
1515930871,825
1515930871,825
1515931156,826
1515931771,830
1515931771,830
1515931771,830
1515932056,830
1515932671,835
1515932671,835
1515932671,835
1515932956,835
1515933571,840
1515933571,840
1515933571,840
1515933856,841
1515934471,845
1515934471,845
1515934471,845
1515934756,846
1515935371,850
1515935371,850
1515935371,850
1515935656,851
1515936271,855
1515936271,855
1515936271,855
1515936556,856
1515937171,860
1515937171,860
1515937171,860
1515937456,860
1515938071,865
1515938071,865
1515938071,865
1515938356,865
1515938971,870
