t,value
1515782656,0.0
1515783271,0.0
1515783271,0.0
1515783271,0.0
1515783556,0.0
1515784171,0.0
1515784171,0.0
1515784171,0.0
1515784456,0.0
1515785071,0.0
1515785071,0.0
1515785071,0.0
1515785356,0.0
1515785971,0.0
1515785971,0.0
1515785971,0.0
1515786256,0.0
1515786871,0.0
1515786871,0.0
1515786871,0.0
1515787156,0.0
1515787771,0.0
1515787771,0.0
1515787771,0.0
1515788056,0.0
1515788671,0.0
1515788671,0.0
1515788671,0.0
1515788956,0.0
1515789571,0.0
1515789571,0.0
1515789571,0.0
1515789856,0.0
1515790471,0.0
1515790471,0.0
1515790471,0.0
1515790756,0.0
1515791371,0.0
1515791371,0.0
1515791371,0.0
1515791656,0.0
1515792271,0.0
1515792271,0.0
1515792271,0.0
1515792556,0.0
1515793171,0.0
1515793171,0.0
1515793171,0.0
1515793456,0.0
1515794071,0.0
1515794071,0.0
1515794071,0.0
1515794356,0.0
1515794971,0.0
1515794971,0.0
1515794971,0.0
1515795256,0.0
1515795871,0.0
1515795871,0.0
1515795871,0.0
1515796156,0.0
1515796771,0.0
1515796771,0.0
1515796771,0.0
1515797056,0.0
1515797671,0.0
1515797671,0.0
1515797671,0.0
1515797956,0.0
1515798571,0.0
1515798571,0.0
1515798571,0.0
1515798856,0.0
1515799471,0.0
1515799471,0.0
1515799471,0.0
1515799756,0.0
1515800371,0.0
1515800371,0.0
1515800371,0.0
1515800656,0.0
1515801271,0.0
1515801271,0.0
1515801271,0.0
1515801556,0.0
1515802171,0.0
1515802171,0.0
1515802171,0.0
1515802456,0.0
1515803071,0.0
1515803071,0.0
1515803071,0.0
1515803356,0.0
1515803971,0.0
1515803971,0.0
1515803971,0.0
1515804256,0.0
1515804871,0.0
1515804871,0.0
1515804871,0.0
1515805156,0.0
1515805771,0.0
1515805771,0.0
1515805771,0.0
1515806056,0.0
1515806671,0.0
1515806671,0.0
1515806671,0.0
1515806956,0.0
1515807571,0.0
1515807571,0.0
1515807571,0.0
1515807856,0.0
1515808471,0.0
1515808471,0.0
1515808471,0.0
1515808756,0.0
1515809371,0.0
1515809371,0.0
1515809371,0.0
1515809656,0.0
1515810271,0.0
1515810271,0.0
1515810271,0.0
1515810556,0.0
1515811171,0.0
1515811171,0.0
1515811171,0.0
1515811456,0.0
1515812071,0.0
1515812071,0.0
1515812071,0.0
1515812356,0.0
1515812971,0.0
1515812971,0.0
1515812971,0.0
1515813256,0.0
1515813871,0.0
1515813871,0.0
1515813871,0.0
1515814156,0.0
1515814771,0.0
1515814771,0.0
1515814771,0.0
1515815056,0.0
1515815671,0.0
1515815671,0.0
1515815671,0.0
1515815956,0.0
1515816571,0.0
1515816571,0.0
1515816571,0.0
1515816856,0.0
1515817471,0.0
1515817471,0.0
1515817471,0.0
1515817756,0.0
1515818371,0.0
1515818371,0.0
1515818371,0.0
1515818656,0.0
1515819271,0.0
1515819271,0.0
1515819271,0.0
1515819556,0.0
1515820171,0.0
1515820171,0.0
1515820171,0.0
1515820456,0.0
1515821071,0.0
1515821071,0.0
1515821071,0.0
1515821356,0.0
1515821971,0.0
1515821971,0.0
1515821971,0.0
1515822256,0.0
1515822871,0.0
1515822871,0.0
1515822871,0.0
1515823156,0.0
1515823771,0.0
1515823771,0.0
1515823771,0.0
1515824056,0.0
1515824671,0.0
1515824671,0.0
1515824671,0.0
1515824956,0.0
