t,value
1515782656,NaN
1515783271,NaN
1515783271,NaN
1515783271,NaN
1515783556,NaN
1515784171,NaN
1515784171,NaN
1515784171,NaN
1515784456,56218.0
1515785071,NaN
1515785071,NaN
1515785071,NaN
1515785356,828097.0
1515785971,NaN
1515785971,NaN
1515785971,NaN
1515786256,91026.0
1515786871,NaN
1515786871,NaN
1515786871,NaN
1515787156,751467.0
1515787771,NaN
1515787771,NaN
1515787771,NaN
1515788056,NaN
1515788671,NaN
1515788671,NaN
1515788671,NaN
1515788956,727686.0
1515789571,NaN
1515789571,NaN
1515789571,NaN
1515789856,82993.0
1515790471,NaN
1515790471,NaN
1515790471,NaN
1515790756,666459.0
1515791371,NaN
1515791371,NaN
1515791371,NaN
1515791656,73697.0
1515792271,NaN
1515792271,NaN
1515792271,NaN
1515792556,NaN
1515793171,NaN
1515793171,NaN
1515793171,NaN
1515793456,73266.0
1515794071,NaN
1515794071,NaN
1515794071,NaN
1515794356,482855.0
1515794971,NaN
1515794971,NaN
1515794971,NaN
1515795256,55093.0
1515795871,NaN
1515795871,NaN
1515795871,NaN
1515796156,NaN
1515796771,NaN
1515796771,NaN
1515796771,NaN
1515797056,56487.0
1515797671,NaN
1515797671,NaN
1515797671,NaN
1515797956,879840.0
1515798571,NaN
1515798571,NaN
1515798571,NaN
1515798856,NaN
1515799471,NaN
1515799471,NaN
1515799471,NaN
1515799756,747670.0
1515800371,NaN
1515800371,NaN
1515800371,NaN
1515800656,74480.0
1515801271,NaN
1515801271,NaN
1515801271,NaN
1515801556,694560.0
1515802171,NaN
1515802171,NaN
1515802171,NaN
1515802456,36264.0
1515803071,NaN
1515803071,NaN
1515803071,NaN
1515803356,520966.0
1515803971,NaN
1515803971,NaN
1515803971,NaN
1515804256,60483.0
1515804871,NaN
1515804871,NaN
1515804871,NaN
1515805156,1842890.0
1515805771,NaN
1515805771,NaN
1515805771,NaN
1515806056,68673.0
1515806671,NaN
1515806671,NaN
1515806671,NaN
1515806956,675053.0
1515807571,NaN
1515807571,NaN
1515807571,NaN
1515807856,39550.0
1515808471,NaN
1515808471,NaN
1515808471,NaN
1515808756,674433.0
1515809371,NaN
1515809371,NaN
1515809371,NaN
1515809656,87590.0
1515810271,NaN
1515810271,NaN
1515810271,NaN
1515810556,381856.0
1515811171,NaN
1515811171,NaN
1515811171,NaN
1515811456,65110.0
1515812071,NaN
1515812071,NaN
1515812071,NaN
1515812356,560635.0
1515812971,NaN
1515812971,NaN
1515812971,NaN
1515813256,46145.0
1515813871,NaN
1515813871,NaN
1515813871,NaN
1515814156,488671.0
1515814771,NaN
1515814771,NaN
1515814771,NaN
1515815056,58687.0
1515815671,NaN
1515815671,NaN
1515815671,NaN
1515815956,2234840.0
1515816571,NaN
1515816571,NaN
1515816571,NaN
1515816856,78080.0
1515817471,NaN
1515817471,NaN
1515817471,NaN
1515817756,829383.0
1515818371,NaN
1515818371,NaN
1515818371,NaN
1515818656,37235.0
1515819271,NaN
1515819271,NaN
1515819271,NaN
1515819556,518054.0
1515820171,NaN
1515820171,NaN
1515820171,NaN
1515820456,36042.0
1515821071,NaN
1515821071,NaN
1515821071,NaN
1515821356,848823.0
1515821971,NaN
1515821971,NaN
1515821971,NaN
1515822256,60557.0
1515822871,NaN
1515822871,NaN
1515822871,NaN
1515823156,538099.0
1515823771,NaN
1515823771,NaN
1515823771,NaN
1515824056,78568.0
1515824671,NaN
1515824671,NaN
1515824671,NaN
1515824956,712047.0
1515825571,NaN
1515825571,NaN
1515825571,NaN
1515825856,66542.0
1515826471,NaN
1515826471,NaN
1515826471,NaN
1515826756,596065.0
1515827371,NaN
1515827371,NaN
1515827371,NaN
1515827656,722266.0
1515828271,NaN
1515828271,NaN
1515828271,NaN
1515828556,1342008.0
1515829171,NaN
1515829171,NaN
1515829171,NaN
1515829456,NaN
1515830071,NaN
1515830071,NaN
1515830071,NaN
1515830356,2027390.0
1515830971,NaN
1515830971,NaN
1515830971,NaN
1515831256,63817.0
1515831871,NaN
1515831871,NaN
1515831871,NaN
1515832156,861983.0
1515832771,NaN
1515832771,NaN
1515832771,NaN
1515833056,45050.0
1515833671,NaN
1515833671,NaN
1515833671,NaN
1515833956,315144.0
1515834571,NaN
1515834571,NaN
1515834571,NaN
1515834856,57951.0
1515835471,NaN
1515835471,NaN
1515835471,NaN
1515835756,453703.0
1515836371,NaN
1515836371,NaN
1515836371,NaN
1515836656,159193.0
1515837271,NaN
1515837271,NaN
1515837271,NaN
1515837556,400455.0
1515838171,NaN
1515838171,NaN
1515838171,NaN
1515838456,63750.0
1515839071,NaN
1515839071,NaN
1515839071,NaN
1515839356,390474.0
1515839971,NaN
1515839971,NaN
1515839971,NaN
1515840256,48983.0
1515840871,NaN
1515840871,NaN
1515840871,NaN
1515841156,678437.0
1515841771,NaN
1515841771,NaN
1515841771,NaN
1515842056,31750.0
1515842671,NaN
1515842671,NaN
1515842671,NaN
1515842956,600314.0
1515843571,NaN
1515843571,NaN
1515843571,NaN
1515843856,60163.0
1515844471,NaN
1515844471,NaN
1515844471,NaN
1515844756,587464.0
1515845371,NaN
1515845371,NaN
1515845371,NaN
1515845656,735367.0
1515846271,NaN
1515846271,NaN
1515846271,NaN
1515846556,NaN
1515847171,NaN
1515847171,NaN
1515847171,NaN
1515847456,NaN
1515848071,NaN
1515848071,NaN
1515848071,NaN
1515848356,348847.0
1515848971,NaN
1515848971,NaN
1515848971,NaN
1515849256,47283.0
1515849871,NaN
1515849871,NaN
1515849871,NaN
1515850156,386030.0
1515850771,NaN
1515850771,NaN
1515850771,NaN
1515851056,28225.0
1515851671,NaN
1515851671,NaN
1515851671,NaN
1515851956,787646.0
1515852571,NaN
1515852571,NaN
1515852571,NaN
1515852856,NaN
1515853471,NaN
1515853471,NaN
1515853471,NaN
1515853756,500557.0
1515854371,NaN
1515854371,NaN
1515854371,NaN
1515854656,38680.0
1515855271,NaN
1515855271,NaN
1515855271,NaN
1515855556,609150.0
1515856171,NaN
1515856171,NaN
1515856171,NaN
1515856456,36820.0
1515857071,NaN
1515857071,NaN
1515857071,NaN
1515857356,919663.0
1515857971,NaN
1515857971,NaN
1515857971,NaN
1515858256,42770.0
1515858871,NaN
1515858871,NaN
1515858871,NaN
1515859156,333412.0
1515859771,NaN
1515859771,NaN
1515859771,NaN
1515860056,37434.0
1515860671,NaN
1515860671,NaN
1515860671,NaN
1515860956,482557.0
1515861571,NaN
1515861571,NaN
1515861571,NaN
1515861856,NaN
1515862471,NaN
1515862471,NaN
1515862471,NaN
1515862756,476030.0
1515863371,NaN
1515863371,NaN
1515863371,NaN
1515863656,51277.0
1515864271,NaN
1515864271,NaN
1515864271,NaN
1515864556,780887.0
1515865171,NaN
1515865171,NaN
1515865171,NaN
1515865456,NaN
1515866071,NaN
1515866071,NaN
1515866071,NaN
1515866356,1472283.0
1515866971,NaN
1515866971,NaN
1515866971,NaN
1515867256,NaN
1515867871,NaN
1515867871,NaN
1515867871,NaN
1515868156,349115.0
1515868771,NaN
1515868771,NaN
1515868771,NaN
1515869056,59269.0
1515869671,NaN
1515869671,NaN
1515869671,NaN
1515869956,419868.0
1515870571,NaN
1515870571,NaN
1515870571,NaN
1515870856,55024.0
1515871471,NaN
1515871471,NaN
1515871471,NaN
1515871756,361944.0
1515872371,NaN
1515872371,NaN
1515872371,NaN
1515872656,51309.0
1515873271,NaN
1515873271,NaN
1515873271,NaN
1515873556,779847.0
1515874171,NaN
1515874171,NaN
1515874171,NaN
1515874456,38203.0
1515875071,NaN
1515875071,NaN
1515875071,NaN
1515875356,536877.0
1515875971,NaN
1515875971,NaN
1515875971,NaN
1515876256,345654.0
1515876871,NaN
1515876871,NaN
1515876871,NaN
1515877156,326405.0
1515877771,NaN
1515877771,NaN
1515877771,NaN
1515878056,44690.0
1515878671,NaN
1515878671,NaN
1515878671,NaN
1515878956,637611.0
1515879571,NaN
1515879571,NaN
1515879571,NaN
1515879856,57713.0
1515880471,NaN
1515880471,NaN
1515880471,NaN
1515880756,NaN
1515881371,NaN
1515881371,NaN
1515881371,NaN
1515881656,48658.0
1515882271,NaN
1515882271,NaN
1515882271,NaN
1515882556,468872.0
1515883171,NaN
1515883171,NaN
1515883171,NaN
1515883456,20200.0
1515884071,NaN
1515884071,NaN
1515884071,NaN
1515884356,NaN
1515884971,NaN
1515884971,NaN
1515884971,NaN
1515885256,33850.0
1515885871,NaN
1515885871,NaN
1515885871,NaN
1515886156,NaN
1515886771,NaN
1515886771,NaN
1515886771,NaN
1515887056,35377.0
1515887671,NaN
1515887671,NaN
1515887671,NaN
1515887956,416506.0
1515888571,NaN
1515888571,NaN
1515888571,NaN
1515888856,NaN
1515889471,NaN
1515889471,NaN
1515889471,NaN
1515889756,529267.0
1515890371,NaN
1515890371,NaN
1515890371,NaN
1515890656,33667.0
1515891271,NaN
1515891271,NaN
1515891271,NaN
1515891556,679514.0
1515892171,NaN
1515892171,NaN
1515892171,NaN
1515892456,50818.0
1515893071,NaN
1515893071,NaN
1515893071,NaN
1515893356,671196.0
1515893971,NaN
1515893971,NaN
1515893971,NaN
1515894256,32721.0
1515894871,NaN
1515894871,NaN
1515894871,NaN
1515895156,672899.0
1515895771,NaN
1515895771,NaN
1515895771,NaN
1515896056,36356.0
1515896671,NaN
1515896671,NaN
1515896671,NaN
1515896956,647716.0
1515897571,NaN
1515897571,NaN
1515897571,NaN
1515897856,NaN
1515898471,NaN
1515898471,NaN
1515898471,NaN
1515898756,1077613.0
1515899371,NaN
1515899371,NaN
1515899371,NaN
1515899656,45133.0
1515900271,NaN
1515900271,NaN
1515900271,NaN
1515900556,579913.0
1515901171,NaN
1515901171,NaN
1515901171,NaN
1515901456,34787.0
1515902071,NaN
1515902071,NaN
1515902071,NaN
1515902356,393609.0
1515902971,NaN
1515902971,NaN
1515902971,NaN
1515903256,26020.0
1515903871,NaN
1515903871,NaN
1515903871,NaN
1515904156,NaN
1515904771,NaN
1515904771,NaN
1515904771,NaN
1515905056,45163.0
1515905671,NaN
1515905671,NaN
1515905671,NaN
1515905956,584156.0
1515906571,NaN
1515906571,NaN
1515906571,NaN
1515906856,NaN
1515907471,NaN
1515907471,NaN
1515907471,NaN
1515907756,NaN
1515908371,NaN
1515908371,NaN
1515908371,NaN
1515908656,NaN
1515909271,NaN
1515909271,NaN
1515909271,NaN
1515909556,504439.0
1515910171,NaN
1515910171,NaN
1515910171,NaN
1515910456,32587.0
1515911071,NaN
1515911071,NaN
1515911071,NaN
1515911356,635447.0
1515911971,NaN
1515911971,NaN
1515911971,NaN
1515912256,29958.0
1515912871,NaN
1515912871,NaN
1515912871,NaN
1515913156,644896.0
1515913771,NaN
1515913771,NaN
1515913771,NaN
1515914056,NaN
1515914671,NaN
1515914671,NaN
1515914671,NaN
1515914956,1523685.0
1515915571,NaN
1515915571,NaN
1515915571,NaN
1515915856,27431.0
1515916471,NaN
1515916471,NaN
1515916471,NaN
1515916756,379087.0
1515917371,NaN
1515917371,NaN
1515917371,NaN
1515917656,41670.0
1515918271,NaN
1515918271,NaN
1515918271,NaN
1515918556,773749.0
1515919171,NaN
1515919171,NaN
1515919171,NaN
1515919456,31160.0
1515920071,NaN
1515920071,NaN
1515920071,NaN
1515920356,NaN
1515920971,NaN
1515920971,NaN
1515920971,NaN
1515921256,30333.0
1515921871,NaN
1515921871,NaN
1515921871,NaN
1515922156,671149.0
1515922771,NaN
1515922771,NaN
1515922771,NaN
1515923056,18837.0
1515923671,NaN
1515923671,NaN
1515923671,NaN
1515923956,240518.0
1515924571,NaN
1515924571,NaN
1515924571,NaN
1515924856,27130.0
1515925471,NaN
1515925471,NaN
1515925471,NaN
1515925756,325764.0
1515926371,NaN
1515926371,NaN
1515926371,NaN
1515926656,27317.0
1515927271,NaN
1515927271,NaN
1515927271,NaN
1515927556,597940.0
1515928171,NaN
1515928171,NaN
1515928171,NaN
1515928456,22864.0
1515929071,NaN
1515929071,NaN
1515929071,NaN
1515929356,915330.0
1515929971,NaN
1515929971,NaN
1515929971,NaN
1515930256,53930.0
1515930871,NaN
1515930871,NaN
1515930871,NaN
1515931156,460066.0
1515931771,NaN
1515931771,NaN
1515931771,NaN
1515932056,25463.0
1515932671,NaN
1515932671,NaN
1515932671,NaN
1515932956,512330.0
1515933571,NaN
1515933571,NaN
1515933571,NaN
1515933856,31120.0
1515934471,NaN
1515934471,NaN
1515934471,NaN
1515934756,414207.0
1515935371,NaN
1515935371,NaN
1515935371,NaN
1515935656,31721.0
1515936271,NaN
1515936271,NaN
1515936271,NaN
1515936556,515851.0
1515937171,NaN
1515937171,NaN
1515937171,NaN
1515937456,40950.0
1515938071,NaN
1515938071,NaN
1515938071,NaN
1515938356,447867.0
1515938971,NaN
1515938971,NaN
1515938971,NaN
1515939256,27807.0
1515939871,NaN
1515939871,NaN
1515939871,NaN
1515940156,352377.0
1515940771,NaN
1515940771,NaN
1515940771,NaN
1515941056,NaN
1515941671,NaN
1515941671,NaN
1515941671,NaN
1515941956,683363.0
1515942571,NaN
1515942571,NaN
1515942571,NaN
1515942856,29135.0
1515943471,NaN
1515943471,NaN
1515943471,NaN
1515943756,1969370.0
1515944371,NaN
1515944371,NaN
1515944371,NaN
1515944656,27823.0
1515945271,NaN
1515945271,NaN
1515945271,NaN
1515945556,269086.0
1515946171,NaN
1515946171,NaN
1515946171,NaN
1515946456,24787.0
1515947071,NaN
1515947071,NaN
1515947071,NaN
1515947356,NaN
1515947971,NaN
1515947971,NaN
1515947971,NaN
1515948256,15888.0
1515948871,NaN
1515948871,NaN
1515948871,NaN
1515949156,NaN
1515949771,NaN
1515949771,NaN
1515949771,NaN
1515950056,NaN
1515950671,NaN
1515950671,NaN
1515950671,NaN
1515950956,NaN
1515951571,NaN
1515951571,NaN
1515951571,NaN
1515951856,31764.0
1515952471,NaN
1515952471,NaN
1515952471,NaN
1515952756,487624.0
1515953371,NaN
1515953371,NaN
1515953371,NaN
1515953656,27114.0
1515954271,NaN
1515954271,NaN
1515954271,NaN
1515954556,NaN
1515955171,NaN
1515955171,NaN
1515955171,NaN
1515955456,28717.0
1515956071,NaN
1515956071,NaN
1515956071,NaN
1515956356,422637.0
1515956971,NaN
1515956971,NaN
1515956971,NaN
1515957256,56850.0
1515957871,NaN
1515957871,NaN
1515957871,NaN
1515958156,511230.0
1515958771,NaN
1515958771,NaN
1515958771,NaN
1515959056,15989.0
1515959671,NaN
1515959671,NaN
1515959671,NaN
1515959956,307702.0
1515960571,NaN
1515960571,NaN
1515960571,NaN
1515960856,21305.0
1515961471,NaN
1515961471,NaN
1515961471,NaN
1515961756,485410.0
1515962371,NaN
1515962371,NaN
1515962371,NaN
1515962656,26583.0
1515963271,NaN
1515963271,NaN
1515963271,NaN
1515963556,NaN
1515964171,NaN
1515964171,NaN
1515964171,NaN
1515964456,35156.0
1515965071,NaN
1515965071,NaN
1515965071,NaN
1515965356,NaN
1515965971,NaN
1515965971,NaN
1515965971,NaN
