t,value
1515080463,2
1515080833,3
1515080833,3
1515080835,3
1515081363,4
1515081733,6
1515081733,5
1515081735,6
1515082263,7
1515082633,8
1515082633,8
1515082635,8
1515083163,9
1515083533,11
1515083533,10
1515083535,11
1515084063,12
1515084433,13
1515084433,13
1515084435,13
1515084963,14
1515085333,15
1515085333,16
1515085335,16
1515085863,17
1515086233,18
1515086233,18
1515086235,18
1515086763,19
1515087133,21
1515087133,20
1515087135,21
1515087663,22
1515088033,23
1515088033,23
1515088035,23
1515088563,24
1515088933,26
1515088933,25
1515088935,26
1515089463,27
1515089833,28
1515089833,28
1515089835,28
1515090363,29
1515090733,30
1515090733,31
1515090735,31
1515091263,32
1515091633,33
1515091633,33
1515091635,33
1515092163,34
1515092533,36
1515092533,35
1515092535,36
1515093063,37
1515093433,38
1515093433,38
1515093435,38
1515093963,51
1515094333,41
1515094333,40
1515094335,41
1515094863,1946
1515095233,43
1515095233,43
1515095235,43
1515095763,1948
1515096133,46
1515096133,45
1515096135,46
1515096663,1951
1515097033,48
1515097033,48
1515097035,48
1515097563,1953
1515097933,51
1515097933,50
1515097935,51
1515098463,1956
1515098833,53
1515098833,53
1515098835,53
1515099363,1958
1515099733,56
1515099733,55
1515099735,56
1515100263,8451
1515100633,58
1515100633,58
1515100635,58
1515101163,8453
1515101533,60
1515101533,61
1515101535,61
1515102063,8456
1515102433,63
1515102433,63
1515102435,63
1515102963,8458
1515103333,66
1515103333,65
1515103335,66
1515103863,8461
1515104233,68
1515104233,68
1515104235,68
1515104763,10668
1515105133,71
1515105133,70
1515105135,71
1515105663,12163
1515106033,73
1515106033,73
1515106035,73
1515106563,12165
1515106933,76
1515106933,75
1515106935,76
1515107463,12168
1515107833,78
1515107833,78
1515107835,78
1515108363,12170
1515108733,80
1515108733,81
1515108735,81
1515109263,12173
1515109633,83
1515109633,83
1515109635,83
1515110163,12175
1515110533,86
1515110533,85
1515110535,86
1515111063,12178
1515111433,88
1515111433,88
1515111435,88
1515111963,12180
1515112333,91
1515112333,90
1515112335,91
1515112863,12183
1515113233,93
1515113233,93
1515113235,93
1515113763,12185
1515114133,95
1515114133,96
1515114135,96
1515114663,12188
1515115033,98
1515115033,98
1515115035,98
1515115563,12190
1515115933,101
1515115933,100
1515115935,101
1515116463,12193
1515116833,103
1515116833,103
1515116835,103
1515117363,12195
1515117733,105
1515117733,106
1515117735,106
1515118263,12198
1515118633,108
1515118633,108
1515118635,108
1515119163,12200
1515119533,111
1515119533,110
1515119535,111
1515120063,12203
1515120433,113
1515120433,113
1515120435,113
1515120963,12205
1515121333,116
1515121333,115
1515121335,116
1515121863,12208
1515122233,118
1515122233,118
1515122235,118
1515122763,12210
1515123133,120
1515123133,121
1515123135,121
1515123663,12213
1515124033,123
1515124033,123
1515124035,123
1515124563,12215
1515124933,126
1515124933,125
1515124935,126
1515125463,12218
1515125833,128
1515125833,128
1515125835,128
1515126363,12220
1515126733,131
1515126733,130
1515126735,131
1515127263,12223
1515127633,133
1515127633,133
1515127635,133
1515128163,12225
1515128533,136
1515128533,135
1515128535,136
1515129063,12228
1515129433,138
1515129433,138
1515129435,138
1515129963,12230
1515130333,141
1515130333,140
1515130335,141
1515130863,12233
1515131233,143
1515131233,143
1515131235,143
1515131763,12235
1515132133,145
1515132133,146
1515132135,146
1515132663,12238
1515133033,148
1515133033,148
1515133035,148
1515133563,12240
1515133933,151
1515133933,150
1515133935,151
1515134463,12243
1515134833,153
1515134833,153
1515134835,153
1515135363,12245
1515135733,156
1515135733,155
1515135735,156
1515136263,12248
1515136633,158
1515136633,158
1515136635,158
1515137163,12250
1515137533,160
1515137533,161
1515137535,161
1515138063,12253
1515138433,163
1515138433,163
1515138435,163
1515138963,12255
1515139333,166
1515139333,165
1515139335,166
1515139863,12258
1515140233,168
1515140233,168
1515140235,168
1515140763,12260
1515141133,171
1515141133,170
1515141135,171
1515141663,12263
1515142033,173
1515142033,173
1515142035,173
1515142563,12265
1515142933,176
1515142933,175
1515142935,176
1515143463,12268
1515143833,178
1515143833,178
1515143835,178
1515144363,12270
1515144733,181
1515144733,180
1515144735,181
1515145263,12273
1515145633,183
1515145633,183
1515145635,183
1515146163,12275
1515146533,186
1515146533,185
1515146535,186
1515147063,12278
1515147433,188
1515147433,188
1515147435,188
1515147963,12280
1515148333,191
1515148333,190
1515148335,191
1515148863,12283
1515149233,193
1515149233,193
1515149235,193
1515149763,12285
1515150133,195
1515150133,196
1515150135,196
1515150663,12288
1515151033,198
1515151033,198
1515151035,198
1515151563,12290
1515151933,201
1515151933,200
1515151935,201
1515152463,12293
1515152833,203
1515152833,203
1515152835,203
1515153363,12295
1515153733,206
1515153733,205
1515153735,206
1515154263,12299
1515154633,208
1515154633,208
1515154635,208
1515155163,12301
1515155533,210
1515155533,211
1515155535,211
1515156063,12304
1515156433,213
1515156433,213
1515156435,213
1515156963,12306
1515157333,216
1515157333,215
1515157335,216
1515157863,12309
1515158233,218
1515158233,218
1515158235,218
1515158763,20639
1515159133,220
1515159133,221
1515159135,221
1515159663,20642
1515160033,223
1515160033,223
1515160035,223
1515160563,20644
1515160933,226
1515160933,225
1515160935,226
1515161463,20647
1515161833,228
1515161833,228
1515161835,228
1515162363,20649
1515162733,231
1515162733,230
1515162735,231
1515163263,20652
1515163633,233
1515163633,233
1515163635,233
1515164163,20654
1515164533,235
1515164533,236
1515164535,236
1515165063,20657
1515165433,238
1515165433,238
1515165435,238
1515165963,20659
1515166333,240
1515166333,241
1515166335,241
1515166863,20662
1515167233,243
1515167233,243
1515167235,243
1515167763,20664
1515168133,246
1515168133,245
1515168135,246
1515168663,20667
1515169033,248
1515169033,248
1515169035,248
1515169563,20669
1515169933,251
1515169933,250
1515169935,251
1515170463,20672
1515170833,253
1515170833,253
1515170835,253
1515171363,20674
1515171733,255
1515171733,256
1515171735,256
1515172263,20677
1515172633,258
1515172633,258
1515172635,258
1515173163,20679
1515173533,260
1515173533,261
1515173535,261
1515174063,20682
1515174433,263
1515174433,263
1515174435,263
1515174963,20684
1515175333,266
1515175333,265
1515175335,266
1515175863,20687
1515176233,268
1515176233,268
1515176235,268
1515176763,20689
1515177133,270
1515177133,271
1515177135,271
1515177663,20692
1515178033,273
1515178033,273
1515178035,273
1515178563,20694
1515178933,276
1515178933,275
1515178935,276
1515179463,20697
1515179833,278
1515179833,278
1515179835,278
1515180363,20699
1515180733,280
1515180733,281
1515180735,281
1515181263,20702
1515181633,283
1515181633,283
1515181635,283
1515182163,20704
1515182533,285
1515182533,286
1515182535,286
1515183063,20707
1515183433,288
1515183433,288
1515183435,288
1515183963,20709
1515184333,291
1515184333,290
1515184335,291
1515184863,20712
1515185233,293
1515185233,293
1515185235,293
1515185763,20714
1515186133,296
1515186133,295
1515186135,296
1515186663,20717
1515187033,298
1515187033,298
1515187035,298
1515187563,20719
1515187933,300
1515187933,301
1515187935,301
1515188463,20722
1515188833,303
1515188833,303
1515188835,303
1515189363,20724
1515189733,306
1515189733,305
1515189735,306
1515190263,20727
1515190633,308
1515190633,308
1515190635,308
1515191163,20729
1515191533,311
1515191533,310
1515191535,311
1515192063,20732
1515192433,313
1515192433,313
1515192435,313
1515192963,20734
1515193333,316
1515193333,315
1515193335,316
1515193863,20737
1515194233,318
1515194233,318
1515194235,318
1515194763,20739
1515195133,321
1515195133,320
1515195135,321
1515195663,20742
1515196033,323
1515196033,323
1515196035,323
1515196563,20744
1515196933,325
1515196933,326
1515196935,326
1515197463,20747
1515197833,328
1515197833,328
1515197835,328
1515198363,20749
1515198733,330
1515198733,331
1515198735,331
1515199263,20752
1515199633,333
1515199633,333
1515199635,333
1515200163,20754
1515200533,336
1515200533,335
1515200535,336
1515201063,20757
1515201433,338
1515201433,338
1515201435,338
1515201963,20759
1515202333,341
1515202333,340
1515202335,341
1515202863,20762
1515203233,343
1515203233,343
1515203235,343
1515203763,20764
1515204133,346
1515204133,345
1515204135,346
1515204663,20767
1515205033,348
1515205033,348
1515205035,348
1515205563,20769
1515205933,351
1515205933,350
1515205935,351
1515206463,20772
1515206833,353
1515206833,353
1515206835,353
1515207363,20774
1515207733,355
1515207733,356
1515207735,356
1515208263,20777
1515208633,358
1515208633,358
1515208635,358
1515209163,20779
1515209533,361
1515209533,360
1515209535,361
1515210063,20782
1515210433,363
1515210433,363
1515210435,363
1515210963,20784
1515211333,366
1515211333,365
1515211335,366
1515211863,20787
1515212233,368
1515212233,368
1515212235,368
1515212763,20789
1515213133,370
1515213133,371
1515213135,371
1515213663,20792
1515214033,373
1515214033,373
1515214035,373
1515214563,20794
1515214933,375
1515214933,376
1515214935,376
1515215463,20797
1515215833,378
1515215833,378
1515215835,378
1515216363,20799
1515216733,380
1515216733,381
1515216735,381
1515217263,20802
1515217633,382
1515217633,382
1515217635,382
1515218163,20804
1515218533,385
1515218533,385
1515218535,385
1515219063,20807
1515219433,387
1515219433,387
1515219435,387
1515219963,20809
1515220333,390
1515220333,390
1515220335,390
1515220863,20812
1515221233,392
1515221233,392
1515221235,392
1515221763,20814
1515222133,395
1515222133,395
1515222135,395
1515222663,20817
1515223033,397
1515223033,397
1515223035,397
1515223563,20819
