t,value
1515080463,NaN
1515080833,NaN
1515080833,NaN
1515080835,NaN
1515081363,712207.0
1515081733,NaN
1515081733,NaN
1515081735,NaN
1515082263,101623.0
1515082633,NaN
1515082633,NaN
1515082635,NaN
1515083163,NaN
1515083533,NaN
1515083533,NaN
1515083535,NaN
1515084063,92594.0
1515084433,NaN
1515084433,NaN
1515084435,NaN
1515084963,699170.0
1515085333,NaN
1515085333,NaN
1515085335,NaN
1515085863,79410.0
1515086233,NaN
1515086233,NaN
1515086235,NaN
1515086763,776350.0
1515087133,NaN
1515087133,NaN
1515087135,NaN
1515087663,157147.0
1515088033,NaN
1515088033,NaN
1515088035,NaN
1515088563,675960.0
1515088933,NaN
1515088933,NaN
1515088935,NaN
1515089463,67410.0
1515089833,NaN
1515089833,NaN
1515089835,NaN
1515090363,553961.0
1515090733,NaN
1515090733,NaN
1515090735,NaN
1515091263,283543.0
1515091633,NaN
1515091633,NaN
1515091635,NaN
1515092163,795107.0
1515092533,NaN
1515092533,NaN
1515092535,NaN
1515093063,99416.0
1515093433,NaN
1515093433,NaN
1515093435,NaN
1515093963,54263.0
1515094333,NaN
1515094333,NaN
1515094335,NaN
1515094863,23557.0
1515095233,NaN
1515095233,NaN
1515095235,NaN
1515095763,564316.0
1515096133,NaN
1515096133,NaN
1515096135,NaN
1515096663,24953.0
1515097033,NaN
1515097033,NaN
1515097035,NaN
1515097563,590630.0
1515097933,NaN
1515097933,NaN
1515097935,NaN
1515098463,36920.0
1515098833,NaN
1515098833,NaN
1515098835,NaN
1515099363,481114.0
1515099733,NaN
1515099733,NaN
1515099735,NaN
1515100263,16694.0
1515100633,NaN
1515100633,NaN
1515100635,NaN
1515101163,483730.0
1515101533,NaN
1515101533,NaN
1515101535,NaN
1515102063,9472.0
1515102433,NaN
1515102433,NaN
1515102435,NaN
1515102963,391163.0
1515103333,NaN
1515103333,NaN
1515103335,NaN
1515103863,10044.0
1515104233,NaN
1515104233,NaN
1515104235,NaN
1515104763,362510.0
1515105133,NaN
1515105133,NaN
1515105135,NaN
1515105663,9236.0
1515106033,NaN
1515106033,NaN
1515106035,NaN
1515106563,414600.0
1515106933,NaN
1515106933,NaN
1515106935,NaN
1515107463,9440.0
1515107833,NaN
1515107833,NaN
1515107835,NaN
1515108363,254080.0
1515108733,NaN
1515108733,NaN
1515108735,NaN
1515109263,9800.0
1515109633,NaN
1515109633,NaN
1515109635,NaN
1515110163,272134.0
1515110533,NaN
1515110533,NaN
1515110535,NaN
1515111063,10080.0
1515111433,NaN
1515111433,NaN
1515111435,NaN
1515111963,408970.0
1515112333,NaN
1515112333,NaN
1515112335,NaN
1515112863,10320.0
1515113233,NaN
1515113233,NaN
1515113235,NaN
1515113763,277680.0
1515114133,NaN
1515114133,NaN
1515114135,NaN
1515114663,10234.0
1515115033,NaN
1515115033,NaN
1515115035,NaN
1515115563,397177.0
1515115933,NaN
1515115933,NaN
1515115935,NaN
1515116463,9810.0
1515116833,NaN
1515116833,NaN
1515116835,NaN
1515117363,244547.0
1515117733,NaN
1515117733,NaN
1515117735,NaN
1515118263,10400.0
1515118633,NaN
1515118633,NaN
1515118635,NaN
1515119163,272317.0
1515119533,NaN
1515119533,NaN
1515119535,NaN
1515120063,22560.0
1515120433,NaN
1515120433,NaN
1515120435,NaN
1515120963,299420.0
1515121333,NaN
1515121333,NaN
1515121335,NaN
1515121863,9580.0
1515122233,NaN
1515122233,NaN
1515122235,NaN
1515122763,181355.0
1515123133,NaN
1515123133,NaN
1515123135,NaN
1515123663,8123.0
1515124033,NaN
1515124033,NaN
1515124035,NaN
1515124563,298063.0
1515124933,NaN
1515124933,NaN
1515124935,NaN
1515125463,10104.0
