t,value
1515080463,1
1515080833,1
1515080833,1
1515080835,1
1515081363,1
1515081733,1
1515081733,1
1515081735,1
1515082263,1
1515082633,1
1515082633,1
1515082635,1
1515083163,1
1515083533,1
1515083535,1
1515083533,1
1515084063,1
1515084433,1
1515084433,1
1515084435,1
1515084963,1
1515085333,1
1515085333,1
1515085335,1
1515085863,1
1515086233,1
1515086233,1
1515086235,1
1515086763,1
1515087133,1
1515087133,1
1515087135,1
1515087663,1
1515088033,1
1515088033,1
1515088035,1
1515088563,1
1515088933,1
1515088933,1
1515088935,1
1515089463,1
1515089833,1
1515089833,1
1515089835,1
1515090363,1
1515090733,1
1515090733,1
1515090735,1
1515091263,1
1515091633,1
1515091633,1
1515091635,1
1515092163,1
1515092533,1
1515092533,1
1515092535,1
1515093063,1
1515093433,1
1515093433,1
1515093435,1
1515093963,2
1515094333,1
1515094333,1
1515094335,1
1515094863,737
1515095233,1
1515095233,1
1515095235,1
1515095763,737
1515096133,1
1515096133,1
1515096135,1
1515096663,737
1515097033,1
1515097033,1
1515097035,1
1515097563,737
1515097933,1
1515097933,1
1515097935,1
1515098463,737
1515098833,1
1515098833,1
1515098835,1
1515099363,737
1515099733,1
1515099733,1
1515099735,1
1515100263,737
1515100633,1
1515100633,1
1515100635,1
1515101163,737
1515101533,1
1515101533,1
1515101535,1
1515102063,737
1515102433,1
1515102433,1
1515102435,1
1515102963,737
1515103333,1
1515103333,1
1515103335,1
1515103863,737
1515104233,1
1515104233,1
1515104235,1
1515104763,737
1515105133,1
1515105133,1
1515105135,1
1515105663,797
1515106033,1
1515106033,1
1515106035,1
1515106563,797
1515106933,1
1515106933,1
1515106935,1
1515107463,797
1515107833,1
1515107833,1
1515107835,1
1515108363,797
1515108733,1
1515108733,1
1515108735,1
1515109263,797
1515109633,1
1515109633,1
1515109635,1
1515110163,797
1515110533,1
1515110533,1
1515110535,1
1515111063,797
1515111433,1
1515111433,1
1515111435,1
1515111963,797
1515112333,1
1515112333,1
1515112335,1
1515112863,797
1515113233,1
1515113233,1
1515113235,1
1515113763,797
1515114133,1
1515114133,1
1515114135,1
1515114663,797
1515115033,1
1515115033,1
1515115035,1
1515115563,797
1515115933,1
1515115933,1
1515115935,1
1515116463,797
1515116833,1
1515116833,1
1515116835,1
1515117363,797
1515117733,1
1515117733,1
1515117735,1
1515118263,797
1515118633,1
1515118633,1
1515118635,1
1515119163,797
1515119533,1
1515119533,1
1515119535,1
1515120063,797
1515120433,1
1515120433,1
1515120435,1
1515120963,797
1515121333,1
1515121333,1
1515121335,1
1515121863,797
1515122233,1
1515122233,1
1515122235,1
1515122763,797
1515123133,1
1515123133,1
1515123135,1
1515123663,797
1515124033,1
1515124033,1
1515124035,1
1515124563,797
1515124933,1
1515124933,1
1515124935,1
1515125463,797
1515125833,1
1515125833,1
1515125835,1
1515126363,797
1515126733,1
1515126733,1
1515126735,1
1515127263,797
1515127633,1
1515127633,1
1515127635,1
1515128163,797
1515128533,1
1515128533,1
1515128535,1
1515129063,797
1515129433,1
1515129433,1
1515129435,1
1515129963,797
1515130333,1
1515130333,1
1515130335,1
1515130863,797
1515131233,1
1515131233,1
1515131235,1
1515131763,797
1515132133,1
1515132133,1
1515132135,1
1515132663,797
1515133033,1
1515133033,1
1515133035,1
1515133563,797
1515133933,1
1515133933,1
1515133935,1
