t,value
1517522564,1
1517523041,3
1517523079,3
1517523124,3
1517523464,4
1517523941,5
1517523979,5
1517524024,6
1517524364,6
1517524841,8
1517524879,8
1517524924,8
1517525264,9
1517525741,10
1517525779,10
1517525824,11
1517526164,11
1517526641,12
1517526679,12
1517526724,12
1517527064,14
1517527541,15
1517527579,15
1517527624,15
1517527964,16
1517528441,17
1517528479,17
1517528524,17
1517528864,19
1517529341,20
1517529379,20
1517529424,20
1517529764,21
1517530241,22
1517530279,22
1517530324,22
1517530664,24
1517531141,25
1517531179,25
1517531224,25
1517531564,26
1517532041,27
1517532079,27
1517532124,27
1517532464,29
1517532941,30
1517532979,30
1517533024,30
1517533364,31
1517533841,32
1517533879,32
1517533924,32
1517534264,34
1517534741,35
1517534779,35
1517534824,35
1517535164,36
1517535641,37
1517535679,37
1517535724,37
1517536064,39
1517536541,40
1517536579,40
1517536624,40
1517536964,41
1517537441,42
1517537479,42
1517537524,42
1517537864,44
1517538341,45
1517538379,45
1517538424,45
1517538764,46
1517539241,47
1517539279,47
1517539324,47
1517539664,49
1517540141,50
1517540179,50
1517540224,50
1517540564,51
1517541041,52
1517541079,52
1517541124,52
1517541464,54
1517541941,55
1517541979,55
1517542024,55
1517542364,56
1517542841,57
1517542879,57
1517542924,57
1517543264,59
1517543741,60
1517543779,60
1517543824,60
1517544164,61
1517544641,62
1517544679,62
1517544724,62
1517545064,64
1517545541,65
1517545579,65
1517545624,65
1517545964,66
1517546441,67
1517546479,67
1517546524,67
1517546864,69
1517547341,70
1517547379,70
1517547424,70
1517547764,71
1517548241,72
1517548279,72
1517548324,72
1517548664,74
1517549141,75
1517549179,75
1517549224,75
1517549564,76
1517550041,77
1517550079,77
1517550124,77
1517550464,79
1517550941,80
1517550979,80
1517551024,80
1517551364,81
1517551841,82
1517551879,82
1517551924,82
1517552264,84
1517552741,85
1517552779,85
1517552824,85
1517553164,86
1517553641,87
1517553679,87
1517553724,87
1517554064,89
1517554541,90
1517554579,90
1517554624,90
1517554964,91
1517555441,92
1517555479,92
1517555524,92
1517555864,94
1517556341,95
1517556379,95
1517556424,95
1517556764,96
1517557241,97
1517557279,97
1517557324,97
1517557664,99
1517558141,100
1517558179,100
1517558224,100
1517558564,101
1517559041,102
1517559079,102
1517559124,102
1517559464,104
1517559941,105
1517559979,105
1517560024,105
1517560364,106
1517560841,107
1517560879,107
1517560924,107
1517561264,109
1517561741,110
1517561779,110
1517561824,110
1517562164,111
1517562641,112
1517562679,112
1517562724,112
1517563064,114
1517563541,115
1517563579,115
1517563624,115
1517563964,116
1517564441,117
1517564479,117
1517564524,117
1517564864,119
1517565341,120
1517565379,120
1517565424,120
1517565764,121
1517566241,122
1517566279,122
1517566324,122
1517566664,124
1517567141,125
1517567179,125
1517567224,125
1517567564,126
1517568041,127
1517568079,127
1517568124,127
1517568464,129
1517568941,130
1517568979,130
1517569024,130
1517569364,131
1517569841,132
1517569879,132
1517569924,132
1517570264,134
1517570741,135
1517570779,135
1517570824,135
1517571164,136
1517571641,137
1517571679,137
1517571724,137
1517572064,139
1517572541,140
1517572579,140
1517572624,140
1517572964,141
1517573441,142
1517573479,142
1517573524,142
1517573864,144
1517574341,145
1517574379,145
1517574424,145
1517574764,146
1517575241,147
1517575279,147
1517575324,147
1517575664,149
1517576141,150
1517576179,150
1517576224,150
1517576564,151
1517577041,152
1517577079,152
1517577124,152
1517577464,154
1517577941,155
1517577979,155
1517578024,155
1517578364,156
1517578841,157
1517578879,157
1517578924,157
1517579264,159
1517579741,160
1517579779,160
1517579824,160
1517580164,161
1517580641,162
1517580679,162
1517580724,162
1517581064,164
1517581541,165
1517581579,165
1517581624,165
1517581964,166
1517582441,167
1517582479,167
1517582524,167
1517582864,169
1517583341,170
1517583379,170
1517583424,170
1517583764,170
1517584241,172
1517584279,172
1517584324,172
1517584664,170
1517585141,175
1517585179,175
1517585224,175
1517585564,170
1517586041,177
1517586079,177
1517586124,177
1517586464,170
1517586941,180
1517586979,180
1517587024,180
1517587364,170
1517587841,182
1517587879,182
1517587924,182
1517588264,170
1517588741,185
1517588779,185
1517588824,185
1517589164,170
1517589641,187
1517589679,187
1517589724,187
1517590064,170
1517590541,190
1517590579,190
1517590624,190
1517590964,170
1517591441,192
1517591479,192
1517591524,192
1517591864,170
1517592341,195
1517592379,195
1517592424,195
1517592764,170
1517593241,197
1517593279,197
1517593324,197
1517593664,170
1517594141,200
1517594179,200
1517594224,200
1517594564,170
1517595041,202
1517595079,202
1517595124,202
1517595464,170
1517595941,205
1517595979,205
1517596024,205
1517596364,170
1517596841,207
1517596879,207
1517596924,207
1517597264,170
1517597741,210
1517597779,210
1517597824,210
1517598164,170
1517598641,212
1517598679,212
1517598724,212
1517599064,170
1517599541,215
1517599579,215
1517599624,215
1517599964,170
1517600441,217
1517600479,217
1517600524,217
1517600864,170
1517601341,220
1517601379,220
1517601424,220
1517601764,170
1517602241,222
1517602279,222
1517602324,222
1517602664,170
1517603141,225
1517603179,225
1517603224,225
1517603564,170
1517604041,227
1517604079,227
1517604124,227
1517604464,170
1517604941,230
1517604979,230
1517605024,230
1517605364,170
1517605841,232
1517605879,232
1517605924,232
1517606264,170
1517606741,235
1517606779,235
1517606824,235
1517607164,170
