t,value
1517522564,1
1517523041,1
1517523079,1
1517523124,1
1517523464,1
1517523941,1
1517523979,1
1517524024,1
1517524364,1
1517524841,1
1517524879,1
1517524924,1
1517525264,1
1517525741,1
1517525779,1
1517525824,1
1517526164,1
1517526641,1
1517526679,1
1517526724,1
1517527064,1
1517527541,1
1517527579,1
1517527624,1
1517527964,1
1517528441,1
1517528479,1
1517528524,1
1517528864,1
1517529341,1
1517529379,1
1517529424,1
1517529764,1
1517530241,1
1517530279,1
1517530324,1
1517530664,1
1517531141,1
1517531179,1
1517531224,1
1517531564,1
1517532041,1
1517532079,1
1517532124,1
1517532464,1
1517532941,1
1517532979,1
1517533024,1
1517533364,1
1517533841,1
1517533879,1
1517533924,1
1517534264,1
1517534741,1
1517534779,1
1517534824,1
1517535164,1
1517535641,1
1517535679,1
1517535724,1
1517536064,1
1517536541,1
1517536579,1
1517536624,1
1517536964,1
1517537441,1
1517537479,1
1517537524,1
1517537864,1
1517538341,1
1517538379,1
1517538424,1
1517538764,1
1517539241,1
1517539279,1
1517539324,1
1517539664,1
1517540141,1
1517540179,1
1517540224,1
1517540564,1
1517541041,1
1517541079,1
1517541124,1
1517541464,1
1517541941,1
1517541979,1
1517542024,1
1517542364,1
1517542841,1
1517542879,1
1517542924,1
1517543264,1
1517543741,1
1517543779,1
1517543824,1
1517544164,1
1517544641,1
1517544679,1
1517544724,1
1517545064,1
1517545541,1
1517545579,1
1517545624,1
1517545964,1
1517546441,1
1517546479,1
1517546524,1
1517546864,1
1517547341,1
1517547379,1
1517547424,1
1517547764,1
1517548241,1
1517548279,1
1517548324,1
1517548664,1
1517549141,1
1517549179,1
1517549224,1
1517549564,1
1517550041,1
1517550079,1
1517550124,1
1517550464,1
1517550941,1
1517550979,1
1517551024,1
1517551364,1
1517551841,1
1517551879,1
1517551924,1
1517552264,1
1517552741,1
1517552779,1
1517552824,1
1517553164,1
1517553641,1
1517553679,1
1517553724,1
1517554064,1
1517554541,1
1517554579,1
1517554624,1
1517554964,1
1517555441,1
1517555479,1
1517555524,1
1517555864,1
1517556341,1
1517556379,1
1517556424,1
1517556764,1
1517557241,1
1517557279,1
1517557324,1
1517557664,1
1517558141,1
1517558179,1
1517558224,1
1517558564,1
1517559041,1
1517559079,1
1517559124,1
1517559464,1
1517559941,1
1517559979,1
1517560024,1
1517560364,1
1517560841,1
1517560879,1
1517560924,1
1517561264,1
1517561741,1
1517561779,1
1517561824,1
1517562164,1
1517562641,1
1517562679,1
1517562724,1
1517563064,1
1517563541,1
1517563579,1
1517563624,1
1517563964,1
1517564441,1
1517564479,1
1517564524,1
1517564864,1
1517565341,1
1517565379,1
1517565424,1
1517565764,1
1517566241,1
1517566279,1
1517566324,1
1517566664,1
1517567141,1
1517567179,1
1517567224,1
1517567564,1
1517568041,1
1517568079,1
1517568124,1
1517568464,1
1517568941,1
1517568979,1
1517569024,1
1517569364,1
1517569841,1
1517569879,1
1517569924,1
1517570264,1
1517570741,1
1517570779,1
1517570824,1
1517571164,1
1517571641,1
1517571679,1
1517571724,1
1517572064,1
1517572541,1
1517572579,1
1517572624,1
1517572964,1
1517573441,1
1517573479,1
1517573524,1
1517573864,1
1517574341,1
1517574379,1
1517574424,1
1517574764,1
1517575241,1
1517575279,1
1517575324,1
1517575664,1
1517576141,1
1517576179,1
1517576224,1
1517576564,1
1517577041,1
1517577079,1
1517577124,1
1517577464,1
1517577941,1
1517577979,1
1517578024,1
1517578364,1
1517578841,1
1517578879,1
1517578924,1
1517579264,1
1517579741,1
1517579779,1
1517579824,1
1517580164,1
1517580641,1
1517580679,1
1517580724,1
1517581064,1
1517581541,1
1517581579,1
1517581624,1
1517581964,1
1517582441,1
1517582479,1
1517582524,1
1517582864,1
1517583341,1
1517583379,1
1517583424,1
1517583764,1
1517584241,1
1517584279,1
1517584324,1
1517584664,1
1517585141,1
1517585179,1
1517585224,1
1517585564,1
1517586041,1
1517586079,1
1517586124,1
1517586464,1
1517586941,1
1517586979,1
1517587024,1
1517587364,1
1517587841,1
1517587879,1
1517587924,1
1517588264,1
1517588741,1
1517588779,1
1517588824,1
1517589164,1
1517589641,1
1517589679,1
1517589724,1
1517590064,1
1517590541,1
1517590579,1
1517590624,1
1517590964,1
1517591441,1
1517591479,1
1517591524,1
1517591864,1
1517592341,1
1517592379,1
1517592424,1
1517592764,1
1517593241,1
1517593279,1
1517593324,1
1517593664,1
1517594141,1
1517594179,1
1517594224,1
1517594564,1
1517595041,1
1517595079,1
1517595124,1
1517595464,1
1517595941,1
1517595979,1
1517596024,1
1517596364,1
1517596841,1
1517596879,1
1517596924,1
1517597264,1
1517597741,1
1517597779,1
1517597824,1
1517598164,1
1517598641,1
1517598679,1
1517598724,1
1517599064,1
1517599541,1
1517599579,1
1517599624,1
1517599964,1
1517600441,1
1517600479,1
1517600524,1
1517600864,1
1517601341,1
1517601379,1
1517601424,1
1517601764,1
1517602241,1
1517602279,1
1517602324,1
1517602664,1
1517603141,1
1517603179,1
1517603224,1
1517603564,1
1517604041,1
1517604079,1
1517604124,1
1517604464,1
1517604941,1
1517604979,1
1517605024,1
1517605364,1
1517605841,1
1517605879,1
1517605924,1
1517606264,1
1517606741,1
1517606779,1
1517606824,1
1517607164,1
1517607641,1
1517607679,1
1517607724,1
1517608064,1
1517608541,1
1517608579,1
1517608624,1
1517608964,1
1517609441,1
1517609479,1
1517609524,1
1517609864,1
1517610341,1
1517610379,1
1517610424,1
1517610764,1
1517611241,1
1517611279,1
1517611324,1
1517611664,1
1517612141,1
1517612179,1
1517612224,1
1517612564,1
1517613041,1
1517613079,1
1517613124,1
1517613464,1
1517613941,1
1517613979,1
1517614024,1
1517614364,1
1517614841,1
1517614879,1
1517614924,1
1517615264,1
1517615741,1
1517615779,1
1517615824,1
1517616164,1
1517616641,1
1517616679,1
1517616724,1
1517617064,1
1517617541,1
1517617579,1
1517617624,1
1517617964,1
1517618441,1
1517618479,1
1517618524,1
1517618864,1
1517619341,1
1517619379,1
1517619424,1
1517619764,1
1517620241,1
1517620279,1
1517620324,1
1517620664,1
1517621141,1
1517621179,1
1517621224,1
1517621564,1
1517622041,1
1517622079,1
1517622124,1
1517622464,1
1517622941,1
1517622979,1
1517623024,1
1517623364,1
1517623841,1
1517623879,1
1517623924,1
1517624264,1
1517624741,1
1517624779,1
1517624824,1
1517625164,1
1517625641,1
1517625679,1
1517625724,1
1517626064,1
1517626541,1
1517626579,1
1517626624,1
1517626964,1
1517627441,1
1517627479,1
1517627524,1
1517627864,1
1517628341,1
1517628379,1
1517628424,1
1517628764,1
1517629241,1
1517629279,1
1517629324,1
1517629664,1
1517630141,1
1517630179,1
1517630224,1
1517630564,1
1517631041,1
1517631079,1
1517631124,1
1517631464,1
1517631941,1
1517631979,1
1517632024,1
1517632364,1
1517632841,1
1517632879,1
1517632924,1
1517633264,1
1517633741,1
1517633779,1
1517633824,1
1517634164,1
1517634641,1
1517634679,1
1517634724,1
1517635064,1
1517635541,1
1517635579,1
1517635624,1
1517635964,1
1517636441,1
1517636479,1
1517636524,1
1517636864,1
1517637341,1
1517637379,1
1517637424,1
1517637764,1
1517638241,1
1517638279,1
1517638324,1
1517638664,1
1517639141,1
1517639179,1
1517639224,1
1517639564,1
1517640041,1
1517640079,1
1517640124,1
1517640464,1
1517640941,1
1517640979,1
1517641024,1
1517641364,1
1517641841,1
1517641879,1
1517641924,1
1517642264,1
1517642741,1
1517642779,1
1517642824,1
1517643164,1
1517643641,1
1517643679,1
1517643724,1
1517644064,1
1517644541,1
1517644579,1
1517644624,1
1517644964,1
1517645441,1
1517645479,1
1517645524,1
1517645864,1
1517646341,1
1517646379,1
1517646424,1
1517646764,1
1517647241,1
1517647279,1
1517647324,1
1517647664,1
1517648141,1
1517648179,1
1517648224,1
1517648564,1
1517649041,1
1517649079,1
1517649124,1
1517649464,1
1517649941,1
1517649979,1
1517650024,1
1517650364,1
1517650841,1
1517650879,1
1517650924,1
1517651264,1
1517651741,1
1517651779,1
1517651824,1
1517652164,1
1517652641,1
1517652679,1
1517652724,1
1517653064,1
1517653541,1
1517653579,1
1517653624,1
1517653964,1
1517654441,1
1517654479,1
1517654524,1
1517654864,1
1517655341,1
1517655379,1
1517655424,1
1517655764,1
1517656241,1
1517656279,1
1517656324,1
1517656664,1
1517657141,1
1517657179,1
1517657224,1
1517657564,1
1517658041,1
1517658079,1
1517658124,1
1517658464,1
1517658941,1
1517658979,1
1517659024,1
1517659364,1
1517659841,1
1517659879,1
1517659924,1
1517660264,1
1517660741,1
1517660779,1
1517660824,1
1517661164,1
1517661641,1
1517661679,1
1517661724,1
1517662064,1
1517662541,1
1517662579,1
1517662624,1
1517662964,1
1517663441,1
1517663479,1
1517663524,1
1517663864,1
1517664341,1
1517664379,1
1517664424,1
1517664764,1
1517665241,1
1517665279,1
1517665324,1
1517665664,1
1517666141,1
1517666179,1
1517666224,1
1517666564,1
1517667041,1
1517667079,1
1517667124,1
1517667464,1
1517667941,1
1517667979,1
1517668024,1
1517668364,1
1517668841,1
1517668879,1
1517668924,1
1517669264,1
1517669741,1
1517669779,1
1517669824,1
1517670164,1
1517670641,1
1517670679,1
1517670724,1
1517671064,1
1517671541,1
1517671579,1
1517671624,1
1517671964,1
1517672441,1
1517672479,1
1517672524,1
1517672864,1
1517673341,1
1517673379,1
1517673424,1
1517673764,1
1517674241,1
1517674279,1
1517674324,1
1517674664,1
1517675141,1
1517675179,1
1517675224,1
1517675564,1
1517676041,1
1517676079,1
1517676124,1
1517676464,1
1517676941,1
1517676979,1
1517677024,1
1517677364,1
1517677841,1
1517677879,1
1517677924,1
1517678264,1
1517678741,1
1517678779,1
1517678824,1
1517679164,1
1517679641,1
1517679679,1
1517679724,1
1517680064,1
1517680541,1
1517680579,1
1517680624,1
1517680964,1
1517681441,1
1517681479,1
1517681524,1
1517681864,1
1517682341,1
1517682379,1
1517682424,1
1517682764,1
1517683241,1
1517683279,1
1517683324,1
1517683664,1
1517684141,1
1517684179,1
1517684224,1
1517684564,1
1517685041,1
1517685079,1
1517685124,1
1517685464,1
1517685941,1
1517685979,1
1517686024,1
1517686364,1
1517686841,1
1517686879,1
1517686924,1
1517687264,1
1517687741,1
1517687779,1
1517687824,1
1517688164,1
1517688641,1
1517688679,1
1517688724,1
1517689064,1
1517689541,1
1517689579,1
1517689624,1
1517689964,1
1517690441,1
1517690479,1
1517690524,1
1517690864,1
1517691341,1
1517691379,1
1517691424,1
1517691764,1
1517692241,1
1517692279,1
1517692324,1
1517692664,1
1517693141,1
1517693179,1
1517693224,1
1517693564,1
1517694041,1
1517694079,1
1517694124,1
1517694464,1
1517694941,1
1517694979,1
1517695024,1
1517695364,1
1517695841,1
1517695879,1
1517695924,1
1517696264,1
1517696741,1
1517696779,1
1517696824,1
1517697164,1
1517697641,1
1517697679,1
1517697724,1
1517698064,1
1517698541,1
1517698579,1
1517698624,1
1517698964,1
1517699441,1
1517699479,1
1517699524,1
1517699864,1
1517700341,1
1517700379,1
1517700424,1
1517700764,1
1517701241,1
1517701279,1
1517701324,1
1517701664,1
1517702141,1
1517702179,1
1517702224,1
1517702564,1
1517703041,1
1517703079,1
1517703124,1
1517703464,1
1517703941,1
1517703979,1
1517704024,1
1517704364,1
1517704841,1
1517704879,1
1517704924,1
1517705264,1
1517705741,1
1517705779,1
1517705824,1
1517706164,1
1517706641,1
1517706679,1
1517706724,1
1517707064,1
1517707541,1
1517707579,1
1517707624,1
1517707964,1
1517708441,1
1517708479,1
1517708524,1
1517708864,1
1517709341,1
1517709379,1
1517709424,1
1517709764,1
1517710241,1
1517710279,1
1517710324,1
1517710664,1
1517711141,1
1517711179,1
1517711224,1
1517711564,1
1517712041,1
1517712079,1
1517712124,1
1517712464,1
1517712941,1
1517712979,1
1517713024,1
1517713364,1
1517713841,1
1517713879,1
1517713924,1
1517714264,1
1517714741,1
1517714779,1
1517714824,1
1517715164,1
1517715641,1
1517715679,1
1517715724,1
1517716064,1
1517716541,1
1517716579,1
1517716624,1
1517716964,1
1517717441,1
1517717479,1
1517717524,1
1517717864,1
1517718341,1
1517718379,1
1517718424,1
1517718764,1
1517719241,1
1517719279,1
1517719324,1
1517719664,1
1517720141,1
1517720179,1
1517720224,1
1517720564,1
1517721041,1
1517721079,1
1517721124,1
1517721464,1
1517721941,1
1517721979,1
1517722024,1
1517722364,1
1517722841,1
1517722879,1
1517722924,1
1517723264,1
1517723741,1
1517723779,1
1517723824,1
1517724164,1
1517724641,1
1517724679,1
1517724724,1
1517725064,1
1517725541,1
1517725579,1
1517725624,1
1517725964,1
1517726441,1
1517726479,1
1517726524,1
1517726864,1
1517727341,1
1517727379,1
1517727424,1
1517727764,1
1517728241,1
1517728279,1
1517728324,1
1517728664,1
1517729141,1
1517729179,1
1517729224,1
1517729564,1
1517730041,1
1517730079,1
1517730124,1
1517730464,1
1517730941,1
1517730979,1
1517731024,1
1517731364,1
1517731841,1
1517731879,1
1517731924,1
1517732264,1
1517732741,1
1517732779,1
1517732824,1
1517733164,1
1517733641,1
1517733679,1
1517733724,1
1517734064,1
1517734541,1
1517734579,1
1517734624,1
1517734964,1
1517735441,1
1517735479,1
1517735524,1
1517735864,1
1517736341,1
1517736379,1
1517736424,1
1517736764,1
1517737241,1
1517737279,1
1517737324,1
1517737664,1
1517738141,1
1517738179,1
1517738224,1
1517738564,1
1517739041,1
1517739079,1
1517739124,1
1517739464,1
1517739941,1
1517739979,1
1517740024,1
1517740364,1
1517740841,1
1517740879,1
1517740924,1
1517741264,1
1517741741,1
1517741779,1
1517741824,1
1517742164,1
1517742641,1
1517742679,1
1517742724,1
1517743064,1
1517743541,1
1517743579,1
1517743624,1
1517743964,1
1517744441,1
1517744479,1
1517744524,1
1517744864,1
1517745341,1
1517745379,1
1517745424,1
1517745764,1
1517746241,1
1517746279,1
1517746324,1
1517746664,1
1517747141,1
1517747179,1
1517747224,1
1517747564,1
1517748041,1
1517748079,1
1517748124,1
1517748464,1
1517748941,1
1517748979,1
1517749024,1
1517749364,1
1517749841,1
1517749879,1
1517749924,1
1517750264,1
1517750741,1
1517750779,1
1517750824,1
1517751164,1
1517751641,1
1517751679,1
1517751724,1
1517752064,1
1517752541,1
1517752579,1
1517752624,1
1517752964,1
1517753441,1
1517753479,1
1517753524,1
1517753864,1
1517754341,1
1517754379,1
1517754424,1
1517754764,1
1517755241,1
1517755279,1
1517755324,1
1517755664,1
1517756141,1
1517756179,1
1517756224,1
1517756564,1
1517757041,1
1517757079,1
1517757124,1
1517757464,1
1517757941,1
1517757979,1
1517758024,1
1517758364,1
1517758841,1
1517758879,1
1517758924,1
1517759264,1
1517759741,1
1517759779,1
1517759824,1
1517760164,1
1517760641,1
1517760679,1
1517760724,1
1517761064,1
1517761541,1
1517761579,1
1517761624,1
1517761964,1
1517762441,1
1517762479,1
1517762524,1
1517762864,1
1517763341,1
1517763379,1
1517763424,1
1517763764,1
1517764241,1
1517764279,1
1517764324,1
1517764664,1
1517765141,1
1517765179,1
1517765224,1
1517765564,1
1517766041,1
1517766079,1
1517766124,1
1517766464,1
1517766941,1
1517766979,1
1517767024,1
1517767364,1
1517767841,1
1517767879,1
1517767924,1
1517768264,1
1517768741,1
1517768779,1
1517768824,1
1517769164,1
1517769641,1
1517769679,1
1517769724,1
1517770064,1
1517770541,1
1517770579,1
1517770624,1
1517770964,1
1517771441,1
1517771479,1
1517771524,1
1517771864,1
1517772341,1
1517772379,1
1517772424,1
1517772764,1
1517773241,1
1517773279,1
1517773324,1
1517773664,1
1517774141,1
1517774179,1
1517774224,1
1517774564,1
1517775041,1
1517775079,1
1517775124,1
1517775464,1
1517775941,1
1517775979,1
1517776024,1
1517776364,1
1517776841,1
1517776879,1
1517776924,1
1517777264,1
1517777741,1
1517777779,1
1517777824,1
1517778164,1
1517778641,1
1517778679,1
1517778724,1
1517779064,1
1517779541,1
1517779579,1
1517779624,1
1517779964,1
1517780441,1
1517780479,1
1517780524,1
1517780864,1
1517781341,1
1517781379,1
1517781424,1
1517781764,1
1517782241,1
1517782279,1
1517782324,1
1517782664,1
1517783141,1
1517783179,1
1517783224,1
1517783564,1
1517784041,1
1517784079,1
1517784124,1
1517784464,1
1517784941,1
1517784979,1
1517785024,1
1517785364,1
1517785841,1
1517785879,1
1517785924,1
1517786264,1
1517786741,1
1517786779,1
1517786824,1
1517787164,1
1517787641,1
1517787679,1
1517787724,1
1517788064,1
1517788541,1
1517788579,1
1517788624,1
1517788964,1
1517789441,1
1517789479,1
1517789524,1
1517789864,1
1517790341,1
1517790379,1
1517790424,1
1517790764,1
1517791241,1
1517791279,1
1517791324,1
1517791664,1
1517792141,1
1517792179,1
1517792224,1
1517792564,1
1517793041,1
1517793079,1
1517793124,1
1517793464,1
1517793941,1
1517793979,1
1517794024,1
1517794364,1
1517794841,1
1517794879,1
1517794924,1
1517795264,1
1517795741,1
1517795779,1
1517795824,1
1517796164,1
1517796641,1
1517796679,1
1517796724,1
1517797064,1
1517797541,1
1517797579,1
1517797624,1
1517797964,1
1517798441,1
1517798479,1
1517798524,1
1517798864,1
1517799341,1
1517799379,1
1517799424,1
1517799764,1
1517800241,1
1517800279,1
1517800324,1
1517800664,1
1517801141,1
1517801179,1
1517801224,1
1517801564,1
1517802041,1
1517802079,1
1517802124,1
1517802464,1
1517802941,1
1517802979,1
1517803024,1
1517803364,1
1517803841,1
1517803879,1
1517803924,1
1517804264,1
1517804741,1
1517804779,1
1517804824,1
1517805164,1
1517805641,1
1517805679,1
1517805724,1
1517806064,1
1517806541,1
1517806579,1
1517806624,1
1517806964,1
1517807441,1
1517807479,1
1517807524,1
1517807864,1
1517808341,1
1517808379,1
1517808424,1
1517808764,1
1517809241,1
1517809279,1
1517809324,1
1517809664,1
1517810141,1
1517810179,1
1517810224,1
1517810564,1
1517811041,1
1517811079,1
1517811124,1
1517811464,1
1517811941,1
1517811979,1
1517812024,1
1517812364,1
1517812841,1
1517812879,1
1517812924,1
1517813264,1
1517813741,1
1517813779,1
1517813824,1
1517814164,1
1517814641,1
1517814679,1
1517814724,1
1517815064,1
1517815541,1
1517815579,1
1517815624,1
1517815964,1
1517816441,1
1517816479,1
1517816524,1
1517816864,1
1517817341,1
1517817379,1
1517817424,1
1517817764,1
1517818241,1
1517818279,1
1517818324,1
1517818664,1
1517819141,1
1517819179,1
1517819224,1
1517819564,1
1517820041,1
1517820079,1
1517820124,1
1517820464,1
1517820941,1
1517820979,1
1517821024,1
1517821364,1
1517821841,1
1517821879,1
1517821924,1
1517822264,1
1517822741,1
1517822779,1
1517822824,1
1517823164,1
1517823641,1
1517823679,1
1517823724,1
1517824064,1
1517824541,1
1517824579,1
1517824624,1
1517824964,1
1517825441,1
1517825479,1
1517825524,1
1517825864,1
1517826341,1
1517826379,1
1517826424,1
1517826764,1
1517827241,1
1517827279,1
1517827324,1
1517827664,1
1517828141,1
1517828179,1
1517828224,1
1517828564,1
1517829041,1
1517829079,1
1517829124,1
1517829464,1
1517829941,1
1517829979,1
1517830024,1
1517830364,1
1517830841,1
1517830879,1
1517830924,1
1517831264,1
1517831741,1
1517831779,1
1517831824,1
1517832164,1
1517832641,1
1517832679,1
1517832724,1
1517833064,1
1517833541,1
1517833579,1
1517833624,1
1517833964,1
1517834441,1
1517834479,1
1517834524,1
1517834864,1
1517835341,1
1517835379,1
1517835424,1
1517835764,1
1517836241,1
1517836279,1
1517836324,1
1517836664,1
1517837141,1
1517837179,1
1517837224,1
1517837564,1
1517838041,1
1517838079,1
1517838124,1
1517838464,1
1517838941,1
1517838979,1
1517839024,1
1517839364,1
1517839841,1
1517839879,1
1517839924,1
1517840264,1
1517840741,1
1517840779,1
1517840824,1
1517841164,1
1517841641,1
1517841679,1
1517841724,1
1517842064,1
1517842541,1
1517842579,1
1517842624,1
1517842964,1
1517843441,1
1517843479,1
1517843524,1
1517843864,1
1517844341,1
1517844379,1
1517844424,1
1517844764,1
1517845241,1
1517845279,1
1517845324,1
1517845664,1
1517846141,1
1517846179,1
1517846224,1
1517846564,1
1517847041,1
1517847079,1
1517847124,1
1517847464,1
1517847941,1
1517847979,1
1517848024,1
1517848364,1
1517848841,1
1517848879,1
1517848924,1
1517849264,1
1517849741,1
1517849779,1
1517849824,1
1517850164,1
1517850641,1
1517850679,1
1517850724,1
1517851064,1
1517851541,1
1517851579,1
