t,value
1519381673,10
1519382182,1
1519382197,1
1519382205,1
1519382573,10
1519383082,1
1519383097,1
1519383105,1
1519383473,10
1519383982,1
1519383997,1
1519384005,1
1519384373,10
1519384882,1
1519384897,1
1519384905,1
1519385273,10
1519385782,1
1519385797,1
1519385805,1
1519386173,10
1519386682,1
1519386697,1
1519386705,1
1519387073,10
1519387582,1
1519387597,1
1519387605,1
1519387973,746
1519388482,1
1519388497,1
1519388505,1
1519388873,746
1519389382,1
1519389397,1
1519389405,1
1519389773,746
1519390282,1
1519390297,1
1519390305,1
1519390673,746
1519391182,1
1519391197,1
1519391205,1
1519391573,746
1519392082,1
1519392097,1
1519392105,1
1519392473,746
1519392982,1
1519392997,1
1519393005,1
1519393373,746
1519393882,1
1519393897,1
1519393905,1
1519394273,746
1519394782,1
1519394797,1
1519394805,1
1519395173,746
1519395682,1
1519395697,1
1519395705,1
1519396073,746
1519396582,1
1519396597,1
1519396605,1
1519396973,746
1519397482,1
1519397497,1
1519397505,1
1519397873,746
1519398382,1
1519398397,1
1519398405,1
1519398773,746
1519399282,1
1519399297,1
1519399305,1
1519399673,746
1519400182,1
1519400197,1
1519400205,1
1519400573,746
1519401082,1
1519401097,1
1519401105,1
1519401473,746
1519401982,1
1519401997,1
1519402005,1
1519402373,746
1519402882,1
1519402897,1
1519402905,1
1519403273,746
1519403782,1
1519403797,1
1519403805,1
1519404173,746
1519404682,1
1519404697,1
1519404705,1
1519405073,746
1519405582,1
1519405597,1
1519405605,1
1519405973,746
1519406482,1
1519406497,1
1519406505,1
1519406873,746
1519407382,1
1519407397,1
1519407405,1
1519407773,746
1519408282,1
1519408297,1
1519408305,1
1519408673,746
1519409182,1
1519409197,1
1519409205,1
1519409573,746
1519410082,1
1519410097,1
1519410105,1
1519410473,746
1519410982,1
1519410997,1
1519411005,1
1519411373,746
1519411882,1
1519411897,1
1519411905,1
1519412273,746
1519412782,1
1519412797,1
1519412805,1
1519413173,746
1519413682,1
1519413697,1
1519413705,1
1519414073,746
1519414582,1
1519414597,1
1519414605,1
1519414973,746
1519415482,1
1519415497,1
1519415505,1
1519415873,746
1519416382,1
1519416397,1
1519416405,1
1519416773,746
1519417282,1
1519417297,1
1519417305,1
1519417673,746
1519418182,1
1519418197,1
1519418205,1
1519418573,746
1519419082,1
1519419097,1
1519419105,1
1519419473,746
1519419982,1
1519419997,1
1519420005,1
1519420373,746
1519420882,1
1519420897,1
1519420905,1
1519421273,746
1519421782,1
1519421797,1
1519421805,1
1519422173,746
1519422682,1
1519422697,1
1519422705,1
1519423073,746
1519423582,1
1519423597,1
1519423605,1
1519423973,746
1519424482,1
1519424497,1
1519424505,1
1519424873,746
1519425382,1
1519425397,1
1519425405,1
1519425773,746
1519426282,1
1519426297,1
1519426305,1
1519426673,746
1519427182,1
1519427197,1
1519427205,1
1519427573,746
1519428082,1
1519428097,1
1519428105,1
1519428473,746
1519428982,1
1519428997,1
1519429005,1
1519429373,746
1519429882,1
1519429897,1
1519429905,1
1519430273,746
1519430782,1
1519430797,1
1519430805,1
1519431173,746
1519431682,1
1519431697,1
1519431705,1
1519432073,746
1519432582,1
1519432597,1
1519432605,1
1519432973,746
1519433482,1
1519433497,1
1519433505,1
1519433873,746
1519434382,1
1519434397,1
1519434405,1
1519434773,746
1519435282,1
1519435297,1
1519435305,1
1519435673,746
1519436182,1
1519436197,1
1519436205,1
1519436573,746
1519437082,1
1519437097,1
1519437105,1
1519437473,746
1519437982,1
1519437997,1
1519438005,1
1519438373,746
1519438882,1
1519438897,1
1519438905,1
1519439273,746
1519439782,1
1519439797,1
1519439805,1
1519440173,746
1519440682,1
1519440697,1
1519440705,1
1519441073,746
1519441582,1
1519441597,1
1519441605,1
1519441973,746
1519442482,1
1519442497,1
1519442505,1
1519442873,746
1519443382,1
1519443397,1
1519443405,1
1519443773,746
1519444282,1
1519444297,1
1519444305,1
1519444673,746
1519445182,1
1519445197,1
1519445205,1
1519445573,746
1519446082,1
1519446097,1
1519446105,1
1519446473,746
1519446982,1
1519446997,1
1519447005,1
1519447373,746
1519447882,1
1519447897,1
1519447905,1
1519448273,746
1519448782,1
1519448797,1
1519448805,1
1519449173,746
1519449682,1
1519449697,1
1519449705,1
1519450073,746
1519450582,1
1519450597,1
1519450605,1
1519450973,746
1519451482,1
1519451497,1
1519451505,1
1519451873,746
1519452382,1
1519452397,1
1519452405,1
1519452773,746
1519453282,1
1519453297,1
1519453305,1
1519453673,746
1519454182,1
1519454197,1
1519454205,1
1519454573,746
1519455082,1
1519455097,1
1519455105,1
1519455473,746
1519455982,1
1519455997,1
1519456005,1
1519456373,746
1519456882,1
1519456897,1
1519456905,1
1519457273,746
1519457782,1
1519457797,1
1519457805,1
1519458173,746
1519458682,1
1519458697,1
1519458705,1
1519459073,746
1519459582,1
1519459597,1
1519459605,1
1519459973,746
1519460482,1
1519460497,1
1519460505,1
1519460873,746
1519461382,1
1519461397,1
1519461405,1
1519461773,746
1519462282,1
1519462297,1
1519462305,1
1519462673,746
1519463182,1
1519463197,1
1519463205,1
1519463573,746
