t,value
1516877899,4
1516878078,5
1516878079,5
1516878082,5
1516878799,9
1516878978,10
1516878978,10
1516878982,10
1516879699,14
1516879878,15
1516879878,15
1516879882,15
1516880599,19
1516880778,20
1516880778,20
1516880782,20
1516881499,24
1516881678,25
1516881678,25
1516881682,25
1516882399,29
1516882578,30
1516882578,30
1516882582,30
1516883299,34
1516883478,35
1516883478,35
1516883482,35
1516884199,39
1516884378,40
1516884378,40
1516884382,40
1516885099,44
1516885278,45
1516885278,45
1516885282,45
1516885999,49
1516886178,50
1516886178,50
1516886182,50
1516886899,54
1516887078,55
1516887078,55
1516887082,55
1516887799,59
1516887978,60
1516887978,60
1516887982,60
1516888699,64
1516888878,65
1516888878,65
1516888882,65
1516889599,69
1516889778,70
1516889778,70
1516889782,70
1516890499,74
1516890678,75
1516890678,75
1516890682,75
1516891399,79
1516891578,80
1516891578,80
1516891582,80
1516892299,84
1516892478,85
1516892478,85
1516892482,85
1516893199,89
1516893378,90
1516893378,90
1516893382,90
1516894099,94
1516894278,95
1516894278,95
1516894282,95
1516894999,99
1516895178,100
1516895178,100
1516895182,100
1516895899,104
1516896078,105
1516896078,105
1516896082,105
1516896799,109
1516896978,110
1516896982,110
1516896978,110
1516897699,114
1516897878,115
1516897878,115
1516897882,115
1516898599,119
1516898778,120
1516898778,120
1516898782,120
1516899499,124
1516899678,125
1516899678,125
1516899682,125
1516900399,129
1516900578,130
1516900578,130
1516900582,130
1516901299,134
1516901478,135
1516901478,135
1516901482,135
1516902199,139
1516902378,140
1516902378,140
1516902382,140
1516903099,144
1516903278,145
1516903278,145
1516903282,145
1516903999,149
1516904178,150
1516904178,150
1516904182,150
1516904899,154
1516905078,155
1516905078,155
1516905082,155
1516905799,159
1516905978,160
1516905978,160
1516905982,160
1516906699,164
1516906878,165
1516906878,165
1516906882,165
1516907599,169
1516907778,170
1516907778,170
1516907782,170
1516908499,174
1516908678,175
1516908678,175
1516908682,175
1516909399,179
1516909578,180
1516909578,180
1516909582,180
1516910299,184
1516910478,185
1516910478,185
1516910482,185
1516911199,189
1516911378,190
1516911378,190
1516911382,190
1516912099,194
1516912278,195
1516912278,195
1516912282,195
1516912999,199
1516913178,200
1516913178,200
1516913182,200
1516913899,204
1516914078,205
1516914078,205
1516914082,205
1516914799,209
1516914978,210
1516914978,210
1516914982,210
1516915699,214
1516915878,215
1516915878,215
1516915882,215
1516916599,219
1516916778,220
1516916778,220
1516916782,220
1516917499,224
1516917678,225
1516917678,225
1516917682,225
1516918399,229
1516918578,230
1516918578,230
1516918582,230
1516919299,234
1516919478,235
1516919478,235
1516919482,235
1516920199,239
1516920378,240
1516920378,240
1516920382,240
1516921099,244
1516921278,245
1516921278,245
1516921282,245
1516921999,249
1516922178,250
1516922178,250
1516922182,250
1516922899,254
1516923078,255
1516923078,255
1516923082,255
1516923799,259
1516923978,260
1516923978,260
1516923982,260
1516924699,264
1516924878,265
1516924878,265
1516924882,265
1516925599,269
1516925778,270
1516925778,270
1516925782,270
1516926499,274
1516926678,275
1516926678,275
1516926682,275
1516927399,279
1516927578,280
1516927578,280
1516927582,280
1516928299,284
1516928478,285
1516928478,285
1516928482,285
1516929199,289
1516929378,290
1516929378,290
1516929382,290
1516930099,294
1516930278,295
1516930278,295
1516930282,295
1516930999,299
1516931178,300
1516931178,300
1516931182,300
1516931899,304
1516932078,305
1516932078,305
1516932082,305
1516932799,309
1516932978,310
1516932978,310
1516932982,310
1516933699,314
1516933878,315
1516933878,315
1516933882,315
1516934599,319
1516934778,320
1516934778,320
1516934782,320
1516935499,324
1516935678,325
1516935678,325
1516935682,325
1516936399,329
1516936578,330
1516936578,330
1516936582,330
1516937299,334
1516937478,335
1516937478,335
1516937482,335
1516938199,339
1516938378,340
1516938378,340
1516938382,340
1516939099,344
1516939278,345
1516939278,345
1516939282,345
1516939999,349
1516940178,350
1516940178,350
1516940182,350
1516940899,354
1516941078,355
1516941078,355
1516941082,355
1516941799,359
1516941978,360
1516941978,360
1516941982,360
1516942699,364
1516942878,365
1516942878,365
1516942882,365
1516943599,369
1516943778,370
1516943778,370
1516943782,370
1516944499,374
1516944678,375
1516944678,375
1516944682,375
1516945399,379
1516945578,380
1516945578,380
1516945582,380
1516946299,384
1516946478,385
1516946478,385
1516946482,385
1516947199,389
1516947378,390
1516947378,390
1516947382,390
1516948099,394
1516948278,395
1516948278,395
1516948282,395
1516948999,399
1516949178,400
1516949178,400
1516949182,400
1516949899,404
1516950078,405
1516950078,405
1516950082,405
1516950799,409
1516950978,410
1516950978,410
1516950982,410
1516951699,414
1516951878,415
1516951878,415
1516951882,415
1516952599,419
1516952778,420
1516952778,420
1516952782,420
1516953499,424
1516953678,425
1516953678,425
1516953682,425
1516954399,429
1516954578,430
1516954578,430
1516954582,430
1516955299,434
1516955478,435
1516955478,435
1516955482,435
1516956199,439
1516956378,440
1516956378,440
1516956382,440
1516957099,444
1516957278,445
1516957278,445
1516957282,445
1516957999,449
1516958178,450
1516958178,450
1516958182,450
1516958899,454
1516959078,455
1516959078,455
1516959082,455
1516959799,459
1516959978,460
1516959978,460
1516959982,460
1516960699,464
1516960878,465
1516960878,465
1516960882,465
1516961599,469
1516961778,470
1516961778,470
1516961782,470
1516962499,474
1516962678,475
1516962678,475
1516962682,475
1516963399,479
1516963578,480
1516963578,480
1516963582,480
1516964299,484
1516964478,485
1516964478,485
1516964482,485
1516965199,488
1516965378,490
1516965378,490
1516965382,490
1516966099,493
1516966278,495
1516966278,495
1516966282,495
1516966999,498
1516967178,500
1516967178,500
1516967182,500
1516967899,503
1516968078,505
1516968078,505
1516968082,505
1516968799,508
1516968978,510
1516968978,510
1516968982,510
1516969699,513
1516969878,515
1516969878,515
1516969882,515
1516970599,518
1516970778,520
1516970778,520
1516970782,520
1516971499,2752
