t,value
1516877899,1
1516878078,1
1516878079,1
1516878082,1
1516878799,1
1516878978,1
1516878978,1
1516878982,1
1516879699,1
1516879878,1
1516879878,1
1516879882,1
1516880599,1
1516880778,1
1516880778,1
1516880782,1
1516881499,1
1516881678,1
1516881678,1
1516881682,1
1516882399,1
1516882578,1
1516882578,1
1516882582,1
1516883299,1
1516883478,1
1516883478,1
1516883482,1
1516884199,1
1516884378,1
1516884378,1
1516884382,1
1516885099,1
1516885278,1
1516885278,1
1516885282,1
1516885999,1
1516886178,1
1516886178,1
1516886182,1
1516886899,1
1516887078,1
1516887078,1
1516887082,1
1516887799,1
1516887978,1
1516887978,1
1516887982,1
1516888699,1
1516888878,1
1516888878,1
1516888882,1
1516889599,1
1516889778,1
1516889778,1
1516889782,1
1516890499,1
1516890678,1
1516890678,1
1516890682,1
1516891399,1
1516891578,1
1516891578,1
1516891582,1
1516892299,1
1516892478,1
1516892478,1
1516892482,1
1516893199,1
1516893378,1
1516893378,1
1516893382,1
1516894099,1
1516894278,1
1516894278,1
1516894282,1
1516894999,1
1516895178,1
1516895178,1
1516895182,1
1516895899,1
1516896078,1
1516896078,1
1516896082,1
1516896799,1
1516896978,1
1516896982,1
1516896978,1
1516897699,1
1516897878,1
1516897878,1
1516897882,1
1516898599,1
1516898778,1
1516898778,1
1516898782,1
1516899499,1
1516899678,1
1516899678,1
1516899682,1
1516900399,1
1516900578,1
1516900578,1
1516900582,1
1516901299,1
1516901478,1
1516901478,1
1516901482,1
1516902199,1
1516902378,1
1516902378,1
1516902382,1
1516903099,1
1516903278,1
1516903278,1
1516903282,1
1516903999,1
1516904178,1
1516904178,1
1516904182,1
1516904899,1
1516905078,1
1516905078,1
1516905082,1
1516905799,1
1516905978,1
1516905978,1
1516905982,1
1516906699,1
1516906878,1
1516906878,1
1516906882,1
1516907599,1
1516907778,1
1516907778,1
1516907782,1
1516908499,1
1516908678,1
1516908678,1
1516908682,1
1516909399,1
1516909578,1
1516909578,1
1516909582,1
1516910299,1
1516910478,1
1516910478,1
1516910482,1
1516911199,1
1516911378,1
1516911378,1
1516911382,1
1516912099,1
1516912278,1
1516912278,1
1516912282,1
1516912999,1
1516913178,1
1516913178,1
1516913182,1
1516913899,1
1516914078,1
1516914078,1
1516914082,1
1516914799,1
1516914978,1
1516914978,1
1516914982,1
1516915699,1
1516915878,1
1516915878,1
1516915882,1
1516916599,1
1516916778,1
1516916778,1
1516916782,1
1516917499,1
1516917678,1
1516917678,1
1516917682,1
