t,value
1516877899,0
1516878078,0
1516878079,0
1516878082,0
1516878799,0
1516878978,0
1516878978,0
1516878982,0
1516879699,0
1516879878,0
1516879878,0
1516879882,0
1516880599,0
1516880778,0
1516880778,0
1516880782,0
1516881499,0
1516881678,0
1516881678,0
1516881682,0
1516882399,0
1516882578,0
1516882578,0
1516882582,0
1516883299,0
1516883478,0
1516883478,0
1516883482,0
1516884199,0
1516884378,0
1516884378,0
1516884382,0
1516885099,0
1516885278,0
1516885278,0
1516885282,0
1516885999,0
1516886178,0
1516886178,0
1516886182,0
1516886899,0
1516887078,0
1516887078,0
1516887082,0
1516887799,0
1516887978,0
1516887978,0
1516887982,0
1516888699,0
1516888878,0
1516888878,0
1516888882,0
1516889599,0
1516889778,0
1516889778,0
1516889782,0
1516890499,0
1516890678,0
1516890678,0
1516890682,0
1516891399,0
1516891578,0
1516891578,0
1516891582,0
1516892299,0
1516892478,0
1516892478,0
1516892482,0
1516893199,0
1516893378,0
1516893378,0
1516893382,0
1516894099,0
1516894278,0
1516894278,0
1516894282,0
1516894999,0
1516895178,0
1516895178,0
1516895182,0
1516895899,0
1516896078,0
1516896078,0
1516896082,0
1516896799,0
1516896978,0
1516896982,0
1516896978,0
1516897699,0
1516897878,0
1516897878,0
1516897882,0
1516898599,0
1516898778,0
1516898778,0
1516898782,0
1516899499,0
1516899678,0
1516899678,0
1516899682,0
1516900399,0
1516900578,0
1516900578,0
1516900582,0
1516901299,0
1516901478,0
1516901478,0
1516901482,0
1516902199,0
1516902378,0
1516902378,0
1516902382,0
1516903099,0
1516903278,0
1516903278,0
1516903282,0
1516903999,0
1516904178,0
1516904178,0
1516904182,0
1516904899,0
1516905078,0
1516905078,0
1516905082,0
1516905799,0
1516905978,0
1516905978,0
1516905982,0
1516906699,0
1516906878,0
1516906878,0
1516906882,0
1516907599,0
1516907778,0
1516907778,0
1516907782,0
1516908499,0
1516908678,0
1516908678,0
1516908682,0
1516909399,0
1516909578,0
1516909578,0
1516909582,0
1516910299,0
1516910478,0
1516910478,0
1516910482,0
1516911199,0
1516911378,0
1516911378,0
1516911382,0
1516912099,0
1516912278,0
1516912278,0
1516912282,0
1516912999,0
1516913178,0
1516913178,0
1516913182,0
1516913899,0
1516914078,0
1516914078,0
1516914082,0
1516914799,0
1516914978,0
1516914978,0
1516914982,0
1516915699,0
1516915878,0
1516915878,0
1516915882,0
1516916599,0
1516916778,0
1516916778,0
1516916782,0
1516917499,0
1516917678,0
1516917678,0
1516917682,0
1516918399,0
1516918578,0
1516918578,0
1516918582,0
1516919299,0
1516919478,0
1516919478,0
1516919482,0
1516920199,0
1516920378,0
1516920378,0
1516920382,0
1516921099,0
1516921278,0
1516921278,0
1516921282,0
1516921999,0
1516922178,0
1516922178,0
1516922182,0
1516922899,0
1516923078,0
1516923078,0
1516923082,0
1516923799,0
1516923978,0
1516923978,0
1516923982,0
1516924699,0
1516924878,0
1516924878,0
1516924882,0
1516925599,0
1516925778,0
1516925778,0
1516925782,0
1516926499,0
1516926678,0
1516926678,0
1516926682,0
1516927399,0
1516927578,0
1516927578,0
1516927582,0
1516928299,0
1516928478,0
1516928478,0
1516928482,0
1516929199,0
1516929378,0
1516929378,0
1516929382,0
1516930099,0
1516930278,0
1516930278,0
1516930282,0
1516930999,0
1516931178,0
1516931178,0
1516931182,0
1516931899,0
1516932078,0
1516932078,0
1516932082,0
1516932799,0
1516932978,0
1516932978,0
1516932982,0
1516933699,0
1516933878,0
1516933878,0
1516933882,0
1516934599,0
1516934778,0
1516934778,0
1516934782,0
1516935499,0
1516935678,0
1516935678,0
1516935682,0
1516936399,0
1516936578,0
1516936578,0
1516936582,0
1516937299,0
1516937478,0
1516937478,0
1516937482,0
1516938199,0
1516938378,0
1516938378,0
1516938382,0
1516939099,0
1516939278,0
1516939278,0
1516939282,0
1516939999,0
1516940178,0
1516940178,0
1516940182,0
1516940899,0
1516941078,0
1516941078,0
1516941082,0
1516941799,0
1516941978,0
1516941978,0
1516941982,0
1516942699,0
