t,value
1516877899,3
1516878078,3
1516878079,3
1516878082,3
1516878799,5
1516878978,5
1516878978,5
1516878982,5
1516879699,8
1516879878,8
1516879878,8
1516879882,8
1516880599,10
1516880778,10
1516880778,10
1516880782,10
1516881499,13
1516881678,13
1516881678,13
1516881682,13
1516882399,15
1516882578,15
1516882578,15
1516882582,15
1516883299,18
1516883478,18
1516883478,18
1516883482,18
1516884199,20
1516884378,20
1516884378,20
1516884382,20
1516885099,23
1516885278,23
1516885278,23
1516885282,23
1516885999,25
1516886178,25
1516886178,25
1516886182,25
1516886899,28
1516887078,28
1516887078,28
1516887082,28
1516887799,30
1516887978,30
1516887978,30
1516887982,30
1516888699,33
1516888878,33
1516888878,33
1516888882,33
1516889599,35
1516889778,35
1516889778,35
1516889782,35
1516890499,38
1516890678,38
1516890678,38
1516890682,38
1516891399,40
1516891578,40
1516891578,40
1516891582,40
1516892299,43
1516892478,43
1516892478,43
1516892482,43
1516893199,45
1516893378,45
1516893378,45
1516893382,45
1516894099,48
1516894278,48
1516894278,48
1516894282,48
1516894999,50
1516895178,50
1516895178,50
1516895182,50
1516895899,53
1516896078,53
1516896078,53
1516896082,53
1516896799,55
1516896978,55
1516896978,55
1516896982,55
1516897699,58
1516897878,58
1516897878,58
1516897882,58
1516898599,60
1516898778,60
1516898778,60
1516898782,60
1516899499,63
1516899678,63
1516899678,63
1516899682,63
1516900399,65
1516900578,65
1516900578,65
1516900582,65
1516901299,68
1516901478,68
1516901478,68
1516901482,68
1516902199,70
1516902378,70
1516902378,70
1516902382,70
1516903099,73
1516903278,73
1516903278,73
1516903282,73
1516903999,75
1516904178,75
1516904178,75
1516904182,75
1516904899,78
1516905078,78
1516905078,78
1516905082,78
1516905799,80
1516905978,80
1516905978,80
1516905982,80
1516906699,83
1516906878,83
1516906878,83
1516906882,83
1516907599,85
1516907778,85
1516907778,85
1516907782,85
1516908499,88
1516908678,88
1516908678,88
1516908682,88
1516909399,90
1516909578,90
1516909578,90
1516909582,90
1516910299,93
1516910478,93
1516910478,93
1516910482,93
1516911199,95
1516911378,95
1516911378,95
1516911382,95
1516912099,98
1516912278,98
1516912278,98
1516912282,98
1516912999,100
1516913178,100
1516913178,100
1516913182,100
1516913899,103
1516914078,103
1516914078,103
1516914082,103
1516914799,105
1516914978,105
1516914978,105
1516914982,105
1516915699,108
1516915878,108
1516915878,108
1516915882,108
1516916599,110
1516916778,110
1516916778,110
1516916782,110
1516917499,113
1516917678,113
1516917678,113
1516917682,113
1516918399,115
1516918578,115
1516918578,115
1516918582,115
1516919299,118
1516919478,118
1516919478,118
1516919482,118
1516920199,120
1516920378,120
1516920378,120
1516920382,120
1516921099,123
1516921278,123
1516921278,123
1516921282,123
1516921999,125
1516922178,125
1516922178,125
1516922182,125
1516922899,128
1516923078,128
1516923078,128
1516923082,128
1516923799,130
1516923978,130
1516923978,130
1516923982,130
1516924699,133
1516924878,133
1516924878,133
1516924882,133
1516925599,135
1516925778,135
1516925778,135
1516925782,135
1516926499,138
1516926678,138
1516926678,138
1516926682,138
1516927399,140
1516927578,140
1516927578,140
1516927582,140
1516928299,143
1516928478,143
1516928478,143
1516928482,143
1516929199,145
1516929378,145
1516929378,145
1516929382,145
1516930099,148
1516930278,148
1516930278,148
1516930282,148
1516930999,150
1516931178,150
1516931178,150
1516931182,150
1516931899,153
1516932078,153
1516932078,153
1516932082,153
1516932799,155
1516932978,155
1516932978,155
1516932982,155
1516933699,158
1516933878,158
1516933878,158
1516933882,158
1516934599,160
1516934778,160
1516934778,160
1516934782,160
1516935499,163
1516935678,163
1516935678,163
1516935682,163
1516936399,165
1516936578,165
1516936578,165
1516936582,165
1516937299,168
1516937478,168
1516937478,168
1516937482,168
1516938199,170
1516938378,170
1516938378,170
1516938382,170
1516939099,173
1516939278,173
1516939278,173
1516939282,173
1516939999,175
1516940178,175
1516940178,175
