t,value
1516040880,11
1516041238,3
1516041258,3
1516041277,3
1516042563,3
1516042566,3
1516042576,3
1516042607,12
1516043463,5
1516043466,5
1516043476,5
1516043507,14
1516044363,8
1516044366,8
1516044376,8
1516044407,17
1516045263,10
1516045266,10
1516045276,10
1516045307,19
1516046163,13
1516046166,13
1516046176,13
1516046207,22
1516047063,15
1516047066,15
1516047076,15
1516047107,24
1516047963,17
1516047966,17
1516047976,17
1516048007,26
1516048863,20
1516048866,20
1516048876,20
1516048907,29
1516049763,22
1516049766,22
1516049776,22
1516049807,31
1516050663,25
1516050666,25
1516050676,25
1516050707,34
1516051563,27
1516051566,27
1516051576,27
1516051607,36
1516052463,30
1516052466,30
1516052476,30
1516052507,39
1516053363,32
1516053366,32
1516053376,32
1516053407,41
1516054263,35
1516054266,35
1516054276,35
1516054307,44
1516055163,37
1516055166,37
1516055176,37
1516055207,46
1516056063,40
1516056066,40
1516056076,40
1516056107,49
1516056963,42
1516056966,42
1516056976,42
1516057007,51
1516057863,45
1516057866,45
1516057876,45
1516057907,54
1516058763,47
1516058766,47
1516058776,47
1516058807,56
1516059663,50
1516059666,50
1516059676,50
1516059707,59
1516060563,52
1516060566,52
1516060576,52
1516060607,61
1516061463,55
1516061466,55
1516061476,55
1516061507,64
1516062363,57
1516062366,57
1516062376,57
1516062407,66
1516063263,60
1516063266,60
1516063276,60
1516063307,69
1516064163,62
1516064166,62
1516064176,62
1516064207,71
1516065063,65
1516065066,65
1516065076,65
1516065107,74
1516065963,67
1516065966,67
1516065976,67
1516066007,76
1516066863,70
1516066866,70
1516066876,70
1516066907,79
1516067763,72
1516067766,72
1516067776,72
1516067807,81
1516068663,75
1516068666,75
1516068676,75
1516068707,84
1516069563,77
1516069566,77
1516069576,77
1516069607,86
1516070463,80
1516070466,80
1516070476,80
1516070507,89
1516071363,82
1516071366,82
1516071376,82
1516071407,91
1516072263,85
1516072266,85
1516072276,85
1516072307,94
1516073163,87
1516073166,87
1516073176,87
1516073207,96
1516074063,90
1516074066,90
1516074076,90
1516074107,99
1516074963,92
1516074966,92
1516074976,92
1516075007,101
1516075863,95
1516075866,95
1516075876,95
1516075907,104
1516076763,97
1516076766,97
1516076776,97
1516076807,106
1516077663,100
1516077666,100
1516077676,100
1516077707,109
1516078563,102
1516078566,102
1516078576,102
1516078607,111
1516079463,105
1516079466,105
1516079476,105
1516079507,114
1516080363,107
1516080366,107
1516080376,107
1516080407,116
1516081263,110
1516081266,110
1516081276,110
1516081307,119
1516082163,112
1516082166,112
1516082176,112
1516082207,121
1516083063,115
1516083066,115
1516083076,115
1516083107,124
1516083963,117
1516083966,117
1516083976,117
1516084007,126
1516084863,120
1516084866,120
1516084876,120
1516084907,129
1516085763,122
1516085766,122
1516085776,122
1516085807,131
1516086663,125
1516086666,125
1516086676,125
1516086707,134
1516087563,127
1516087566,127
1516087576,127
1516087607,136
1516088463,130
1516088466,130
1516088476,130
1516088507,139
1516089363,132
1516089366,132
1516089376,132
1516089407,141
1516090263,135
1516090266,135
1516090276,135
1516090307,144
1516091163,137
1516091166,137
1516091176,137
1516091207,146
1516092063,140
1516092066,140
1516092076,140
