t,value
1516040880,12
1516041238,5
1516041258,5
1516041277,5
1516042563,5
1516042566,5
1516042576,5
1516042607,14
1516043463,10
1516043466,10
1516043476,10
1516043507,19
1516044363,15
1516044366,15
1516044376,15
1516044407,24
1516045263,20
1516045266,20
1516045276,20
1516045307,29
1516046163,25
1516046166,25
1516046176,25
1516046207,34
1516047063,29
1516047066,29
1516047076,29
1516047107,38
1516047963,34
1516047966,34
1516047976,34
1516048007,43
1516048863,39
1516048866,39
1516048876,39
1516048907,48
1516049763,44
1516049766,44
1516049776,44
1516049807,53
1516050663,49
1516050666,49
1516050676,49
1516050707,58
1516051563,54
1516051566,54
1516051576,54
1516051607,63
1516052463,59
1516052466,59
1516052476,59
1516052507,68
1516053363,64
1516053366,64
1516053376,64
1516053407,73
1516054263,69
1516054266,69
1516054276,69
1516054307,78
1516055163,74
1516055166,74
1516055176,74
1516055207,83
1516056063,79
1516056066,79
1516056076,79
1516056107,88
1516056963,84
1516056966,84
1516056976,84
1516057007,93
1516057863,89
1516057866,89
1516057876,89
1516057907,98
1516058763,94
1516058766,94
1516058776,94
1516058807,103
1516059663,99
1516059666,99
1516059676,99
1516059707,108
1516060563,104
1516060566,104
1516060576,104
1516060607,113
1516061463,109
1516061466,109
1516061476,109
1516061507,118
1516062363,114
1516062366,114
1516062376,114
1516062407,123
1516063263,119
1516063266,119
1516063276,119
1516063307,128
1516064163,124
1516064166,124
1516064176,124
1516064207,133
1516065063,129
1516065066,129
1516065076,129
1516065107,138
1516065963,134
1516065966,134
1516065976,134
1516066007,143
1516066863,139
1516066866,139
1516066876,139
1516066907,148
1516067763,144
1516067766,144
1516067776,144
1516067807,153
1516068663,149
1516068666,149
1516068676,149
1516068707,158
1516069563,154
1516069566,154
1516069576,154
1516069607,163
1516070463,159
1516070466,159
1516070476,159
1516070507,168
1516071363,164
1516071366,164
1516071376,164
1516071407,173
1516072263,169
1516072266,169
1516072276,169
1516072307,178
1516073163,174
1516073166,174
1516073176,174
1516073207,183
1516074063,179
1516074066,179
1516074076,179
1516074107,188
1516074963,184
1516074966,184
1516074976,184
1516075007,193
1516075863,189
1516075866,189
1516075876,189
1516075907,198
1516076763,194
1516076766,194
1516076776,194
1516076807,203
1516077663,199
1516077666,199
1516077676,199
1516077707,208
1516078563,204
1516078566,204
1516078576,204
1516078607,213
1516079463,209
1516079466,209
1516079476,209
1516079507,218
1516080363,214
1516080366,214
1516080376,214
1516080407,223
1516081263,219
1516081266,219
1516081276,219
1516081307,228
1516082163,224
1516082166,224
1516082176,224
1516082207,233
1516083063,229
1516083066,229
1516083076,229
1516083107,238
1516083963,234
1516083966,234
1516083976,234
1516084007,243
1516084863,239
1516084866,239
1516084876,239
1516084907,248
1516085763,244
1516085766,244
1516085776,244
1516085807,253
1516086663,249
1516086666,249
1516086676,249
1516086707,258
1516087563,254
1516087566,254
1516087576,254
1516087607,263
1516088463,259
1516088466,259
1516088476,259
1516088507,268
1516089363,264
1516089366,264
1516089376,264
