t,value
1516040880,3
1516041238,3
1516041258,3
1516041277,3
1516042563,3
1516042566,3
1516042576,3
1516042607,4
1516043463,6
1516043466,6
1516043476,6
1516043507,7
1516044363,8
1516044366,8
1516044376,8
1516044407,9
1516045263,11
1516045266,11
1516045276,11
1516045307,12
1516046163,13
1516046166,13
1516046176,13
1516046207,14
1516047063,15
1516047066,15
1516047076,15
1516047107,16
1516047963,18
1516047966,18
1516047976,18
1516048007,19
1516048863,20
1516048866,20
1516048876,20
1516048907,21
1516049763,23
1516049766,23
1516049776,23
1516049807,24
1516050663,25
1516050666,25
1516050676,25
1516050707,26
1516051563,28
1516051566,28
1516051576,28
1516051607,29
1516052463,30
1516052466,30
1516052476,30
1516052507,31
1516053363,33
1516053366,33
1516053376,33
1516053407,34
1516054263,35
1516054266,35
1516054276,35
1516054307,36
1516055163,38
1516055166,38
1516055176,38
1516055207,39
1516056063,40
1516056066,40
1516056076,40
1516056107,41
1516056963,43
1516056966,43
1516056976,43
1516057007,44
1516057863,45
1516057866,45
1516057876,45
1516057907,46
1516058763,48
1516058766,48
1516058776,48
1516058807,49
1516059663,50
1516059666,50
1516059676,50
1516059707,51
1516060563,53
1516060566,53
1516060576,53
1516060607,54
1516061463,55
1516061466,55
1516061476,55
1516061507,56
1516062363,58
1516062366,58
1516062376,58
1516062407,59
1516063263,60
1516063266,60
1516063276,60
1516063307,61
1516064163,63
1516064166,63
1516064176,63
1516064207,64
1516065063,65
1516065066,65
1516065076,65
1516065107,66
1516065963,68
1516065966,68
1516065976,68
1516066007,69
1516066863,70
1516066866,70
1516066876,70
1516066907,71
1516067763,73
1516067766,73
1516067776,73
1516067807,74
1516068663,75
1516068666,75
1516068676,75
1516068707,76
1516069563,78
1516069566,78
1516069576,78
1516069607,79
1516070463,80
1516070466,80
1516070476,80
1516070507,81
1516071363,83
1516071366,83
1516071376,83
1516071407,84
1516072263,85
1516072266,85
1516072276,85
1516072307,86
1516073163,88
1516073166,88
1516073176,88
1516073207,89
1516074063,90
1516074066,90
1516074076,90
1516074107,91
1516074963,93
1516074966,93
1516074976,93
1516075007,94
1516075863,95
1516075866,95
1516075876,95
1516075907,96
1516076763,98
1516076766,98
1516076776,98
1516076807,99
1516077663,100
1516077666,100
1516077676,100
1516077707,101
1516078563,103
1516078566,103
1516078576,103
1516078607,104
1516079463,105
1516079466,105
1516079476,105
1516079507,106
1516080363,108
1516080366,108
1516080376,108
1516080407,109
1516081263,110
1516081266,110
1516081276,110
1516081307,111
1516082163,113
1516082166,113
1516082176,113
1516082207,114
1516083063,115
1516083066,115
1516083076,115
1516083107,116
1516083963,118
1516083966,118
1516083976,118
1516084007,119
1516084863,120
1516084866,120
1516084876,120
1516084907,121
1516085763,123
1516085766,123
1516085776,123
1516085807,124
1516086663,125
1516086666,125
1516086676,125
1516086707,126
1516087563,128
1516087566,128
1516087576,128
1516087607,129
1516088463,130
1516088466,130
1516088476,130
1516088507,131
1516089363,133
1516089366,133
1516089376,133
1516089407,134
1516090263,135
1516090266,135
1516090276,135
1516090307,136
1516091163,138
1516091166,138
1516091176,138
1516091207,139
1516092063,140
1516092066,140
1516092076,140
1516092107,141
1516092963,143
1516092966,143
1516092976,143
1516093007,144
1516093863,145
1516093866,145
1516093876,145
1516093907,146
1516094763,148
1516094766,148
1516094776,148
1516094807,149
1516095663,150
1516095666,150
1516095676,150
1516095707,151
1516096563,153
1516096566,153
1516096576,153
1516096607,154
1516097463,155
1516097466,155
1516097476,155
1516097507,156
1516098363,158
1516098366,158
1516098376,158
1516098407,159
1516099263,160
1516099266,160
1516099276,160
1516099307,161
1516100163,163
1516100166,163
1516100176,163
1516100207,164
1516101063,165
1516101066,165
1516101076,165
1516101107,166
1516101963,168
1516101966,168
1516101976,168
1516102007,169
1516102863,170
1516102866,170
1516102876,170
1516102907,171
1516103763,173
1516103766,173
1516103776,173
1516103807,174
1516104663,175
1516104666,175
1516104676,175
1516104707,176
1516105563,178
1516105566,178
1516105576,178
1516105607,179
1516106463,180
1516106466,180
1516106476,180
1516106507,181
1516107363,183
1516107366,183
1516107376,183
1516107407,184
1516108263,185
1516108266,185
1516108276,185
1516108307,186
1516109163,188
1516109166,188
1516109176,188
1516109207,189
1516110063,190
1516110066,190
1516110076,190
1516110107,191
1516110963,193
1516110966,193
1516110976,193
1516111007,194
1516111863,195
1516111866,195
1516111876,195
1516111907,196
1516112763,198
1516112766,198
1516112776,198
1516112807,199
1516113663,200
1516113666,200
1516113676,200
