t,value
1516040880,0.0
1516041238,0.0
1516041258,0.0
1516041277,0.0
1516042563,0.0
1516042566,0.0
1516042576,0.0
1516042607,0.0
1516043463,0.0
1516043466,0.0
1516043476,0.0
1516043507,0.0
1516044363,0.0
1516044366,0.0
1516044376,0.0
1516044407,0.0
1516045263,0.0
1516045266,0.0
1516045276,0.0
1516045307,0.0
1516046163,0.0
1516046166,0.0
1516046176,0.0
1516046207,0.0
1516047063,0.0
1516047066,0.0
1516047076,0.0
1516047107,0.0
1516047963,0.0
1516047966,0.0
1516047976,0.0
1516048007,0.0
1516048863,0.0
1516048866,0.0
1516048876,0.0
1516048907,0.0
1516049763,0.0
1516049766,0.0
1516049776,0.0
1516049807,0.0
1516050663,0.0
1516050666,0.0
1516050676,0.0
1516050707,0.0
1516051563,0.0
1516051566,0.0
1516051576,0.0
1516051607,0.0
1516052463,0.0
1516052466,0.0
1516052476,0.0
1516052507,0.0
1516053363,0.0
1516053366,0.0
1516053376,0.0
1516053407,0.0
1516054263,0.0
1516054266,0.0
1516054276,0.0
1516054307,0.0
1516055163,0.0
1516055166,0.0
1516055176,0.0
1516055207,0.0
1516056063,0.0
1516056066,0.0
1516056076,0.0
1516056107,0.0
1516056963,0.0
1516056966,0.0
1516056976,0.0
1516057007,0.0
1516057863,0.0
1516057866,0.0
1516057876,0.0
1516057907,0.0
1516058763,0.0
1516058766,0.0
1516058776,0.0
1516058807,0.0
1516059663,0.0
1516059666,0.0
1516059676,0.0
1516059707,0.0
1516060563,0.0
1516060566,0.0
1516060576,0.0
1516060607,0.0
1516061463,0.0
1516061466,0.0
1516061476,0.0
1516061507,0.0
1516062363,0.0
1516062366,0.0
1516062376,0.0
1516062407,0.0
1516063263,0.0
1516063266,0.0
1516063276,0.0
1516063307,0.0
1516064163,0.0
1516064166,0.0
1516064176,0.0
1516064207,0.0
1516065063,0.0
1516065066,0.0
1516065076,0.0
1516065107,0.0
1516065963,0.0
1516065966,0.0
1516065976,0.0
1516066007,0.0
1516066863,0.0
1516066866,0.0
1516066876,0.0
1516066907,0.0
1516067763,0.0
1516067766,0.0
1516067776,0.0
1516067807,0.0
1516068663,0.0
1516068666,0.0
1516068676,0.0
1516068707,0.0
1516069563,0.0
1516069566,0.0
1516069576,0.0
1516069607,0.0
1516070463,0.0
1516070466,0.0
1516070476,0.0
1516070507,0.0
1516071363,0.0
1516071366,0.0
1516071376,0.0
1516071407,0.0
1516072263,0.0
1516072266,0.0
1516072276,0.0
1516072307,0.0
1516073163,0.0
1516073166,0.0
1516073176,0.0
1516073207,0.0
1516074063,0.0
1516074066,0.0
1516074076,0.0
1516074107,0.0
1516074963,0.0
1516074966,0.0
1516074976,0.0
1516075007,0.0
1516075863,0.0
1516075866,0.0
1516075876,0.0
1516075907,0.0
1516076763,0.0
1516076766,0.0
1516076776,0.0
1516076807,0.0
1516077663,0.0
1516077666,0.0
1516077676,0.0
1516077707,0.0
1516078563,0.0
1516078566,0.0
1516078576,0.0
1516078607,0.0
1516079463,0.0
1516079466,0.0
1516079476,0.0
1516079507,0.0
1516080363,0.0
1516080366,0.0
1516080376,0.0
1516080407,0.0
1516081263,0.0
1516081266,0.0
1516081276,0.0
1516081307,0.0
1516082163,0.0
1516082166,0.0
1516082176,0.0
1516082207,0.0
1516083063,0.0
1516083066,0.0
1516083076,0.0
1516083107,0.0
1516083963,0.0
1516083966,0.0
1516083976,0.0
1516084007,0.0
1516084863,0.0
1516084866,0.0
1516084876,0.0
1516084907,0.0
1516085763,0.0
1516085766,0.0
1516085776,0.0
1516085807,0.0
1516086663,0.0
1516086666,0.0
1516086676,0.0
1516086707,0.0
1516087563,0.0
1516087566,0.0
1516087576,0.0
1516087607,0.0
1516088463,0.0
1516088466,0.0
1516088476,0.0
1516088507,0.0
1516089363,0.0
1516089366,0.0
1516089376,0.0
1516089407,0.0
1516090263,0.0
1516090266,0.0
1516090276,0.0
1516090307,0.0
1516091163,0.0
1516091166,0.0
1516091176,0.0
1516091207,0.0
1516092063,0.0
1516092066,0.0
1516092076,0.0
1516092107,0.0
1516092963,0.0
1516092966,0.0
1516092976,0.0
1516093007,0.0
1516093863,0.0
1516093866,0.0
1516093876,0.0
1516093907,0.0
1516094763,0.0
1516094766,0.0
1516094776,0.0
1516094807,0.0
1516095663,0.0
1516095666,0.0
1516095676,0.0
1516095707,0.0
1516096563,0.0
1516096566,0.0
1516096576,0.0
1516096607,0.0
1516097463,0.0
1516097466,0.0
1516097476,0.0
1516097507,0.0
1516098363,0.0
1516098366,0.0
1516098376,0.0
1516098407,0.0
1516099263,0.0
1516099266,0.0
1516099276,0.0
1516099307,0.0
1516100163,0.0
1516100166,0.0
1516100176,0.0
1516100207,0.0
1516101063,0.0
1516101066,0.0
1516101076,0.0
1516101107,0.0
1516101963,0.0
1516101966,0.0
1516101976,0.0
1516102007,0.0
1516102863,0.0
1516102866,0.0
1516102876,0.0
1516102907,0.0
1516103763,0.0
1516103766,0.0
1516103776,0.0
1516103807,0.0
1516104663,0.0
1516104666,0.0
1516104676,0.0
1516104707,0.0
1516105563,0.0
1516105566,0.0
1516105576,0.0
1516105607,0.0
1516106463,0.0
1516106466,0.0
1516106476,0.0
1516106507,0.0
1516107363,0.0
1516107366,0.0
1516107376,0.0
1516107407,0.0
1516108263,0.0
1516108266,0.0
1516108276,0.0
1516108307,0.0
1516109163,0.0
1516109166,0.0
1516109176,0.0
1516109207,0.0
1516110063,0.0
1516110066,0.0
1516110076,0.0
1516110107,0.0
1516110963,0.0
1516110966,0.0
1516110976,0.0
1516111007,0.0
1516111863,0.0
1516111866,0.0
1516111876,0.0
1516111907,0.0
1516112763,0.0
1516112766,0.0
1516112776,0.0
1516112807,0.0
1516113663,0.0
1516113666,0.0
1516113676,0.0
1516113707,0.0
1516114563,0.0
1516114566,0.0
1516114576,0.0
1516114607,0.0
1516115463,0.0
1516115466,0.0
1516115476,0.0
1516115507,0.0
1516116363,0.0
1516116366,0.0
1516116376,0.0
1516116407,0.0
1516117263,0.0
1516117266,0.0
1516117276,0.0
1516117307,0.0
1516118163,0.0
1516118166,0.0
1516118176,0.0
1516118207,0.0
1516119063,0.0
1516119066,0.0
1516119076,0.0
1516119107,0.0
1516119963,0.0
1516119966,0.0
1516119976,0.0
1516120007,0.0
1516120863,0.0
1516120866,0.0
1516120876,0.0
1516120907,0.0
1516121763,0.0
1516121766,0.0
1516121776,0.0
1516121807,0.0
1516122663,0.0
1516122666,0.0
1516122676,0.0
1516122707,0.0
1516123563,0.0
1516123566,0.0
1516123576,0.0
1516123607,0.0
1516124463,0.0
1516124466,0.0
1516124476,0.0
1516124507,0.0
1516125363,0.0
1516125366,0.0
1516125376,0.0
1516125407,0.0
1516126263,0.0
1516126266,0.0
1516126276,0.0
1516126307,0.0
1516127163,0.0
1516127166,0.0
1516127176,0.0
1516127207,0.0
1516128063,0.0
1516128066,0.0
1516128076,0.0
1516128107,0.0
1516128963,0.0
1516128966,0.0
1516128976,0.0
1516129007,0.0
1516129863,0.0
1516129866,0.0
1516129876,0.0
1516129907,0.0
1516130763,0.0
1516130766,0.0
1516130776,0.0
1516130807,0.0
1516131663,0.0
1516131666,0.0
1516131676,0.0
1516131707,0.0
1516132563,0.0
1516132566,0.0
1516132576,0.0
1516132607,0.0
1516133463,0.0
1516133466,0.0
1516133476,0.0
1516133507,0.0
1516134363,0.0
1516134366,0.0
1516134376,0.0
1516134407,0.0
1516135263,0.0
1516135266,0.0
1516135276,0.0
1516135307,0.0
1516136163,0.0
1516136166,0.0
1516136176,0.0
1516136207,0.0
1516137063,0.0
1516137066,0.0
1516137076,0.0
1516137107,0.0
1516137963,0.0
1516137966,0.0
1516137976,0.0
1516138007,0.0
1516138863,0.0
1516138866,0.0
1516138876,0.0
1516138907,0.0
1516139763,0.0
1516139766,0.0
1516139776,0.0
1516139807,0.0
1516140663,0.0
1516140666,0.0
1516140676,0.0
1516140707,0.0
1516141563,0.0
1516141566,0.0
1516141576,0.0
1516141607,0.0
1516142463,0.0
1516142466,0.0
1516142476,0.0
1516142507,0.0
1516143363,0.0
1516143366,0.0
1516143376,0.0
1516143407,0.0
1516144263,0.0
1516144266,0.0
1516144276,0.0
1516144307,0.0
1516145163,0.0
1516145166,0.0
1516145176,0.0
1516145207,0.0
1516146063,0.0
1516146066,0.0
1516146076,0.0
