t,value
1513267602,3
1513267898,4
1513267898,4
1513267913,4
1513268502,5
1513268798,7
1513268798,7
1513268813,7
1513269402,8
1513269698,9
1513269698,9
1513269713,9
1513270302,10
1513270598,12
1513270598,12
1513270613,12
1513271202,13
1513271498,14
1513271498,14
1513271513,14
1513272102,15
1513272398,17
1513272398,17
1513272413,17
1513273002,18
1513273298,19
1513273298,19
1513273313,19
1513273902,20
1513274198,22
1513274198,22
1513274213,22
1513274802,23
1513275098,24
1513275098,24
1513275113,24
1513275702,25
1513275998,27
1513275998,27
1513276013,27
1513276602,28
1513276898,29
1513276898,29
1513276913,29
1513277502,30
1513277798,32
1513277798,32
1513277813,32
1513278402,33
1513278698,34
1513278698,34
1513278713,34
1513279302,35
1513279598,37
1513279598,37
1513279613,37
1513280202,38
1513280498,39
1513280498,39
1513280513,39
1513281102,40
1513281398,42
1513281398,42
1513281413,42
1513282002,43
1513282298,44
1513282298,44
1513282313,44
1513282902,45
1513283198,47
1513283198,47
1513283213,47
1513283802,48
1513284098,49
1513284098,49
1513284113,49
1513284702,50
1513284998,52
1513284998,52
1513285013,52
1513285602,53
1513285898,54
1513285898,54
1513285913,54
1513286502,55
1513286798,57
1513286798,57
1513286813,57
1513287402,58
1513287698,59
1513287698,59
1513287713,59
1513288302,60
1513288598,62
1513288598,62
1513288613,62
1513289202,63
1513289498,64
1513289498,64
1513289513,64
1513290102,65
1513290398,67
1513290398,67
1513290413,67
1513291002,68
1513291298,69
1513291298,69
1513291313,69
1513291902,70
1513292198,72
1513292198,72
1513292213,72
1513292802,73
1513293098,74
1513293098,74
1513293113,74
1513293702,75
1513293998,77
1513293998,77
1513294013,77
1513294602,78
1513294898,79
1513294898,79
1513294913,79
1513295502,80
1513295798,82
1513295798,82
1513295813,82
1513296402,83
1513296698,84
1513296698,84
1513296713,84
1513297302,85
1513297598,87
1513297598,87
1513297613,87
1513298202,88
1513298498,89
1513298498,89
1513298513,89
1513299102,90
1513299398,92
1513299398,92
1513299413,92
1513300002,93
1513300298,94
1513300298,94
1513300313,94
1513300902,95
1513301198,97
1513301198,97
1513301213,97
1513301802,98
1513302098,99
1513302098,99
1513302113,99
1513302702,100
1513302998,102
1513302998,102
1513303013,102
1513303602,103
1513303898,104
1513303898,104
1513303913,104
1513304502,105
1513304798,107
1513304798,107
1513304813,107
1513305402,108
1513305698,109
1513305698,109
1513305713,109
1513306302,110
1513306598,112
1513306598,112
1513306613,112
1513307202,113
1513307498,114
1513307498,114
1513307513,114
1513308102,115
1513308398,117
1513308398,117
1513308413,117
1513309002,118
1513309298,119
1513309298,119
1513309313,119
1513309902,120
1513310198,122
1513310198,122
1513310213,122
1513310802,123
1513311098,124
1513311098,124
1513311113,124
1513311702,125
1513311998,127
1513311998,127
1513312013,127
1513312602,128
1513312898,129
1513312898,129
1513312913,129
1513313502,130
1513313798,132
1513313798,132
1513313813,132
1513314402,133
1513314698,134
1513314698,134
1513314713,134
1513315302,135
1513315598,137
1513315598,137
1513315613,137
1513316202,138
1513316498,139
1513316498,139
1513316513,139
1513317102,140
1513317398,142
1513317398,142
1513317413,142
1513318002,143
1513318298,144
1513318298,144
1513318313,144
1513318902,145
1513319198,147
1513319198,147
1513319213,147
1513319802,148
1513320098,149
1513320098,149
1513320113,149
1513320702,150
1513320998,152
1513320998,152
1513321013,152
1513321602,153
1513321898,154
1513321898,154
1513321913,154
1513322502,155
1513322798,157
1513322798,157
1513322813,157
1513323402,158
1513323698,159
1513323698,159
1513323713,159
1513324302,160
1513324598,162
1513324598,162
1513324613,162
1513325202,163
1513325498,164
1513325498,164
1513325513,164
1513326102,165
1513326398,167
1513326398,167
1513326413,167
1513327002,168
1513327298,169
1513327298,169
1513327313,169
1513327902,170
1513328198,172
1513328198,172
1513328213,172
1513328802,173
1513329098,174
1513329098,174
1513329113,174
1513329702,175
1513329998,177
1513329998,177
1513330013,177
1513330602,178
1513330898,179
1513330898,179
1513330913,179
1513331502,180
1513331798,182
1513331798,182
1513331813,182
1513332402,183
1513332698,184
1513332698,184
1513332713,184
1513333302,185
1513333598,187
1513333598,187
1513333613,187
1513334202,188
1513334498,189
1513334498,189
1513334513,189
1513335102,190
1513335398,192
1513335398,192
1513335413,192
1513336002,193
1513336298,194
1513336298,194
1513336313,194
1513336902,195
1513337198,197
1513337198,197
1513337213,197
1513337802,198
1513338098,199
1513338098,199
1513338113,199
1513338702,200
1513338998,202
1513338998,202
1513339013,202
1513339602,203
1513339898,204
1513339898,204
1513339913,204
1513340502,205
1513340798,207
1513340798,207
1513340813,207
1513341402,208
1513341698,209
1513341698,209
1513341713,209
1513342302,210
1513342598,212
1513342598,212
1513342613,212
1513343202,213
1513343498,214
1513343498,214
1513343513,214
1513344102,215
1513344398,217
1513344398,217
1513344413,217
1513345002,218
1513345298,219
1513345298,219
1513345313,219
1513345902,220
1513346198,222
1513346198,222
1513346213,222
1513346802,223
1513347098,224
1513347098,224
1513347113,224
1513347702,225
1513347998,227
1513347998,227
1513348013,227
1513348602,228
1513348898,229
1513348898,229
1513348913,229
1513349502,230
1513349798,232
1513349798,232
1513349813,232
1513350402,233
1513350698,234
1513350698,234
1513350713,234
1513351302,235
1513351598,237
1513351598,237
1513351613,237
1513352202,238
1513352498,239
1513352498,239
1513352513,239
1513353102,240
1513353398,242
1513353398,242
1513353413,242
1513354002,243
1513354298,244
1513354298,244
1513354313,244
1513354902,245
1513355198,247
1513355198,247
1513355213,247
1513355802,248
1513356098,249
1513356098,249
1513356113,249
1513356702,250
1513356998,252
1513356998,252
1513357013,252
1513357602,253
1513357898,254
1513357898,254
1513357913,254
1513358502,255
1513358798,257
1513358798,257
1513358813,257
1513359402,258
1513359698,259
1513359698,259
1513359713,259
1513360302,260
1513360598,262
1513360598,262
1513360613,262
1513361202,263
1513361498,264
1513361498,264
1513361513,264
1513362102,265
1513362398,267
1513362398,267
1513362413,267
1513363002,268
1513363298,269
1513363298,269
1513363313,269
1513363902,270
1513364198,272
1513364198,272
1513364213,272
1513364802,273
1513365098,274
1513365098,274
1513365113,274
1513365702,275
1513365998,277
1513365998,277
1513366013,277
1513366602,278
1513366898,279
1513366898,279
1513366913,279
1513367502,280
1513367798,282
1513367798,282
1513367813,282
1513368402,282
1513368698,284
1513368698,284
1513368713,284
1513369302,285
1513369598,287
1513369598,287
1513369613,287
1513370202,287
1513370498,289
1513370498,289
1513370513,289
1513371102,290
1513371398,292
1513371398,292
1513371413,292
1513372002,292
1513372298,294
1513372298,294
1513372313,294
1513372902,295
1513373198,297
1513373198,297
1513373213,297
1513373802,297
1513374098,299
1513374098,299
1513374113,299
1513374702,300
1513374998,302
1513374998,302
1513375013,302
1513375602,302
1513375898,304
1513375898,304
1513375913,304
1513376502,305
1513376798,307
1513376798,307
1513376813,307
1513377402,307
1513377698,309
1513377698,309
1513377713,309
1513378302,310
1513378598,312
1513378598,312
1513378613,312
1513379202,312
1513379498,314
1513379498,314
1513379513,314
1513380102,315
1513380398,317
1513380398,317
1513380413,317
1513381002,317
1513381298,319
1513381298,319
