t,value
1513267602,1
1513267898,1
1513267898,1
1513267913,1
1513268502,1
1513268798,1
1513268798,1
1513268813,1
1513269402,1
1513269698,1
1513269698,1
1513269713,1
1513270302,1
1513270598,1
1513270598,1
1513270613,1
1513271202,1
1513271498,1
1513271498,1
1513271513,1
1513272102,1
1513272398,1
1513272398,1
1513272413,1
1513273002,1
1513273298,1
1513273298,1
1513273313,1
1513273902,1
1513274198,1
1513274198,1
1513274213,1
1513274802,1
1513275098,1
1513275098,1
1513275113,1
1513275702,1
1513275998,1
1513275998,1
1513276013,1
1513276602,1
1513276898,1
1513276898,1
1513276913,1
1513277502,1
1513277798,1
1513277798,1
1513277813,1
1513278402,1
1513278698,1
1513278698,1
1513278713,1
1513279302,1
1513279598,1
1513279598,1
1513279613,1
1513280202,1
1513280498,1
1513280498,1
1513280513,1
1513281102,1
1513281398,1
1513281398,1
1513281413,1
1513282002,1
1513282298,1
1513282298,1
1513282313,1
1513282902,1
1513283198,1
1513283198,1
1513283213,1
1513283802,1
1513284098,1
1513284098,1
1513284113,1
1513284702,1
1513284998,1
1513284998,1
1513285013,1
1513285602,1
1513285898,1
1513285898,1
1513285913,1
1513286502,1
1513286798,1
1513286798,1
1513286813,1
1513287402,1
1513287698,1
1513287698,1
1513287713,1
1513288302,1
1513288598,1
1513288598,1
1513288613,1
1513289202,1
1513289498,1
1513289498,1
1513289513,1
1513290102,1
1513290398,1
1513290398,1
1513290413,1
1513291002,1
1513291298,1
1513291298,1
1513291313,1
1513291902,1
1513292198,1
1513292198,1
1513292213,1
1513292802,1
1513293098,1
1513293098,1
1513293113,1
1513293702,1
1513293998,1
1513293998,1
1513294013,1
1513294602,1
1513294898,1
1513294898,1
1513294913,1
1513295502,1
1513295798,1
1513295798,1
1513295813,1
1513296402,1
1513296698,1
1513296698,1
1513296713,1
1513297302,1
1513297598,1
1513297598,1
1513297613,1
1513298202,1
1513298498,1
1513298498,1
1513298513,1
1513299102,1
1513299398,1
1513299398,1
1513299413,1
1513300002,1
1513300298,1
1513300298,1
1513300313,1
1513300902,1
1513301198,1
1513301198,1
1513301213,1
1513301802,1
1513302098,1
1513302098,1
1513302113,1
1513302702,1
1513302998,1
1513302998,1
1513303013,1
1513303602,1
1513303898,1
1513303898,1
1513303913,1
1513304502,1
1513304798,1
1513304798,1
1513304813,1
1513305402,1
1513305698,1
1513305698,1
1513305713,1
1513306302,1
1513306598,1
1513306598,1
1513306613,1
1513307202,1
1513307498,1
1513307498,1
1513307513,1
1513308102,1
1513308398,1
1513308398,1
1513308413,1
1513309002,1
1513309298,1
1513309298,1
1513309313,1
1513309902,1
1513310198,1
1513310198,1
1513310213,1
1513310802,1
1513311098,1
1513311098,1
1513311113,1
1513311702,1
1513311998,1
1513311998,1
1513312013,1
1513312602,1
1513312898,1
1513312898,1
1513312913,1
1513313502,1
1513313798,1
1513313798,1
1513313813,1
1513314402,1
1513314698,1
1513314698,1
1513314713,1
1513315302,1
1513315598,1
1513315598,1
1513315613,1
1513316202,1
1513316498,1
1513316498,1
1513316513,1
1513317102,1
1513317398,1
1513317398,1
1513317413,1
1513318002,1
1513318298,1
1513318298,1
1513318313,1
1513318902,1
1513319198,1
1513319198,1
1513319213,1
1513319802,1
1513320098,1
1513320098,1
1513320113,1
1513320702,1
1513320998,1
1513320998,1
1513321013,1
1513321602,1
1513321898,1
1513321898,1
1513321913,1
1513322502,1
1513322798,1
1513322798,1
1513322813,1
1513323402,1
1513323698,1
1513323698,1
1513323713,1
1513324302,1
1513324598,1
1513324598,1
1513324613,1
1513325202,1
1513325498,1
1513325498,1
1513325513,1
1513326102,1
1513326398,1
1513326398,1
1513326413,1
1513327002,1
1513327298,1
1513327298,1
1513327313,1
1513327902,1
1513328198,1
1513328198,1
1513328213,1
1513328802,1
1513329098,1
1513329098,1
1513329113,1
1513329702,1
1513329998,1
1513329998,1
