t,value
1513267602,NaN
1513267898,NaN
1513267898,NaN
1513267913,NaN
1513268502,354622.0
1513268798,NaN
1513268798,NaN
1513268813,NaN
1513269402,56683.0
1513269698,NaN
1513269698,NaN
1513269713,NaN
1513270302,284474.0
1513270598,NaN
1513270598,NaN
1513270613,NaN
1513271202,39851.0
1513271498,NaN
1513271498,NaN
1513271513,NaN
1513272102,308327.0
1513272398,NaN
1513272398,NaN
1513272413,NaN
1513273002,38111.0
1513273298,NaN
1513273298,NaN
1513273313,NaN
1513273902,267125.0
1513274198,NaN
1513274198,NaN
1513274213,NaN
1513274802,68241.0
1513275098,NaN
1513275098,NaN
1513275113,NaN
1513275702,294172.0
1513275998,NaN
1513275998,NaN
1513276013,NaN
1513276602,39671.0
1513276898,NaN
1513276898,NaN
1513276913,NaN
1513277502,269820.0
1513277798,NaN
1513277798,NaN
1513277813,NaN
1513278402,40256.0
1513278698,NaN
1513278698,NaN
1513278713,NaN
1513279302,277445.0
1513279598,NaN
1513279598,NaN
1513279613,NaN
1513280202,32786.0
1513280498,NaN
1513280498,NaN
1513280513,NaN
1513281102,289528.0
1513281398,NaN
1513281398,NaN
1513281413,NaN
1513282002,65248.0
1513282298,NaN
1513282298,NaN
1513282313,NaN
1513282902,256985.0
1513283198,NaN
1513283198,NaN
1513283213,NaN
1513283802,38816.0
1513284098,NaN
1513284098,NaN
1513284113,NaN
1513284702,270675.0
1513284998,NaN
1513284998,NaN
1513285013,NaN
1513285602,32491.0
1513285898,NaN
1513285898,NaN
1513285913,NaN
1513286502,259810.0
1513286798,NaN
1513286798,NaN
1513286813,NaN
1513287402,57343.0
1513287698,NaN
1513287698,NaN
1513287713,NaN
1513288302,271646.0
1513288598,NaN
1513288598,NaN
1513288613,NaN
1513289202,54395.0
1513289498,NaN
1513289498,NaN
1513289513,NaN
1513290102,273442.0
1513290398,NaN
1513290398,NaN
1513290413,NaN
1513291002,54935.0
1513291298,NaN
1513291298,NaN
1513291313,NaN
1513291902,257355.0
1513292198,NaN
1513292198,NaN
1513292213,NaN
1513292802,35946.0
1513293098,NaN
1513293098,NaN
1513293113,NaN
1513293702,324552.0
1513293998,NaN
1513293998,NaN
1513294013,NaN
1513294602,72992.0
1513294898,NaN
1513294898,NaN
1513294913,NaN
1513295502,252742.0
1513295798,NaN
1513295798,NaN
1513295813,NaN
1513296402,61468.0
1513296698,NaN
1513296698,NaN
1513296713,NaN
1513297302,250562.0
1513297598,NaN
1513297598,NaN
1513297613,NaN
1513298202,56208.0
1513298498,NaN
1513298498,NaN
1513298513,NaN
1513299102,311439.0
1513299398,NaN
1513299398,NaN
1513299413,NaN
1513300002,35063.0
1513300298,NaN
1513300298,NaN
1513300313,NaN
1513300902,261322.0
1513301198,NaN
1513301198,NaN
1513301213,NaN
1513301802,30693.0
1513302098,NaN
1513302098,NaN
1513302113,NaN
1513302702,255119.0
1513302998,NaN
1513302998,NaN
1513303013,NaN
1513303602,32813.0
1513303898,NaN
1513303898,NaN
1513303913,NaN
1513304502,277550.0
1513304798,NaN
1513304798,NaN
1513304813,NaN
1513305402,37696.0
1513305698,NaN
1513305698,NaN
1513305713,NaN
1513306302,262499.0
1513306598,NaN
1513306598,NaN
1513306613,NaN
1513307202,63093.0
1513307498,NaN
1513307498,NaN
1513307513,NaN
1513308102,236300.0
1513308398,NaN
1513308398,NaN
1513308413,NaN
1513309002,32222.0
1513309298,NaN
1513309298,NaN
1513309313,NaN
1513309902,295743.0
1513310198,NaN
1513310198,NaN
1513310213,NaN
1513310802,68290.0
1513311098,NaN
1513311098,NaN
1513311113,NaN
1513311702,276593.0
1513311998,NaN
1513311998,NaN
1513312013,NaN
1513312602,42208.0
1513312898,NaN
1513312898,NaN
1513312913,NaN
1513313502,300352.0
1513313798,NaN
1513313798,NaN
1513313813,NaN
1513314402,28565.0
1513314698,NaN
1513314698,NaN
1513314713,NaN
1513315302,226520.0
1513315598,NaN
1513315598,NaN
1513315613,NaN
1513316202,28634.0
1513316498,NaN
1513316498,NaN
1513316513,NaN
1513317102,249274.0
1513317398,NaN
1513317398,NaN
1513317413,NaN
1513318002,56751.0
1513318298,NaN
1513318298,NaN
1513318313,NaN
1513318902,284371.0
1513319198,NaN
1513319198,NaN
1513319213,NaN
1513319802,23635.0
1513320098,NaN
1513320098,NaN
1513320113,NaN
1513320702,230428.0
1513320998,NaN
1513320998,NaN
1513321013,NaN
1513321602,26491.0
1513321898,NaN
1513321898,NaN
1513321913,NaN
1513322502,239833.0
1513322798,NaN
1513322798,NaN
1513322813,NaN
1513323402,25170.0
1513323698,NaN
1513323698,NaN
1513323713,NaN
1513324302,239009.0
1513324598,NaN
1513324598,NaN
1513324613,NaN
1513325202,29825.0
1513325498,NaN
1513325498,NaN
1513325513,NaN
1513326102,232618.0
1513326398,NaN
1513326398,NaN
1513326413,NaN
1513327002,24884.0
1513327298,NaN
1513327298,NaN
1513327313,NaN
1513327902,222335.0
1513328198,NaN
1513328198,NaN
1513328213,NaN
1513328802,28232.0
1513329098,NaN
1513329098,NaN
1513329113,NaN
1513329702,244161.0
1513329998,NaN
1513329998,NaN
1513330013,NaN
1513330602,25192.0
1513330898,NaN
1513330898,NaN
1513330913,NaN
1513331502,228174.0
1513331798,NaN
1513331798,NaN
1513331813,NaN
1513332402,27525.0
1513332698,NaN
1513332698,NaN
1513332713,NaN
1513333302,235621.0
1513333598,NaN
1513333598,NaN
1513333613,NaN
1513334202,35508.0
1513334498,NaN
1513334498,NaN
1513334513,NaN
1513335102,252431.0
1513335398,NaN
1513335398,NaN
1513335413,NaN
1513336002,79858.0
1513336298,NaN
1513336298,NaN
1513336313,NaN
1513336902,229977.0
1513337198,NaN
1513337198,NaN
1513337213,NaN
1513337802,16000.0
1513338098,NaN
1513338098,NaN
1513338113,NaN
1513338702,253821.0
1513338998,NaN
1513338998,NaN
1513339013,NaN
1513339602,16470.0
1513339898,NaN
1513339898,NaN
1513339913,NaN
1513340502,225466.0
1513340798,NaN
1513340798,NaN
1513340813,NaN
1513341402,22673.0
1513341698,NaN
1513341698,NaN
1513341713,NaN
1513342302,229779.0
1513342598,NaN
1513342598,NaN
1513342613,NaN
1513343202,20227.0
1513343498,NaN
1513343498,NaN
1513343513,NaN
1513344102,232915.0
1513344398,NaN
1513344398,NaN
1513344413,NaN
1513345002,17495.0
1513345298,NaN
1513345298,NaN
1513345313,NaN
1513345902,303628.0
1513346198,NaN
1513346198,NaN
1513346213,NaN
1513346802,28845.0
1513347098,NaN
1513347098,NaN
1513347113,NaN
1513347702,228918.0
1513347998,NaN
1513347998,NaN
1513348013,NaN
1513348602,21083.0
1513348898,NaN
1513348898,NaN
1513348913,NaN
1513349502,235821.0
1513349798,NaN
1513349798,NaN
1513349813,NaN
1513350402,21502.0
1513350698,NaN
1513350698,NaN
1513350713,NaN
1513351302,276512.0
1513351598,NaN
1513351598,NaN
1513351613,NaN
1513352202,18478.0
1513352498,NaN
1513352498,NaN
1513352513,NaN
1513353102,236841.0
1513353398,NaN
1513353398,NaN
1513353413,NaN
1513354002,16183.0
1513354298,NaN
1513354298,NaN
1513354313,NaN
1513354902,222486.0
1513355198,NaN
1513355198,NaN
1513355213,NaN
1513355802,22136.0
1513356098,NaN
1513356098,NaN
1513356113,NaN
1513356702,258808.0
1513356998,NaN
1513356998,NaN
1513357013,NaN
1513357602,21871.0
1513357898,NaN
1513357898,NaN
1513357913,NaN
1513358502,245210.0
1513358798,NaN
1513358798,NaN
1513358813,NaN
1513359402,17423.0
1513359698,NaN
1513359698,NaN
1513359713,NaN
1513360302,249263.0
1513360598,NaN
1513360598,NaN
1513360613,NaN
1513361202,23256.0
1513361498,NaN
1513361498,NaN
1513361513,NaN
1513362102,209212.0
1513362398,NaN
1513362398,NaN
1513362413,NaN
1513363002,48583.0
1513363298,NaN
1513363298,NaN
1513363313,NaN
1513363902,229399.0
1513364198,NaN
1513364198,NaN
1513364213,NaN
1513364802,16805.0
1513365098,NaN
1513365098,NaN
1513365113,NaN
1513365702,279488.0
1513365998,NaN
1513365998,NaN
1513366013,NaN
1513366602,17109.0
1513366898,NaN
1513366898,NaN
1513366913,NaN
1513367502,207824.0
1513367798,NaN
1513367798,NaN
1513367813,NaN
1513368402,212401.0
1513368698,NaN
1513368698,NaN
1513368713,NaN
1513369302,20011.0
1513369598,NaN
1513369598,NaN
1513369613,NaN
1513370202,213075.0
1513370498,NaN
1513370498,NaN
1513370513,NaN
1513371102,17333.0
1513371398,NaN
1513371398,NaN
1513371413,NaN
1513372002,220629.0
1513372298,NaN
1513372298,NaN
1513372313,NaN
1513372902,17574.0
1513373198,NaN
1513373198,NaN
1513373213,NaN
1513373802,213292.0
1513374098,NaN
1513374098,NaN
1513374113,NaN
1513374702,18315.0
1513374998,NaN
1513374998,NaN
1513375013,NaN
1513375602,207928.0
1513375898,NaN
1513375898,NaN
1513375913,NaN
1513376502,16918.0
1513376798,NaN
1513376798,NaN
1513376813,NaN
1513377402,266699.0
1513377698,NaN
1513377698,NaN
1513377713,NaN
1513378302,18265.0
1513378598,NaN
1513378598,NaN
1513378613,NaN
1513379202,237989.0
1513379498,NaN
1513379498,NaN
1513379513,NaN
1513380102,57890.0
1513380398,NaN
1513380398,NaN
1513380413,NaN
1513381002,235848.0
1513381298,NaN
1513381298,NaN
1513381313,NaN
1513381902,30275.0
1513382198,NaN
1513382198,NaN
1513382213,NaN
1513382802,196189.0
1513383098,NaN
1513383098,NaN
1513383113,NaN
1513383702,19301.0
1513383998,NaN
1513383998,NaN
1513384013,NaN
1513384602,209106.0
1513384898,NaN
1513384898,NaN
1513384913,NaN
1513385502,19493.0
1513385798,NaN
1513385798,NaN
1513385813,NaN
1513386402,271807.0
1513386698,NaN
1513386698,NaN
1513386713,NaN
1513387302,15436.0
1513387598,NaN
1513387598,NaN
1513387613,NaN
1513388202,214216.0
1513388498,NaN
1513388498,NaN
1513388513,NaN
1513389102,23148.0
1513389398,NaN
1513389398,NaN
1513389413,NaN
1513390002,225017.0
1513390298,NaN
1513390298,NaN
1513390313,NaN
1513390902,15349.0
1513391198,NaN
1513391198,NaN
1513391213,NaN
1513391802,203904.0
1513392098,NaN
1513392098,NaN
1513392113,NaN
1513392702,19590.0
1513392998,NaN
1513392998,NaN
1513393013,NaN
1513393602,205102.0
1513393898,NaN
1513393898,NaN
1513393913,NaN
1513394502,16448.0
1513394798,NaN
1513394798,NaN
1513394813,NaN
1513395402,200556.0
1513395698,NaN
1513395698,NaN
1513395713,NaN
1513396302,17117.0
1513396598,NaN
1513396598,NaN
1513396613,NaN
1513397202,237378.0
1513397498,NaN
1513397498,NaN
1513397513,NaN
1513398102,13926.0
1513398398,NaN
1513398398,NaN
1513398413,NaN
1513399002,219057.0
1513399298,NaN
1513399298,NaN
1513399313,NaN
1513399902,12761.0
1513400198,NaN
1513400198,NaN
1513400213,NaN
1513400802,223505.0
1513401098,NaN
1513401098,NaN
1513401113,NaN
1513401702,14632.0
1513401998,NaN
1513401998,NaN
1513402013,NaN
1513402602,575174.0
1513402898,NaN
1513402898,NaN
1513402913,NaN
1513403502,14071.0
1513403798,NaN
1513403798,NaN
1513403813,NaN
1513404402,234534.0
1513404698,NaN
1513404698,NaN
1513404713,NaN
1513405302,16715.0
1513405598,NaN
1513405598,NaN
1513405613,NaN
1513406202,222682.0
1513406498,NaN
1513406498,NaN
1513406513,NaN
1513407102,20771.0
1513407398,NaN
1513407398,NaN
1513407413,NaN
1513408002,278267.0
1513408298,NaN
1513408298,NaN
1513408313,NaN
1513408902,16897.0
1513409198,NaN
1513409198,NaN
1513409213,NaN
1513409802,181914.0
1513410098,NaN
1513410098,NaN
1513410113,NaN
1513410702,19816.0
1513410998,NaN
1513410998,NaN
1513411013,NaN
