t,value
1513267602,2
1513267898,3
1513267898,3
1513267913,3
1513268502,5
1513268798,5
1513268798,5
1513268813,5
1513269402,7
1513269698,8
1513269698,8
1513269713,8
1513270302,10
1513270598,10
1513270598,10
1513270613,10
1513271202,12
1513271498,13
1513271498,13
1513271513,13
1513272102,15
1513272398,15
1513272398,15
1513272413,15
1513273002,17
1513273298,18
1513273298,18
1513273313,18
1513273902,20
1513274198,20
1513274198,20
1513274213,20
1513274802,22
1513275098,23
1513275098,23
1513275113,23
1513275702,25
1513275998,25
1513275998,25
1513276013,25
1513276602,27
1513276898,28
1513276898,28
1513276913,28
1513277502,30
1513277798,30
1513277798,30
1513277813,30
1513278402,32
1513278698,33
1513278698,33
1513278713,33
1513279302,35
1513279598,35
1513279598,35
1513279613,35
1513280202,37
1513280498,38
1513280498,38
1513280513,38
1513281102,40
1513281398,40
1513281398,40
1513281413,40
1513282002,42
1513282298,43
1513282298,43
1513282313,43
1513282902,45
1513283198,45
1513283198,45
1513283213,45
1513283802,47
1513284098,48
1513284098,48
1513284113,48
1513284702,50
1513284998,50
1513284998,50
1513285013,50
1513285602,52
1513285898,53
1513285898,53
1513285913,53
1513286502,55
1513286798,55
1513286798,55
1513286813,55
1513287402,57
1513287698,58
1513287698,58
1513287713,58
1513288302,60
1513288598,60
1513288598,60
1513288613,60
1513289202,62
1513289498,63
1513289498,63
1513289513,63
1513290102,65
1513290398,65
1513290398,65
1513290413,65
1513291002,67
1513291298,68
1513291298,68
1513291313,68
1513291902,70
1513292198,70
1513292198,70
1513292213,70
1513292802,72
1513293098,73
1513293098,73
1513293113,73
1513293702,75
1513293998,75
1513293998,75
1513294013,75
1513294602,77
1513294898,78
1513294898,78
1513294913,78
1513295502,80
1513295798,80
1513295798,80
1513295813,80
1513296402,82
1513296698,83
1513296698,83
1513296713,83
1513297302,85
1513297598,85
1513297598,85
1513297613,85
1513298202,87
1513298498,88
1513298498,88
1513298513,88
1513299102,90
1513299398,90
1513299398,90
1513299413,90
1513300002,92
1513300298,93
1513300298,93
1513300313,93
1513300902,95
1513301198,95
1513301198,95
1513301213,95
1513301802,97
1513302098,98
1513302098,98
1513302113,98
1513302702,100
1513302998,100
1513302998,100
1513303013,100
1513303602,102
1513303898,103
1513303898,103
1513303913,103
1513304502,105
1513304798,105
1513304798,105
1513304813,105
1513305402,107
1513305698,108
1513305698,108
1513305713,108
1513306302,110
1513306598,110
1513306598,110
1513306613,110
1513307202,112
1513307498,113
1513307498,113
1513307513,113
1513308102,115
1513308398,115
1513308398,115
1513308413,115
1513309002,117
1513309298,118
1513309298,118
1513309313,118
1513309902,120
1513310198,120
1513310198,120
1513310213,120
1513310802,122
1513311098,123
1513311098,123
1513311113,123
1513311702,125
1513311998,125
1513311998,125
1513312013,125
1513312602,127
1513312898,128
1513312898,128
1513312913,128
1513313502,130
1513313798,130
1513313798,130
1513313813,130
1513314402,132
1513314698,133
1513314698,133
1513314713,133
1513315302,135
1513315598,135
1513315598,135
1513315613,135
1513316202,137
1513316498,138
1513316498,138
1513316513,138
1513317102,140
1513317398,140
1513317398,140
1513317413,140
1513318002,142
1513318298,143
1513318298,143
1513318313,143
1513318902,145
1513319198,145
1513319198,145
1513319213,145
1513319802,147
1513320098,148
1513320098,148
1513320113,148
1513320702,150
1513320998,150
1513320998,150
1513321013,150
1513321602,152
1513321898,153
1513321898,153
1513321913,153
1513322502,155
1513322798,155
1513322798,155
1513322813,155
1513323402,157
1513323698,158
1513323698,158
1513323713,158
1513324302,160
1513324598,160
1513324598,160
1513324613,160
1513325202,162
1513325498,163
1513325498,163
1513325513,163
1513326102,165
1513326398,165
1513326398,165
1513326413,165
1513327002,167
1513327298,168
1513327298,168
1513327313,168
1513327902,170
1513328198,170
1513328198,170
1513328213,170
1513328802,172
1513329098,173
1513329098,173
1513329113,173
1513329702,175
1513329998,175
1513329998,175
1513330013,175
1513330602,177
1513330898,178
1513330898,178
1513330913,178
1513331502,180
1513331798,180
1513331798,180
1513331813,180
1513332402,182
1513332698,183
1513332698,183
1513332713,183
1513333302,185
1513333598,185
1513333598,185
1513333613,185
1513334202,187
1513334498,188
1513334498,188
1513334513,188
1513335102,190
1513335398,190
1513335398,190
1513335413,190
1513336002,192
1513336298,193
1513336298,193
1513336313,193
1513336902,195
1513337198,195
1513337198,195
1513337213,195
1513337802,197
1513338098,198
1513338098,198
1513338113,198
1513338702,200
1513338998,200
1513338998,200
1513339013,200
1513339602,202
1513339898,203
1513339898,203
1513339913,203
1513340502,205
1513340798,205
1513340798,205
1513340813,205
1513341402,207
1513341698,208
1513341698,208
1513341713,208
1513342302,210
1513342598,210
1513342598,210
1513342613,210
1513343202,212
1513343498,213
1513343498,213
1513343513,213
1513344102,215
1513344398,215
1513344398,215
1513344413,215
1513345002,217
1513345298,218
1513345298,218
1513345313,218
1513345902,220
1513346198,220
1513346198,220
1513346213,220
1513346802,222
1513347098,223
1513347098,223
1513347113,223
1513347702,225
1513347998,225
1513347998,225
1513348013,225
1513348602,227
1513348898,228
1513348898,228
1513348913,228
1513349502,230
1513349798,230
1513349798,230
1513349813,230
1513350402,232
1513350698,233
