t,value
1513247975,1
1513248186,1
1513248186,1
1513248186,1
1513248875,1
1513249086,1
1513249086,1
1513249086,1
1513249775,1
1513249986,1
1513249986,1
1513249986,1
1513250675,1
1513250886,1
1513250886,1
1513250886,1
1513251575,0
1513251786,1
1513251786,1
1513251786,1
1513252473,1
1513252684,1
1513252684,1
1513252684,1
1513253373,0
1513253584,1
1513253584,1
1513253584,1
1513254273,1
1513254484,1
1513254484,1
1513254484,1
1513255173,1
1513255384,1
1513255384,1
1513255384,1
1513256073,1
1513256284,1
1513256284,1
1513256284,1
1513256973,0
1513257184,1
1513257184,1
1513257184,1
1513257873,1
1513258084,1
1513258084,1
1513258084,1
1513258773,1
1513258984,1
1513258984,1
1513258984,1
1513259673,1
1513259884,1
1513259884,1
1513259884,1
1513260573,0
1513260784,1
1513260784,1
1513260784,1
1513261473,1
1513261684,1
1513261684,1
1513261684,1
1513262373,1
1513262584,1
1513262584,1
1513262584,1
1513263273,1
1513263484,1
1513263484,1
1513263484,1
1513264175,1
1513264386,1
1513264386,1
1513264386,1
1513265075,1
1513265286,1
1513265286,1
1513265286,1
1513265975,0
1513266186,1
1513266186,1
1513266186,1
