t,value
1513247975,NaN
1513248186,NaN
1513248186,NaN
1513248186,NaN
1513248875,87527.0
1513249086,NaN
1513249086,NaN
1513249086,NaN
1513249775,1079720.0
1513249986,NaN
1513249986,NaN
1513249986,NaN
1513250675,74860.0
1513250886,NaN
1513250886,NaN
1513250886,NaN
1513251575,766400.0
1513251786,NaN
1513251786,NaN
1513251786,NaN
1513252473,74123.0
1513252684,NaN
1513252684,NaN
1513252684,NaN
1513253373,847050.0
1513253584,NaN
1513253584,NaN
1513253584,NaN
1513254273,111203.0
1513254484,NaN
1513254484,NaN
1513254484,NaN
1513255173,804527.0
1513255384,NaN
1513255384,NaN
1513255384,NaN
1513256073,90663.0
1513256284,NaN
1513256284,NaN
1513256284,NaN
1513256973,739720.0
1513257184,NaN
1513257184,NaN
1513257184,NaN
1513257873,73670.0
1513258084,NaN
1513258084,NaN
1513258084,NaN
1513258773,605047.0
1513258984,NaN
1513258984,NaN
1513258984,NaN
1513259673,93914.0
1513259884,NaN
1513259884,NaN
1513259884,NaN
1513260573,737867.0
1513260784,NaN
1513260784,NaN
1513260784,NaN
1513261473,79983.0
1513261684,NaN
1513261684,NaN
1513261684,NaN
1513262373,824357.0
1513262584,NaN
1513262584,NaN
1513262584,NaN
1513263273,125717.0
1513263484,NaN
1513263484,NaN
1513263484,NaN
1513264175,563967.0
1513264386,NaN
1513264386,NaN
1513264386,NaN
1513265075,71386.0
1513265286,NaN
1513265286,NaN
1513265286,NaN
1513265975,639041.0
1513266186,NaN
1513266186,NaN
1513266186,NaN
