t,value
1513090526,13
1513090629,4
1513090670,3
1513090680,4
1513091426,17
1513091529,8
1513091570,6
1513091580,6
1513092326,21
1513092429,12
1513092470,8
1513092480,9
1513093226,25
1513093329,16
1513093370,11
1513093380,11
1513094126,28
1513094229,19
1513094270,13
1513094280,14
1513095026,32
1513095129,23
1513095170,16
1513095180,16
1513095926,36
1513096029,27
1513096070,18
1513096080,19
1513096826,40
1513096929,31
1513096970,21
1513096980,21
1513097726,43
1513097829,34
1513097870,23
1513097880,24
1513098626,47
1513098729,38
1513098770,26
1513098780,26
1513099526,60
1513099629,42
1513099670,28
1513099680,29
1513100426,64
1513100529,46
1513100570,31
1513100580,31
1513101326,67
1513101429,49
1513101470,33
1513101480,34
1513102226,71
1513102329,53
1513102370,36
1513102380,36
1513103126,75
1513103229,57
1513103270,38
1513103280,39
1513104026,79
1513104129,61
1513104170,41
1513104180,41
1513104926,82
1513105029,64
1513105070,43
1513105080,43
1513109271,2
1513109685,2
1513109686,2
1513109697,2
1513110171,2
1513110585,5
1513110586,4
1513110597,5
