t,value
1513090526,2
1513090629,1
1513090670,1
1513090680,1
1513091426,2
1513091529,1
1513091570,1
1513091580,1
1513092326,2
1513092429,1
1513092470,1
1513092480,1
1513093226,2
1513093329,1
1513093370,1
1513093380,1
1513094126,2
1513094229,1
1513094270,1
1513094280,1
1513095026,2
1513095129,1
1513095170,1
1513095180,1
1513095926,2
1513096029,1
1513096070,1
1513096080,1
1513096826,2
1513096929,1
1513096970,1
1513096980,1
1513097726,2
1513097829,1
1513097870,1
1513097880,1
1513098626,2
1513098729,1
1513098770,1
1513098780,1
1513099526,8
1513099629,1
1513099670,1
1513099680,1
1513100426,8
1513100529,1
1513100570,1
1513100580,1
1513101326,8
1513101429,1
1513101470,1
1513101480,1
1513102226,8
1513102329,1
1513102370,1
1513102380,1
1513103126,8
1513103229,1
1513103270,1
1513103280,1
1513104026,8
1513104129,1
1513104170,1
1513104180,1
1513104926,8
1513105029,1
1513105070,1
1513105080,1
1513109271,1
1513109685,1
1513109686,1
1513109697,1
1513110171,1
1513110585,1
1513110586,1
1513110597,1
