t,value
1513090526,0
1513090629,0
1513090670,0
1513090680,0
1513091426,0
1513091529,0
1513091570,0
1513091580,0
1513092326,0
1513092429,0
1513092470,0
1513092480,0
1513093226,0
1513093329,0
1513093370,0
1513093380,0
1513094126,0
1513094229,0
1513094270,0
1513094280,0
1513095026,0
1513095129,0
1513095170,0
1513095180,0
1513095926,0
1513096029,0
1513096070,0
1513096080,0
1513096826,0
1513096929,0
1513096970,0
1513096980,0
1513097726,0
1513097829,0
1513097870,0
1513097880,0
1513098626,0
1513098729,0
1513098770,0
1513098780,0
1513099526,0
1513099629,0
1513099670,0
1513099680,0
1513100426,0
1513100529,0
1513100570,0
1513100580,0
1513101326,0
1513101429,0
1513101470,0
1513101480,0
1513102226,0
1513102329,0
1513102370,0
1513102380,0
1513103126,0
1513103229,0
1513103270,0
1513103280,0
1513104026,0
1513104129,0
1513104170,0
1513104180,0
1513104926,0
1513105029,0
1513105070,0
1513105080,0
1513109271,0
1513109685,0
1513109686,0
1513109697,0
1513110171,0
1513110585,0
1513110586,0
1513110597,0
