t,value
1513090526,54
1513090629,54
1513090670,54
1513090680,54
1513091426,54
1513091529,54
1513091570,54
1513091580,54
1513092326,54
1513092429,54
1513092470,54
1513092480,54
1513093226,54
1513093329,54
1513093370,54
1513093380,54
1513094126,54
1513094229,54
1513094270,54
1513094280,54
1513095026,54
1513095129,54
1513095170,54
1513095180,54
1513095926,54
1513096029,54
1513096070,54
1513096080,54
1513096826,54
1513096929,54
1513096970,54
1513096980,54
1513097726,54
1513097829,54
1513097870,54
1513097880,54
1513098626,54
1513098729,54
1513098770,54
1513098780,54
1513099526,56
1513099629,56
1513099670,56
1513099680,56
1513100426,56
1513100529,56
1513100570,56
1513100580,56
1513101326,56
1513101429,56
1513101470,56
1513101480,56
1513102226,56
1513102329,56
1513102370,56
1513102380,56
1513103126,56
1513103229,56
1513103270,56
1513103280,56
1513104026,56
1513104129,56
1513104170,56
1513104180,56
1513104926,56
1513105029,56
1513105070,56
1513105080,56
1513109271,54
1513109685,54
1513109686,54
1513109697,54
1513110171,54
1513110585,54
1513110586,54
1513110597,54
1513110800,54
1513111114,54
1513111129,54
1513111133,54
1513111700,54
1513112014,54
1513112029,54
1513112033,54
1513112600,54
1513112914,54
1513112929,54
1513112933,54
1513113500,54
1513113814,54
1513113829,54
1513113833,54
1513114400,54
1513114714,54
1513114729,54
1513114733,54
1513115300,54
1513115614,54
1513115629,54
1513115633,54
1513116200,54
1513116514,54
1513116529,54
1513116533,54
1513117100,54
1513117414,54
1513117429,54
1513117433,54
1513118000,54
1513118314,54
1513118329,54
1513118333,54
1513118900,54
1513119214,54
1513119229,54
1513119233,54
1513119800,54
1513120114,54
1513120129,54
1513120133,54
1513120700,54
1513121014,54
1513121029,54
1513121033,54
1513121600,54
1513121914,54
1513121929,54
1513121933,54
1513122500,54
1513122814,54
1513122829,54
1513122833,54
1513123400,54
1513123714,54
1513123729,54
1513123733,54
1513124300,54
1513124614,54
1513124629,54
1513124633,54
1513125200,54
1513125514,54
1513125529,54
1513125533,54
1513126100,54
1513126414,54
1513126429,54
1513126433,54
1513127000,54
1513127314,54
1513127329,54
1513127333,54
1513127900,54
1513128214,54
1513128229,54
1513128233,54
1513128800,54
1513129114,54
1513129129,54
1513129133,54
1513129700,54
1513130014,54
1513130029,54
1513130033,54
1513130600,54
1513130914,54
1513130929,54
1513130933,54
1513131500,54
1513131814,54
1513131829,54
1513131833,54
1513132400,54
1513132714,54
1513132729,54
1513132733,54
1513133300,54
1513133614,54
1513133629,54
1513133633,54
1513134200,54
1513134514,54
1513134529,54
1513134533,54
1513135100,54
1513135414,54
1513135429,54
1513135433,54
1513136000,54
1513136314,54
1513136329,54
1513136333,54
1513136900,54
1513137214,54
1513137229,54
1513137233,54
1513137800,54
1513138114,54
1513138129,54
1513138133,54
1513138700,54
1513139014,54
1513139029,54
1513139033,54
1513139600,54
1513139914,54
1513139929,54
1513139933,54
1513140500,54
1513140814,54
1513140829,54
1513140833,54
1513141400,54
1513141714,54
1513141729,54
1513141733,54
1513142300,54
1513142614,54
1513142629,54
1513142633,54
1513143200,54
1513143514,54
1513143529,54
1513143533,54
1513144100,54
1513144414,54
1513144429,54
1513144433,54
1513145000,54
1513145314,54
1513145329,54
1513145333,54
1513145900,54
1513146214,54
1513146229,54
1513146233,54
1513146800,54
1513147114,54
1513147129,54
1513147133,54
1513147700,54
1513148014,54
1513148029,54
1513148033,54
1513148600,54
1513148914,54
1513148929,54
1513148933,54
1513149500,54
1513149814,54
1513149829,54
1513149833,54
1513150400,54
1513150714,54
1513150729,54
1513150733,54
1513151300,54
1513151614,54
1513151629,54
1513151633,54
1513152200,54
1513152514,54
1513152529,54
1513152533,54
1513153100,54
1513153414,54
1513153429,54
1513153433,54
1513154000,54
1513154314,54
1513154333,54
1513154329,54
1513154900,54
1513155214,54
1513155229,54
1513155233,54
1513155800,54
1513156114,54
1513156129,54
1513156133,54
1513156700,54
1513156997,54
1513157012,54
1513157016,54
1513157583,54
1513157897,54
1513157912,54
1513157916,54
1513158483,54
1513158797,54
