t,value
1513090526,[]
1513090629,[]
1513090670,[]
1513090680,[]
1513091426,[]
1513091529,[]
1513091570,[]
1513091580,[]
1513092326,[]
1513092429,[]
1513092470,[]
1513092480,[]
1513093226,[]
1513093329,[]
1513093370,[]
1513093380,[]
1513094126,[]
1513094229,[]
1513094270,[]
1513094280,[]
1513095026,[]
1513095129,[]
1513095170,[]
1513095180,[]
1513095926,[]
1513096029,[]
1513096070,[]
1513096080,[]
1513096826,[]
1513096929,[]
1513096970,[]
1513096980,[]
1513097726,[]
1513097829,[]
1513097870,[]
1513097880,[]
1513098626,[]
1513098729,[]
1513098770,[]
1513098780,[]
1513099526,[]
1513099629,[]
1513099670,[]
1513099680,[]
1513100426,[]
1513100529,[]
1513100570,[]
1513100580,[]
1513101326,[]
1513101429,[]
1513101470,[]
1513101480,[]
1513102226,[]
1513102329,[]
1513102370,[]
1513102380,[]
1513103126,[]
1513103229,[]
1513103270,[]
1513103280,[]
1513104026,[]
1513104129,[]
1513104170,[]
1513104180,[]
1513104926,[]
1513105029,[]
1513105070,[]
1513105080,[]
1513109271,[]
1513109685,[]
1513109686,[]
1513109697,[]
1513110171,[]
1513110585,[]
1513110586,[]
1513110597,[]
1513110800,[]
1513111114,[]
1513111129,[]
1513111133,[]
1513111700,[]
1513112014,[]
1513112029,[]
1513112033,[]
1513112600,[]
1513112914,[]
1513112929,[]
1513112933,[]
1513113500,[]
1513113814,[]
1513113829,[]
1513113833,[]
1513114400,[]
1513114714,[]
1513114729,[]
1513114733,[]
1513115300,[]
1513115614,[]
1513115629,[]
1513115633,[]
1513116200,[]
1513116514,[]
1513116529,[]
1513116533,[]
1513117100,[]
1513117414,[]
1513117429,[]
1513117433,[]
1513118000,[]
1513118314,[]
1513118329,[]
1513118333,[]
1513118900,[]
1513119214,[]
1513119229,[]
1513119233,[]
1513119800,[]
1513120114,[]
1513120129,[]
1513120133,[]
1513120700,[]
1513121014,[]
1513121029,[]
1513121033,[]
1513121600,[]
1513121914,[]
1513121929,[]
1513121933,[]
1513122500,[]
1513122814,[]
1513122829,[]
1513122833,[]
1513123400,[]
1513123714,[]
1513123729,[]
1513123733,[]
1513124300,[]
1513124614,[]
1513124629,[]
1513124633,[]
1513125200,[]
1513125514,[]
1513125529,[]
1513125533,[]
1513126100,[]
1513126414,[]
1513126429,[]
1513126433,[]
1513127000,[]
1513127314,[]
1513127329,[]
1513127333,[]
1513127900,[]
1513128214,[]
1513128229,[]
1513128233,[]
1513128800,[]
1513129114,[]
1513129129,[]
1513129133,[]
1513129700,[]
1513130014,[]
1513130029,[]
1513130033,[]
1513130600,[]
1513130914,[]
1513130929,[]
1513130933,[]
1513131500,[]
1513131814,[]
1513131829,[]
1513131833,[]
1513132400,[]
1513132714,[]
1513132729,[]
1513132733,[]
1513133300,[]
1513133614,[]
1513133629,[]
1513133633,[]
1513134200,[]
1513134514,[]
1513134529,[]
1513134533,[]
1513135100,[]
1513135414,[]
1513135429,[]
1513135433,[]
1513136000,[]
1513136314,[]
1513136329,[]
1513136333,[]
1513136900,[]
1513137214,[]
1513137229,[]
1513137233,[]
1513137800,[]
1513138114,[]
1513138129,[]
1513138133,[]
1513138700,[]
1513139014,[]
1513139029,[]
1513139033,[]
1513139600,[]
1513139914,[]
1513139929,[]
1513139933,[]
1513140500,[]
1513140814,[]
1513140829,[]
1513140833,[]
1513141400,[]
1513141714,[]
1513141729,[]
1513141733,[]
1513142300,[]
1513142614,[]
1513142629,[]
1513142633,[]
1513143200,[]
1513143514,[]
1513143529,[]
1513143533,[]
1513144100,[]
1513144414,[]
1513144429,[]
1513144433,[]
1513145000,[]
1513145314,[]
1513145329,[]
1513145333,[]
1513145900,[]
1513146214,[]
1513146229,[]
1513146233,[]
1513146800,[]
1513147114,[]
1513147129,[]
1513147133,[]
1513147700,[]
1513148014,[]
1513148029,[]
1513148033,[]
1513148600,[]
1513148914,[]
1513148929,[]
1513148933,[]
1513149500,[]
1513149814,[]
1513149829,[]
1513149833,[]
1513150400,[]
1513150714,[]
1513150729,[]
1513150733,[]
1513151300,[]
1513151614,[]
1513151629,[]
1513151633,[]
1513152200,[]
1513152514,[]
1513152529,[]
1513152533,[]
1513153100,[]
1513153414,[]
1513153429,[]
1513153433,[]
1513154000,[]
1513154314,[]
1513154333,[]
1513154329,[]
1513154900,[]
1513155214,[]
1513155229,[]
1513155233,[]
1513155800,[]
1513156114,[]
1513156129,[]
1513156133,[]
1513156700,[]
1513156997,[]
1513157012,[]
1513157016,[]
1513157583,[]
1513157897,[]
1513157912,[]
1513157916,[]
1513158483,[]
1513158797,[]
1513158812,[]
1513158816,[]
1513159383,[]
1513159697,[]
1513159712,[]
1513159716,[]
1513160283,[]
1513160597,[]
1513160612,[]
1513160616,[]
1513161183,[]
1513161497,[]
1513161512,[]
1513161516,[]
1513162083,[]
1513162397,[]
1513162412,[]
1513162416,[]
1513162983,[]
1513163297,[]
1513163312,[]
1513163316,[]
1513163883,[]
1513164197,[]
1513164212,[]
1513164216,[]
1513164783,[]
1513165097,[]
1513165112,[]
1513165116,[]
1513165683,[]
1513165997,[]
1513166012,[]
1513166016,[]
1513166583,[]
1513166897,[]
1513166912,[]
1513166916,[]
1513167483,[]
1513167797,[]
1513167812,[]
1513167816,[]
1513168383,[]
1513168697,[]
1513168712,[]
1513168716,[]
1513169283,[]
1513169597,[]
1513169612,[]
1513169616,[]
1513170183,[]
1513170497,[]
1513170512,[]
1513170516,[]
1513171083,[]
1513171397,[]
1513171412,[]
1513171416,[]
1513171983,[]
1513172297,[]
1513172312,[]
1513172316,[]
1513172883,[]
1513173197,[]
1513173212,[]
1513173216,[]
1513173783,[]
1513174097,[]
1513174112,[]
1513174116,[]
1513174683,[]
1513174997,[]
1513175012,[]
1513175016,[]
1513175583,[]
1513175897,[]
1513175912,[]
1513175916,[]
1513176483,[]
1513176797,[]
1513176812,[]
1513176816,[]
1513177383,[]
1513177697,[]
1513177712,[]
1513177716,[]
1513178283,[]
1513178597,[]
1513178612,[]
1513178616,[]
1513179183,[]
1513179497,[]
1513179512,[]
1513179516,[]
1513180083,[]
1513180397,[]
1513180412,[]
1513180416,[]
1513180983,[]
1513181297,[]
1513181312,[]
1513181316,[]
1513181883,[]
1513182197,[]
1513182212,[]
1513182216,[]
1513182783,[]
1513183097,[]
1513183112,[]
1513183116,[]
1513183683,[]
1513183997,[]
1513184012,[]
1513184016,[]
1513184583,[]
1513184897,[]
1513184912,[]
1513184916,[]
1513185483,[]
1513185797,[]
1513185812,[]
1513185816,[]
1513186383,[]
1513186697,[]
1513186712,[]
1513186716,[]
1513187283,[]
1513187597,[]
1513187612,[]
1513187616,[]
1513188183,[]
1513188497,[]
1513188512,[]
1513188516,[]
1513189083,[]
1513189397,[]
1513189412,[]
1513189416,[]
1513189983,[]
1513190297,[]
1513190312,[]
1513190316,[]
1513190883,[]
1513191197,[]
1513191212,[]
