t,value
1513090526,44
1513090629,44
1513090670,44
1513090680,44
1513091426,44
1513091529,44
1513091570,44
1513091580,44
1513092326,44
1513092429,44
1513092470,44
1513092480,44
1513093226,44
1513093329,44
1513093370,44
1513093380,44
1513094126,44
1513094229,44
1513094270,44
1513094280,44
1513095026,44
1513095129,44
1513095170,44
1513095180,44
1513095926,44
1513096029,44
1513096070,44
1513096080,44
1513096826,44
1513096929,44
1513096970,44
1513096980,44
1513097726,44
1513097829,44
1513097870,44
1513097880,44
1513098626,44
1513098729,44
1513098770,44
1513098780,44
1513099526,56
1513099629,56
1513099670,56
1513099680,56
1513100426,56
1513100529,56
1513100570,56
1513100580,56
1513101326,56
1513101429,56
1513101470,56
1513101480,56
1513102226,56
1513102329,56
1513102370,56
1513102380,56
1513103126,56
1513103229,56
1513103270,56
1513103280,56
1513104026,56
1513104129,56
1513104170,56
1513104180,56
1513104926,56
1513105029,56
1513105070,56
1513105080,53
1513109271,43
1513109685,42
1513109686,42
1513109697,44
1513110171,43
1513110585,44
1513110586,44
1513110597,44
1513110800,44
1513111114,44
1513111129,44
1513111133,44
1513111700,44
1513112014,44
1513112029,44
1513112033,44
1513112600,44
1513112914,44
1513112929,44
1513112933,44
1513113500,44
1513113814,44
1513113829,44
1513113833,44
1513114400,44
1513114714,44
1513114729,44
1513114733,44
1513115300,44
1513115614,44
1513115629,44
1513115633,44
1513116200,44
1513116514,44
1513116529,44
1513116533,44
1513117100,44
1513117414,44
1513117429,44
1513117433,44
1513118000,44
1513118314,44
1513118329,44
1513118333,44
1513118900,44
1513119214,44
1513119229,44
1513119233,44
1513119800,44
1513120114,44
1513120129,44
1513120133,44
1513120700,44
1513121014,44
1513121029,44
1513121033,44
1513121600,44
1513121914,44
1513121929,44
1513121933,44
1513122500,44
1513122814,44
1513122829,44
1513122833,44
1513123400,44
1513123714,44
1513123729,44
1513123733,44
1513124300,44
1513124614,44
1513124629,44
1513124633,44
1513125200,44
1513125514,44
1513125529,44
1513125533,44
1513126100,44
1513126414,44
1513126429,44
1513126433,44
1513127000,44
1513127314,44
1513127329,44
1513127333,44
1513127900,44
1513128214,44
1513128229,44
1513128233,44
1513128800,44
1513129114,44
1513129129,44
1513129133,44
1513129700,44
1513130014,44
1513130029,44
1513130033,44
1513130600,44
1513130914,44
1513130929,44
1513130933,44
1513131500,44
1513131814,44
1513131829,44
1513131833,44
1513132400,44
1513132714,44
1513132729,44
1513132733,44
1513133300,44
1513133614,44
